pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	1	0.2498171167884904	1.6746936459801818	0.1	22.7	['GK', 'NUDT7', 'INPP5K', 'ARG2', 'PEX2', 'IMPA2', 'TYSND1', 'SULT1A3', 'PCK2', 'HAAO', 'NUDT8', 'DLST', 'DDAH1', 'AKT2', 'ENTPD4', 'GLUL', 'RENBP', 'PGD', 'KYAT1', 'OXCT1', 'SESN2', 'HDC', 'ACADS', 'MTAP', 'ABCD1', 'GLYCTK', 'INPP5A', 'SULT1A1', 'BLMH', 'IRS1', 'ALDH5A1', 'ALDH6A1', 'HK3', 'MIR21', 'ACADVL', 'TST', 'APOE', 'PPARA', 'CPT2', 'MLYCD', 'HIBADH', 'ETFDH', 'NPL', 'SULT1A4', 'PEX5', 'AIG1', 'AADAT', 'MCCC1', 'CRAT', 'ENTPD7', 'ALDH1L2', 'TIGAR', 'FAH', 'LPIN1', 'ACADM', 'CPT1A', 'GLDC', 'SHMT1', 'HACL1', 'ACAD11', 'HADHA', 'ADAL', 'DDO', 'FUT1', 'PAH', 'ECI2', 'INPP1', 'SULT1A2', 'SCP2', 'GK5', 'ALDH8A1', 'PFKM', 'SLC27A2', 'MPST', 'HAGH', 'DERA', 'PM20D2', 'HADHB', 'UPP1', 'ACOX1', 'CARNS1', 'ALDH1B1', 'HIBCH', 'GCSH', 'ACOT8', 'SCARB1', 'HNMT', 'ACOX2', 'FUT7', 'PCCA', 'GALM', 'PCCB', 'EHHADH', 'DLD', 'HMGCL', 'AMDHD1', 'CPT1B', 'ACOT4', 'ADH5', 'ECHDC1']
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24972429091784248	1.7303552512404257	0.1	27.66	['NFKBID', 'NFKBIZ', 'LOXL3', 'FOXP3', 'JAK3', 'HLA-DRB1', 'CD86', 'PTGER4', 'SMAD7', 'MALT1', 'MIR21', 'IRF4', 'FGL2', 'SPN', 'HLA-DRA', 'ATP7A', 'ZC3H12A', 'TNFSF4', 'IL12RB1', 'GPR183', 'IL18R1', 'LGALS9', 'CCL19', 'BCL6', 'NLRP3', 'IL18', 'STAT3', 'CLEC4E', 'ENTPD7', 'SOCS5', 'IFNG']
GOBP_REGULATION_OF_T_HELPER_1_CELL_DIFFERENTIATION	1	0.24959830254803225	1.6740613144552638	0.1	21.54	['JAK3', 'TNFSF4', 'CCL19', 'SOCS5', 'HLX', 'CD80']
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.24955991141127784	1.6744971602898413	0.1	68.68	['SFRP1', 'CCL28', 'FGB', 'RIN2', 'EMP2', 'FERMT1', 'TESK1', 'HAS2', 'COL8A1', 'FMN1', 'CSPG5', 'DISC1', 'CX3CL1', 'RELL2', 'SPOCK2', 'EDIL3', 'EGFLAM', 'ABL1', 'ECM2', 'POLDIP2', 'PDGFB', 'NRP1', 'FLNA', 'THY1', 'RRAS', 'CCL21', 'FGG', 'CCDC80', 'ITGB1BP1', 'EMILIN1', 'SKAP1', 'DAG1', 'CSF1', 'ALOX15', 'CCR7', 'NEDD9', 'LIMS2', 'NID1', 'APOA1', 'DOCK1', 'CDC42', 'TEK', 'CDK6', 'ARHGEF7', 'PRKCE', 'FBLN2', 'NDNF', 'CARMIL1', 'PTPRJ', 'MYOC', 'OLFM4', 'C1QBP', 'CEACAM6', 'FN1', 'MYADM', 'CD36', 'VEGFA', 'FUT1', 'DMTN', 'NPNT', 'LIMS1', 'PREX1', 'AGR2', 'VIT', 'MDK', 'PTK2B', 'ARPC2', 'CRKL', 'SMAD3', 'S100A10', 'CRK', 'WNT4', 'PLEKHA2', 'COL16A1', 'FERMT2', 'DAB2', 'EFEMP2', 'ARL2', 'ABI3BP', 'CASS4', 'JAK2', 'JUP', 'RSU1', 'MAP4K4', 'PPM1F', 'DOCK5', 'ITGA5', 'EGFL6', 'ITGA3', 'CDH13', 'COL26A1', 'EPHA1', 'RREB1']
GOBP_BRANCHING_INVOLVED_IN_LABYRINTHINE_LAYER_MORPHOGENESIS	1	0.2493168829413915	1.4056821569203903	0.1	9.16	['SPINT2', 'FGFR2', 'ST14', 'GRHL2', 'SPINT1']
GOBP_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION	1	0.2492026546634538	1.7302621428949103	0.1	5.15	['PRKG1', 'FGG', 'PDGFB', 'UBASH3B', 'SERPINE2', 'PRKCD', 'THBD']
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	1	0.24892609498005333	1.4055054687961803	0.1	22.23	['FRMD8', 'NLK', 'CTNND1', 'RACK1', 'IGFBP2', 'RUVBL2', 'FZD4', 'NKD2', 'FERMT1', 'TPBG', 'CHD8', 'APC', 'WWTR1', 'STK11', 'STK4', 'SOSTDC1', 'ZNRF3', 'GLI3', 'SOX10', 'TLE3', 'ROR2', 'DAB2IP', 'SOX9', 'UBAC2', 'RNF43', 'CYLD', 'TSC2', 'VGLL4', 'GSK3A', 'LATS1', 'MLLT3', 'AXIN1', 'SLC9A3R1', 'MDK', 'ANKRD6', 'OTUD5', 'NPHP4', 'CCDC88C', 'SCYL2', 'FZD6', 'CSNK1A1', 'HMGXB4', 'IFT80', 'HDAC1', 'CTNNB1', 'G3BP1', 'FZD1', 'GSK3B', 'DKK3']
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	1	0.24884969995918232	1.4029916523592731	0.1	43.14	['HDAC2', 'CCDC115', 'ATP6V0D1', 'ATP6AP1', 'ATP6V0A2', 'FAS', 'CAT', 'MT-ATP6', 'PDPN', 'TXNRD2', 'POLB', 'ATG7', 'ATP6V1G1', 'ATP6V1A', 'TMEM199', 'BNIP3']
GOBP_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	1	0.24869653933207386	1.6776391249602602	0.1	20.37	['SLCO2A1', 'SLCO2B1', 'SLCO3A1', 'SLCO4A1']
GOBP_DOPAMINE_SECRETION	1	0.24853466496595736	1.6765464732593032	0.1	60.17	['CHRNB2', 'CHRNA6', 'CXCL12', 'GABBR1', 'SYT8', 'SNCA', 'SYT9', 'SYT11', 'PINK1', 'RAB3A', 'ABAT', 'SYT7', 'SYT1', 'SYT17', 'SYT13', 'SYT15', 'SYT12', 'SNCG', 'DRD2']
