pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_VIRAL_LIFE_CYCLE	1	0.2493047431802489	1.4022229879397634	1.0	33.35	['PPIH', 'SCARB2', 'VAMP8', 'SLC3A2', 'FAM111A', 'ATG16L1', 'VPS37A', 'SLC52A1', 'NECTIN1', 'ATG16L2', 'CHMP1A', 'NUP153', 'IST1', 'N4BP1', 'CCNK', 'TMEM41B', 'CHMP4C', 'LRSAM1', 'PCBP2', 'SMARCB1', 'DEK', 'TRIM38', 'EIF2AK2', 'TRIM27', 'USP6NL', 'PDCD6IP', 'MVB12A', 'EFNB3', 'PIK3C2G', 'NECTIN4', 'MORC2', 'DDX6', 'SRPK2', 'APOBEC3G', 'ISG20', 'PPIA', 'ANPEP', 'DAG1', 'NPC1', 'ZNF639', 'RPSA', 'TMPRSS2', 'PARP10', 'LY6E', 'TRIM26', 'NECTIN2', 'P4HB', 'GRK2', 'CHMP1B', 'VPS18', 'APOBEC3D', 'ITGB6', 'MITD1', 'CTBP2', 'TRIM28', 'TARBP2', 'KPNA6', 'TRIM62', 'SPCS1', 'CHMP7', 'SETDB1', 'WWP2', 'PHB', 'PDE12', 'TRIM14', 'CNOT7', 'CD46', 'ATG5', 'SLC52A2', 'RAB5A', 'ITGA2', 'PI4KA', 'ARL8B', 'VPS28', 'TRIM22', 'PKN2', 'CTBP1', 'FMR1', 'PPIE', 'VTA1', 'NUCKS1', 'TRIM59', 'ZNF502', 'SLPI', 'ADAR', 'STAU1', 'HSP90AB1', 'TNFRSF14', 'RAB1B', 'ILF3', 'CHMP4B', 'LTF', 'PPIB', 'RAB43', 'SRPK1', 'HACD3', 'VPS37C', 'ITCH', 'VPS37D', 'MPHOSPH8', 'XPR1', 'EIF2AK4', 'IFIH1', 'VPS37B', 'FBXL2', 'CXADR', 'PIKFYVE', 'TMEM39A', 'DDB1', 'TRIM11', 'YTHDC2', 'TRIM5', 'CHMP6', 'APOBEC3F', 'VPS4B', 'TOP2B']
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.24920189442288182	1.4024902249309055	1.0	56.18	['DHODH', 'NME2', 'NME6', 'DCTD', 'TYMP', 'UCK2', 'TDG', 'NME3', 'NME2P1', 'AK5', 'CAD', 'NTHL1', 'UCK1', 'NT5C3A', 'CTPS2', 'SLC19A3', 'DCTPP1', 'TYMS', 'CDADC1', 'THTPA', 'APOBEC3G', 'TET1', 'DHFR2', 'AK3', 'UMPS', 'APOBEC3C', 'TET2', 'DCK', 'DTYMK', 'ENTPD4', 'NEIL1', 'UCKL1', 'NT5C', 'CRMP1', 'APOBEC3B', 'MBD4', 'TET3', 'ERH', 'UPRT', 'MTOR', 'MAPK1', 'NEIL2', 'NME5', 'TBPL1', 'NME1', 'APOBEC3D', 'TK1', 'CTPS1', 'APOBEC3F', 'ENTPD7', 'SMUG1', 'DPYD', 'NME7']
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	1	0.24884969995918232	1.4029916523592731	1.0	43.14	['HDAC2', 'CCDC115', 'ATP6V0D1', 'ATP6AP1', 'ATP6V0A2', 'FAS', 'CAT', 'MT-ATP6', 'PDPN', 'TXNRD2', 'POLB', 'ATG7', 'ATP6V1G1', 'ATP6V1A', 'TMEM199', 'BNIP3']
GOBP_MIDBODY_ABSCISSION	1	0.24807924200255593	1.4039540806847786	1.0	60.59	['CHMP3', 'CHMP5', 'CHMP4B', 'CHMP4C', 'CHMP1B', 'CHMP7', 'PDCD6IP', 'CHMP6', 'CHMP4A', 'VPS4B', 'CHMP1A', 'MITD1', 'CHMP2A', 'CHMP2B', 'VPS4A']
GOBP_MICROVILLUS_ASSEMBLY	1	0.24802502976055316	1.404166724247882	1.0	36.47	['RAP1GAP', 'RAPGEF2', 'KLF5', 'STK26', 'PLD1', 'ESPN', 'RAPGEF6', 'MINK1', 'TNIK', 'PODXL', 'ATP8B1', 'EZR', 'SLC9A3R1']
GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.24800338663881016	1.4045057683887263	1.0	51.56	['UBE2N', 'NOD2', 'PTPN22', 'GPS2', 'OTUB2', 'DDX3X', 'UBE2V1', 'BIRC2', 'PPIA', 'SASH1', 'NMI', 'TRIM44', 'PARP10', 'OTUB1', 'FBXO4', 'PLAA', 'RNF40', 'XIAP', 'UBR5', 'TRIP12']
GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	1	0.24793544776582566	1.4044053169202388	1.0	43.24	['ZFYVE28', 'SEMA4D', 'PTPN2', 'SFRP1', 'CBLB', 'PPP2CA', 'SH3BP5L', 'RACK1', 'CBLC', 'PRKCZ', 'CBL', 'SOCS4', 'CADM4', 'IBTK', 'TSG101', 'LRRK1', 'SRCIN1', 'MVP', 'PTK6', 'NCAPG2', 'PIBF1', 'INPP5F', 'PARP14', 'CHMP6', 'VPS25', 'SOCS5', 'PPP2R1A', 'NF2', 'PSEN1', 'PTPN6', 'ZGPAT']
GOBP_RESPONSE_TO_INDOLE_3_METHANOL	1	0.24572032511762693	1.406877440734122	1.0	4.48	['CDH1', 'JUP', 'CTNNB1']
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	1	0.24564672858788225	1.4071210888030827	1.0	18.13	['SLC4A5', 'FJX1', 'ACTL6A', 'XRN2', 'PROM1', 'ZHX2', 'OBSL1', 'RDH13', 'RPGRIP1L', 'AHI1', 'IMPDH2', 'TOPORS', 'CASP2', 'TGIF2', 'NECTIN1', 'BBS4', 'TTLL5', 'TFAP2A', 'TTC8', 'BAX', 'TFAP2B', 'ZNF513', 'SOX9', 'CLCN2', 'SDK2', 'ATP2B1', 'SMARCA4', 'NPHP4', 'PDE6B', 'MED1', 'CHD7', 'TBC1D32', 'USP45', 'MDM1']
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SINGLE_STRAND_ANNEALING	1	0.24546751548064222	1.4074571412650985	1.0	41.96	['SLX1A', 'SLX4', 'RNF138', 'SLX1B', 'RBBP8', 'RAD52']
