pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_BETA_ALANINE_METABOLISM	2	0.24055545206750936	-1.3789854721055028	0.2	25.14	['HADHA', 'ALDH3A2', 'EHHADH', 'AOC3', 'ALDH1B1', 'HIBCH', 'ECHS1', 'SRM', 'AOC2', 'ALDH2']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.24028166596947367	-1.4515087439535712	0.1	67.14	['ST3GAL6', 'B4GALT1', 'B4GALT4', 'ST8SIA1', 'FUT3', 'GCNT2', 'FUT7', 'FUT2', 'B4GAT1', 'FUT6', 'ST3GAL4', 'B3GALT5', 'B4GALT3', 'FUT5', 'B3GNT5', 'B3GNT3', 'B4GALT2', 'ABO', 'B3GNT2', 'B3GNT4', 'FUT9', 'FUT4']
KEGG_P53_SIGNALING_PATHWAY	1	0.23295032237420604	1.4095528659834113	0.1	49.31	['DDB2', 'EI24', 'BID', 'BBC3', 'SFN', 'RCHY1', 'ZMAT3', 'PPM1D', 'STEAP3', 'TP53', 'APAF1', 'CD82', 'MDM2', 'TNFRSF10B', 'SHISA5', 'CHEK1', 'TSC2', 'CCNE2', 'MDM4', 'SESN3', 'CCNB1', 'CDK4', 'FAS', 'CCNG1', 'CHEK2', 'CASP3', 'ADGRB1', 'BAX', 'PERP', 'ATR', 'CASP9', 'CCNG2', 'CCND3', 'CDK2', 'TP53AIP1', 'CASP8', 'SERPINB5', 'TP73', 'PIDD1', 'TP53I3', 'CDK6', 'ATM', 'SIAH1']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	2	0.23225637457370485	-1.3484409342987864	0.2	3.88	['CD3G', 'ICOS', 'GRAP2', 'IFNG', 'PRKCQ', 'PPP3CC', 'PIK3R5', 'CD28', 'CD4', 'CD40LG', 'ITK', 'LCP2', 'PTPRC', 'CD247', 'CTLA4', 'PDCD1']
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	2	0.2255989189512858	-1.3565274231815825	0.2	60.83	['AQP1', 'PCK2', 'CA2', 'PCK1', 'ATP1B2', 'MDH1', 'GLS', 'CA4', 'SLC25A10', 'SLC38A3', 'SLC4A4', 'SLC9A3', 'ATP1A4', 'GLUD1', 'ATP1B3', 'GLUD2', 'ATP1A3', 'ATP1A2']
KEGG_COLORECTAL_CANCER	5	0.22401328108516944	1.396945606018496	0.5	59.852	['ARAF', 'GSK3B', 'BCL2', 'MSH2', 'TCF7L2', 'LEF1', 'SMAD2', 'TGFBR1', 'RALGDS', 'MAPK8', 'CTNNB1', 'TCF7', 'PIK3R2', 'MAPK9', 'TP53', 'CCND1', 'PIK3R3', 'BAD', 'KRAS', 'RAC1', 'MAPK10', 'MAP2K1', 'MAPK1', 'MSH6', 'BRAF', 'APC', 'PIK3R1', 'SMAD3', 'RAC2', 'SMAD4', 'CASP3', 'RAC3', 'PIK3CD', 'MLH1', 'TGFB3', 'PIK3CA', 'BAX', 'MYC', 'TCF7L1', 'AKT3', 'PIK3CG', 'MSH3', 'APPL1', 'PIK3CB', 'TGFB1', 'AKT1', 'TGFB2', 'RAF1', 'AXIN1', 'CASP9']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	3	0.222123887489998	-1.3657197021406613	0.3	35.126666666666665	['ST3GAL1', 'B3GNT7', 'B4GAT1', 'CHST1', 'CHST4', 'B4GALT2', 'CHST2', 'ST3GAL3', 'ST3GAL2', 'CHST6']
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	2	0.2212271737516897	1.396736894341983	0.2	61.519999999999996	['CMAS', 'UGP2', 'CYB5R3', 'HEXB', 'NANS', 'PMM2', 'UGDH', 'GALK2', 'GNPDA1', 'NANP', 'RENBP', 'HK2', 'GMDS', 'HEXA', 'GNPNAT1', 'GALT', 'GNE', 'FPGT', 'HK1', 'GMPPA', 'PGM1', 'AMDHD2', 'PGM3', 'GNPDA2', 'PGM2', 'GALE', 'UXS1', 'GPI', 'NAGK', 'GFPT1', 'GALK1', 'GMPPB']
KEGG_BUTANOATE_METABOLISM	3	0.22122023768339805	-1.3678677479849781	0.3	47.406666666666666	['HADHA', 'EHHADH', 'PDHA1', 'AKR1B10', 'ECHS1', 'HADH', 'ACSM1', 'ALDH3A2', 'ACSM3', 'ACADS', 'HMGCS2', 'ALDH1B1', 'BDH1', 'PDHB', 'ALDH9A1', 'ACAT2', 'HMGCL', 'AACS', 'OXCT1', 'HMGCS1', 'ALDH5A1', 'L2HGDH']
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2	0.22110657406176099	-1.447667862185742	0.2	59.53	['FADS2', 'PLA2G10', 'PLA2G4B', 'ACOX3', 'PLA2G4A', 'ACOX1', 'PLA2G6', 'PLA2G3', 'PLA2G2A', 'PLA2G12A', 'JMJD7-PLA2G4B', 'PLA2G2D']
KEGG_GALACTOSE_METABOLISM	1	0.21969957820435568	1.4194124520877658	0.1	36.01	['B4GALT1', 'GALK2', 'PGM2', 'UGP2', 'GALE', 'GAA', 'HK1', 'PFKL', 'GLB1', 'GALK1', 'PFKP', 'GANC', 'PGM1']
KEGG_LINOLEIC_ACID_METABOLISM	2	0.21764161941152493	-1.3870010101963202	0.2	44.16	['PLA2G10', 'PLA2G4A', 'PLA2G5', 'ALOX15', 'PLA2G3', 'PLA2G6', 'PLA2G2A', 'AKR1B10', 'CYP2C8', 'PLA2G2D', 'CYP2E1']
KEGG_FOLATE_BIOSYNTHESIS	5	0.21294693045699606	-1.4030013397103938	0.5	49.706	['SPR', 'PTS', 'ALPL', 'QDPR', 'FPGS', 'DHFR', 'GCH1', 'GGH']
KEGG_TYPE_II_DIABETES_MELLITUS	1	0.2105099763929761	1.878335610609504	0.1	43.16	['SOCS4', 'IRS1', 'MAPK9', 'MAPK8', 'PIK3R2', 'PIK3R3', 'SOCS2', 'PRKCZ', 'MTOR', 'PRKCD', 'MAPK1', 'PIK3R1', 'IKBKB', 'SLC2A4', 'MAPK3', 'TNF', 'CACNA1C', 'PIK3CD', 'CACNA1D', 'PIK3CG', 'PIK3CB', 'PRKCE', 'SOCS3', 'SOCS1', 'KCNJ11']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.20987922472139098	-1.534513877437632	0.1	45.86	['CHSY3', 'CSGALNACT1', 'B3GAT1', 'B3GALT6', 'CSGALNACT2', 'CHST15', 'CHPF2', 'XYLT2', 'CHPF', 'UST', 'CHST14', 'XYLT1', 'B4GALT7', 'B3GAT3', 'CHST7', 'CHST12']
KEGG_MTOR_SIGNALING_PATHWAY	3	0.20831170227592588	1.4148655834568054	0.3	37.029999999999994	['STRADA', 'STK11', 'TSC1', 'PIK3R2', 'RPS6KB1', 'MTOR', 'RPTOR', 'TSC2', 'PRKAA1', 'MLST8', 'MAPK1', 'RPS6KA6', 'BRAF', 'VEGFB', 'PIK3R1', 'EIF4E', 'RICTOR', 'ULK1', 'PIK3CD', 'RPS6', 'RPS6KA1', 'ULK3', 'RPS6KB2', 'PDPK1', 'PIK3CB', 'AKT1', 'HIF1A']
KEGG_INSULIN_SIGNALING_PATHWAY	3	0.2076168860738952	1.4186156679613189	0.3	58.63666666666666	['PRKACB', 'PRKAR1B', 'IRS1', 'MAPK9', 'MAP2K2', 'CBLB', 'PHKB', 'TSC2', 'PRKAA1', 'FLOT2', 'MAPK1', 'PYGB', 'PCK1', 'CALM1', 'PPP1R3B', 'INPP5D', 'CRKL', 'HK1', 'RHOQ', 'CALM2', 'PPP1R3D', 'RPS6KB2', 'PDE3A', 'SOS1', 'LIPE', 'PRKCI', 'PPP1CC', 'SOCS4', 'PRKAR2B', 'PTPRF', 'PIK3R2', 'NRAS', 'PHKG2', 'BAD', 'BRAF', 'EXOC7', 'CALML5', 'PIK3R1', 'SHC1', 'CBL', 'CALM3', 'PRKAA2', 'AKT3', 'PIK3CG', 'PDPK1', 'PYGM', 'INSR', 'INPP5K', 'PTPN1', 'PRKAB1', 'SREBF1', 'SORBS1', 'MAPK8', 'FBP1', 'PIK3R3', 'RPS6KB1', 'CALML3', 'PRKCZ', 'MTOR', 'RPTOR', 'CRK', 'HK2', 'MAP2K1', 'HRAS', 'IKBKB', 'SLC2A4', 'PIK3CA', 'PPP1CA', 'PIK3CB', 'GRB2', 'RAF1', 'PRKX', 'PPP1CB', 'GSK3B', 'PRKAR1A', 'PHKA1', 'TSC1', 'ELK1', 'SHC2', 'KRAS', 'MAPK10', 'PRKAR2A', 'SOS2', 'EIF4E', 'SHC4', 'PIK3CD', 'RPS6', 'ACACB', 'PYGL', 'PDE3B', 'FLOT1', 'AKT1', 'CBLC']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.20512158206917416	1.40619180968316	0.1	45.27	['DNMT3B', 'GOT2', 'MAT2B', 'DNMT3A', 'DNMT1', 'TRDMT1', 'CDO1', 'AHCY', 'MAT2A', 'MTAP', 'IL4I1', 'SRM', 'TAT', 'MTR', 'AHCYL1', 'ENOPH1', 'MAT1A', 'AHCYL2', 'SMS', 'AMD1']
KEGG_ACUTE_MYELOID_LEUKEMIA	2	0.2033480942567636	1.4321612834911406	0.2	50.395	['CHUK', 'ARAF', 'TCF7L2', 'LEF1', 'RARA', 'TCF7', 'NRAS', 'PIK3R2', 'STAT3', 'MAP2K2', 'CCND1', 'PIK3R3', 'RPS6KB1', 'BAD', 'IKBKG', 'KRAS', 'MTOR', 'RUNX1', 'CEBPA', 'MAP2K1', 'JUP', 'MAPK1', 'BRAF', 'RELA', 'HRAS', 'PIK3R1', 'SOS2', 'IKBKB', 'KIT', 'PIM2', 'FLT3', 'PIK3CD', 'PIK3CA', 'TCF7L1', 'MYC', 'AKT3', 'PIK3CG', 'PML', 'RPS6KB2', 'PPARD', 'PIK3CB', 'AKT1', 'GRB2', 'CCNA1', 'RAF1', 'NFKB1', 'SOS1']
KEGG_INOSITOL_PHOSPHATE_METABOLISM	2	0.2008704669537639	1.4289022619037761	0.2	55.144999999999996	['INPP4B', 'OCRL', 'PIP5K1C', 'PLCG1', 'PLCE1', 'INPP5J', 'PIP4K2A', 'IPPK', 'PIKFYVE', 'INPP4A', 'IPMK', 'SYNJ2', 'IMPA1', 'MINPP1', 'PLCD1', 'INPP5B', 'PIK3C3', 'INPP5E', 'ISYNA1', 'PIP5K1A', 'PLCB3', 'PLCB1', 'PIP5K1B', 'PIK3CD', 'INPPL1', 'PIK3CA', 'PIP4K2C', 'PIK3C2G', 'SYNJ1', 'PIK3C2A', 'ITPK1', 'PLCB4', 'PIK3CB', 'PI4KB', 'PI4KA', 'PIP4K2B', 'INPP1', 'INPP5K']
KEGG_GLYCEROLIPID_METABOLISM	2	0.19980928369933898	-1.4536821920079954	0.2	12.42	['LPL', 'ALDH3A2', 'DGKI', 'GPAM', 'AGPAT2', 'ALDH1B1', 'AKR1B1', 'DGAT2', 'PLPP1', 'PLPP3', 'MGLL', 'AGPAT3', 'PNPLA3']
KEGG_MELANOMA	1	0.19893614183194655	-1.3937781403341223	0.1	42.31	['CDKN2A', 'ARAF', 'FGF11', 'AKT2', 'MITF', 'PDGFB', 'PDGFRB', 'CCND1', 'FGF12', 'FGF7', 'MET', 'PIK3R3', 'PDGFD', 'PIK3R5', 'MAP2K1', 'CDKN1A', 'PTEN', 'FGF14', 'MAPK3', 'FGF10', 'E2F1', 'FGFR1', 'PIK3CA', 'IGF1', 'AKT3', 'FGF16', 'FGF13', 'HGF', 'FGF2', 'PIK3CG', 'E2F2', 'FGF18', 'PDGFRA', 'PDGFC']
KEGG_ABC_TRANSPORTERS	2	0.19274679726461583	-1.398571746832054	0.2	69.425	['ABCA9', 'ABCC12', 'TAP1', 'ABCD4', 'ABCC11', 'ABCB7', 'ABCC1', 'ABCG1', 'ABCA1', 'ABCB10', 'ABCG2', 'ABCC6', 'ABCA5', 'TAP2', 'ABCA8', 'ABCC8', 'ABCA12', 'ABCB6', 'ABCC5', 'ABCA7', 'ABCA3', 'ABCD2', 'ABCA10', 'ABCC2', 'ABCC3', 'ABCA4', 'ABCA6', 'ABCC9', 'ABCB8', 'ABCD1', 'ABCC4', 'ABCA2']
KEGG_HUNTINGTONS_DISEASE	3	0.18796446329486993	0.8479485723198418	0.3	32.14333333333333	['NDUFS4', 'NDUFB3', 'COX4I2', 'NDUFA3', 'UQCRC1', 'VDAC2', 'SLC25A4', 'COX7C', 'NDUFA2', 'UQCRFS1', 'PPARGC1A', 'HDAC1', 'CLTCL1', 'COX8A', 'NDUFB4', 'NDUFA10', 'UQCRH', 'NDUFB8', 'CREB5', 'UCP1', 'SOD1', 'POLR2A', 'NDUFA8', 'POLR2K', 'NDUFA5', 'POLR2L', 'TAF4', 'DNAI1', 'SOD2', 'NDUFB5', 'POLR2J', 'NDUFA1', 'NDUFB10', 'NDUFC2', 'SDHC', 'CYC1', 'DNAL1', 'CREB3L1', 'TGM2', 'UQCRQ', 'TBP', 'MT-CO3', 'NDUFB6', 'SDHB', 'NDUFS8', 'UQCRB', 'COX6A1', 'AP2A1', 'CYCS', 'SIN3A', 'NRF1', 'POLR2B', 'NDUFB2', 'NDUFAB1', 'POLR2C', 'NDUFV2', 'PLCB2', 'NDUFA4', 'UQCRC2', 'DCTN2', 'NDUFV3', 'POLR2E', 'PPID', 'NDUFS1', 'NDUFC1', 'UQCR11', 'NDUFB9', 'SDHA', 'NDUFA4L2', 'GPX1', 'COX6C', 'NDUFS7', 'POLR2J3', 'TBPL1', 'CREB1', 'POLR2J2', 'NDUFA9', 'MT-CO2', 'COX7A2L', 'VDAC3', 'VDAC1', 'SDHD', 'AP2A2', 'POLR2D', 'NDUFS2', 'NDUFA7', 'NDUFB1', 'NDUFS3', 'DNAH1', 'NDUFA6', 'COX5B', 'COX7A2', 'COX7B', 'COX6A2', 'TFAM', 'ITPR1', 'UQCRHL', 'PLCB4', 'TAF4B', 'NDUFS5', 'CASP9']
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2	0.18685074508199268	-1.4404397898825048	0.2	52.805	['TLR4', 'TUBB4B', 'FYN', 'PRKCA', 'TUBA3C', 'CLDN1', 'TUBA1B', 'RHOA', 'TUBB2A', 'NCL', 'TLR5', 'ARPC4', 'TUBA8', 'TUBB1', 'YWHAQ', 'TUBB4A', 'ROCK2', 'HCLS1', 'TUBB6', 'CDC42', 'ARPC3', 'TUBB3', 'TUBA1C', 'NCK1', 'ACTG1', 'WAS', 'ARPC1B', 'TUBA3E', 'CTTN', 'TUBAL3', 'YWHAZ', 'TUBA4A', 'TUBA1A', 'ARPC5L', 'TUBB2B', 'LY96', 'ARHGEF2', 'ARPC5', 'ARPC2', 'TUBB8', 'TUBA3D', 'ITGB1', 'ACTB', 'CDH1', 'WASL', 'ARPC1A', 'TUBB', 'ABL1', 'CD14']
KEGG_BASAL_CELL_CARCINOMA	5	0.18597894967501583	1.469678258253136	0.5	66.49199999999999	['GSK3B', 'BMP2', 'WNT5A', 'WNT4', 'TCF7L2', 'LEF1', 'FZD1', 'STK36', 'FZD4', 'CTNNB1', 'WNT10A', 'TCF7', 'TP53', 'FZD9', 'SUFU', 'FZD10', 'APC', 'DVL2', 'PTCH1', 'WNT6', 'FZD2', 'WNT3', 'FZD6', 'GLI2', 'WNT11', 'TCF7L1', 'WNT7B', 'WNT2B', 'FZD7', 'GLI3', 'DVL1', 'PTCH2', 'WNT5B', 'FZD8', 'FZD5', 'FZD3', 'AXIN1', 'DVL3', 'SMO']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2	0.18312149217208393	-1.4217031261366198	0.2	28.104999999999997	['ITGAM', 'THY1', 'CXCL12', 'PRKCA', 'MYL9', 'CLDN10', 'JAM2', 'RHOA', 'MAPK11', 'PECAM1', 'PLCG2', 'NCF1', 'MSN', 'MYL5', 'PIK3R5', 'MYL12A', 'RAP1A', 'NOX1', 'ITGB2', 'ITK', 'CYBB', 'MYL7', 'VCAM1', 'VCL', 'CLDN23', 'MMP2', 'GNAI2', 'CLDN9', 'RAP1B', 'CLDN14', 'CLDN15', 'PRKCB', 'MMP9', 'NCF4', 'ACTN2', 'VAV1', 'NCF2', 'CLDN5', 'ESAM', 'ITGB1', 'RAPGEF3', 'CD99', 'PTPN11', 'ICAM1', 'MAPK12', 'CLDN22']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3	0.1749032948885857	1.4779526637585978	0.3	59.80666666666667	['IRS1', 'RPS6KA5', 'MAPK9', 'GAB1', 'MAP2K2', 'MAPK13', 'RAC1', 'MAPK1', 'CALM1', 'MAPK7', 'CRKL', 'PSEN1', 'BAX', 'CALM2', 'RPS6KA3', 'NFKBIB', 'FOXO3', 'NFKB1', 'SOS1', 'YWHAB', 'BCL2', 'PIK3R2', 'NRAS', 'NFKBIE', 'BAD', 'CDC42', 'NTRK2', 'BRAF', 'IRAK4', 'CALML5', 'NGFR', 'PIK3R1', 'SHC1', 'CALM3', 'PRDM4', 'RPS6KA1', 'YWHAG', 'MAP3K1', 'PIK3CG', 'MAGED1', 'NTF4', 'PDPK1', 'CAMK2B', 'ARHGDIB', 'PLCG1', 'SORT1', 'MAPK8', 'RPS6KA4', 'CALML3', 'CAMK4', 'CRK', 'MAP2K1', 'RPS6KA6', 'MAP2K5', 'RELA', 'KIDINS220', 'HRAS', 'IKBKB', 'PIK3CA', 'SH2B1', 'YWHAE', 'PIK3CB', 'TP73', 'GRB2', 'RAF1', 'ABL1', 'GSK3B', 'CSK', 'ARHGDIA', 'SHC2', 'RIPK2', 'TP53', 'YWHAQ', 'NTF3', 'MAPKAPK2', 'KRAS', 'MAPK10', 'SOS2', 'FRS2', 'SHC4', 'MAP2K7', 'PIK3CD', 'TRAF6', 'ZNF274', 'IRAK1', 'AKT1', 'MAPK14', 'BEX3']
KEGG_RENAL_CELL_CARCINOMA	1	0.17365403959023037	-1.5992970849517085	0.1	58.13	['PAK1', 'EP300', 'EPAS1', 'TGFA', 'ETS1', 'GAB1', 'FH', 'NRAS', 'MET', 'CUL2', 'CREBBP', 'MAP2K2', 'PIK3R3', 'CDC42', 'ELOB', 'PIK3R5', 'KRAS', 'VHL', 'RAP1A', 'RAC1', 'PAK6', 'VEGFB', 'VEGFC', 'BRAF', 'HRAS', 'SOS2', 'VEGFD', 'RBX1', 'PAK2', 'RAP1B', 'EGLN3', 'PIK3CA', 'TGFB3', 'SLC2A1', 'HGF', 'EGLN2', 'PIK3CG', 'PAK4', 'EGLN1', 'PGF', 'TGFB1', 'PTPN11', 'RAPGEF1', 'AKT1', 'TGFB2', 'GRB2', 'HIF1A', 'PAK5', 'FLCN', 'ARNT', 'ELOC', 'SOS1']
KEGG_TYROSINE_METABOLISM	5	0.16666494826277728	-0.41146541758205435	0.5	45.908	['MIF', 'GOT2', 'GOT1', 'MAOA', 'HGD', 'ALDH1A3', 'ADH1C', 'LCMT1', 'ADH5', 'ALDH3A1', 'FAH', 'PNMT', 'TYRP1', 'IL4I1', 'TRMT11', 'METTL6', 'AOC3', 'ADH1A', 'LCMT2', 'ALDH3B1', 'AOX1', 'TAT', 'ADH1B', 'METTL2B', 'HEMK1', 'GSTZ1', 'AOC2', 'COMT', 'ALDH3B2']
KEGG_MAPK_SIGNALING_PATHWAY	2	0.16392930384633259	-1.4598472384152115	0.2	51.489999999999995	['CHP1', 'PLA2G4A', 'PRKACB', 'PRKACA', 'AKT2', 'HSPA8', 'MAP3K8', 'MAPK9', 'PDGFRB', 'CACNA2D3', 'GNG12', 'RASGRP4', 'DUSP7', 'MAP4K4', 'RASGRP3', 'MAP4K1', 'TGFBR2', 'MAPK7', 'NGF', 'DUSP9', 'PLA2G3', 'FGFR1', 'HSPA1B', 'MAPKAPK3', 'RRAS', 'NR4A1', 'RPS6KA3', 'HSPA1L', 'PPM1B', 'DDIT3', 'PDGFRA', 'SOS1', 'FGF11', 'CACNG1', 'RRAS2', 'DUSP6', 'MAP3K3', 'MAPK11', 'DUSP5', 'DUSP14', 'RASGRF1', 'FGF12', 'DUSP10', 'CDC42', 'NFATC4', 'NTRK2', 'MAP3K6', 'MAP2K3', 'MRAS', 'MAPK3', 'CACNA1H', 'DUSP8', 'MEF2C', 'GADD45A', 'HSPA6', 'CACNA2D4', 'AKT3', 'TGFB3', 'FGF13', 'PPP3CB', 'HSPB1', 'CDC25B', 'GADD45G', 'PPP3CC', 'IL1R1', 'TGFB1', 'MAP3K20', 'MAP2K6', 'DUSP2', 'ATF4', 'TNFRSF1A', 'MAP3K12', 'ARRB1', 'PDGFB', 'FGFR3', 'MKNK1', 'GADD45B', 'FGF7', 'PLA2G2D', 'HSPA2', 'CACNB2', 'PLA2G5', 'FOS', 'RAP1A', 'NFATC2', 'MAP2K1', 'CRK', 'PLA2G6', 'SRF', 'MAP2K5', 'MAP3K5', 'STMN1', 'CACNA1I', 'JUND', 'RAP1B', 'FGFR4', 'TNF', 'DUSP1', 'PRKCB', 'FGF2', 'PLA2G10', 'CACNG6', 'JUN', 'TGFB2', 'MAPK12', 'GRB2', 'PPP3R1', 'TAOK2', 'RPS6KA2', 'ARRB2', 'RASGRP2', 'PRKCA', 'DUSP4', 'IL1R2', 'FLNA', 'MECOM', 'MAPT', 'NTF3', 'CACNA2D1', 'MAPKAPK2', 'PTPN7', 'IKBKG', 'MAPK10', 'EGFR', 'FLNC', 'CACNB1', 'RASGRF2', 'FGF14', 'RAC3', 'FGF10', 'MYC', 'FGF16', 'FASLG', 'HSPA1A', 'MKNK2', 'IL1B', 'FGF18', 'PLA2G2A', 'MAPK14', 'GNA12', 'DUSP3', 'CD14']
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	3	0.16244809380809702	-1.4603659607791364	0.3	36.669999999999995	['ITGB5', 'PRKAB2', 'CACNG1', 'DMD', 'ACE', 'ITGB3', 'SGCD', 'TNNC1', 'IL6', 'ITGA8', 'CACNA2D3', 'CACNA2D1', 'CACNB2', 'ITGA9', 'ITGA4', 'ITGB7', 'TPM1', 'CACNB1', 'PRKAG1', 'ITGA1', 'TNNI3', 'TPM2', 'ITGA11', 'TPM3', 'TNF', 'MYL3', 'ATP2A2', 'IGF1', 'CACNA2D4', 'PRKAA2', 'TGFB3', 'PRKAG2', 'SLC8A1', 'LMNA', 'ITGA5', 'CACNG6', 'SGCB', 'DES', 'ITGB1', 'ACTB', 'LAMA2', 'TGFB1', 'SGCA', 'TGFB2']
KEGG_NITROGEN_METABOLISM	2	0.1622645490928539	1.9742096935894298	0.2	38.64	['GLUL', 'CA2', 'CA13', 'CA3', 'CA14', 'CPS1', 'CA5B', 'CA8', 'ASNS', 'CA9', 'CA12', 'CTH', 'GLS2', 'GLUD1', 'GLUD2']
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	5	0.15599946030155162	1.5252826937418484	0.5	36.75	['CHUK', 'OTUD5', 'ATG5', 'MAPK8', 'IRF3', 'IFIH1', 'TKFC', 'MAPK13', 'MAPK10', 'DDX58', 'RELA', 'CYLD', 'IKBKE', 'IRF7', 'PIN1', 'IKBKB', 'TANK', 'SIKE1', 'DDX3X', 'TRAF2', 'MAP3K1', 'TRAF6', 'TBK1', 'TRADD', 'CASP8', 'FADD', 'MAP3K7', 'NFKBIB', 'NFKB1', 'DHX58']
KEGG_LIMONENE_AND_PINENE_DEGRADATION	2	0.1532540821948265	-1.5424254995615685	0.2	25.185000000000002	['HADHA', 'ALDH3A2', 'EHHADH', 'YOD1', 'ALDH1B1', 'ECHS1', 'ALDH2']
KEGG_ONE_CARBON_POOL_BY_FOLATE	2	0.1517579455893154	1.9975117952586963	0.2	30.9	['ALDH1L1', 'MTHFR', 'MTHFS', 'TYMS', 'MTHFD2L', 'ATIC', 'MTHFD1', 'SHMT2', 'GART', 'MTHFD2', 'MTFMT', 'MTHFD1L', 'DHFR', 'SHMT1']
