pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION	1	0.24943879566826144	-1.4426929483139008	1.0	53.93	['PTEN', 'SH2D3C', 'TXN', 'PWP1', 'SNCA', 'HCLS1', 'BCAR3', 'MAPKAP1', 'PLCL2', 'HRC', 'INPP5K', 'PLCL1', 'CREBL2', 'SMAD7', 'CAMK1', 'OPRD1', 'TERF2IP', 'WNT5A', 'DKK1', 'UCN', 'ANGPT1', 'MTCP1', 'PINK1', 'OSM', 'RAPGEF3', 'PIK3CA', 'LIF', 'VEGFA', 'FNIP2', 'DDIT4', 'HAX1', 'GAS6', 'SPTBN4', 'DMTN', 'PFN2', 'NTF3', 'GGNBP2', 'HGF', 'RET', 'FNIP1', 'PDE4D', 'SFRP2', 'ATP2B4', 'STOX1', 'BCL2', 'CAV1', 'GPD1L', 'SPRY2', 'GADD45A', 'TNF', 'ARAF', 'PPM1F', 'PTGS2', 'PARK7', 'NTRK2', 'EIF4G1', 'NCK1', 'TFRC', 'EGFR', 'IL11', 'BAG4', 'DMD', 'IL6', 'RAMP3', 'TCL1A', 'RASSF2', 'TRIM6', 'BDKRB2', 'TGFB1', 'ARRB2', 'NTRK3', 'PRKD1', 'NGF', 'IFNG']
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION	1	0.24903618079791334	-1.4432452639085147	1.0	58.14	['MIR214', 'ERRFI1', 'MIR25', 'ATP2B4', 'LMNA', 'FOXO1', 'SMAD3', 'PPARG']
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	1	0.24891039973982143	-1.4435360221816216	1.0	68.44	['PKD2', 'CALM3', 'CASQ2', 'FKBP1B', 'TMBIM6', 'GSTM2', 'BCL2', 'GSTO1', 'SRI', 'CALM2', 'EPO', 'CLIC2', 'CALM1', 'FKBP1A']
GOBP_REGULATION_OF_ACTION_POTENTIAL	1	0.2481351988213077	1.4006375573472345	1.0	12.82	['FMR1', 'DSC2', 'CXADR', 'NOS1AP', 'AKAP9', 'DSG2', 'TMEM161B', 'JUP', 'TRPM4', 'SLC9A1', 'CACNB3', 'DSP', 'CACNA1C']
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	1	0.24788884203379563	1.4010580734386566	1.0	14.89	['TSEN34', 'TSEN54', 'ERN1', 'TSEN2', 'RTCB']
GOBP_GENITALIA_MORPHOGENESIS	1	0.247879600141022	1.4012328320315939	1.0	13.61	['SYCP2', 'ROR2', 'NIPBL', 'CTNNB1', 'TP63']
GOBP_CELLULAR_RESPONSE_TO_HYDROPEROXIDE	1	0.24763187093519318	-1.4450652815706169	1.0	58.86	['TP53INP1', 'CD36', 'OXR1', 'AIF1', 'DAPK1', 'MGST1', 'PRKD1', 'PRKCD']
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	1	0.24746105394763793	-1.4450440860506328	1.0	29.85	['CD177', 'STAP1', 'SPI1', 'HLA-E', 'TYROBP', 'ITGAM', 'ITGB2', 'DDX1', 'C3', 'BTK', 'PTAFR']
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.2474568180437869	1.4020835685120676	1.0	37.59	['OPA1', 'PTPN2', 'TMBIM6', 'MUC1', 'PYCARD', 'RACK1', 'ARMC10', 'BBC3', 'PTTG1IP', 'NFE2L2', 'IVNS1ABP', 'STYXL1', 'BECN1', 'RPS7', 'BAG5', 'MAPK8IP1', 'UBQLN1', 'USP47', 'SRC', 'RPL26', 'BCL2L10', 'PLAGL2', 'DDX3X', 'CD44', 'XBP1', 'ELL3', 'NCK2', 'SIAH1', 'CCAR2', 'PPIA', 'HYOU1', 'EIF2AK3', 'KDM1A', 'FIGNL1', 'BAX', 'ERP29', 'TP53', 'RPS3', 'CREB3', 'NOC2L', 'HIF1A', 'ENO1', 'AKT1', 'PTPN1', 'BCL2L1', 'BAD', 'CYLD', 'PARP1', 'DNM1L', 'RNF183', 'BCL2L11', 'RAD9A', 'SLC9A3R1', 'ATAD5', 'TMEM161A', 'URI1', 'NONO', 'NME5', 'P4HB', 'HNRNPK', 'FBXW7', 'IL20RA', 'SIRT1', 'NKX3-1', 'HDAC1', 'PIK3CB', 'SYVN1', 'MIF', 'SFPQ', 'BCLAF1', 'PIAS4', 'PTPMT1', 'HELLS', 'EIF5A', 'TRIM32']
GOBP_PLATELET_MORPHOGENESIS	1	0.24744094965262792	1.4024036423679702	1.0	46.9	['EP300', 'WDR1', 'NBEAL2', 'CASP3', 'ZFPM1', 'VPS33A', 'SRF', 'CIB1', 'C1GALT1C1', 'CASP9', 'ACTN1', 'MYH9', 'PRKDC', 'PTPN6']
GOBP_TYROSINE_CATABOLIC_PROCESS	1	0.2473925886400296	1.401841650668145	1.0	50.56	['IL4I1', 'FAH', 'GSTZ1', 'TAT', 'HGD']
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1	0.24738688937326986	1.401991971167024	1.0	36.84	['SRP68', 'SSR2', 'SEC61A1', 'SRP54', 'SEC61A2', 'SRPRA', 'SSR1', 'ZFAND2B', 'BHLHE40-AS1', 'SEC63', 'SRP72', 'SSR3', 'TRAM1L1', 'TRAM1', 'SRP19']
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1	0.24733277487874708	1.4023587708109149	1.0	36.84	['SRP68', 'SEC61A1', 'SRP54', 'SEC61A2', 'ZFAND2B', 'BHLHE40-AS1', 'SEC63', 'SRP72', 'SSR3', 'TRAM1L1', 'TRAM1', 'SRP19']
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	1	0.24610680157508757	1.4038846824247446	1.0	5.96	['DHX9', 'SYNCRIP', 'HNRNPU', 'HNRNPD']
GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS	1	0.24604969307429558	1.4040994937198363	1.0	42.04	['SHMT2', 'DHODH', 'APRT', 'HPRT1', 'GMPS', 'GART', 'CTPS1', 'PAICS', 'CAD', 'UMPS', 'PPAT', 'CTPS2', 'MTOR']
GOBP_RELAXATION_OF_MUSCLE	1	0.245345008714796	-1.4474335044145878	1.0	52.67	['SLC8A1', 'DCANP1', 'ATP1A2', 'GSTM2', 'SOD1', 'HRC', 'ABCC8', 'SRI', 'SLN', 'PIK3CA', 'TIFAB', 'PLN', 'PDE4D', 'P2RY1', 'ADORA2B', 'RGS2', 'CAMK2D', 'PRKG1', 'GSN', 'ATP2A1', 'ADORA1', 'KCNJ2']
GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS	1	0.24458726514380938	-1.4483006296543908	1.0	20.07	['CCR2', 'CXCL10', 'XCL2', 'STK39', 'CCL21', 'TNFSF14', 'CXCL13', 'S100A7']
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	1	0.24409417869707786	1.4061175541425472	1.0	47.19	['HDAC2', 'CAV1', 'CCDC115', 'ATP6V0D1', 'ATP6AP1', 'ATP6V0A2', 'CAT', 'FAS', 'MT-ATP6', 'PDPN', 'TXNRD2', 'POLB', 'ATG7', 'ATP6V1G1', 'ATP6V1A', 'TMEM199', 'BNIP3']
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	1	0.24404403342716965	-1.4489754173934541	1.0	17.93	['CD1B', 'B2M', 'HLA-E', 'CD1D', 'CD1C', 'HLA-G', 'CD1A']
GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	1	0.2435755579887745	1.4067952653747393	1.0	12.49	['TRIM28', 'SPINT2', 'SETD2', 'NCOA1', 'FGFR2', 'ZNF568', 'ST14', 'GRHL2', 'SPINT1']
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1	0.24312028067967661	-1.4500376951029963	1.0	29.86	['PDGFRB', 'SLC8A1', 'GATA4', 'ACTN2', 'TBX18', 'ACADM', 'PDGFRA', 'ADPRHL1', 'MEF2C', 'DKK1', 'TCAP', 'RGS4', 'ALPK2', 'VEGFA', 'SGCD', 'SIK1', 'MIR23A', 'PPARA', 'IGF1', 'CDK1', 'AKAP6', 'TBX5', 'PI16', 'ASB2', 'GREM1', 'MESP1', 'GATA6', 'BMP4', 'G6PD', 'AGT', 'SHOX2', 'MIR24-1', 'BVES', 'ITGB1', 'ARRB2', 'PROX1', 'NKX2-5', 'WT1', 'HAMP']
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS	1	0.242943389641184	-1.4503733069144213	1.0	35.18	['KLRK1', 'SMAD3', 'KLF2', 'TLR4', 'KLF4', 'JAK2', 'KLRC4-KLRK1', 'SOD2', 'EDN1', 'AIF1', 'TNF', 'PTGS2', 'PTX3', 'AGT', 'IL1B', 'CLU', 'CLEC7A', 'HBB', 'IFNG', 'TLR6']
GOBP_NEGATIVE_REGULATION_OF_BIOMINERALIZATION	1	0.24234162977968923	-1.4511121688286368	1.0	18.28	['CCL3', 'HEY1', 'ENPP1', 'NOS3', 'SRGN', 'ECM1', 'GREM1', 'NOTCH1', 'ASPN', 'CCR1']
GOBP_SENSORY_ORGAN_MORPHOGENESIS	1	0.24200098035687054	1.4084845403352788	1.0	11.04	['IFT172', 'SEC24B', 'NF1', 'PROM1', 'RDH13', 'PLS1', 'RPGRIP1L', 'FGFR2', 'AHI1', 'PTK7', 'SHROOM2', 'TOPORS', 'WHRN', 'SCRIB', 'NECTIN1', 'TFAP2A', 'TTC8', 'TFAP2B', 'SP3', 'ROR2', 'NIPBL', 'PHACTR4', 'SOX9', 'DVL2', 'SDK2', 'YY1', 'INTU', 'KDM2B', 'MYO6', 'PRKCI', 'HDAC2', 'FZD3', 'FZD6', 'TUG1', 'HDAC1', 'ABI2', 'CTNNB1', 'GATA3', 'CEP290', 'CHD7', 'LHFPL5']
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY	1	0.24189458603988695	-1.4516746445029776	1.0	47.36	['PTEN', 'PARK7', 'TIMP3', 'ATF3', 'MIR221']
GOBP_REGULATION_OF_HELICASE_ACTIVITY	1	0.24188841039693668	1.4087420127605206	1.0	24.66	['TP53', 'MSH2', 'MSH6', 'MCM2', 'POT1', 'SIRT1', 'CHTOP']
GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING	1	0.24182381215207815	1.4089605957550984	1.0	36.99	['DLG5', 'WWC1', 'LIMD1', 'WWC2', 'VGLL4', 'MARK3', 'WWC3', 'AJUBA', 'SHANK2']
GOBP_INSEMINATION	1	0.24172178333467478	-1.452028361772601	1.0	42.49	['AVPR1A', 'P2RX1', 'DDO', 'KLK14', 'SERPINE2', 'SLC6A4', 'TACR1', 'TAC1']
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.2416087303931103	-1.4523337468891144	1.0	28.81	['PRKCB', 'ITGB3', 'VEGFC', 'CLEC14A', 'HSPB1', 'FLT1', 'HHEX', 'TMEM204', 'VEGFA', 'FLT4', 'FOXC2', 'VTN', 'VEGFD', 'FGF18', 'VAV1', 'ITGA5', 'FGF10', 'AXL', 'SULF1', 'IL1B', 'KDR', 'PRKD1', 'MMRN2']
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	1	0.24134725198913162	1.4095924887196092	1.0	74.5	['DUSP12', 'PTPRU', 'EYA2', 'DUSP15', 'MTMR4', 'DUSP22', 'DUSP23', 'EYA3', 'PTPN13', 'PTPRB', 'PTPN23', 'PTPDC1', 'DUSP16', 'DUSP6', 'RNGTT', 'CDC14B', 'PTPN20', 'PTP4A1', 'SSH2', 'DUSP18', 'PPP2CA', 'MTMR14', 'DUSP19', 'CDC14C', 'DUSP2', 'PTPRM', 'MTMR6', 'PTPRZ1', 'ACP1', 'SSH3', 'PTPRG', 'PTPRA', 'DUSP7', 'PTPRT', 'CDC25A', 'MTMR1', 'PTPRJ', 'PTEN', 'TIMM50', 'PTPN21', 'CDC25B', 'PTPN18', 'PTPN4', 'PTPRS', 'DUSP9', 'PTPN3', 'PTPRF', 'MTMR3', 'SSH1', 'DUSP8', 'DUSP10', 'TNS2', 'MTMR2', 'PTPN9', 'PTPMT1', 'DUSP28', 'PTPN2', 'DUSP4', 'DUSP5', 'MTM1', 'PTPN22', 'CDC25C', 'DUSP11', 'EYA1', 'PTPRK', 'DUSP13', 'MTMR8', 'PTPN7', 'MTMR7', 'DNAJC6', 'PTPN1', 'PALD1', 'PGP', 'PTPRE', 'MDP1', 'UBASH3B', 'PTPN14', 'PTPN12', 'CDC14A', 'PTPN6']
GOBP_OXYGEN_TRANSPORT	1	0.24117632400638914	-1.453292933881873	1.0	41.21	['HBA2', 'MB', 'MYC', 'HBB', 'HBA1', 'CYGB']
GOBP_REGULATION_OF_GLUCOCORTICOID_SECRETION	1	0.24107451202686783	-1.4532091164050165	1.0	13.21	['PTPN11', 'POMC', 'GAL', 'CRY2']
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS	1	0.24107348671246007	-1.4530387349909073	1.0	29.75	['GATA4', 'FGFRL1', 'SMAD7', 'NOTCH1', 'TGFBR2', 'ROBO1', 'NOS3', 'SLIT2', 'CITED2', 'NRP2', 'TBX1', 'HEY1', 'PARVA', 'TBX5', 'TBX20', 'HEYL', 'ENG', 'TBX2', 'GATA6', 'BMP4', 'ROBO2', 'SLIT3', 'TGFBR3', 'BMP5', 'APLNR', 'JAG1', 'PROX1', 'NKX2-5', 'SOX11']
GOBP_MACROMOLECULE_DEPALMITOYLATION	1	0.24058641756209498	1.4106588994144524	1.0	54.3	['LYPLA2', 'ABHD16A', 'PPT1', 'ABHD16B', 'LYPLA1', 'ABHD13', 'ABHD10', 'ABHD17C', 'ABHD17A', 'PPT2', 'ABHD12', 'ABHD17B']
GOBP_DETECTION_OF_CALCIUM_ION	1	0.24048591998839075	1.4106033277821426	1.0	63.67	['CALM3', 'KCNMB4', 'KCNMB3', 'CASQ2', 'KCNMB1', 'KCNIP2', 'STIM1', 'SYT1', 'CALM2', 'CALM1']
GOBP_L_SERINE_METABOLIC_PROCESS	1	0.24013889814225134	-1.4548223974796473	1.0	24.4	['SDS', 'CBS', 'SHMT1', 'PSPHP1', 'PSAT1', 'PHGDH', 'CBSL']
GOBP_SALIVA_SECRETION	1	0.24011249887492164	-1.4544860708760257	1.0	4.44	['DCANP1', 'AQP1', 'TACR1', 'TIFAB']
GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	1	0.24001488391381545	1.4113626763348304	1.0	54.09	['PYCARD', 'HFE', 'HLA-DOB', 'HLA-DOA', 'TAPBPL', 'TREM2']
