pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_DETERMINATION_OF_DIGESTIVE_TRACT_LEFT_RIGHT_ASYMMETRY	1	0.24983123229722107	1.4423620001742372	1.0	52.56	['CCDC39', 'NPHP3', 'DNAAF1', 'MEGF8', 'CCDC40', 'CCDC103']
GOBP_SYNAPTIC_SIGNALING	1	0.24871565105075338	1.4435765620215897	1.0	49.5	['LRFN2', 'PLCB1', 'GABBR1', 'SLC24A1', 'EGR3', 'RIMS3', 'CLN3', 'MCTP2', 'PCDHB16', 'APBA1', 'SYNGR1', 'USP8', 'STXBP3', 'KCTD13', 'YTHDF1', 'PRRT2', 'KRAS', 'SLC12A4', 'HTR1D', 'PRR7', 'CDH2', 'TPRG1L', 'PLK2', 'SORCS2', 'PCDHB10', 'CHRNE', 'AKAP7', 'RPS6KA3', 'BCR', 'SIPA1L1', 'SCT', 'PTCHD1', 'BRSK1', 'NCDN', 'GRIN1', 'SLC1A3', 'DISC1', 'CX3CL1', 'NAPB', 'ABAT', 'SYT7', 'RAB3GAP1', 'CX3CR1', 'CSPG5', 'NLGN4X', 'NAPA', 'GLUL', 'PXK', 'NLGN3', 'EIF4A3', 'HAP1', 'PICK1', 'DTNB', 'MPP2', 'DRD4', 'SNAP29', 'CYFIP1', 'VAMP2', 'PTN', 'IL1RAP', 'CORT', 'PRKAR1B', 'STX19', 'EXOC4', 'SNAP23', 'DKK1', 'AKAP9', 'ITPKA', 'SYP', 'ABL1', 'SNAPIN', 'CTNNB1', 'RNF10', 'P2RX2', 'SYNGAP1', 'OXTR', 'PSEN1', 'CCR2', 'CHRNB2', 'MECP2', 'GRIK3', 'CHRNA6', 'PAIP2', 'NRG1', 'ABR', 'SLC12A7', 'SERPINE2', 'MEF2C', 'PRKCZ', 'EFNB3', 'PPP1R9A', 'SLC30A1', 'SCRIB', 'CLSTN1', 'KCNC4', 'GNA11', 'PCDHB6', 'DAG1', 'CDH1', 'RIMS4', 'OPHN1', 'ARF1', 'STX1A', 'CNP', 'DLG4', 'CACNB1', 'PPFIA3', 'RASGRF2', 'LZTS1', 'LY6E', 'AKAP5', 'LPAR3', 'DLGAP3', 'USP46', 'SYNJ2BP', 'GSK3A', 'DAGLA', 'CACNB3', 'S1PR2', 'NTF4', 'PTPRA', 'NSMF', 'PRKACA', 'ABHD6', 'ANAPC2', 'RELA', 'PRKCE', 'ALS2', 'VPS18', 'EPHA4', 'DLGAP1', 'BTBD9', 'PCDHB14', 'CASK', 'CTBP2', 'DRD2', 'RAB8A', 'ADARB1', 'CACNG4', 'VGF', 'UTS2', 'YWHAG', 'APBA2', 'ITPR3', 'PLAT', 'CHRM1', 'NF1', 'SLC6A6', 'SYT8', 'SNCA', 'RIC3', 'ATP2A2', 'PLCL2', 'KIF5A', 'DOC2A', 'RGS14', 'SRF', 'FBXL20', 'SNAP25', 'GFAP', 'KCNK3', 'SYN1', 'PINK1', 'RGS4', 'EZH2', 'PIP5K1C', 'ZACN', 'P2RX7', 'BEGAIN', 'TMOD2', 'CADPS2', 'RAB5A', 'AGRN', 'SCGN', 'PPP3CA', 'DMPK', 'PCDHB9', 'EDN1', 'ROR2', 'RARA', 'LRP6', 'GHRL', 'BLOC1S6', 'LYPD1', 'ANXA9', 'MIR324', 'RAB26', 'PACSIN2', 'SHANK2', 'MAPK1', 'FMR1', 'PTK2B', 'STAU2', 'SYT12', 'GABRP', 'TSPOAP1', 'TMEM25', 'PREPL', 'RAP1B', 'CRKL', 'SYN2', 'GRIK5', 'TOR1A', 'EIF4EBP2', 'NLGN2', 'KPNA2', 'NPTN', 'MBP', 'GABBR2', 'TSHZ3', 'GSK3B', 'STXBP2', 'SCN2B', 'DAGLB', 'STAU1', 'CDH11', 'KCNMB4', 'PENK', 'SLC12A2', 'PCLO', 'PRRT1', 'CD38', 'STX3', 'PCDHB13', 'PRNP', 'KCNMB1', 'CRTC1', 'HTR7', 'FARP1', 'CPEB3', 'USP14', 'GIT1', 'APP', 'DNAJC5', 'F2R', 'SRC', 'ZDHHC3', 'TPBG', 'CHRM3', 'LRRC4C', 'MAPT', 'EIF2AK4', 'JAK2', 'SV2A', 'CHRNB1', 'ADNP', 'MINK1', 'EGR2', 'KAT2A', 'DGKE', 'FGF12', 'KCNQ3', 'RPS6KA1', 'KIT', 'P2RY1', 'FCHSD1', 'GABRB3', 'SNAP47', 'ATXN3', 'STX2', 'NRXN2', 'COLQ', 'ATAD1', 'PDLIM4', 'CEP89', 'P2RX4', 'BACE1', 'NSG1', 'RELN', 'IL1B', 'SPG11', 'EPHB1', 'BAIAP2', 'PPP3CB', 'DLG1', 'GRID1', 'CLCN3', 'CDK5', 'NGF', 'RPL22']
GOBP_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY	1	0.24836239176358824	1.4440676371520338	1.0	48.82	['TP53', 'IFIT1', 'SIRT1', 'MCM2', 'MNAT1']
GOBP_REGULATION_OF_MIDBRAIN_DOPAMINERGIC_NEURON_DIFFERENTIATION	1	0.24752202295377818	1.4451546295857816	1.0	49.13	['SFRP2', 'SFRP1', 'CSNK1D', 'DKK1', 'CSNK1E']
GOBP_NEGATIVE_REGULATION_OF_ISOTYPE_SWITCHING	1	0.2473618830279932	1.4451413761749272	1.0	28.52	['FOXP3', 'NDFIP1', 'PARP3', 'THOC1']
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	1	0.24710910352494098	1.4461996645476096	1.0	17.21	['CX3CL1', 'PTPRJ', 'SDC4', 'SFRP1', 'CDK6', 'FMN1', 'CCL28', 'DISC1', 'PPM1F', 'RIN2', 'GSK3B', 'JUP', 'SKAP1', 'EPB41L5', 'DAG1', 'EPHA1', 'COL16A1', 'PRKCZ']
GOBP_APICAL_JUNCTION_ASSEMBLY	1	0.24707078647531544	1.4459067748918404	1.0	34.67	['MPP7', 'MICALL2', 'PARD3', 'PDCD6IP', 'ECT2', 'MARVELD2', 'CLDN19', 'SRF', 'WDR1', 'DLG5', 'CLDN15', 'FBF1', 'CTNNA1', 'CLDN11', 'PRKCH', 'PKN2', 'OCLN', 'ROCK1', 'EPHA2', 'NPHP1', 'AFDN', 'CLDN4', 'NPHP4', 'MARVELD3', 'SNAI2', 'CLDN3', 'DLG1', 'RHOA', 'IKBKB', 'GRHL2', 'CLDN8', 'CLDN7']
GOBP_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY	1	0.24700931224455347	1.4458068263553012	1.0	37.65	['LACC1', 'ITCH', 'SLC15A4', 'OTULIN', 'RELA', 'XIAP', 'ERBIN', 'BIRC2', 'MAP3K7', 'CYLD', 'PTPN22', 'TNFAIP3', 'SLC15A2', 'BIRC3', 'RNF34']
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	1	0.246981570469142	1.4464869175852217	1.0	44.16	['PPFIA1', 'VILL', 'CAMSAP3', 'CAMSAP2', 'RHPN1', 'RBM14', 'TWF1', 'TRIM37', 'SMAD4', 'INPP5K', 'SPTBN5', 'CAPZA2', 'SNCA', 'LMOD1', 'GMFB', 'WASHC2C', 'CARMIL2', 'NPM1', 'CDK5RAP2', 'TACSTD2', 'TMOD3', 'KANK1', 'ATXN7', 'SPTBN1', 'SWAP70', 'BBS4', 'PAK2', 'SPTBN4', 'TMOD2', 'TBCD', 'SPTAN1', 'SPTBN2', 'CORO1B', 'FHOD3', 'SSH3', 'KAT2A', 'VIL1', 'ARHGEF2', 'AVIL', 'DYRK1A', 'RHPN2', 'ARFGEF1', 'MDM1', 'CLIP3', 'KAT2B', 'CLASP2', 'FKBP4', 'CGNL1', 'EML2', 'ADD3', 'MID1', 'PICK1', 'HIP1R', 'STMN1', 'TUBB4A', 'KATNB1', 'LIMA1', 'PRKCD', 'CAMSAP1', 'CCNF', 'MAP2', 'MET', 'CORO1A', 'ARHGEF18', 'WASF2', 'SVIL', 'PLEKHH2', 'ARHGEF7', 'TMEM67', 'GMFG', 'PIK3R1', 'SSH2', 'TMOD1', 'TAOK1', 'CARMIL1', 'INPP5J']
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	1	0.2469757954889634	1.446164019473369	1.0	35.23	['PAQR3', 'SEMA4D', 'EFNA1', 'CD38', 'FLNA', 'DIP2B', 'ZNF365', 'DENND5A', 'EFNB2', 'SEMA4B', 'GFAP', 'LRIG2', 'BAG5', 'EFNB3', 'CBFA2T2', 'GFI1', 'SEMA7A', 'LRP4', 'SEMA5A', 'KANK1', 'RUFY3', 'ULK2', 'RYK', 'DNM3', 'HES1', 'SEMA3A', 'ARF6', 'RTN4RL1', 'KLK8', 'PRAG1', 'SEMA3D', 'RNF6', 'FKBP4', 'ITM2C', 'SEMA4A', 'UBE3A', 'TRPV4', 'SEMA4G', 'MAP2', 'GAK', 'HDAC2', 'INPP5F', 'SEMA6A', 'TRIM46', 'SEMA3E', 'BCL11A', 'PTPN9', 'SNAPIN', 'EPHA4', 'NR2F1', 'SYNGAP1', 'RHOA', 'MBP', 'INPP5J', 'PSEN1', 'DGUOK', 'ADCY6']
