pathway	freq	padj	NES	stability	overlap
GOBP_G1_TO_G0_TRANSITION	1	0.24969536549627927	1.3895403012625553	1.0	30.8
GOBP_NOTOCHORD_DEVELOPMENT	1	0.2487007518296466	1.3906112192542728	1.0	51.35
GOBP_REGULATION_OF_RESPONSE_TO_OSMOTIC_STRESS	1	0.24866458271400954	-1.4314514949657344	1.0	32.27
GOBP_BILE_ACID_SIGNALING_PATHWAY	1	0.24865518526876015	1.3907978388754834	1.0	49.64
GOBP_POSITIVE_REGULATION_OF_HEART_RATE	1	0.24861792037743335	-1.430969195281874	1.0	54.51
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1	0.2485790126922695	1.3910200363765701	1.0	18.04
GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	1	0.2485366062049396	-1.4313937264454974	1.0	59.83
GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	1	0.24852610350277712	-1.4317405897528224	1.0	43.35
GOBP_CELL_MATRIX_ADHESION	1	0.24852430420971697	-1.4312393783109396	1.0	4.42
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION	1	0.24844502154133485	-1.4309583415907252	1.0	36.34
GOBP_POSITIVE_REGULATION_OF_RENAL_SODIUM_EXCRETION	1	0.24828309931754125	-1.4326213237626655	1.0	43.08
GOBP_NUCLEOBASE_TRANSPORT	1	0.24821660131259626	-1.4325321316950435	1.0	59.59
GOBP_HEART_FIELD_SPECIFICATION	1	0.24807023473205292	-1.4325013666846078	1.0	57.83
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY	1	0.2479666102105418	-1.4324209320618697	1.0	48.88
GOBP_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	1	0.24757381130666856	1.3921402488256258	1.0	52.68
GOBP_SPERM_DNA_CONDENSATION	1	0.24734707441942655	1.3924989294392294	1.0	37.74
GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	1	0.24710757077799209	1.3928673222115018	1.0	49.46
