pathway	freq	padj	NES	stability	overlap
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.24765383119381798	1.4399119750233662	1.0	63.83
KEGG_PANCREATIC_CANCER	1	0.23244737493142872	1.4635219133910857	1.0	78.05
KEGG_PURINE_METABOLISM	1	0.18921101249545177	1.51961545659689	1.0	38.89
KEGG_WNT_SIGNALING_PATHWAY	1	0.16989534145790533	1.5517383576279946	1.0	64.25
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.13603100675135438	1.6057012691181252	1.0	77.58
KEGG_ENDOMETRIAL_CANCER	1	0.13254045806832218	1.6200301118882499	1.0	78.03
KEGG_LYSINE_DEGRADATION	1	0.11907732685088579	1.6590025838978597	1.0	29.91
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.11804776440206576	1.6690063996154452	1.0	64.29
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.11688025040604934	1.6539111967657991	1.0	24.21
KEGG_ERBB_SIGNALING_PATHWAY	1	0.08185133069772035	1.754340066708247	1.0	63.53
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.07106239714313373	1.8004623261681765	1.0	37.99
KEGG_RNA_POLYMERASE	1	0.06815174950790048	1.799540581865704	1.0	38.89
KEGG_SMALL_CELL_LUNG_CANCER	1	0.0632944427995523	1.8323844367486457	1.0	32.67
KEGG_ENDOCYTOSIS	1	0.03533794418928173	1.9550124621370186	1.0	71.62
KEGG_ADHERENS_JUNCTION	1	0.013659202023697968	2.122798463295419	1.0	18.08
KEGG_CELL_CYCLE	1	0.01242349600404436	2.1498045290647205	1.0	68.66
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.00948703331217933	2.217013008486898	1.0	41.44
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.009336445481827277	2.2480457672744634	1.0	37.86
KEGG_MISMATCH_REPAIR	1	0.008965767745576069	2.2394899362209393	1.0	23.5
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.008914799556841527	2.2141727338553827	1.0	60.07
KEGG_BASE_EXCISION_REPAIR	1	0.007063938223787205	2.281917353185652	1.0	43.22
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.006415041572997451	2.3169912049033208	1.0	28.35
KEGG_PYRIMIDINE_METABOLISM	1	0.0029113647201396884	2.475309747293699	1.0	38.89
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.0018070539642246343	2.5477613975938476	1.0	34.79
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.0007744516989534146	2.625542060319531	1.0	24.55
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.0007529391517602643	2.671266523139871	1.0	38.07
KEGG_SPLICEOSOME	1	0.0	5.844674689961929	1.0	37.8
KEGG_RIBOSOME	1	0.0	3.8630771109792192	1.0	46.99
KEGG_RNA_DEGRADATION	1	0.0	3.8540877655999237	1.0	31.87
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	3.6025192371552563	1.0	42.81
KEGG_DNA_REPLICATION	1	0.0	3.084522958707522	1.0	24.55
