pathway	freq	padj	NES	stability	overlap
KEGG_MELANOGENESIS	1	0.23753421608463804	1.291349411257553	1.0	83.2
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.23744454492555955	1.2852962389537375	1.0	80.14
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.23687238939561847	1.2892013444666957	1.0	75.69
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	0.2149423547902944	1.3215260423892556	1.0	58.45
KEGG_DILATED_CARDIOMYOPATHY	1	0.21187548918560767	1.3283042357052557	1.0	78.08
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.19686026903861173	1.3494551844418798	1.0	17.99
KEGG_ECM_RECEPTOR_INTERACTION	1	0.16935520265560833	1.3930284316661834	1.0	70.85
KEGG_MELANOMA	1	0.16759534963017883	1.3926292202001633	1.0	48.97
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.16688586610161923	1.3995096293786355	1.0	56.81
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.15970557476438288	1.4151927924594376	1.0	53.62
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.15921669800846897	1.4127881755903746	1.0	49.49
KEGG_LONG_TERM_DEPRESSION	1	0.1530147152842895	1.4306951146280265	1.0	72.5
KEGG_PROTEASOME	1	0.15203202236134922	1.4293447557919	1.0	33.95
KEGG_TYPE_II_DIABETES_MELLITUS	1	0.1481307236371445	1.442361716413295	1.0	77.17
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.1298731281788992	1.476382478967917	1.0	79.93
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.11331453099973529	1.5127656069241016	1.0	68.37
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.11299426428145208	1.5100628188359926	1.0	64.25
KEGG_GLIOMA	1	0.10627397493819794	1.5302079136468625	1.0	63.17
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.10404115222545024	1.5382809862241202	1.0	30.87
KEGG_AXON_GUIDANCE	1	0.10294261895948331	1.5432087970151604	1.0	80.16
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.09288660623798292	1.568605895652189	1.0	71.77
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	0.08488854017464262	1.5892393771004822	1.0	58.17
KEGG_MTOR_SIGNALING_PATHWAY	1	0.0793334510515484	1.6058961635683107	1.0	54.46
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.07343666415875687	1.6254043473715944	1.0	39.37
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.07066652208577574	1.6372341130576373	1.0	72.44
KEGG_GAP_JUNCTION	1	0.06520865114373577	1.6573968254214406	1.0	74.61
KEGG_LONG_TERM_POTENTIATION	1	0.0641398211937808	1.6633387247867948	1.0	34.52
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.059159491944420765	1.6814426136299623	1.0	66.14
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.051101581813144656	1.7144039995465044	1.0	68.63
KEGG_P53_SIGNALING_PATHWAY	1	0.05094029879475665	1.7221269519070355	1.0	50.55
KEGG_LEISHMANIA_INFECTION	1	0.05041756139275533	1.7205848639887673	1.0	81.86
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.04373657578141704	1.7536466709442902	1.0	57.98
KEGG_PRION_DISEASES	1	0.03899742678026784	1.781763512204528	1.0	59.25
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.03841673059983519	1.7811028253282295	1.0	52.25
KEGG_TIGHT_JUNCTION	1	0.03833234371647183	1.7880149934896774	1.0	63.11
KEGG_ENDOMETRIAL_CANCER	1	0.03232176853351519	1.8233736195345331	1.0	51.27
KEGG_COLORECTAL_CANCER	1	0.03150742787176169	1.8345394017327308	1.0	51.65
KEGG_REGULATION_OF_AUTOPHAGY	1	0.031068475467929905	1.834080967496623	1.0	50.23
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.0243092292752068	1.8916719624510037	1.0	72.03
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0.02393350003315053	1.8863955760985043	1.0	76.21
KEGG_WNT_SIGNALING_PATHWAY	1	0.023868382917057368	1.8913422238705393	1.0	52.25
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.02375780668218219	1.8894539666424073	1.0	68.42
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.022052680930866934	1.912456861204669	1.0	31.8
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.02131540537108203	1.9225648638271027	1.0	31.25
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.018700451794390928	1.942889352538852	1.0	31.31
KEGG_VEGF_SIGNALING_PATHWAY	1	0.014618477683243343	1.986996641300249	1.0	61.58
KEGG_SMALL_CELL_LUNG_CANCER	1	0.013340257882311081	2.005106526416515	1.0	35.81
KEGG_GNRH_SIGNALING_PATHWAY	1	0.01185131512895557	2.0248441190110285	1.0	75.61
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.011049534824248216	2.0424526821426503	1.0	33.83
KEGG_ADHERENS_JUNCTION	1	0.01104876781502815	2.0465821960362667	1.0	63.84
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.010861373516944226	2.0413621439281746	1.0	29.36
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.009054599965486486	2.0873668963878087	1.0	71.95
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.008622986105191372	2.098656144207214	1.0	33.63
KEGG_PANCREATIC_CANCER	1	0.007068166965021453	2.1463505850500684	1.0	46.5
KEGG_MISMATCH_REPAIR	1	0.006124124564244983	2.17445676518749	1.0	29.75
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0057445832309566906	2.21038733292437	1.0	67.75
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.005728066315399024	2.1888239427857075	1.0	61.59
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.005582850928516261	2.2236859763228742	1.0	35.68
KEGG_ERBB_SIGNALING_PATHWAY	1	0.005580452281500786	2.2086573558380196	1.0	29.2
KEGG_PROSTATE_CANCER	1	0.00554087460574546	2.203805437803546	1.0	44.45
KEGG_APOPTOSIS	1	0.005094029879475665	2.2539123156324075	1.0	61.58
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.005021417611456824	2.2481159922420324	1.0	39.62
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.003416872673543034	2.3104018381346982	1.0	61.59
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.0034135745338967566	2.326690009800219	1.0	48.97
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.003386090036844448	2.334712153882222	1.0	61.58
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.003343631227605019	2.324732668186925	1.0	58.64
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.002610604381553149	2.368470206506321	1.0	47.35
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0016622623817236382	2.416644655450903	1.0	38.76
KEGG_ALZHEIMERS_DISEASE	1	0.0014429360952462136	2.442559397079625	1.0	57.77
KEGG_LYSOSOME	1	0.0012045379577707523	2.477255931956668	1.0	54.47
KEGG_HUNTINGTONS_DISEASE	1	0.0011873302726597415	2.4922936998491516	1.0	57.98
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.001154348876196971	2.5264035084972134	1.0	36.2
KEGG_PARKINSONS_DISEASE	1	0.0011407683011828889	2.565693693478511	1.0	57.49
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.0011333607148115714	2.4835365922217933	1.0	50.87
KEGG_RENAL_CELL_CARCINOMA	1	0.001093593672186604	2.51523959450414	1.0	32.08
KEGG_FOCAL_ADHESION	1	0.001038913988577274	2.5917990168054663	1.0	73.05
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.001038913988577274	2.51331504068164	1.0	51.65
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.0010158270110533344	2.610339820716941	1.0	51.56
KEGG_MAPK_SIGNALING_PATHWAY	1	0.0009894418938831179	2.6307572355380744	1.0	75.94
KEGG_PROTEIN_EXPORT	1	0.0007915535151064944	2.8376402445073574	1.0	31.24
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.0007695659174646473	2.790189094054964	1.0	57.49
KEGG_CELL_CYCLE	1	0.000755573809874381	2.7161910043416486	1.0	49.09
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.0006926093257181826	3.271546346709204	1.0	63.18
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.0006926093257181826	2.8190770105531646	1.0	44.51
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.0006926093257181826	2.7127677722634362	1.0	66.14
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.0006926093257181825	2.746373754591617	1.0	25.17
KEGG_PATHWAYS_IN_CANCER	1	0.0006393316852783224	2.698656103149026	1.0	51.83
KEGG_OOCYTE_MEIOSIS	1	0.000554087460574546	3.1052446405966	1.0	37.14
KEGG_ENDOCYTOSIS	1	0.0004617395504787884	2.9230196742357033	1.0	64.16
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	4.514310609609247	1.0	30.73
KEGG_SPLICEOSOME	1	0.0	3.7276273557958266	1.0	29.21
KEGG_RNA_DEGRADATION	1	0.0	3.531210561343798	1.0	31.73
