pathway	freq	padj	NES	stability	overlap
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	1	0.24971142090260137	1.4939163499559789	1.0	53.47
GOBP_LATERAL_SPROUTING_FROM_AN_EPITHELIUM	1	0.24950290990604318	1.4938571982141624	1.0	50.44
GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS	1	0.24937587781202716	1.493732223499228	1.0	53.89
GOBP_FAT_PAD_DEVELOPMENT	1	0.2490470781169189	-1.3601754996892874	1.0	39.16
GOBP_CHORION_DEVELOPMENT	1	0.24887567434871116	-1.3604793429292117	1.0	35.36
GOBP_ANDROGEN_METABOLIC_PROCESS	1	0.24882378372356775	1.4952074166678944	1.0	55.11
GOBP_MESONEPHRIC_TUBULE_FORMATION	1	0.2486941645919533	1.4950918501746493	1.0	54.19
GOBP_LYSINE_CATABOLIC_PROCESS	1	0.2484289816720794	1.4957655978227922	1.0	40.92
GOBP_EXOCYTIC_PROCESS	1	0.24704659536257118	-1.362388015585056	1.0	21.97
GOBP_SERTOLI_CELL_DEVELOPMENT	1	0.24641791841612207	-1.363159033893965	1.0	24.89
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	1	0.24582030950136255	1.4985379947802746	1.0	47.86
GOBP_NEGATIVE_CHEMOTAXIS	1	0.2457274562648914	1.4983932868325662	1.0	61.69
GOBP_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION	1	0.2449448168965773	-1.3647498124445863	1.0	50.43
GOBP_DENDRITIC_CELL_CHEMOTAXIS	1	0.24494214701996822	-1.3648778245479833	1.0	28.07
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	1	0.24493892741110435	-1.3649961247367366	1.0	39.36
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	1	0.24429314761069248	-1.3657989884907038	1.0	49.01
GOBP_SENSORY_PERCEPTION_OF_TASTE	1	0.2436202873520455	1.5010388841735898	1.0	66.11
GOBP_OPSONIZATION	1	0.2435542015732445	1.501349864932233	1.0	47.83
GOBP_DENDRITIC_SPINE_MAINTENANCE	1	0.24353444871664867	1.5008903867135412	1.0	18.84
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION	1	0.24352506590844003	1.5016289450793627	1.0	6.58
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1	0.24341398855374047	-1.366838696490846	1.0	59.76
GOBP_CELLULAR_RESPONSE_TO_LIPID	1	0.24325689986063959	-1.3672505417309835	1.0	12.73
GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT	1	0.24320157232496742	1.5033576518744443	1.0	43.52
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION	1	0.243162903456117	-1.3672140349508777	1.0	17.15
GOBP_REGULATION_OF_COLLATERAL_SPROUTING	1	0.2431431196727692	1.502221705098186	1.0	33.94
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.24308439976718252	1.5030066015690964	1.0	22.84
GOBP_POSITIVE_REGULATION_OF_GONADOTROPIN_SECRETION	1	0.24302208531043012	1.5028182766645575	1.0	46.25
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1	0.24301829167497824	1.503289726011583	1.0	31.0
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.24301010917533059	1.5040189047245018	1.0	14.61
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	0.24299192893094945	1.5042869448472005	1.0	53.47
GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	1	0.24289436584381435	1.502692419531184	1.0	39.51
GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	1	0.24288647397666666	-1.3677609589422557	1.0	56.7
GOBP_AMINE_CATABOLIC_PROCESS	1	0.24275287967841033	1.504013380103453	1.0	62.04
GOBP_RESPONSE_TO_HUMAN_CHORIONIC_GONADOTROPIN	1	0.24265534373125458	1.5053426207533815	1.0	17.33
GOBP_POSITIVE_REGULATION_OF_BIOMINERALIZATION	1	0.24262443197657377	1.5048794078181706	1.0	36.35
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	1	0.24248825483369968	1.5052583956737895	1.0	15.44
GOBP_CELLULAR_RESPONSE_TO_INDOLE_3_METHANOL	1	0.24208933239635191	-1.3686820171075968	1.0	31.34
GOBP_PLASMINOGEN_ACTIVATION	1	0.24205564383466885	1.5061127203359912	1.0	58.98
GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.2418266416111015	-1.3690656036210955	1.0	22.28
GOBP_CARDIAC_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_OUTFLOW_TRACT_MORPHOGENESIS	1	0.24131590737868977	1.5070079456842027	1.0	39.96
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	1	0.2412291882302964	-1.369790553212865	1.0	9.96
GOBP_VESICLE_DOCKING	1	0.24085223959535404	-1.3704216997138883	1.0	38.16
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	1	0.24084270202541155	-1.3702899157237824	1.0	58.01
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	1	0.24048058234138123	-1.3710679337772973	1.0	33.12
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	1	0.24037935802015511	-1.3710432216376918	1.0	55.49
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	1	0.24029557287913275	-1.3713917909264417	1.0	62.8
GOBP_XENOBIOTIC_CATABOLIC_PROCESS	1	0.24022685655548645	1.5085490394390202	1.0	45.23
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.2402189083729724	-1.3716006741921194	1.0	53.06
GOBP_PROSTANOID_METABOLIC_PROCESS	1	0.24017675809524258	1.508350154614529	1.0	53.49
GOBP_GLYCOSIDE_METABOLIC_PROCESS	1	0.23934006752569825	1.509866650539749	1.0	15.25
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	1	0.23919041356752302	1.5097703976098729	1.0	36.94
GOBP_BONE_MINERALIZATION	1	0.23914861295021078	1.5105387217890816	1.0	52.72
GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS	1	0.23903769931749522	1.5103851128400054	1.0	49.59
GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	1	0.23892033156538092	1.511243335025125	1.0	67.21
GOBP_SYNAPSE_ORGANIZATION	1	0.23867961393521875	1.5112272789974337	1.0	44.66
GOBP_PROGESTERONE_METABOLIC_PROCESS	1	0.23856213508437818	1.5117898320611853	1.0	22.25
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	1	0.23838657983016526	-1.3736271493201977	1.0	40.86
GOBP_HISTONE_H4_R3_METHYLATION	1	0.2383061126323837	-1.3738371994529097	1.0	57.83
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	1	0.2381750998781757	1.5123732686496802	1.0	26.78
GOBP_RESPONSE_TO_SALT	1	0.23764533393288395	-1.3747586665329117	1.0	64.94
GOBP_MITOCHONDRIAL_TRANSCRIPTION	1	0.2375551711233761	-1.374723037789356	1.0	33.6
GOBP_RESPONSE_TO_TUMOR_CELL	1	0.23734785703637903	-1.3751763997806483	1.0	41.89
GOBP_FATTY_ACID_ELONGATION	1	0.23715649705409853	1.5137565399911457	1.0	42.94
GOBP_KERATINOCYTE_DEVELOPMENT	1	0.23707991860716146	-1.3755759169222073	1.0	67.63
GOBP_ANIMAL_ORGAN_REGENERATION	1	0.2370640928569197	1.5135875988973932	1.0	55.11
GOBP_PURINE_NUCLEOTIDE_SALVAGE	1	0.23674591456649122	-1.3760524057661425	1.0	64.77
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY	1	0.23643593682524608	1.5146205262657526	1.0	1.54
GOBP_CLEAVAGE_FURROW_FORMATION	1	0.23631697951664943	-1.3765954665770588	1.0	43.66
GOBP_EMBRYONIC_NEUROCRANIUM_MORPHOGENESIS	1	0.23560856656173942	1.5158580689696568	1.0	18.93
GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION	1	0.23555253029100715	1.5161515188980825	1.0	10.98
GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS	1	0.23545920174397467	1.5157359855647077	1.0	49.39
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	1	0.23513946381473497	-1.3782114945242079	1.0	62.8
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	1	0.23512279357995997	-1.378097732504014	1.0	43.6
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	0.23512163683252585	-1.3779817663349365	1.0	52.44
GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	1	0.23504362949885363	-1.3784435685509744	1.0	45.73
GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	0.23497376255470498	-1.378642714288788	1.0	23.65
GOBP_DNA_TOPOLOGICAL_CHANGE	1	0.23468021634100042	-1.3791020749622904	1.0	18.83
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	1	0.2343747818388835	1.5177705032279212	1.0	60.1
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	1	0.23437066059192338	1.517504111759966	1.0	60.1
GOBP_ARACHIDONIC_ACID_SECRETION	1	0.23416728917268206	1.5184316020320536	1.0	44.14
GOBP_DISACCHARIDE_METABOLIC_PROCESS	1	0.23416597934161762	-1.3797701530761886	1.0	58.89
GOBP_BICARBONATE_TRANSPORT	1	0.2339316763706541	1.5184157702276142	1.0	59.26
GOBP_ERBB2_SIGNALING_PATHWAY	1	0.2333109777912592	-1.3809350515446752	1.0	21.62
GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	1	0.23331074177815717	-1.3808110808136873	1.0	56.79
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	1	0.23326104018418123	-1.3813803763772023	1.0	49.68
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	1	0.23324329929647672	1.5195597973160946	1.0	40.34
