pathway	freq	padj	NES	stability	overlap
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.2403580380881626	1.2957235060738674	1.0	55.91
KEGG_RNA_POLYMERASE	1	0.23975488901342804	1.3027620685929666	1.0	47.31
KEGG_VEGF_SIGNALING_PATHWAY	1	0.23768817627800112	1.3018390541604516	1.0	39.37
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.2304304247652429	1.3223927458291902	1.0	68.94
KEGG_BLADDER_CANCER	1	0.22942996359231357	1.3203807009747677	1.0	54.27
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.22686200698869685	1.3202041182655087	1.0	65.83
KEGG_PARKINSONS_DISEASE	1	0.21832934297297674	1.3389603182344516	1.0	68.94
KEGG_BASE_EXCISION_REPAIR	1	0.2051893347039721	1.3579662626127051	1.0	59.59
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.19802961080188325	1.3696193640445473	1.0	9.13
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.19432415396981645	1.377633362654341	1.0	61.18
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.17277154147877333	1.4154585237670352	1.0	74.5
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.17157793677210684	1.4140368609210643	1.0	76.05
KEGG_MELANOGENESIS	1	0.17100479392554938	1.4118651203105	1.0	39.37
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.14759999857004458	1.4542548394723704	1.0	45.03
KEGG_FATTY_ACID_METABOLISM	1	0.13697137180937574	1.4751247358064596	1.0	39.99
KEGG_BETA_ALANINE_METABOLISM	1	0.1360592788999255	1.4801572007052617	1.0	54.67
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.12249380801609848	1.5100472407493157	1.0	61.83
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.12083123308630853	1.509953455017994	1.0	24.27
KEGG_PYRIMIDINE_METABOLISM	1	0.11579881140062602	1.5249354795648653	1.0	61.5
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.11480987732381356	1.530256516121875	1.0	72.35
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.08906274585695761	1.592967184305493	1.0	43.58
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.08905494246216875	1.6033412248561998	1.0	45.5
KEGG_PROPANOATE_METABOLISM	1	0.08865008633355854	1.6002503642003605	1.0	65.08
KEGG_REGULATION_OF_AUTOPHAGY	1	0.0883885937502957	1.591626455204438	1.0	55.25
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.08794063345075218	1.5984148595301726	1.0	12.67
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.06791777552049101	1.660627427268459	1.0	45.5
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.06766549052833278	1.6720582820728205	1.0	54.86
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.0671047604681088	1.6702936771292385	1.0	39.2
KEGG_PURINE_METABOLISM	1	0.06696688811371466	1.6674487384370125	1.0	61.5
KEGG_THYROID_CANCER	1	0.0664729319436348	1.67820725492271	1.0	52.25
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.062162381053287905	1.6939157058428012	1.0	54.67
KEGG_MISMATCH_REPAIR	1	0.05942805358042963	1.7086568218507059	1.0	42.28
KEGG_LYSINE_DEGRADATION	1	0.059192628354021594	1.7061896418532378	1.0	55.15
KEGG_GLIOMA	1	0.058556674495672596	1.7168275641933985	1.0	56.4
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.05747229163464162	1.7247636217461968	1.0	53.2
KEGG_PATHWAYS_IN_CANCER	1	0.056224059714938386	1.7366559938367707	1.0	54.94
KEGG_HUNTINGTONS_DISEASE	1	0.05611023661243022	1.734080406228314	1.0	77.76
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.05164031658371874	1.7563055894916542	1.0	69.06
KEGG_GAP_JUNCTION	1	0.04606458393659578	1.782303553223566	1.0	39.37
KEGG_PROSTATE_CANCER	1	0.033745488800713166	1.84708109948475	1.0	54.88
KEGG_BUTANOATE_METABOLISM	1	0.02776794683425744	1.8856128581305416	1.0	38.05
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.02482293810142643	1.912718123572749	1.0	44.2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.02462109413951786	1.9103246762156996	1.0	45.14
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.02153274538332934	1.9397677708118963	1.0	41.44
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.019328772425519634	1.964007512433518	1.0	30.8
KEGG_PANCREATIC_CANCER	1	0.01676290183513994	1.987991805664913	1.0	54.94
KEGG_MTOR_SIGNALING_PATHWAY	1	0.013709697600177314	2.0327264329474035	1.0	29.55
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.01223416234998874	2.0612680743218275	1.0	49.34
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.012207808445961942	2.058062808687517	1.0	39.81
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.010760414544076589	2.0834647262769614	1.0	36.98
KEGG_OOCYTE_MEIOSIS	1	0.005576826142445009	2.202057530169089	1.0	38.84
KEGG_GNRH_SIGNALING_PATHWAY	1	0.005540136496771029	2.190071875216799	1.0	39.37
KEGG_LONG_TERM_POTENTIATION	1	0.005535820067868207	2.211617355708912	1.0	43.63
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.00546378236928734	2.194661667713334	1.0	50.4
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.005421914305154869	2.199275284552656	1.0	57.47
KEGG_STEROID_BIOSYNTHESIS	1	0.00498534458188266	2.227273167640964	1.0	29.81
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.0038340679729309437	2.259658770209867	1.0	40.58
KEGG_RENAL_CELL_CARCINOMA	1	0.0034630291368408523	2.283220099340051	1.0	46.77
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.0029278337247836297	2.30551054071663	1.0	37.79
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0021191939341291036	2.3687872319434344	1.0	30.31
KEGG_WNT_SIGNALING_PATHWAY	1	0.002037686475124138	2.366475012245659	1.0	50.25
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.001991723622301789	2.356299079208447	1.0	26.78
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.0019711195848297015	2.355082561942923	1.0	35.91
