pathway	freq	padj	NES	stability	overlap
GOBP_CRANIAL_NERVE_STRUCTURAL_ORGANIZATION	1	0.24999839231671456	1.534122276942684	0.025	56.58
GOBP_FACIAL_NERVE_STRUCTURAL_ORGANIZATION	1	0.24999839231671456	1.534122276942684	0.025	56.58
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION	1	0.24995684439870178	1.53180171040642	0.025	60.01
GOBP_INORGANIC_ANION_TRANSPORT	1	0.24994760254117723	1.516787563297593	0.025	71.49
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.24976379524073772	-1.36373314362238	0.025	41.04
GOBP_HISTIDINE_METABOLIC_PROCESS	1	0.2497314118259368	1.5079620818360917	0.025	36.83
GOBP_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	0.24969747560492966	1.578417899085002	0.05	52.37
GOBP_TYROSINE_METABOLIC_PROCESS	1	0.24961442859592564	-1.4870111407632356	0.025	21.14
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS	1	0.24957952830047395	1.5554417026393732	0.025	9.64
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	2	0.2495607575363686	1.5358238616826272	0.05	72.66
GOBP_ASPARTATE_METABOLIC_PROCESS	3	0.24946436384271697	-1.3748761685623683	0.075	37.52
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.2490760172736418	1.556146896858131	0.025	73.99
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	1	0.24901152492987882	-1.495252366005407	0.025	7.09
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24893248754408162	1.5205372345970753	0.025	18.56
GOBP_MYOBLAST_DIFFERENTIATION	1	0.24884310522164182	-1.3524573436890939	0.025	23.46
GOBP_NEGATIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	1	0.24873037550783542	-1.3668818178214517	0.025	23.81
GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE	1	0.2484940421569525	-1.3537124890748833	0.025	38.54
GOBP_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.24846055567611572	1.5196302441795397	0.025	50.38
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	1	0.24820254802628283	1.538241510835305	0.025	62.17
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	1	0.24817443431414335	1.5223241642863945	0.025	31.39
GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	1	0.24775801563946845	-1.4889330169425594	0.025	22.31
GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS	1	0.24771013762905064	-1.3770459081761	0.025	24.45
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY	3	0.2476590418622858	1.5548031785362415	0.075	6.34
GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE	1	0.24765213225319985	-1.4677564598634367	0.025	25.94
GOBP_RIBOFLAVIN_TRANSPORT	1	0.24676664184855499	-1.6024932065706399	0.025	23.33
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24662443789641528	-1.3701089466660517	0.025	9.87
