pathway	freq	padj	NES	stability	overlap
GOBP_SYNAPSE_ORGANIZATION	1	0.24984662173174896	1.4969887715662133	1.0	44.66
GOBP_POSITIVE_REGULATION_OF_BIOMINERALIZATION	1	0.24971936171646136	1.4968649901125477	1.0	36.35
GOBP_FAT_PAD_DEVELOPMENT	1	0.24888924743682597	-1.3601754996892874	1.0	39.16
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	1	0.24882236672512378	-1.3603649607454795	1.0	39.48
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	1	0.24841352110113407	1.4985379947802746	1.0	47.86
GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.24727541583759852	-1.3619908137132852	1.0	22.28
GOBP_CELLULAR_RESPONSE_TO_LIPID	1	0.24678871345413142	-1.3625682004469748	1.0	12.73
GOBP_STRIATED_MUSCLE_CELL_PROLIFERATION	1	0.2465108278531986	-1.362965184621893	1.0	14.25
GOBP_SERTOLI_CELL_DEVELOPMENT	1	0.2464311667331536	-1.363159033893965	1.0	24.89
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT	1	0.24536812618373538	1.5020102143923404	1.0	44.86
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1	0.24534376605401848	1.5017839473614345	1.0	34.71
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION	1	0.2452603543785933	1.5016289450793627	1.0	6.58
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	1	0.24499554708081664	1.5028310162893714	1.0	40.34
GOBP_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION	1	0.24491209812909268	-1.3647498124445863	1.0	50.43
GOBP_DENDRITIC_CELL_CHEMOTAXIS	1	0.24489924359318996	-1.3648778245479833	1.0	28.07
GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	1	0.2448974174488593	1.502692419531184	1.0	39.51
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT	1	0.24451225531892862	-1.3654054696632472	1.0	17.66
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	0.24363204383017384	1.5042869448472005	1.0	53.47
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	1	0.2432154230190781	1.504949153233587	1.0	53.47
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	1	0.243149263976298	1.5052583956737895	1.0	15.44
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION	1	0.2428713523902003	-1.3672140349508777	1.0	17.15
GOBP_RESPONSE_TO_HUMAN_CHORIONIC_GONADOTROPIN	1	0.2424972665535962	1.506311421548346	1.0	17.33
GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	1	0.24247475334383445	-1.3677609589422557	1.0	56.7
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.2423963532877323	1.506139606116797	1.0	14.61
GOBP_PLASMA_MEMBRANE_ORGANIZATION	1	0.24227577789798854	-1.368202189555723	1.0	54.29
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	1	0.24221340762612997	-1.368146126268989	1.0	58.01
GOBP_CELLULAR_RESPONSE_TO_INDOLE_3_METHANOL	1	0.2419319377089719	-1.3686820171075968	1.0	31.34
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	1	0.24073370823487233	-1.370013903906578	1.0	49.01
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	1	0.23961734813597702	-1.3713917909264417	1.0	62.8
GOBP_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	1	0.23957921308644503	-1.371306174762368	1.0	51.41
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.23952878486693718	-1.3716006741921194	1.0	53.06
GOBP_GLYCOSIDE_METABOLIC_PROCESS	1	0.23913085996245148	1.509866650539749	1.0	15.25
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	1	0.23897464488122655	1.5097703976098729	1.0	36.94
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	1	0.23873092544317295	-1.3725557404875568	1.0	39.36
GOBP_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	1	0.23868817496439887	1.5114850458134041	1.0	35.19
GOBP_PROGESTERONE_METABOLIC_PROCESS	1	0.23861531043055506	1.5117898320611853	1.0	22.25
GOBP_LATERAL_SPROUTING_FROM_AN_EPITHELIUM	1	0.2385215761394642	1.5113962623882198	1.0	50.44
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	1	0.23850299847443823	1.5106819142432526	1.0	60.1
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	0.23839303730602318	-1.373032261405793	1.0	52.44
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.2383593155995373	1.511075195383187	1.0	22.84
GOBP_APPENDAGE_DEVELOPMENT	1	0.2383173356704992	1.5113394403468743	1.0	59.77
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	1	0.23791853708739202	-1.3736271493201977	1.0	40.86
GOBP_EXOCYTIC_PROCESS	1	0.2378547488050569	-1.373952015024364	1.0	21.97
GOBP_HISTONE_H4_R3_METHYLATION	1	0.23783553187756853	-1.3738371994529097	1.0	57.83
GOBP_MITOCHONDRIAL_TRANSCRIPTION	1	0.2373767868756549	-1.374723037789356	1.0	33.6
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	1	0.23735339011127876	-1.3746054691727336	1.0	18.27
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	1	0.23712091624780246	-1.375094088348632	1.0	55.49
GOBP_KERATINOCYTE_DEVELOPMENT	1	0.236784869299985	-1.3755759169222073	1.0	67.63
GOBP_ARACHIDONIC_ACID_SECRETION	1	0.23668099898770195	1.5140815549828284	1.0	44.14
GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	1	0.23657230452958838	-1.3761661644990955	1.0	56.79
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	1	0.23655201547335397	-1.3760657047879565	1.0	33.12
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1	0.2365019944005063	1.5140071813806049	1.0	31.0
GOBP_PURINE_NUCLEOTIDE_SALVAGE	1	0.23644792975843304	-1.3760524057661425	1.0	64.77
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY	1	0.2363559965826496	1.5146205262657526	1.0	1.54
GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION	1	0.23628302610876803	1.5161515188980825	1.0	10.98
GOBP_CLEAVAGE_FURROW_FORMATION	1	0.23628279055379253	-1.3765954665770588	1.0	43.66
GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	1	0.23616381580527465	1.5160331911045524	1.0	56.67
GOBP_PLASMINOGEN_ACTIVATION	1	0.23610093907275162	1.5155826850575267	1.0	58.98
GOBP_REGULATION_OF_COLLATERAL_SPROUTING	1	0.2359053170891631	1.5160274051286502	1.0	33.94
GOBP_BICARBONATE_TRANSPORT	1	0.23590261297422035	1.5155310610835222	1.0	59.26
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	1	0.23574907232950787	1.5154218029868376	1.0	43.49
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	1	0.2349670586010766	-1.3781912672928534	1.0	77.15
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	1	0.23493871426843235	-1.378097732504014	1.0	43.6
GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	1	0.23483392252962304	-1.3784435685509744	1.0	45.73
GOBP_DE_NOVO_PYRIMIDINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	1	0.23479583487325295	-1.3785979038317677	1.0	21.83
GOBP_DNA_TOPOLOGICAL_CHANGE	1	0.23446259814648976	-1.3791020749622904	1.0	18.83
GOBP_DISACCHARIDE_METABOLIC_PROCESS	1	0.23396117164453953	-1.3797701530761886	1.0	58.89
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	1	0.23387269856348802	-1.3800098667395826	1.0	62.8
GOBP_RESPONSE_TO_SALT	1	0.23322111970759615	-1.3809783741028496	1.0	64.94
GOBP_ERBB2_SIGNALING_PATHWAY	1	0.2331408853960018	-1.3809350515446752	1.0	21.62
GOBP_SPERM_DNA_CONDENSATION	1	0.23311048424234806	-1.3811938571261644	1.0	38.36
GOBP_INORGANIC_ANION_TRANSPORT	1	0.23200615100800254	1.5203486256668273	1.0	35.41
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	1	0.23191074170082623	1.5206826333423997	1.0	31.88
GOBP_ALKALOID_METABOLIC_PROCESS	1	0.23165445283515793	1.5211861524168302	1.0	25.89
GOBP_POSITIVE_REGULATION_OF_GONADOTROPIN_SECRETION	1	0.23143627705858458	1.5216374516165845	1.0	46.25
GOBP_HEPARIN_BIOSYNTHETIC_PROCESS	1	0.23117476960393052	-1.383342415599143	1.0	18.02
GOBP_SPERMATID_DIFFERENTIATION	1	0.23115354684869044	-1.3834956982103652	1.0	34.75
GOBP_PROTEIN_LOCALIZATION_TO_ADHERENS_JUNCTION	1	0.23109060652558358	-1.3836976446881855	1.0	21.47
GOBP_EMBRYONIC_NEUROCRANIUM_MORPHOGENESIS	1	0.23106576093491862	1.5222229364203648	1.0	18.92
GOBP_INFLAMMASOME_COMPLEX_ASSEMBLY	1	0.23103928256209894	-1.3838874587977592	1.0	40.6
GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_HEART_DEVELOPMENT	1	0.230740483383579	-1.3844415453277117	1.0	29.19
GOBP_RESPONSE_TO_MUSCLE_STRETCH	1	0.23071243147269518	-1.3843410566144403	1.0	64.4
GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	1	0.23065046204441975	-1.3846592931834505	1.0	19.73
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	1	0.23039098549679754	1.5235839934508204	1.0	68.21
GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	1	0.23019252039709184	1.5235296944847794	1.0	30.81
GOBP_ROOF_OF_MOUTH_DEVELOPMENT	1	0.23010565294340599	1.5246081658780926	1.0	39.32
GOBP_SENSORY_PERCEPTION_OF_TASTE	1	0.2300302088992772	1.5234364637832247	1.0	66.11
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1	0.22992308061357702	-1.3857105507094798	1.0	59.76
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.22989038858221358	-1.385610254667206	1.0	15.78
GOBP_PHOSPHOLIPID_HOMEOSTASIS	1	0.22985047204802228	1.5246009826583824	1.0	55.23
GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	1	0.22978729897761868	1.5244216816020317	1.0	51.26
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING	1	0.2297206150292028	-1.386171798619078	1.0	54.12
GOBP_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.22969580461169684	-1.3860722282268196	1.0	46.54
GOBP_GLOMERULAR_MESANGIUM_DEVELOPMENT	1	0.22935374945813697	1.5256359282382195	1.0	43.52
GOBP_NEUTROPHIL_DEGRANULATION	1	0.22899256990662548	-1.387060874657572	1.0	41.35
GOBP_LIMB_BUD_FORMATION	1	0.22843870444866018	1.52670060616852	1.0	58.37
GOBP_MEIOTIC_CELL_CYCLE_PROCESS	1	0.22827048141928022	-1.3879820565605676	1.0	34.2
GOBP_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	1	0.22824944623573432	1.5271282760430203	1.0	29.52
GOBP_REGULATION_OF_RESPONSE_TO_TUMOR_CELL	1	0.22793733678612166	-1.388474118641766	1.0	48.7
