pathway	freq	padj	NES	stability	overlap
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.24399421504360302	1.2925682496975197	1.0	46.3
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.2333814044240859	1.307499199361739	1.0	59.27
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.22915403555019717	1.3151716562428766	1.0	40.61
KEGG_PARKINSONS_DISEASE	1	0.22882376167515892	1.3186601796132675	1.0	49.41
KEGG_SPHINGOLIPID_METABOLISM	1	0.22583183856473418	1.3281863887843877	1.0	61.41
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.22380906645689427	1.3274963865770328	1.0	54.95
KEGG_HISTIDINE_METABOLISM	1	0.22238024230691042	1.33524524091956	1.0	57.41
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.20457027401012376	1.3590097082198611	1.0	37.13
KEGG_REGULATION_OF_AUTOPHAGY	1	0.16531048907765694	1.4159317783145648	1.0	13.36
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.15216687404167015	1.4385368820970048	1.0	46.66
KEGG_ALZHEIMERS_DISEASE	1	0.1343847831196695	1.4719913822165689	1.0	49.41
KEGG_BLADDER_CANCER	1	0.13406031150703374	1.4754331110319965	1.0	47.99
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.12453010026212724	1.4952287761689018	1.0	14.91
KEGG_PURINE_METABOLISM	1	0.11120421455529828	1.5227818325246185	1.0	65.54
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.10890977310241612	1.5305616196381182	1.0	24.13
KEGG_RNA_POLYMERASE	1	0.09843272771978993	1.5556791024433878	1.0	43.01
KEGG_PYRIMIDINE_METABOLISM	1	0.0976385359227623	1.5672706125922655	1.0	65.54
KEGG_PROPANOATE_METABOLISM	1	0.0967844111068992	1.572697644886364	1.0	68.95
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.09651931244482914	1.5667581369146075	1.0	66.78
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.09558650901213356	1.5658317411474894	1.0	48.03
