pathway	freq	padj	NES	stability	overlap
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	1	0.2498498998896887	-1.4885430027095723	0.017857142857142856	7.12
GOBP_L_KYNURENINE_METABOLIC_PROCESS	1	0.24972962050037403	-1.5260049965392304	0.017857142857142856	33.9
GOBP_CHOLESTEROL_STORAGE	1	0.2496208704832988	-1.3624674884357242	0.017857142857142856	29.52
GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS	1	0.24949458233033475	-1.3719060559924068	0.017857142857142856	49.08
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.2494877671734333	-1.3632262349400817	0.017857142857142856	41.0
GOBP_GASTRIC_ACID_SECRETION	1	0.24930634044896233	-1.5000667758961779	0.017857142857142856	37.86
GOBP_REGULATION_OF_RECEPTOR_LOCALIZATION_TO_SYNAPSE	1	0.24906655246124487	-1.3720056605361288	0.017857142857142856	40.47
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1	0.2488922173939419	1.525164384567496	0.017857142857142856	43.83
GOBP_NEGATIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION	3	0.2487867704681258	-1.402043440251741	0.05357142857142857	20.53
GOBP_MATING_BEHAVIOR	1	0.24867702835229777	-1.4282773174121162	0.017857142857142856	26.06
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.24852598122792702	1.5552604955124574	0.017857142857142856	73.98
GOBP_GUANINE_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT	2	0.2484764571539569	1.5155295275209932	0.03571428571428571	53.92
GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	6	0.24814154879869446	-1.3639122074421985	0.10714285714285714	14.299999999999999
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE	1	0.24800058565231572	-1.3652431143208215	0.017857142857142856	6.35
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_WOUND_HEALING	2	0.2478354112017579	1.5158295572053977	0.03571428571428571	49.64
GOBP_NEUROBLAST_PROLIFERATION	1	0.24766970388632828	-1.5291257554618902	0.017857142857142856	44.79
GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY	2	0.24748267985917705	1.5172172090341385	0.03571428571428571	46.4
GOBP_T_CELL_APOPTOTIC_PROCESS	1	0.24684240885348466	-1.4619098558401034	0.017857142857142856	30.92
GOBP_NEGATIVE_REGULATION_OF_POSTTRANSCRIPTIONAL_GENE_SILENCING	4	0.24684184778571308	-1.3659060181454392	0.07142857142857142	22.792499999999997
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS	3	0.24670683364007698	-1.4517528840103537	0.05357142857142857	46.123333333333335
GOBP_IRIS_MORPHOGENESIS	1	0.24656787754169027	1.5289217251170433	0.017857142857142856	25.19
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	3	0.24649657004703496	1.5050485771708437	0.05357142857142857	45.35999999999999
GOBP_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	1	0.24632068389299439	1.5286796667526552	0.017857142857142856	60.43
GOBP_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT	3	0.24626255557290003	1.6147705121230238	0.05357142857142857	48.84
GOBP_ANION_TRANSMEMBRANE_TRANSPORT	1	0.24622584356825647	1.506862314307861	0.017857142857142856	66.48
GOBP_POSITIVE_REGULATION_OF_NUCLEASE_ACTIVITY	1	0.24619912431653818	-1.3623640111191013	0.017857142857142856	29.49
GOBP_DOPAMINERGIC_NEURON_DIFFERENTIATION	1	0.24593553812107638	1.4953059870751708	0.017857142857142856	45.68
GOBP_CRISTAE_FORMATION	1	0.24591798737957113	-1.377327743461719	0.017857142857142856	19.87
GOBP_PHYSIOLOGICAL_CARDIAC_MUSCLE_HYPERTROPHY	1	0.2458596367977889	1.536192134257147	0.017857142857142856	40.86
GOBP_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY	2	0.2457618182836483	-1.3653345421293044	0.03571428571428571	30.43
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION	1	0.24574384751130549	-1.4060312166670086	0.017857142857142856	23.01
GOBP_POSITIVE_REGULATION_OF_CILIUM_MOVEMENT	5	0.2454993026853875	1.5642040362724343	0.08928571428571429	45.498000000000005
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	1	0.24539762838118093	1.4962564829723777	0.017857142857142856	47.93
GOBP_CORTICOSTEROID_RECEPTOR_SIGNALING_PATHWAY	3	0.24530155137190665	-1.378282703217768	0.05357142857142857	34.26
GOBP_MICROVILLUS_ORGANIZATION	1	0.2452842571396504	-1.3775146298774994	0.017857142857142856	33.88
GOBP_CARDIOLIPIN_ACYL_CHAIN_REMODELING	1	0.24511823235896338	1.5605425298009954	0.017857142857142856	44.37
GOBP_MESONEPHRIC_DUCT_DEVELOPMENT	1	0.24508184642981648	-1.5066462354747805	0.017857142857142856	39.95
GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION	1	0.24505541189764476	1.5326256272187697	0.017857142857142856	13.66
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION	6	0.24471975869300397	1.5061134068340971	0.10714285714285714	56.285
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	1	0.24470831296018117	1.5273308919902142	0.017857142857142856	58.94
GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	2	0.2446740379943298	1.547304246536434	0.03571428571428571	32.385
GOBP_REGULATION_OF_TRANSCRIPTION_BY_GLUCOSE	3	0.2446122944859437	-1.4348207018030825	0.05357142857142857	27.34
GOBP_PROTEIN_POLYGLUTAMYLATION	1	0.2445666635525883	1.532130177136312	0.017857142857142856	43.66
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	1	0.2444889361554883	1.5613708240998183	0.017857142857142856	21.55
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT	2	0.24445701823030652	0.019702895843358825	0.03571428571428571	27.2
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	3	0.2442999476854124	1.5232309308394696	0.05357142857142857	39.553333333333335
GOBP_REGULATION_OF_FEEDING_BEHAVIOR	1	0.24424308066296332	-1.5338598529166072	0.017857142857142856	36.77
GOBP_MICROVILLUS_ASSEMBLY	3	0.24413149541688173	-1.4084167338493299	0.05357142857142857	32.33
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS	1	0.2441123478350997	1.5631448303843212	0.017857142857142856	9.64
GOBP_UTERINE_SMOOTH_MUSCLE_CONTRACTION	3	0.24409056412784838	1.509745695921944	0.05357142857142857	48.53
GOBP_OTIC_VESICLE_MORPHOGENESIS	1	0.24408402836610468	1.4981155630027538	0.017857142857142856	44.56
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	3	0.24406399196524142	-1.4491640826899905	0.05357142857142857	18.06
GOBP_CEREBELLAR_GRANULAR_LAYER_FORMATION	1	0.24372865195591298	1.5697865528487775	0.017857142857142856	4.71
GOBP_G1_TO_G0_TRANSITION	2	0.24348878998532344	1.678406338633585	0.03571428571428571	54.865
GOBP_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	2	0.2432844189805124	-1.3572287447081768	0.03571428571428571	15.29
GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION	2	0.2432315430629149	1.525401654955431	0.03571428571428571	55.94
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	1	0.24321800783924133	1.5237047134861192	0.017857142857142856	63.63
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	2	0.2431380393059973	1.5255446950322182	0.03571428571428571	43.65
GOBP_NEUTROPHIL_EXTRAVASATION	2	0.24311290148159553	0.02362790359944955	0.03571428571428571	39.71
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	6	0.24294410571261002	-1.3651535562731905	0.10714285714285714	43.175000000000004
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24292112823751064	1.5311280619923227	0.017857142857142856	18.55
GOBP_NEGATIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	0.24278494090832836	-1.573581083403795	0.017857142857142856	34.18
GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	1	0.24276682171183925	-1.5110475951765183	0.017857142857142856	22.33
GOBP_REGULATION_OF_MUSCLE_ADAPTATION	1	0.2427644548845849	-1.3672002424888359	0.017857142857142856	17.89
GOBP_REGULATION_OF_PIGMENT_CELL_DIFFERENTIATION	1	0.24275631440195466	-1.372294790666993	0.017857142857142856	16.63
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	4	0.24268729822750185	-0.6977019366538392	0.07142857142857142	19.445
GOBP_VITAMIN_TRANSMEMBRANE_TRANSPORT	1	0.24268673600093005	-1.5621030618086902	0.017857142857142856	33.31
GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE	1	0.24252130703671268	-1.3751782720386196	0.017857142857142856	49.28
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	1	0.24218021383209573	-1.5533968979079478	0.017857142857142856	38.22
GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	2	0.24214196078910868	-1.4856622604939003	0.03571428571428571	18.125
GOBP_BRAIN_MORPHOGENESIS	3	0.24204281290724805	-1.38150696988857	0.05357142857142857	35.18
GOBP_OVULATION_CYCLE_PROCESS	5	0.24198823951800114	1.5063376444501784	0.08928571428571429	55.894000000000005
GOBP_CELLULAR_RESPONSE_TO_ANTIBIOTIC	1	0.24192583213130725	-1.5375025395773227	0.017857142857142856	23.27
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	1	0.24182628044553048	1.691927171407674	0.017857142857142856	77.18
GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION	1	0.2417028379214737	1.5018404153096565	0.017857142857142856	50.58
GOBP_CELL_FATE_COMMITMENT_INVOLVED_IN_FORMATION_OF_PRIMARY_GERM_LAYER	3	0.24163711728643866	1.5124435741063502	0.05357142857142857	48.79
GOBP_FUNGIFORM_PAPILLA_MORPHOGENESIS	2	0.24156101093943244	-1.360269064507114	0.03571428571428571	30.875
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	1	0.2415376140707582	-1.554160415296812	0.017857142857142856	29.87
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_CATABOLIC_PROCESS	1	0.24148054162337712	1.6706175443738434	0.017857142857142856	21.69
GOBP_ARTERY_DEVELOPMENT	2	0.24143205334652496	1.525844376234097	0.03571428571428571	57.99
GOBP_THERMOCEPTION	2	0.24138258909575794	1.569342689876735	0.03571428571428571	3.44
GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	1	0.2411568591377953	-1.4695247334454402	0.017857142857142856	42.01
GOBP_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	1	0.24113061775065936	-1.5552277146493618	0.017857142857142856	51.13
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION	3	0.24107565060271177	-1.52124182229573	0.05357142857142857	30.636666666666667
GOBP_SERINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	1	0.24099348152267902	1.5127790127545264	0.017857142857142856	39.42
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.24083952104740264	1.540429575838529	0.017857142857142856	22.0
GOBP_MAMMARY_GLAND_MORPHOGENESIS	1	0.24079790637632065	1.568888666762388	0.017857142857142856	14.24
GOBP_ENDOTHELIAL_CELL_FATE_COMMITMENT	1	0.2407964613100239	1.5395477945031892	0.017857142857142856	52.26
GOBP_SECRETORY_GRANULE_LOCALIZATION	1	0.24070354501149832	1.540816885337553	0.017857142857142856	39.9
GOBP_LUTEINIZING_HORMONE_SECRETION	9	0.24069860395191467	1.5072601426804395	0.16071428571428573	31.68
