pathway	freq	padj	NES	stability	overlap
GOBP_LEUKOCYTE_HOMEOSTASIS	1	0.24990638485050665	-1.3854110799818378	1.0	70.31
GOBP_TYPE_I_PNEUMOCYTE_DIFFERENTIATION	1	0.24834640493197058	-1.3872033485538124	1.0	22.02
GOBP_REGULATION_OF_ISOMERASE_ACTIVITY	1	0.24833625574856244	-1.3874771580530036	1.0	22.93
GOBP_REGULATION_OF_ASPARTIC_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	1	0.248263729209233	-1.3871533616021932	1.0	24.02
GOBP_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	1	0.24825715359178863	-1.3874296374740176	1.0	20.63
GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION	1	0.24822893213394573	-1.3878795441037877	1.0	44.96
GOBP_EMBRYONIC_PATTERN_SPECIFICATION	1	0.24814867534918658	1.6557944617669422	1.0	39.53
GOBP_BLASTOCYST_FORMATION	1	0.2481140284255689	-1.3882687645048029	1.0	52.65
GOBP_SLEEP	1	0.24810151179019274	-1.3881437187147796	1.0	69.9
GOBP_REGULATION_OF_LIGASE_ACTIVITY	1	0.24809300865885545	-1.387877871131505	1.0	33.44
GOBP_REGULATION_OF_T_CELL_EXTRAVASATION	1	0.24803842505629692	-1.388456192556696	1.0	31.07
GOBP_ETHANOL_CATABOLIC_PROCESS	1	0.2474940220783716	1.6572169427785166	1.0	21.44
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	1	0.24742366961251794	1.6567851857818146	1.0	31.51
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.24706681980042666	-1.3894988932143806	1.0	51.14
