pathway	freq	padj	NES	stability	overlap
GOBP_INTERFERON_ALPHA_PRODUCTION	1	0.2493264156895882	1.4185306374231303	1.0	29.48
GOBP_POLYAMINE_BIOSYNTHETIC_PROCESS	1	0.24927923405920893	1.4184409931787705	1.0	56.42
GOBP_MATURATION_OF_LSU_RRNA	1	0.24919079341663575	1.4188102996179401	1.0	77.69
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	1	0.24787720466262883	1.4202027599118079	1.0	38.47
GOBP_TUBE_FORMATION	1	0.2478693480119146	1.4203475029430026	1.0	29.37
GOBP_PHAGOSOME_MATURATION	1	0.24686447358946037	1.4218726824914625	1.0	57.11
GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT	1	0.24673556684612036	1.4218497330515547	1.0	50.01
GOBP_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	1	0.24662378015155664	1.4216828019400929	1.0	38.16
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2465977521196955	1.4218442143197814	1.0	53.32
GOBP_T_CELL_EXTRAVASATION	1	0.24600563947067003	1.422838270539926	1.0	49.49
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	1	0.24516604872085898	1.423746718066418	1.0	27.17
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	1	0.2440081264817135	1.4250155346755624	1.0	58.9
GOBP_DORSAL_VENTRAL_AXIS_SPECIFICATION	1	0.24340065817883755	1.4257396728885054	1.0	55.24
GOBP_PROTEIN_GERANYLGERANYLATION	1	0.2417819432932323	1.4274689554980304	1.0	2.83
GOBP_AGING	1	0.2414483253387571	1.4279281072792203	1.0	63.48
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION	1	0.24055239796787325	1.4289328417827094	1.0	77.56
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	1	0.24035365992428748	1.4292749465943626	1.0	55.97
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	1	0.24019145848150958	1.4298803098950332	1.0	42.72
GOBP_MITOCHONDRIAL_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	1	0.2401771331064684	1.42961333089607	1.0	48.75
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	1	0.2401758688732636	1.4297563697334477	1.0	26.19
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.23932866220901017	1.4308730916595962	1.0	38.16
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	1	0.23912508934632898	1.431201497680214	1.0	18.5
GOBP_REGULATION_OF_HELICASE_ACTIVITY	1	0.23866441770612806	1.4319309274513707	1.0	57.78
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	1	0.23858497240250592	1.431863405497901	1.0	74.76
GOBP_REGULATION_OF_JUN_KINASE_ACTIVITY	1	0.2380353326284606	1.4326832807560625	1.0	29.26
GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE	1	0.2378269788916269	1.4330168945115989	1.0	53.09
GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS	1	0.23683344523640007	1.434162621134113	1.0	41.99
GOBP_RESPONSE_TO_INACTIVITY	1	0.2361082875028271	1.4350368370983666	1.0	27.7
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	1	0.23593457394457493	1.4356118223415035	1.0	54.05
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1	0.23585861129448624	1.4358184987480236	1.0	40.01
GOBP_REGULATION_OF_WATER_LOSS_VIA_SKIN	1	0.23585110172758364	1.4353973872330934	1.0	15.67
GOBP_EXECUTION_PHASE_OF_APOPTOSIS	1	0.23585006940471587	1.4355492761363333	1.0	13.78
GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION	1	0.2355482847933969	1.4362583758416088	1.0	35.85
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	1	0.23536444371532914	1.4367273379783123	1.0	51.59
