pathway	freq	padj	NES	stability	overlap
GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING	1	0.2498684749503298	1.5299902716625016	0.025	53.9
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_CATABOLIC_PROCESS	1	0.24975516082210553	1.5544881135553852	0.025	23.28
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	1	0.24969810523807717	1.5358238616826272	0.025	72.66
GOBP_ASPARTATE_METABOLIC_PROCESS	3	0.24962060645313536	-1.3748761685623683	0.075	37.52
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	0.24955182765280498	-1.4587549869106826	0.025	37.81
GOBP_PARTURITION	1	0.24938420550582072	-1.4852911705716925	0.025	27.38
GOBP_BRAIN_MORPHOGENESIS	2	0.24936841454233216	-1.371173938733209	0.05	35.2
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.24935529975374668	-1.36373314362238	0.025	41.04
GOBP_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	0.2490192963768436	1.578417899085002	0.025	52.37
GOBP_FERTILIZATION	1	0.24898129263162805	1.5172126550416012	0.025	55.96
GOBP_HISTIDINE_METABOLIC_PROCESS	1	0.24889362607829937	1.5079620818360917	0.025	36.83
GOBP_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	1	0.24875779379579654	-1.562622433161321	0.025	34.87
GOBP_INSULIN_METABOLIC_PROCESS	1	0.2484999262721405	1.5207736692815175	0.025	60.51
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24838903538228463	1.5205372345970753	0.025	18.56
GOBP_MYOBLAST_DIFFERENTIATION	1	0.24828605305789267	-1.3504645984703225	0.025	23.77
GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE	1	0.24822891454682772	-1.3537124890748833	0.025	38.54
GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	2	0.24817576885146753	-1.3728861921841065	0.05	25.58
GOBP_TRANSEPITHELIAL_CHLORIDE_TRANSPORT	1	0.24790242557096698	-1.4887404051769084	0.025	50.25
GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION	1	0.24775072329149708	1.559120803781051	0.025	9.68
