pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	1	0.2493904237853239	-1.3900970170104536	1.0	23.22
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	1	0.24938126413508446	-1.3902607245424188	1.0	78.76
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1	0.24926236746210545	-1.3905213647503791	1.0	35.93
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	1	0.24864435844314944	-1.3912742042144282	1.0	23.07
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	1	0.2484761655160213	-1.391567290495489	1.0	37.79
GOBP_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	1	0.24783356528366196	-1.3923230982737993	1.0	43.47
GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT	1	0.24783216124559052	-1.3924544165352601	1.0	7.73
GOBP_NEGATIVE_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION	1	0.24778253893886742	-1.3926233898274318	1.0	50.68
GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	1	0.24773780928311237	-1.392792627227353	1.0	38.46
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	1	0.24772937740159703	1.6720734498667786	1.0	25.84
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOPLASM	1	0.2474909232962415	-1.3932944793053554	1.0	14.48
GOBP_DNA_REPLICATION_DEPENDENT_CHROMATIN_ORGANIZATION	1	0.2474660260730047	-1.3935989399634636	1.0	59.82
GOBP_RESPONSE_TO_MURAMYL_DIPEPTIDE	1	0.24745477104244729	-1.3931915343482133	1.0	20.7
GOBP_CDP_DIACYLGLYCEROL_METABOLIC_PROCESS	1	0.2473592190888585	-1.393558473568556	1.0	47.96
GOBP_PIGMENT_CELL_DIFFERENTIATION	1	0.24735586882406918	-1.3938508626280854	1.0	47.01
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY	1	0.24733703828987816	1.6718688337756022	1.0	42.29
GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	1	0.24732891552232872	-1.3941552441830019	1.0	38.36
GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH	1	0.24731323213369188	-1.3940376195136273	1.0	10.56
GOBP_RESPONSE_TO_CATECHOLAMINE	1	0.2470936181205388	-1.394531667619358	1.0	21.21
GOBP_RIBONUCLEOSIDE_CATABOLIC_PROCESS	1	0.24703475949601184	1.6716399831575524	1.0	24.76
GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS	1	0.24697657250262917	1.6702064368308787	1.0	18.32
GOBP_REGULATION_OF_ENDOCRINE_PROCESS	1	0.2466812262865879	1.6714202228819828	1.0	69.65
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	1	0.24620447236941595	1.6713082296739388	1.0	27.2
GOBP_POLYAMINE_METABOLIC_PROCESS	1	0.24579693120688448	-1.395947265705301	1.0	42.1
GOBP_LEUKOCYTE_DIFFERENTIATION	1	0.24543860115472937	-1.396428721862804	1.0	63.16
GOBP_EXPORT_FROM_CELL	1	0.24542152778165613	-1.3966047876637524	1.0	42.09
GOBP_RIGHTING_REFLEX	1	0.2451539615973183	1.674699959706931	1.0	17.91
GOBP_REGULATION_OF_SALIVA_SECRETION	1	0.2449932268740023	1.6754086033098536	1.0	38.2
GOBP_P38MAPK_CASCADE	1	0.2447250912777223	-1.3974259847109454	1.0	21.4
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	1	0.24367694075601024	1.6785347286169934	1.0	55.5
GOBP_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	1	0.24362492878805647	1.6771203606739546	1.0	39.89
GOBP_NEGATIVE_REGULATION_OF_COAGULATION	1	0.24322609806796083	1.678420493483642	1.0	25.4
GOBP_FIBROBLAST_APOPTOTIC_PROCESS	1	0.2430879949889669	-1.3993017540820416	1.0	55.27
GOBP_CHONDROCYTE_PROLIFERATION	1	0.24305480403140858	1.6780537614479976	1.0	23.88
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	1	0.24298242659505156	-1.3992692381910112	1.0	38.47
GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.24273761940376942	1.6798186643297726	1.0	26.76
GOBP_NECROTIC_CELL_DEATH	1	0.2426603915120491	-1.3998487175427217	1.0	61.92
GOBP_HISTONE_H4_K20_TRIMETHYLATION	1	0.2425643002370952	-1.4002333914828344	1.0	22.45
GOBP_VACUOLAR_ACIDIFICATION	1	0.24245510395737543	-1.4002047396922954	1.0	47.02
GOBP_SLEEP	1	0.2421316668131367	-1.4009328577164768	1.0	69.4
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	1	0.24202758966672872	-1.4009056787342096	1.0	49.35
GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS	1	0.24191459847918265	-1.4013885070422933	1.0	11.24
GOBP_HEPARIN_BIOSYNTHETIC_PROCESS	1	0.24182616368700666	-1.4013505804552233	1.0	16.93
GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY	1	0.2408448271071577	1.6818977099690862	1.0	30.26
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	1	0.24060169763879474	-1.4028329576080507	1.0	66.57
GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1	0.24002715962711052	1.6832439262707097	1.0	37.65
GOBP_POSITIVE_REGULATION_OF_HEART_RATE	1	0.23960037021257166	1.6841569773649143	1.0	58.42
GOBP_DOLICHOL_METABOLIC_PROCESS	1	0.2392309217391454	-1.4043220260847817	1.0	50.53
GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS	1	0.23916381838793707	-1.4045100351343647	1.0	36.43
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS	1	0.23816975384601274	1.686381463152337	1.0	61.57
GOBP_FEVER_GENERATION	1	0.23778751501605988	1.6862015790102398	1.0	58.01
GOBP_MEIOTIC_CELL_CYCLE_PHASE_TRANSITION	1	0.23734599208870752	1.6875273571194294	1.0	32.54
GOBP_RESPONSE_TO_HYDROSTATIC_PRESSURE	1	0.23724495640243273	-1.4065426183998586	1.0	30.09
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	1	0.2364002869233674	-1.4075454530343017	1.0	32.75
GOBP_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	1	0.23611167354998133	-1.407967965037497	1.0	45.45
GOBP_POST_EMBRYONIC_DEVELOPMENT	1	0.23581644945347086	-1.4084192312948265	1.0	32.11
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	1	0.23547248129922574	-1.4089163033597663	1.0	10.96
GOBP_VIRAL_TRANSLATIONAL_TERMINATION_REINITIATION	1	0.23528727081685186	-1.4092246529340293	1.0	29.23
GOBP_LABYRINTHINE_LAYER_DEVELOPMENT	1	0.2351647900846201	-1.4095044659090745	1.0	16.79
GOBP_EMBRYONIC_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	1	0.23495721768974454	-1.4099639397073112	1.0	48.73
GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	1	0.23487591345479208	-1.4099031752044147	1.0	49.94
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.23471286435521435	1.690154098319555	1.0	33.92
GOBP_CELL_FATE_DETERMINATION	1	0.23412890260019895	1.6910937768714511	1.0	65.18
GOBP_U4_SNRNA_3_END_PROCESSING	1	0.23295804089360847	-1.4120949504088989	1.0	34.22
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	1	0.2328068287782477	-1.412360304333865	1.0	38.29
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	1	0.23256644579921526	-1.412758976272387	1.0	61.9
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	1	0.2324952080499306	1.6930275478027896	1.0	26.77
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	1	0.23238010247006124	-1.4131069032527002	1.0	51.92
GOBP_PURINE_RIBONUCLEOTIDE_SALVAGE	1	0.2309486730732562	-1.414687720893797	1.0	60.4
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	1	0.23089465598315326	1.6948709642200677	1.0	35.46
GOBP_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	1	0.22968695646086834	-1.416145244671647	1.0	39.44
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	0.228569676833781	1.6973801289889847	1.0	34.4
GOBP_HISTONE_H3_K9_TRIMETHYLATION	1	0.22853173045793274	-1.4177610455187903	1.0	27.02
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID	1	0.22849805109666393	1.6979699064815093	1.0	21.96
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	1	0.22842709384641285	-1.4177367420467977	1.0	30.3
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	1	0.228405452230104	-1.4176270428967666	1.0	53.25
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.2279026355515775	-1.4185674313367749	1.0	55.0
GOBP_PRE_MIRNA_PROCESSING	1	0.227048354088088	-1.419628176256275	1.0	53.03
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA	1	0.2267628291952646	-1.4200775750937615	1.0	44.19
