pathway	freq	padj	stability	overlap
GOBP_MRNA_METABOLIC_PROCESS	1	1.242194986763576e-63	1.0	0.24845679012345678
GOBP_MRNA_PROCESSING	1	1.082748569842108e-56	1.0	0.2857142857142857
GOBP_RNA_SPLICING	1	4.348416043970758e-48	1.0	0.28165374677002586
GOBP_RNA_PROCESSING	1	3.0863396707471076e-45	1.0	0.16853932584269662
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.9213174383129492e-37	1.0	0.2912280701754386
GOBP_CHROMOSOME_ORGANIZATION	1	3.87160010469902e-37	1.0	0.16912599318955732
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.046818255476589e-36	1.0	0.12849494348602022
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	2.3081260840918563e-35	1.0	0.29615384615384616
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	6.196494364215948e-33	1.0	0.1295200525969757
GOBP_REGULATION_OF_MRNA_PROCESSING	1	1.0815945963097571e-27	1.0	0.3798449612403101
GOBP_HISTONE_MODIFICATION	1	4.768415677397685e-26	1.0	0.19474835886214442
GOBP_CHROMATIN_ORGANIZATION	1	2.453165950519593e-25	1.0	0.18867924528301888
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	1.6316344331997352e-24	1.0	0.11293153891164423
GOBP_REGULATION_OF_RNA_SPLICING	1	1.325442127511283e-22	1.0	0.323943661971831
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	2.907950880198973e-21	1.0	0.12217573221757322
GOBP_CELL_CYCLE	1	1.8635304771895637e-19	1.0	0.10909090909090909
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	1	4.03642590132689e-19	1.0	0.3684210526315789
GOBP_INTRACELLULAR_TRANSPORT	1	6.70868799636926e-19	1.0	0.11118980169971672
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	4.3119359970090835e-18	1.0	0.1282051282051282
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	1.5593937902277937e-17	1.0	0.13509933774834437
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	1.3585088752587671e-15	1.0	0.30357142857142855
GOBP_RNA_CATABOLIC_PROCESS	1	1.924150390595244e-15	1.0	0.20318725099601595
GOBP_MRNA_CATABOLIC_PROCESS	1	3.4443360034973318e-15	1.0	0.21904761904761905
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	2.0852763924776002e-14	1.0	0.11348205625606207
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	2.4125060271104684e-14	1.0	0.12467866323907455
GOBP_CELL_CYCLE_PROCESS	1	2.5668345655008117e-14	1.0	0.11304347826086956
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1	3.202097302028698e-14	1.0	0.16759776536312848
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1	4.8344635205103416e-14	1.0	0.09960681520314547
GOBP_DNA_REPAIR	1	7.555625683622423e-14	1.0	0.14669421487603307
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	1.028248353066169e-13	1.0	0.10120311394196745
GOBP_CELLULAR_RESPONSE_TO_STRESS	1	1.2261370783941494e-13	1.0	0.09571344685848503
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	1.4241693063774398e-13	1.0	0.10390625
GOBP_DNA_METABOLIC_PROCESS	1	2.1363476574471735e-13	1.0	0.12004950495049505
GOBP_HISTONE_METHYLATION	1	2.2461878041497807e-13	1.0	0.25
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	3.9968321140005103e-13	1.0	0.11940298507462686
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1	9.095639925117008e-13	1.0	0.09777478084962914
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	1.683266319813629e-12	1.0	0.18548387096774194
GOBP_RNA_EXPORT_FROM_NUCLEUS	1	3.097026622783713e-12	1.0	0.3246753246753247
GOBP_PROTEIN_METHYLATION	1	3.5249821527160227e-12	1.0	0.21764705882352942
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	7.19094814655065e-12	1.0	0.12748344370860928
GOBP_RNA_LOCALIZATION	1	7.236539710183158e-12	1.0	0.20765027322404372
GOBP_CHROMOSOME_SEGREGATION	1	7.236539710183158e-12	1.0	0.1650485436893204
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	1	8.136366738952499e-12	1.0	0.22818791946308725
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1	8.87427817498283e-12	1.0	0.1037567084078712
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1	8.87427817498283e-12	1.0	0.11148648648648649
