pathway	freq	padj	NES	stability	overlap
GOBP_VIRAL_RNA_GENOME_REPLICATION	1	0.24971740688333494	1.384152794094562	1.0	49.63
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	1	0.24958673188179745	1.3841463248991568	1.0	12.66
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	1	0.24947494046558716	1.3841250419372026	1.0	56.99
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.24938919610411414	1.3846044115753613	1.0	51.56
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1	0.24857287709390663	1.3855319358259237	1.0	82.74
GOBP_CENTROSOME_SEPARATION	1	0.24856560066455383	1.3856692170257032	1.0	56.92
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_5_PRODUCTION	1	0.24796873922557422	1.386382367202428	1.0	29.43
GOBP_REGULATION_OF_CHROMATIN_BINDING	1	0.24698282144558767	1.3874890003102875	1.0	70.14
GOBP_POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	1	0.24696009764317528	1.3876434127737907	1.0	55.38
GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	1	0.24657342782288386	1.3881440686762356	1.0	64.89
GOBP_NK_T_CELL_PROLIFERATION	1	0.24523987210692233	1.389548555194842	1.0	34.37
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	1	0.24480988145867863	1.3901156756838657	1.0	65.02
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.24440393175644085	1.390762960192242	1.0	45.26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1	0.244351430647019	1.3906819352983415	1.0	43.89
GOBP_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	1	0.24314122520798223	1.3921003842789537	1.0	30.56
GOBP_BONE_TRABECULA_MORPHOGENESIS	1	0.2430376938827601	1.3923196728237464	1.0	25.26
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	1	0.24164235668764683	1.3938152669444714	1.0	37.87
GOBP_CELL_SUBSTRATE_ADHESION	1	0.24071840127791938	1.394863179076568	1.0	70.94
GOBP_METHYLGUANOSINE_CAP_DECAPPING	1	0.24054438969435712	1.3951822810956431	1.0	70.72
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	1	0.24005620482832188	1.3958409323515275	1.0	43.68
GOBP_NEGATIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	1	0.2396623187013908	1.3969160686320872	1.0	50.72
GOBP_RESPONSE_TO_PROSTAGLANDIN_E	1	0.23954903784230905	1.396900190160685	1.0	35.91
GOBP_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	1	0.23950820098577724	1.3965255936832013	1.0	31.27
GOBP_PIECEMEAL_MICROAUTOPHAGY_OF_THE_NUCLEUS	1	0.2394254790978557	1.3968888595566853	1.0	41.38
