pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	1.242194986763576e-63	1.0	0.24845679012345678	['RBMX', 'SUGP2', 'PHRF1', 'NCBP3', 'PPWD1', 'DHX36', 'PRKACA', 'THRAP3', 'RBM4', 'ISY1', 'CDK12', 'CPSF7', 'ZC3H13', 'REST', 'RBM41', 'DHX9', 'SETX', 'RBM39', 'SLTM', 'PAPOLA', 'PAXBP1', 'EFTUD2', 'RBMXL1', 'SF3A3', 'PRPF8', 'PPP1R8', 'PRPF40A', 'EXOSC10', 'TCERG1', 'SRSF11', 'RBBP6', 'SERBP1', 'GPKOW', 'USP4', 'GRSF1', 'PRPF4B', 'PDCD11', 'ADAR', 'HNRNPA1L2', 'SECISBP2', 'YTHDF3', 'SF3B4', 'GIGYF2', 'IWS1', 'AGO1', 'TTC37', 'DDX1', 'RAVER1', 'SUPT6H', 'HNRNPD', 'YTHDC1', 'METTL14', 'RPRD1B', 'PCF11', 'SRSF3', 'SMG8', 'TRA2B', 'RNF40', 'ECD', 'DDX17', 'DBR1', 'PNRC2', 'CDC40', 'U2AF2', 'MLH1', 'AHCYL1', 'PUM2', 'PAN2', 'SART1', 'SRSF1', 'SF1', 'NSRP1', 'SMG6', 'SCAF8', 'SRSF2', 'NUP98', 'SF3A1', 'CWC25', 'LARP7', 'CBLL1', 'DDX46', 'PRPF38B', 'CNOT10', 'SF3B3', 'CWC22', 'COIL', 'RPRD2', 'APOBEC4', 'SRSF4', 'ROCK2', 'PRPF19', 'MYD88', 'UPF1', 'HNRNPU', 'AQR', 'SUGP1', 'RBM5', 'MFAP1', 'RNF20', 'SMNDC1', 'TARDBP', 'SAMD4B', 'BUD13', 'RBM19', 'MED1', 'LEO1', 'SYNCRIP', 'CMTR1', 'YTHDF2', 'AGO3', 'HNRNPM', 'SAFB', 'KHSRP', 'RBM27', 'HNRNPH3', 'ELAVL1', 'HNRNPR', 'PTBP1', 'SCAF4', 'CASC3', 'ZRANB2', 'SFPQ', 'KHDRBS1', 'TTF2', 'DHX15', 'CSDE1', 'FUS', 'DHX8', 'AAR2', 'STAT3', 'PRMT9', 'XRN1', 'NBAS', 'SNIP1', 'SON', 'DIS3', 'CDC73', 'SART3', 'RBM14', 'SSB', 'NCBP2', 'LUC7L2', 'HNRNPF', 'HNRNPL', 'DDX23', 'SF3B1', 'FXR1', 'HNRNPK', 'GTPBP1', 'SF3B2', 'CELF1', 'WDR33', 'DCP1A', 'SRSF10', 'PUM1', 'MAPK14', 'SNW1', 'DDX5', 'TAF3', 'RBM25', 'DAZAP1']
GOBP_MRNA_PROCESSING	1	1.082748569842108e-56	1.0	0.2857142857142857	['RBMX', 'SUGP2', 'PHRF1', 'NCBP3', 'PPWD1', 'DHX36', 'PRKACA', 'THRAP3', 'RBM4', 'ISY1', 'CDK12', 'CPSF7', 'ZC3H13', 'REST', 'RBM41', 'DHX9', 'SETX', 'RBM39', 'SLTM', 'PAXBP1', 'PAPOLA', 'EFTUD2', 'RBMXL1', 'SF3A3', 'PRPF8', 'PPP1R8', 'PRPF40A', 'TCERG1', 'SRSF11', 'RBBP6', 'GPKOW', 'USP4', 'GRSF1', 'PRPF4B', 'PDCD11', 'ADAR', 'HNRNPA1L2', 'SF3B4', 'IWS1', 'DDX1', 'RAVER1', 'SUPT6H', 'YTHDC1', 'METTL14', 'RPRD1B', 'PCF11', 'SRSF3', 'TRA2B', 'RNF40', 'ECD', 'DDX17', 'DBR1', 'CDC40', 'U2AF2', 'AHCYL1', 'PAN2', 'SART1', 'SRSF1', 'SF1', 'NSRP1', 'SCAF8', 'SRSF2', 'NUP98', 'SF3A1', 'CWC25', 'LARP7', 'DDX46', 'PRPF38B', 'SF3B3', 'CWC22', 'COIL', 'RPRD2', 'APOBEC4', 'SRSF4', 'PRPF19', 'AQR', 'HNRNPU', 'SUGP1', 'RBM5', 'MFAP1', 'RNF20', 'SMNDC1', 'TARDBP', 'BUD13', 'RBM19', 'LEO1', 'SYNCRIP', 'CMTR1', 'HNRNPM', 'SAFB', 'KHSRP', 'RBM27', 'HNRNPH3', 'HNRNPR', 'PTBP1', 'SCAF4', 'CASC3', 'ZRANB2', 'SFPQ', 'KHDRBS1', 'TTF2', 'DHX15', 'DHX8', 'AAR2', 'PRMT9', 'SNIP1', 'SON', 'CDC73', 'SART3', 'RBM14', 'NCBP2', 'LUC7L2', 'HNRNPF', 'HNRNPL', 'DDX23', 'SF3B1', 'FXR1', 'HNRNPK', 'SF3B2', 'CELF1', 'WDR33', 'SRSF10', 'DDX5', 'SNW1', 'RBM25', 'DAZAP1']
GOBP_RNA_SPLICING	1	4.348416043970758e-48	1.0	0.28165374677002586	['RBMX', 'SUGP2', 'THRAP3', 'PPWD1', 'RBM12', 'RBM4', 'ISY1', 'MPHOSPH10', 'CDK12', 'ZC3H13', 'REST', 'RBM41', 'DHX9', 'SETX', 'RBM39', 'PAXBP1', 'EFTUD2', 'RBMXL1', 'SF3A3', 'PRPF8', 'PPP1R8', 'PRPF40A', 'TCERG1', 'HNRNPH2', 'POLR2A', 'SRSF11', 'GPKOW', 'USP4', 'GRSF1', 'PRPF4B', 'HNRNPA1L2', 'SF3B4', 'IWS1', 'DDX1', 'RAVER1', 'SUPT6H', 'YTHDC1', 'METTL14', 'SRSF3', 'TRA2B', 'ECD', 'DDX17', 'DBR1', 'CDC40', 'U2AF2', 'SART1', 'SRSF1', 'SF1', 'NSRP1', 'CLK2', 'SRSF2', 'NUP98', 'SF3A1', 'CWC25', 'LARP7', 'PPIG', 'DDX46', 'PRPF38B', 'SF3B3', 'CWC22', 'COIL', 'SRSF4', 'PRPF19', 'HNRNPU', 'AQR', 'SUGP1', 'RBM5', 'MFAP1', 'PDCD7', 'SMNDC1', 'TARDBP', 'BUD13', 'RBM19', 'SYNCRIP', 'PPP1R9B', 'HNRNPM', 'KHSRP', 'HNRNPH3', 'HNRNPR', 'PTBP1', 'CASC3', 'ZRANB2', 'SFPQ', 'KHDRBS1', 'TTF2', 'DHX15', 'FUS', 'DHX8', 'AAR2', 'SNIP1', 'SON', 'ZNF638', 'SART3', 'RBM14', 'NCBP2', 'LUC7L2', 'HNRNPF', 'HNRNPL', 'DDX23', 'SF3B1', 'FXR1', 'HNRNPK', 'SF3B2', 'CELF1', 'SRSF10', 'DDX5', 'SNW1', 'RBM25', 'DAZAP1']
GOBP_RNA_PROCESSING	1	3.0863396707471076e-45	1.0	0.16853932584269662	['RBMX', 'SUGP2', 'PHRF1', 'NCBP3', 'PPWD1', 'THRAP3', 'PRKACA', 'DHX36', 'RBM12', 'RBM4', 'ISY1', 'MPHOSPH10', 'CDK12', 'AARS2', 'CPSF7', 'ZC3H13', 'DDX18', 'REST', 'FTSJ3', 'RBM41', 'DHX9', 'SETX', 'RBM39', 'DDX54', 'SLTM', 'PAPOLA', 'NOL8', 'EFTUD2', 'PAXBP1', 'RBMXL1', 'SF3A3', 'PRPF8', 'PPP1R8', 'PRPF40A', 'EXOSC10', 'TCERG1', 'HNRNPH2', 'POLR2A', 'SRSF11', 'RBBP6', 'WDR43', 'GPKOW', 'HNRNPUL1', 'USP4', 'GRSF1', 'PRPF4B', 'WDR46', 'PDCD11', 'ADAR', 'HNRNPA1L2', 'TYW1', 'TSN', 'SF3B4', 'IWS1', 'NOLC1', 'AGO1', 'DDX1', 'RAVER1', 'CHERP', 'INTS14', 'SUPT6H', 'HNRNPD', 'YTHDC1', 'METTL14', 'RPRD1B', 'PCF11', 'SRSF3', 'C9orf64', 'RNF40', 'TRA2B', 'ECD', 'DDX17', 'DBR1', 'RIPK1', 'METTL6', 'CDC40', 'U2AF2', 'NAT10', 'AHCYL1', 'PUM2', 'PAN2', 'SART1', 'SRSF1', 'SF1', 'DIS3L', 'NSRP1', 'CLK2', 'WDR6', 'NOL10', 'SCAF8', 'SRSF2', 'NUP98', 'SNORA52', 'SF3A1', 'CWC25', 'LARP7', 'PPIG', 'DDX46', 'PRPF38B', 'INTS3', 'SF3B3', 'SNORD10', 'CWC22', 'COIL', 'RPRD2', 'APOBEC4', 'SRSF4', 'PRPF19', 'TRMT10B', 'NOL11', 'HNRNPU', 'AQR', 'SUGP1', 'RBM5', 'MFAP1', 'RNF20', 'PDCD7', 'SMNDC1', 'U2SURP', 'TARDBP', 'BUD13', 'RBM19', 'DDX3X', 'LEO1', 'SYNCRIP', 'CMTR1', 'PPP1R9B', 'AGO3', 'YTHDF2', 'HNRNPM', 'SAFB', 'KHSRP', 'RBM27', 'HNRNPH3', 'HNRNPR', 'PTBP1', 'SCAF4', 'CASC3', 'ZRANB2', 'TSR1', 'SFPQ', 'KHDRBS1', 'QTRT2', 'DHX15', 'HEATR1', 'TTF2', 'FUS', 'DHX8', 'RPL7L1', 'AAR2', 'STAT3', 'UTP14C', 'PRMT9', 'NCOR2', 'WDR3', 'SNIP1', 'SON', 'DIS3', 'CDC73', 'ZNF638', 'SART3', 'RBM14', 'SSB', 'NCBP2', 'LUC7L2', 'HNRNPF', 'HNRNPL', 'DDX23', 'SF3B1', 'FXR1', 'HNRNPK', 'SF3B2', 'CELF1', 'WDR33', 'SRSF10', 'PUM1', 'DDX5', 'SNW1', 'RBM25', 'DAZAP1']
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.9213174383129492e-37	1.0	0.2912280701754386	['RBMX', 'PPWD1', 'THRAP3', 'RBM4', 'ISY1', 'MPHOSPH10', 'REST', 'RBM41', 'DHX9', 'SETX', 'RBM39', 'PAXBP1', 'EFTUD2', 'RBMXL1', 'SF3A3', 'PRPF8', 'PRPF40A', 'GPKOW', 'USP4', 'PRPF4B', 'SF3B4', 'DDX1', 'RAVER1', 'YTHDC1', 'METTL14', 'SRSF3', 'TRA2B', 'DDX17', 'DBR1', 'CDC40', 'U2AF2', 'SART1', 'SRSF1', 'SF1', 'NSRP1', 'SRSF2', 'NUP98', 'SF3A1', 'CWC25', 'LARP7', 'DDX46', 'SF3B3', 'CWC22', 'COIL', 'SRSF4', 'PRPF19', 'HNRNPU', 'AQR', 'RBM5', 'MFAP1', 'SMNDC1', 'BUD13', 'RBM19', 'SYNCRIP', 'HNRNPM', 'KHSRP', 'HNRNPH3', 'HNRNPR', 'PTBP1', 'CASC3', 'SFPQ', 'KHDRBS1', 'AAR2', 'DAZAP1', 'SNIP1', 'SON', 'SART3', 'RBM14', 'NCBP2', 'LUC7L2', 'HNRNPF', 'HNRNPL', 'DDX23', 'SF3B1', 'FXR1', 'HNRNPK', 'SF3B2', 'CELF1', 'SRSF10', 'DDX5', 'SNW1', 'RBM25', 'DHX8']
GOBP_CHROMOSOME_ORGANIZATION	1	3.87160010469902e-37	1.0	0.16912599318955732	['ZNF207', 'DHX36', 'ZW10', 'RAD50', 'TRAPPC12', 'XRCC5', 'ING5', 'MAU2', 'KDM5C', 'STAG3L1', 'ARID2', 'RUVBL1', 'BCORL1', 'HCFC1', 'TTI1', 'BRD1', 'DHX9', 'SETX', 'CHD2', 'INO80', 'TSPYL1', 'KDM3B', 'SETD1B', 'EXOSC10', 'CHD8', 'MTA2', 'MCMBP', 'NFRKB', 'NUP133', 'KAT6B', 'WAPL', 'TNKS2', 'KDM5B', 'PDS5A', 'STAG2', 'JMJD1C', 'DDX1', 'KDM3A', 'KDM2A', 'SETD2', 'SUPT6H', 'NUMA1', 'EZH1', 'HNRNPD', 'KMT2A', 'MAP1S', 'EML3', 'YTHDC1', 'RCOR1', 'ARID1B', 'POGZ', 'RNF40', 'HDAC6', 'BAZ1B', 'ERCC3', 'ARID4B', 'TERF2', 'STAG1', 'MLH1', 'NAT10', 'RPA1', 'BAZ2B', 'SMG6', 'CHD9', 'TOP2B', 'GATAD2A', 'KMT2C', 'BRD2', 'NUP62', 'BRD4', 'RSF1', 'SMARCA5', 'CDC23', 'MSH2', 'ZNF445', 'PSME4', 'HMG20A', 'EP300', 'YY1', 'NSD1', 'EPC2', 'CDC27', 'SMARCAL1', 'CHAMP1', 'UPF1', 'NCAPD3', 'MSL1', 'HNRNPU', 'RELA', 'CHD4', 'GATAD2B', 'SETD1A', 'RNF20', 'ARID4A', 'SSRP1', 'IKZF1', 'RECQL5', 'PHF20', 'PDCD6IP', 'DDX3X', 'ANAPC1', 'DCLRE1B', 'ATR', 'ZNF335', 'KMT2E', 'RLIM', 'TLK2', 'SETDB1', 'DCAF1', 'SAFB', 'LATS1', 'RBL2', 'CENPI', 'KIF4B', 'NDC80', 'CHTF8', 'CUL3', 'MRE11', 'ASH1L', 'EP400', 'SLF2', 'SFPQ', 'CTCF', 'WAC', 'TRRAP', 'SRCAP', 'MCM3AP', 'XRN1', 'TNKS1BP1', 'SMYD5', 'ARID1A', 'BAG6', 'MSH6', 'SMC1A', 'KANSL3', 'SART3', 'KDM6A', 'MAP2K7', 'SMC3', 'SMARCC1', 'EMSY', 'SMC5', 'CDAN1', 'PHF2', 'BPTF', 'SMARCAD1', 'RSBN1', 'AKAP8', 'HDAC7']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.046818255476589e-36	1.0	0.12849494348602022	['RBMX', 'QRICH1', 'ZNF143', 'DHX36', 'THRAP3', 'RAD50', 'ZNF398', 'XRCC5', 'CDK12', 'FUBP3', 'ING5', 'GTF2I', 'FAM168A', 'PAXIP1', 'USF3', 'REST', 'ARID2', 'RUVBL1', 'CRTC2', 'ASXL2', 'YAP1', 'HCFC1', 'ILF3', 'DHX9', 'SETX', 'SP3', 'INO80', 'MAP3K2', 'TCF20', 'TRIM56', 'PAXBP1', 'SKI', 'RBMXL1', 'PPRC1', 'CHD8', 'TCERG1', 'NEK4', 'MTA2', 'POLR2A', 'LPIN3', 'NFRKB', 'DEK', 'WDR43', 'ATAD2B', 'MED12', 'CIZ1', 'GRSF1', 'KAT6B', 'GLYR1', 'UBP1', 'TNKS2', 'ARNT', 'AP3D1', 'ELF1', 'NFKB1', 'TOPORS', 'YTHDF3', 'SF3B4', 'GIGYF2', 'NOLC1', 'AGO1', 'KDM3A', 'EDRF1', 'SUPT6H', 'EZH1', 'KMT2A', 'HNRNPD', 'TFE3', 'TP53BP1', 'VCP', 'ARID1B', 'RPRD1B', 'POGZ', 'METTL14', 'BCLAF1', 'TRA2B', 'ZNF746', 'ECD', 'UBTF', 'DDX17', 'RIPK1', 'RNF10', 'BAZ1B', 'ARID4B', 'TERF2', 'U2AF2', 'PRDM4', 'MLH1', 'CCAR1', 'NRF1', 'PAN2', 'ELF2', 'GMEB1', 'SCAF8', 'NUP98', 'KMT2C', 'BRD4', 'NUP62', 'LARP7', 'SMARCA5', 'PCBP1', 'RSF1', 'TCF12', 'TAF1L', 'MSH2', 'ZNF445', 'EP300', 'YY1', 'NSD1', 'EPC2', 'CAMKK2', 'AATF', 'ZNF148', 'ROCK2', 'ZNF507', 'PRPF19', 'XPC', 'MBTPS2', 'RPTOR', 'BMPR2', 'USP9X', 'UPF1', 'NOL11', 'HNRNPU', 'PKNOX1', 'RELA', 'RNF20', 'TARDBP', 'ARID4A', 'SAMD4B', 'OTUD4', 'ERCC6', 'RAI1', 'DDX3X', 'MED1', 'LEO1', 'ATR', 'SYNCRIP', 'MED17', 'VEZF1', 'ZNF335', 'KMT2E', 'CREB1', 'YTHDF2', 'DPF2', 'CD4', 'KHSRP', 'CHTF8', 'PRDM2', 'ACTR2', 'ZSWIM8', 'MRE11', 'NCOA6', 'ASH1L', 'ELL', 'GPBP1L1', 'EP400', 'TMF1', 'SLF2', 'SFPQ', 'HEATR1', 'CTCF', 'CSDE1', 'WAC', 'TRRAP', 'FUS', 'GTF2F1', 'PPP1R12A', 'STAT3', 'ZNF609', 'SRCAP', 'ZNF112', 'NPAT', 'RNF111', 'LHX4', 'VHL', 'ARID1A', 'WDR48', 'MMS19', 'ZNF451', 'MTF1', 'DIS3', 'ZNF845', 'ZNF197', 'CDC73', 'KANSL3', 'PIM2', 'RBM14', 'NCBP2', 'MAP2K7', 'ZBED4', 'BTRC', 'TEAD1', 'TRIP11', 'SS18', 'CEBPZ', 'SMARCC1', 'ATF6', 'SF3B1', 'GTPBP1', 'HNRNPK', 'PSMC5', 'PHF2', 'BPTF', 'CELF1', 'NAA15', 'DCP1A', 'GCN1', 'YES1', 'PUM1', 'CCNK', 'DDX5', 'MAPK14', 'SNW1', 'TAF3', 'DAZAP1']
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	2.3081260840918563e-35	1.0	0.29615384615384616	['RBMX', 'THRAP3', 'DHX36', 'RBM4', 'CPSF7', 'REST', 'DHX9', 'RBM39', 'SLTM', 'PAPOLA', 'RBMXL1', 'SERBP1', 'SECISBP2', 'YTHDF3', 'SF3B4', 'GIGYF2', 'IWS1', 'RAVER1', 'SUPT6H', 'HNRNPD', 'YTHDC1', 'METTL14', 'SRSF3', 'TRA2B', 'RNF40', 'DDX17', 'U2AF2', 'MLH1', 'AHCYL1', 'PUM2', 'PAN2', 'SF1', 'NSRP1', 'SRSF2', 'NUP98', 'LARP7', 'CWC22', 'SRSF4', 'ROCK2', 'PRPF19', 'MYD88', 'UPF1', 'HNRNPU', 'RBM5', 'RNF20', 'TARDBP', 'SAMD4B', 'SYNCRIP', 'LEO1', 'HNRNPM', 'YTHDF2', 'SAFB', 'KHSRP', 'ELAVL1', 'PTBP1', 'CASC3', 'KHDRBS1', 'CSDE1', 'FUS', 'NBAS', 'SON', 'DIS3', 'CDC73', 'NCBP2', 'HNRNPL', 'HNRNPK', 'FXR1', 'GTPBP1', 'CELF1', 'DCP1A', 'SRSF10', 'PUM1', 'MAPK14', 'DDX5', 'SNW1', 'RBM25', 'DAZAP1']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	6.196494364215948e-33	1.0	0.1295200525969757	['RBMX', 'QRICH1', 'ZNF143', 'DHX36', 'THRAP3', 'ZNF398', 'CDK12', 'FUBP3', 'GTF2I', 'ING5', 'PAXIP1', 'USF3', 'REST', 'CRTC2', 'RUVBL1', 'ILF3', 'ASXL2', 'YAP1', 'HCFC1', 'SP3', 'DHX9', 'SETX', 'INO80', 'MAP3K2', 'TCF20', 'TRIM56', 'PAXBP1', 'SKI', 'RBMXL1', 'PPRC1', 'CHD8', 'TCERG1', 'NEK4', 'MTA2', 'POLR2A', 'LPIN3', 'NFRKB', 'DEK', 'WDR43', 'ATAD2B', 'MED12', 'GRSF1', 'KAT6B', 'GLYR1', 'UBP1', 'ARNT', 'AP3D1', 'ELF1', 'NFKB1', 'TOPORS', 'YTHDF3', 'SF3B4', 'GIGYF2', 'NOLC1', 'AGO1', 'KDM3A', 'EDRF1', 'SUPT6H', 'EZH1', 'KMT2A', 'HNRNPD', 'TFE3', 'TP53BP1', 'ARID1B', 'RPRD1B', 'POGZ', 'METTL14', 'BCLAF1', 'TRA2B', 'ZNF746', 'ECD', 'UBTF', 'DDX17', 'RIPK1', 'RNF10', 'BAZ1B', 'ARID4B', 'U2AF2', 'PRDM4', 'MLH1', 'CCAR1', 'NRF1', 'PAN2', 'ELF2', 'GMEB1', 'SCAF8', 'NUP98', 'KMT2C', 'BRD4', 'NUP62', 'LARP7', 'SMARCA5', 'PCBP1', 'RSF1', 'TCF12', 'TAF1L', 'ZNF445', 'EP300', 'YY1', 'NSD1', 'CAMKK2', 'AATF', 'ZNF148', 'ROCK2', 'ZNF507', 'PRPF19', 'XPC', 'MBTPS2', 'RPTOR', 'BMPR2', 'UPF1', 'NOL11', 'HNRNPU', 'PKNOX1', 'RELA', 'RNF20', 'TARDBP', 'ARID4A', 'SAMD4B', 'ERCC6', 'RAI1', 'DDX3X', 'MED1', 'LEO1', 'SYNCRIP', 'MED17', 'VEZF1', 'ZNF335', 'KMT2E', 'CREB1', 'YTHDF2', 'DPF2', 'CD4', 'KHSRP', 'PRDM2', 'ACTR2', 'ZSWIM8', 'NCOA6', 'ASH1L', 'ELL', 'GPBP1L1', 'TMF1', 'SFPQ', 'HEATR1', 'CTCF', 'CSDE1', 'WAC', 'FUS', 'GTF2F1', 'PPP1R12A', 'STAT3', 'ZNF609', 'SRCAP', 'ZNF112', 'NPAT', 'RNF111', 'LHX4', 'VHL', 'ARID1A', 'MMS19', 'ZNF451', 'MTF1', 'DIS3', 'ZNF845', 'ZNF197', 'CDC73', 'KANSL3', 'PIM2', 'RBM14', 'NCBP2', 'MAP2K7', 'ZBED4', 'BTRC', 'TEAD1', 'TRIP11', 'SS18', 'CEBPZ', 'SMARCC1', 'ATF6', 'SF3B1', 'GTPBP1', 'HNRNPK', 'PSMC5', 'PHF2', 'BPTF', 'CELF1', 'NAA15', 'DCP1A', 'GCN1', 'YES1', 'PUM1', 'CCNK', 'DDX5', 'MAPK14', 'SNW1', 'TAF3', 'DAZAP1']
GOBP_REGULATION_OF_MRNA_PROCESSING	1	1.0815945963097571e-27	1.0	0.3798449612403101	['RBMX', 'THRAP3', 'DHX36', 'KHDRBS1', 'RBM4', 'SF3B4', 'CWC22', 'IWS1', 'CPSF7', 'SRSF4', 'RAVER1', 'REST', 'PRPF19', 'SUPT6H', 'DHX9', 'YTHDC1', 'SON', 'SRSF3', 'HNRNPU', 'RBM39', 'CDC73', 'RNF40', 'TRA2B', 'RBM5', 'SLTM', 'PAPOLA', 'RNF20', 'DDX17', 'LARP7', 'RBMXL1', 'NCBP2', 'U2AF2', 'LEO1', 'HNRNPL', 'AHCYL1', 'SF1', 'HNRNPK', 'FXR1', 'NSRP1', 'CELF1', 'SRSF2', 'SAFB', 'SRSF10', 'NUP98', 'DDX5', 'SNW1', 'RBM25', 'DAZAP1', 'PTBP1']
