pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	1	1.6384477671486035e-20	1.0	0.3253968253968254	['RBMX', 'DDX46', 'PRPF38B', 'SF3B3', 'SF3B4', 'DHX15', 'ISY1', 'SRSF4', 'PRPF19', 'CHERP', 'HNRNPU', 'AQR', 'SRSF3', 'TRA2B', 'DDX42', 'EFTUD2', 'SMNDC1', 'U2SURP', 'SF3A3', 'PRPF8', 'NCBP2', 'CDC40', 'U2AF2', 'PRPF40A', 'TCERG1', 'DDX23', 'SART1', 'SRSF1', 'SF3B1', 'HNRNPK', 'HNRNPM', 'PCBP1', 'SF3B2', 'SRSF2', 'SRSF10', 'DDX5', 'SNW1', 'RBM25', 'SF3A1', 'DHX8', 'HNRNPA1L2']
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	1.735821192642885e-08	1.0	0.2076923076923077	['UBE2Q1', 'UBA1', 'UBE3B', 'UBE2D3', 'XIAP', 'CDC27', 'PRPF19', 'PIAS4', 'VHL', 'CUL1', 'DDB1', 'UBE2O', 'CUL4A', 'FBXW8', 'UBE4A', 'CUL5', 'ITCH', 'BTRC', 'PIAS1', 'ANAPC1', 'UBE2Z', 'HUWE1', 'UBE3C', 'UBE4B', 'ANAPC10', 'CUL3', 'CDC23']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.0036492987783619977	1.0	0.1440677966101695	['ARHGDIA', 'CRKL', 'MAP2K7', 'PTPN11', 'PRDM4', 'MAP3K3', 'GRB2', 'MAPK14', 'YWHAG', 'BRAF', 'GAB1', 'RELA', 'KIDINS220', 'SOS2', 'NFKB1', 'SOS1', 'SH2B3']
KEGG_RENAL_CELL_CARCINOMA	1	0.01840105157497757	1.0	0.15942028985507245	['PAK2', 'CRKL', 'PTPN11', 'VHL', 'EP300', 'GRB2', 'ARNT', 'BRAF', 'GAB1', 'SOS2', 'SOS1']
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.01840105157497757	1.0	0.2	['CREB1', 'ARHGDIA', 'DYNC1LI2', 'PRKACA', 'DYNLL2', 'RAB5C', 'DYNC1I2', 'DYNC1H1']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.018758192634677564	1.0	0.12962962962962962	['STAM2', 'JAK1', 'PIAS4', 'PTPN11', 'EP300', 'IL5RA', 'PIAS1', 'GRB2', 'IL10RA', 'SOS1', 'SOS2', 'TYK2', 'STAT3', 'SOCS5']
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.018758192634677564	1.0	0.17647058823529413	['RIPK1', 'SIKE1', 'OTUD5', 'CYLD', 'MAPK14', 'DDX3X', 'RELA', 'AZI2', 'NFKB1']
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.018971625675700696	1.0	0.18604651162790697	['CUL4A', 'XPC', 'GTF2H3', 'ERCC6', 'ERCC3', 'DDB1', 'RPA1', 'POLD3']
KEGG_RNA_DEGRADATION	1	0.022044925923875528	1.0	0.16363636363636364	['PAPOLA', 'XRN1', 'DCP1A', 'CNOT10', 'DDX6', 'EXOSC10', 'DIS3', 'CNOT4', 'TTC37']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.02332780422149323	1.0	0.1262135922330097	['GRAP2', 'VAV2', 'PAK2', 'MAP2K7', 'DLG1', 'CD4', 'GRB2', 'MAPK14', 'LCK', 'RELA', 'SOS2', 'NFKB1', 'SOS1']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.02332780422149323	1.0	0.15789473684210525	['RPS6KB1', 'PIM2', 'GRB2', 'STAT3', 'BRAF', 'RELA', 'SOS2', 'NFKB1', 'SOS1']
KEGG_ENDOCYTOSIS	1	0.03395186383783581	1.0	0.10285714285714286	['ARF6', 'STAM2', 'PIP5K1C', 'RABEP1', 'ARFGAP2', 'AP2B1', 'ITCH', 'PIKFYVE', 'RAB5C', 'GRK2', 'PDCD6IP', 'PIP4K2B', 'HGS', 'EEA1', 'GIT2', 'STAMBP', 'RBSN', 'ACAP2']
KEGG_MISMATCH_REPAIR	1	0.03968057118168832	1.0	0.22727272727272727	['MSH2', 'MLH1', 'MSH6', 'RPA1', 'POLD3']
KEGG_GNRH_SIGNALING_PATHWAY	1	0.041293863681329805	1.0	0.125	['PLA2G4B', 'GNA11', 'PRKACA', 'MAP3K2', 'MAP2K7', 'GRB2', 'MAP3K3', 'MAPK14', 'SOS2', 'JMJD7-PLA2G4B', 'SOS1']
KEGG_LYSINE_DEGRADATION	1	0.050334359586968185	1.0	0.1590909090909091	['SETD1A', 'SETDB1', 'ASH1L', 'SETD2', 'AASDHPPT', 'SETD1B', 'NSD1']
