pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	1	0.24867373721876568	1.338950528628755	1.0	70.22	['ADK', 'AMD1', 'MTAP', 'DHFR2', 'HPRT1', 'PNP', 'NT5E', 'APRT', 'PRTFDC1', 'DTYMK', 'UCKL1', 'ADA', 'ADAL', 'TK2']
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	1	0.24811668871594755	1.3396326425853384	1.0	16.48	['KDM2B', 'PRKACA', 'TSC1', 'MTHFD1L', 'DVL3', 'APAF1', 'PHACTR4', 'STK4', 'SETD2', 'TSC2', 'SUFU', 'KIF20B', 'SEMA4C', 'NPHP3', 'GRHL2', 'OPA1', 'DVL2', 'LUZP1', 'SKI', 'MIB1', 'STIL', 'TULP3', 'ARHGAP35', 'CELSR1', 'TRAF6', 'MED12', 'MTHFD1', 'GRSF1', 'TGFB1', 'PLXNB2', 'SEC24B', 'HECTD1', 'BRD2', 'IFT122', 'ABL1', 'BCL10']
GOBP_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	1	0.24786499057766154	1.3400140258486173	1.0	61.91	['PJA2', 'TNIP2', 'TLR6', 'TIRAP', 'IRAK1', 'MFHAS1', 'LGALS9', 'TLR1', 'PIK3AP1', 'TREM2', 'TNFAIP3', 'NOD2', 'RIPK2', 'LYN', 'TLR2']
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	1	0.24658389201770456	1.3416148947802706	1.0	56.24	['BCL9', 'STK11', 'CLDN1', 'ING2', 'SMAD5', 'SMURF1', 'SKIL', 'EMILIN1', 'NR3C1', 'LTBP4', 'LEMD3', 'TGFBR2', 'ZMIZ1', 'MAPK7', 'ZFP36L2', 'SKI', 'SNX6', 'CRKL', 'DUSP22', 'GLG1', 'FKBP1A', 'ADAM17', 'ZEB2', 'LRRC32', 'PTK2', 'CDH5', 'LPXN', 'ROCK1', 'RUNX3', 'ACVR1', 'STRAP', 'IGF1R', 'TGFB1I1', 'SNX25', 'CX3CR1', 'ZBTB7A', 'PPARA', 'HSP90AB1', 'FAM89B', 'NPNT', 'FERMT2', 'C20orf27', 'FNTA', 'ZMIZ2', 'TRIM33', 'SPRED2', 'SPRY2', 'SDCBP', 'PTPRK', 'STUB1', 'ACVRL1', 'SPRED1', 'ITGA3', 'HTRA1', 'CITED2', 'SPRY1', 'BCL9L', 'COL4A2', 'PRDM16', 'MTMR4', 'MEF2C', 'TGFB3', 'CD109', 'SMAD7', 'ZYX', 'SPI1', 'PML', 'ADAM9', 'PDPK1', 'ZFP36L1', 'PMEPA1', 'TGFB1', 'GIPC1', 'NRROS', 'FBN1', 'ITGB5', 'FGFR2', 'SRC', 'SMAD2', 'EP300', 'HDAC2', 'CFLAR', 'MYOCD', 'ROCK2', 'ITGA8', 'ZFYVE9', 'USP9X', 'LATS2', 'CRK', 'PXN', 'PDE2A', 'LTBP3', 'EID2', 'APPL2', 'SMAD3', 'BMPR1A', 'STK16', 'LIMS1', 'SMAD1', 'MEN1', 'FOLR1', 'JUN', 'TGFBRAP1', 'DNM2', 'LATS1', 'SIRT1', 'LTBP1', 'HSPA5', 'AXIN1', 'ABL1', 'ZFHX3', 'LTBP2', 'ARRB2', 'PEG10', 'IL17RD', 'ENG', 'TGFBR1', 'PDCD5', 'CREBBP', 'STAT3', 'PPM1A', 'APAF1', 'SPRED3', 'RNF111', 'TAB1', 'ZNF451', 'EPB41L5', 'SMAD6', 'PIN1', 'ADAMTSL2', 'PAK2', 'SMAD4', 'ZEB1', 'NLK', 'HSPA1A', 'APPL1', 'ITGB1', 'MAP3K7', 'PARP1', 'YES1', 'HIPK2', 'SMURF2', 'SNW1', 'FLCN', 'DAB2', 'LDLRAD4']
GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	1	0.2465092008121585	1.3415674716827253	1.0	51.67	['RTN4', 'HMGB1', 'RSAD2', 'PTPN22', 'SLC15A4']
GOBP_PROTEIN_UFMYLATION	1	0.2463877386505843	1.3419089098156978	1.0	56.32	['UBA5', 'UFC1', 'UFM1', 'CDK5RAP3', 'UFL1', 'DDRGK1']
GOBP_PROTEASOME_ASSEMBLY	1	0.24617572690258535	1.3422278592969372	1.0	66.69	['PSMD10', 'PSMD9', 'ADRM1', 'PSMG1', 'PSMG2', 'PSMG4', 'PSMD11', 'PSMG3', 'PSMD5', 'POMP', 'OTUD6B']
GOBP_VITAMIN_B6_METABOLIC_PROCESS	1	0.2461673983834356	1.3423442260205327	1.0	32.06	['PDXK', 'PDXP', 'PNPO', 'PSAT1']
GOBP_CELLULAR_PIGMENTATION	1	0.24603961237883903	1.3425995206311134	1.0	76.63	['BLOC1S1', 'DCTN2', 'MKKS', 'BCL2', 'RAB17', 'BLOC1S5', 'PIKFYVE', 'BBS4', 'RAB1A', 'MYO7A', 'PMEL', 'RAB11A', 'HPS4', 'MLPH', 'KIF13A', 'RAB27A', 'RAB38', 'RAB11B', 'BLOC1S4', 'BBS2', 'VPS33B', 'RAB27B', 'MREG', 'DTNBP1', 'CD63', 'RAB29', 'BLOC1S3', 'MYO5A', 'AP1M1', 'RAB32', 'ARL6', 'ABCB6', 'CDH3', 'AP1G1', 'LYST', 'BBS7', 'BLOC1S2', 'ZEB2', 'AP3B1', 'BBS5', 'SHROOM3', 'HPS1', 'BLOC1S6', 'SHROOM2', 'VPS33A', 'SNAPIN', 'AP3D1', 'ANKRD27']
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	1	0.24583423133080473	1.3429327209814184	1.0	44.59	['C1QC', 'INPP5D', 'TRIB1', 'RARA', 'ZBTB46', 'CUL4A']
