pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	1.2025199535304737e-63	1.0	0.24845679012345678	['ISY1', 'DBR1', 'SART3', 'CSDE1', 'PNRC2', 'SNRNP40', 'SF3B1', 'RAVER1', 'PAXBP1', 'PRPF19', 'RPRD2', 'CNOT10', 'CPSF3', 'SLTM', 'HNRNPF', 'SFPQ', 'AGO1', 'PAPOLA', 'AHCYL1', 'YTHDF2', 'SNRNP200', 'PRPF38A', 'TTC37', 'KHDRBS1', 'AGO3', 'CMTR1', 'YTHDC1', 'LUC7L2', 'DIS3', 'EFTUD2', 'WDR33', 'ATF2', 'SF1', 'SMNDC1', 'SREK1', 'RPRD1B', 'EXOSC10', 'TCERG1', 'GIGYF2', 'CWC22', 'SERBP1', 'PRMT9', 'REST', 'SRSF2', 'DHX36', 'CDC73', 'CWC25', 'THRAP3', 'HNRNPU', 'SRSF11', 'PRPF40A', 'PRKACA', 'DHX15', 'LEO1', 'ELAVL1', 'DDX5', 'GRSF1', 'DAZAP1', 'SF3A3', 'SAFB', 'MFAP1', 'HNRNPC', 'COIL', 'RBM25', 'DDX20', 'FXR1', 'KHSRP', 'SRSF3', 'PRPF8', 'METTL14', 'SRSF4', 'PHRF1', 'NUP98', 'NBAS', 'SRSF10', 'HNRNPM', 'RNF40', 'SCAF4', 'MLH1', 'NCBP3', 'ADAR', 'HNRNPD', 'PRPF4B', 'SAMD4B', 'HNRNPL', 'RBMX', 'DDX46', 'DHX8', 'NCBP2', 'HNRNPH1', 'RNF20', 'CPSF7', 'U2AF2', 'SCAF8', 'FUS', 'PRPF38B', 'SF3A1', 'SUGP2', 'SNIP1', 'SF3B3', 'PDCD11', 'STAT3', 'SMG1', 'SETX', 'RBBP6', 'NSRP1', 'RBM41', 'ROCK2', 'CBLL1', 'DCP1A', 'PUM1', 'CASC3', 'DHX9', 'RBM39', 'CWC27', 'RBM14', 'SMG6', 'IWS1', 'BUD13', 'PTBP1', 'SSB', 'DDX17', 'PPP1R8', 'SYNCRIP', 'SMG8', 'DDX23', 'HNRNPR', 'TARDBP', 'GTPBP1', 'AQR', 'SON', 'PUM2', 'CDK12', 'RBM27', 'PCF11', 'RRP1B', 'PPWD1', 'NCBP1', 'SUPT6H', 'ECD', 'RBMXL1', 'DDX1', 'TAF3', 'SF3B2', 'UPF1', 'MAPK14', 'TTF2', 'CELF1', 'SNW1', 'SRSF1', 'AAR2', 'XRN1', 'SUGP1', 'LARP7', 'CDC40', 'HNRNPK', 'TRA2B', 'HNRNPA3', 'MED1', 'HNRNPA1L2', 'ZC3H13']
GOBP_MRNA_PROCESSING	1	9.386989352646047e-58	1.0	0.28863636363636364	['ISY1', 'DBR1', 'SART3', 'SNRNP40', 'SF3B1', 'RAVER1', 'PAXBP1', 'PRPF19', 'RPRD2', 'CPSF3', 'SLTM', 'HNRNPF', 'SFPQ', 'PAPOLA', 'AHCYL1', 'PRPF38A', 'SNRNP200', 'KHDRBS1', 'CMTR1', 'YTHDC1', 'LUC7L2', 'EFTUD2', 'WDR33', 'SF1', 'SMNDC1', 'SREK1', 'RPRD1B', 'TCERG1', 'CWC22', 'PRMT9', 'REST', 'SRSF2', 'DHX36', 'CDC73', 'CWC25', 'THRAP3', 'HNRNPU', 'SRSF11', 'PRPF40A', 'PRKACA', 'DHX15', 'LEO1', 'DDX5', 'GRSF1', 'DAZAP1', 'SF3A3', 'SAFB', 'MFAP1', 'HNRNPC', 'COIL', 'RBM25', 'DDX20', 'FXR1', 'KHSRP', 'SRSF3', 'PRPF8', 'METTL14', 'SRSF4', 'PHRF1', 'NUP98', 'SRSF10', 'HNRNPM', 'RNF40', 'SCAF4', 'NCBP3', 'ADAR', 'PRPF4B', 'HNRNPL', 'RBMX', 'DHX8', 'DDX46', 'NCBP2', 'HNRNPH1', 'RNF20', 'CPSF7', 'U2AF2', 'SCAF8', 'PRPF38B', 'SF3A1', 'SUGP2', 'SNIP1', 'SF3B3', 'PDCD11', 'SETX', 'RBBP6', 'NSRP1', 'RBM41', 'CASC3', 'DHX9', 'RBM39', 'CWC27', 'RBM14', 'IWS1', 'BUD13', 'PTBP1', 'DDX17', 'PPP1R8', 'SYNCRIP', 'DDX23', 'HNRNPR', 'TARDBP', 'AQR', 'SON', 'CDK12', 'RBM27', 'PCF11', 'RRP1B', 'PPWD1', 'NCBP1', 'SUPT6H', 'ECD', 'RBMXL1', 'DDX1', 'SF3B2', 'TTF2', 'CELF1', 'SNW1', 'SRSF1', 'AAR2', 'SUGP1', 'LARP7', 'CDC40', 'HNRNPK', 'TRA2B', 'HNRNPA3', 'HNRNPA1L2', 'ZC3H13']
GOBP_RNA_SPLICING	1	4.767938299407109e-50	1.0	0.28756476683937826	['ISY1', 'DBR1', 'SART3', 'SNRNP40', 'SF3B1', 'RAVER1', 'PAXBP1', 'PRPF19', 'HNRNPF', 'SFPQ', 'PPP1R9B', 'PRPF38A', 'SNRNP200', 'KHDRBS1', 'YTHDC1', 'LUC7L2', 'EFTUD2', 'SF1', 'SMNDC1', 'POLR2A', 'SREK1', 'TCERG1', 'CWC22', 'REST', 'SRSF2', 'CWC25', 'THRAP3', 'HNRNPU', 'SRSF11', 'PRPF40A', 'DHX15', 'DDX5', 'GRSF1', 'DAZAP1', 'SF3A3', 'MPHOSPH10', 'MFAP1', 'HNRNPC', 'COIL', 'RBM25', 'DDX20', 'FXR1', 'KHSRP', 'SRSF3', 'PRPF8', 'METTL14', 'SRSF4', 'NUP98', 'SRSF10', 'HNRNPM', 'PRPF4B', 'HNRNPL', 'RBMX', 'DHX8', 'DDX46', 'NCBP2', 'HNRNPH1', 'RBM12', 'U2AF2', 'CLK2', 'FUS', 'PRPF38B', 'SF3A1', 'SUGP2', 'SNIP1', 'SF3B3', 'SETX', 'NSRP1', 'RBM41', 'CASC3', 'PDCD7', 'DHX9', 'RBM39', 'CWC27', 'RBM14', 'IWS1', 'BUD13', 'ZNF638', 'PTBP1', 'PPIG', 'DDX17', 'PPP1R8', 'SYNCRIP', 'DDX23', 'HNRNPR', 'TARDBP', 'AQR', 'SON', 'CDK12', 'RRP1B', 'HNRNPH2', 'PPWD1', 'NCBP1', 'SUPT6H', 'ECD', 'RBMXL1', 'DDX1', 'SF3B2', 'TTF2', 'CELF1', 'SNW1', 'SRSF1', 'AAR2', 'SUGP1', 'LARP7', 'CDC40', 'HNRNPK', 'TRA2B', 'HNRNPA3', 'HNRNPA1L2', 'ZC3H13']
GOBP_RNA_PROCESSING	1	4.152727197293453e-49	1.0	0.17415730337078653	['ISY1', 'DBR1', 'SART3', 'SNRNP40', 'SF3B1', 'TYW3', 'RAVER1', 'PAXBP1', 'DDX54', 'SRFBP1', 'PRPF19', 'RPRD2', 'CPSF3', 'SLTM', 'UTP14C', 'HNRNPF', 'SFPQ', 'PPP1R9B', 'AGO1', 'WDR46', 'AHCYL1', 'NCOR2', 'PAPOLA', 'YTHDF2', 'PRPF38A', 'SNRNP200', 'KHDRBS1', 'AGO3', 'RPL7L1', 'NOL9', 'CMTR1', 'CHERP', 'YTHDC1', 'METTL6', 'LUC7L2', 'DIS3', 'EFTUD2', 'WDR33', 'SF1', 'SMNDC1', 'HEATR1', 'DDX18', 'INTS3', 'POLR2A', 'HNRNPUL1', 'SREK1', 'WDR43', 'RPRD1B', 'EXOSC10', 'TCERG1', 'FTSJ3', 'CWC22', 'PRMT9', 'REST', 'SRSF2', 'NOL11', 'DHX36', 'CDC73', 'CWC25', 'THRAP3', 'HNRNPU', 'SRSF11', 'PRPF40A', 'PRKACA', 'DHX15', 'LEO1', 'DDX5', 'GRSF1', 'ESF1', 'SF3A3', 'DAZAP1', 'MPHOSPH10', 'SAFB', 'MFAP1', 'HNRNPC', 'COIL', 'RBM25', 'DDX20', 'FXR1', 'KHSRP', 'SRSF3', 'PRPF8', 'METTL14', 'NAF1', 'NAT10', 'SRSF4', 'PHRF1', 'NUP98', 'TSN', 'SRSF10', 'HNRNPM', 'RNF40', 'SCAF4', 'NCBP3', 'ADAR', 'HNRNPD', 'PRPF4B', 'HNRNPL', 'RBMX', 'DHX8', 'DDX46', 'NCBP2', 'HNRNPH1', 'RBM12', 'RNF20', 'CPSF7', 'U2AF2', 'SCAF8', 'CLK2', 'FUS', 'PRPF38B', 'SF3A1', 'SUGP2', 'SNIP1', 'SF3B3', 'PDCD11', 'STAT3', 'SETX', 'RBBP6', 'NSRP1', 'RBM41', 'PUM1', 'CASC3', 'WDR75', 'PDCD7', 'DHX9', 'QTRT2', 'RBM39', 'CWC27', 'RBM14', 'NOL8', 'IWS1', 'BUD13', 'WDR3', 'ZNF638', 'PTBP1', 'RIPK1', 'PPIG', 'SSB', 'INTS14', 'DDX17', 'TRMT10B', 'PPP1R8', 'SNORD10', 'U2SURP', 'SYNCRIP', 'AARS2', 'DDX23', 'HNRNPR', 'TARDBP', 'DIS3L', 'AQR', 'SON', 'PUM2', 'CDK12', 'RBM27', 'PCF11', 'RRP1B', 'HNRNPH2', 'DDX3X', 'ZC3H7A', 'PPWD1', 'NCBP1', 'NOL10', 'SUPT6H', 'ECD', 'RBMXL1', 'DDX1', 'SF3B2', 'TTF2', 'CELF1', 'SNW1', 'NOLC1', 'TYW1', 'SRSF1', 'AAR2', 'SUGP1', 'LARP7', 'CDC40', 'HNRNPK', 'TSR1', 'TRA2B', 'HNRNPA3', 'HNRNPA1L2', 'SNORA52', 'ZC3H13']
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.6558545734842034e-38	1.0	0.29577464788732394	['ISY1', 'DBR1', 'SART3', 'SNRNP40', 'SF3B1', 'RAVER1', 'PAXBP1', 'PRPF19', 'HNRNPF', 'SFPQ', 'PRPF38A', 'SNRNP200', 'KHDRBS1', 'YTHDC1', 'LUC7L2', 'EFTUD2', 'SF1', 'SMNDC1', 'CWC22', 'REST', 'SRSF2', 'CWC25', 'THRAP3', 'HNRNPU', 'PRPF40A', 'DDX5', 'DAZAP1', 'SF3A3', 'MPHOSPH10', 'MFAP1', 'HNRNPC', 'COIL', 'RBM25', 'DDX20', 'FXR1', 'KHSRP', 'SRSF3', 'PRPF8', 'METTL14', 'SRSF4', 'NUP98', 'SRSF10', 'HNRNPM', 'PRPF4B', 'HNRNPL', 'RBMX', 'DDX46', 'DHX8', 'NCBP2', 'HNRNPH1', 'U2AF2', 'SF3A1', 'SNIP1', 'SF3B3', 'SETX', 'NSRP1', 'RBM41', 'CASC3', 'DHX9', 'RBM39', 'CWC27', 'RBM14', 'BUD13', 'PTBP1', 'DDX17', 'SYNCRIP', 'DDX23', 'HNRNPR', 'AQR', 'SON', 'PPWD1', 'NCBP1', 'RBMXL1', 'DDX1', 'SF3B2', 'CELF1', 'SNW1', 'SRSF1', 'AAR2', 'LARP7', 'CDC40', 'HNRNPK', 'TRA2B', 'HNRNPA3']
GOBP_CHROMOSOME_ORGANIZATION	1	6.580806737477873e-36	1.0	0.16685584562996594	['RIF1', 'SART3', 'MCM9', 'KDM5B', 'MSH6', 'MSH2', 'ARID1A', 'KAT6B', 'ARID2', 'SFPQ', 'CHD8', 'PHF2', 'RLIM', 'SSRP1', 'POGZ', 'SMARCC1', 'NUP133', 'BAG6', 'YTHDC1', 'CHTF8', 'NUP62', 'HMG20A', 'PDS5A', 'LATS1', 'MSL1', 'RELA', 'JMJD1C', 'ING5', 'EP300', 'EPC2', 'EXOSC10', 'PSME4', 'SMYD5', 'MCMBP', 'CDC27', 'PBRM1', 'DHX36', 'RAN', 'ATR', 'HNRNPU', 'SRCAP', 'DCLRE1B', 'RSF1', 'CDC23', 'SAFB', 'HNRNPC', 'KPNB1', 'SMC5', 'EP400', 'ERCC3', 'GATAD2B', 'NAF1', 'HAT1', 'NAT10', 'RUVBL1', 'MRE11', 'RNF40', 'KDM3A', 'MLH1', 'NSD1', 'KMT2E', 'BRD2', 'HNRNPD', 'TTI1', 'CHAMP1', 'TRRAP', 'KDM2A', 'BPTF', 'RNF20', 'MAP2K7', 'SETDB1', 'RERE', 'ARID1B', 'ASH1L', 'STAG1', 'NFRKB', 'SETD1A', 'SMARCAL1', 'STAG3L1', 'KDM5C', 'SMG1', 'SETX', 'BRD1', 'IKZF1', 'MAU2', 'BAZ1B', 'RECQL5', 'PDCD6IP', 'STAG2', 'KDM6A', 'SLF2', 'AKAP8', 'RBL2', 'SMARCA5', 'CUL3', 'ARID4B', 'ZW10', 'RPA1', 'SMC1A', 'ZNF207', 'DHX9', 'SMG6', 'HDAC6', 'RCOR1', 'TNKS2', 'SMC3', 'YY1', 'CDAN1', 'BRD4', 'KMT2A', 'MCM3AP', 'HCFC1', 'DCAF1', 'CHD4', 'ANAPC1', 'KANSL3', 'TLK2', 'KDM3B', 'ZNF445', 'RSBN1', 'DDX3X', 'PHF20', 'EMSY', 'NCAPD3', 'WAPL', 'SETD1B', 'MBTD1', 'SUPT6H', 'XRCC5', 'DDX1', 'TOP2B', 'TSPYL1', 'RAD50', 'UPF1', 'NUMA1', 'XRN1', 'ERCC6L', 'CHD2', 'SIN3A', 'BCORL1', 'MTA2', 'SHPRH', 'SMARCAD1', 'CTCF', 'KMT2C', 'INO80', 'SETD2']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.324954796334858e-35	1.0	0.1272294887039239	['RIF1', 'SP3', 'MED14', 'CRTC2', 'PAXIP1', 'PCBP1', 'CSDE1', 'ARNT', 'GLYR1', 'CCAR1', 'SF3B1', 'MMS19', 'PAXBP1', 'ZNF148', 'PRPF19', 'MSH2', 'ARID1A', 'PIM2', 'KAT6B', 'ARID2', 'GPBP1L1', 'SFPQ', 'MED1', 'AGO1', 'ILF3', 'PHF2', 'CHD8', 'YTHDF2', 'POGZ', 'NRF1', 'BTRC', 'SMARCC1', 'OTUD4', 'NPAT', 'ZNF609', 'CHTF8', 'DIS3', 'NUP62', 'ZNF746', 'ATF2', 'GTF2F1', 'HEATR1', 'ELL', 'RELA', 'ZSWIM8', 'POLR2A', 'QRICH1', 'TFE3', 'WDR43', 'RPRD1B', 'ING5', 'EP300', 'EPC2', 'BMPR2', 'TCERG1', 'GPBP1', 'DEK', 'MED12', 'GIGYF2', 'TAF1L', 'CIZ1', 'TOPORS', 'ZNF197', 'VEZF1', 'REST', 'NOL11', 'ELK4', 'DHX36', 'CDC73', 'ATR', 'THRAP3', 'HNRNPU', 'SRCAP', 'LEO1', 'DDX5', 'GRSF1', 'DAZAP1', 'CAMKK2', 'DPF2', 'RSF1', 'PPRC1', 'PRDM4', 'EP400', 'EDRF1', 'KHSRP', 'VCP', 'ZNF398', 'METTL14', 'NAF1', 'ATF6', 'USF3', 'XPC', 'NCOA6', 'RUVBL1', 'NUP98', 'MRE11', 'RNF111', 'KDM3A', 'MLH1', 'NSD1', 'KMT2E', 'TMF1', 'HNRNPD', 'SAMD4B', 'TRRAP', 'RBMX', 'MBTPS2', 'NCBP2', 'TEAD1', 'TRIP11', 'RNF20', 'BCLAF1', 'BPTF', 'U2AF2', 'SCAF8', 'FUS', 'MAP2K7', 'ZNF451', 'RERE', 'ARID1B', 'ASH1L', 'ASXL2', 'NFRKB', 'SP1', 'ACTR2', 'GCN1', 'CEBPZ', 'RPTOR', 'STAT3', 'MTF1', 'ELF2', 'SETX', 'BAZ1B', 'MED17', 'ROCK2', 'DCP1A', 'SLF2', 'TRIM56', 'PUM1', 'SMARCA5', 'ARID4B', 'TP53BP1', 'RNF10', 'WDR75', 'DHX9', 'AATF', 'GMEB1', 'USP9X', 'RBM14', 'MAP3K2', 'RIPK1', 'YY1', 'TNKS2', 'FAM168A', 'NAA15', 'PPP1R12A', 'KMT2A', 'NEK4', 'DDX17', 'ZNF845', 'TNFRSF1B', 'PSMC5', 'BRD4', 'ILF2', 'SYNCRIP', 'HCFC1', 'ZNF112', 'TARDBP', 'LPIN3', 'TCF20', 'GTPBP1', 'WDR48', 'ZNF143', 'CDK12', 'KANSL3', 'RRP1B', 'ZNF445', 'DDX3X', 'NCBP1', 'FUBP3', 'MBTD1', 'SUPT6H', 'UBTF', 'NFKB1', 'ECD', 'XRCC5', 'RBMXL1', 'ERCC6', 'CREB1', 'TAF3', 'UPF1', 'RAD50', 'ELF1', 'MAPK14', 'SKI', 'CELF1', 'NOLC1', 'AP3D1', 'SNW1', 'LARP7', 'ATAD2B', 'SIN3A', 'PRDM2', 'ZBED4', 'ZNF507', 'MTA2', 'HNRNPK', 'GTF2I', 'CCNK', 'LHX4', 'TRA2B', 'CTCF', 'KMT2C', 'INO80']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	6.839549533317615e-31	1.0	0.12680683311432325	['SP3', 'MED14', 'CRTC2', 'PAXIP1', 'PCBP1', 'CSDE1', 'ARNT', 'GLYR1', 'CCAR1', 'SF3B1', 'MMS19', 'PAXBP1', 'ZNF148', 'PRPF19', 'ARID1A', 'PIM2', 'KAT6B', 'GPBP1L1', 'SFPQ', 'MED1', 'AGO1', 'ILF3', 'PHF2', 'CHD8', 'YTHDF2', 'POGZ', 'NRF1', 'BTRC', 'SMARCC1', 'NPAT', 'ZNF609', 'DIS3', 'NUP62', 'ZNF746', 'ATF2', 'GTF2F1', 'HEATR1', 'ELL', 'RELA', 'ZSWIM8', 'POLR2A', 'QRICH1', 'TFE3', 'WDR43', 'RPRD1B', 'ING5', 'EP300', 'BMPR2', 'TCERG1', 'GPBP1', 'DEK', 'MED12', 'GIGYF2', 'TAF1L', 'TOPORS', 'ZNF197', 'VEZF1', 'REST', 'NOL11', 'ELK4', 'DHX36', 'CDC73', 'THRAP3', 'HNRNPU', 'SRCAP', 'LEO1', 'DDX5', 'GRSF1', 'DAZAP1', 'CAMKK2', 'DPF2', 'RSF1', 'PPRC1', 'PRDM4', 'EDRF1', 'KHSRP', 'METTL14', 'ZNF398', 'ATF6', 'USF3', 'XPC', 'NCOA6', 'RUVBL1', 'NUP98', 'RNF111', 'KDM3A', 'MLH1', 'NSD1', 'KMT2E', 'TMF1', 'HNRNPD', 'SAMD4B', 'RBMX', 'MBTPS2', 'NCBP2', 'TEAD1', 'TRIP11', 'RNF20', 'BCLAF1', 'BPTF', 'U2AF2', 'SCAF8', 'FUS', 'MAP2K7', 'ZNF451', 'RERE', 'ARID1B', 'ASH1L', 'ASXL2', 'NFRKB', 'SP1', 'ACTR2', 'GCN1', 'CEBPZ', 'RPTOR', 'STAT3', 'MTF1', 'ELF2', 'SETX', 'BAZ1B', 'MED17', 'ROCK2', 'DCP1A', 'TRIM56', 'PUM1', 'SMARCA5', 'ARID4B', 'TP53BP1', 'RNF10', 'WDR75', 'DHX9', 'AATF', 'GMEB1', 'RBM14', 'MAP3K2', 'RIPK1', 'YY1', 'NAA15', 'PPP1R12A', 'BRD4', 'KMT2A', 'NEK4', 'DDX17', 'ZNF845', 'TNFRSF1B', 'PSMC5', 'ILF2', 'SYNCRIP', 'HCFC1', 'ZNF112', 'TARDBP', 'LPIN3', 'TCF20', 'GTPBP1', 'ZNF143', 'CDK12', 'KANSL3', 'RRP1B', 'ZNF445', 'DDX3X', 'NCBP1', 'FUBP3', 'SUPT6H', 'UBTF', 'NFKB1', 'ECD', 'RBMXL1', 'ERCC6', 'CREB1', 'TAF3', 'UPF1', 'ELF1', 'MAPK14', 'SKI', 'CELF1', 'NOLC1', 'AP3D1', 'SNW1', 'LARP7', 'ATAD2B', 'SIN3A', 'PRDM2', 'ZBED4', 'ZNF507', 'MTA2', 'HNRNPK', 'GTF2I', 'CCNK', 'LHX4', 'TRA2B', 'CTCF', 'KMT2C', 'INO80']
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	8.727700215908045e-31	1.0	0.27586206896551724	['NCBP2', 'SYNCRIP', 'GIGYF2', 'TARDBP', 'CSDE1', 'SERBP1', 'CWC22', 'RNF20', 'REST', 'U2AF2', 'SRSF2', 'RAVER1', 'CPSF7', 'FUS', 'DHX36', 'GTPBP1', 'CDC73', 'PRPF19', 'THRAP3', 'SON', 'HNRNPU', 'PUM2', 'LEO1', 'SLTM', 'ELAVL1', 'DDX5', 'DAZAP1', 'PAPOLA', 'AHCYL1', 'YTHDF2', 'SAFB', 'NCBP1', 'HNRNPC', 'NSRP1', 'SUPT6H', 'RBM25', 'KHDRBS1', 'ROCK2', 'DCP1A', 'RBMXL1', 'FXR1', 'KHSRP', 'SRSF3', 'YTHDC1', 'PUM1', 'METTL14', 'UPF1', 'MAPK14', 'CASC3', 'DIS3', 'CELF1', 'SNW1', 'SRSF4', 'DHX9', 'RBM39', 'LARP7', 'NUP98', 'SF1', 'NBAS', 'SRSF10', 'HNRNPM', 'IWS1', 'RNF40', 'PTBP1', 'MLH1', 'HNRNPK', 'TRA2B', 'HNRNPD', 'DDX17', 'SAMD4B', 'HNRNPL', 'RBMX']
GOBP_HISTONE_MODIFICATION	1	1.2329336225650349e-26	1.0	0.1965065502183406	['RIF1', 'HUWE1', 'PAXIP1', 'CRTC2', 'SART3', 'GLYR1', 'MAP3K7', 'KDM5B', 'PAXBP1', 'RTF1', 'KAT6B', 'SFPQ', 'PHF2', 'CHTOP', 'ATF2', 'MSL1', 'PYGO2', 'JMJD1C', 'ING5', 'EPC2', 'EP300', 'TAF1L', 'SMYD5', 'PPP4R3B', 'REST', 'ELK4', 'UFL1', 'CDC73', 'SRCAP', 'LEO1', 'ZZZ3', 'PRDM4', 'EP400', 'GATAD2B', 'HAT1', 'RUVBL1', 'RNF40', 'KDM3A', 'NSD1', 'KMT2E', 'TRRAP', 'KDM2A', 'ATXN7', 'RNF20', 'WDR82', 'ZNF451', 'SETDB1', 'ASH1L', 'SF3B3', 'SETD1A', 'KDM5C', 'BRD1', 'BAZ1B', 'KDM6A', 'AKAP8', 'SMARCA5', 'ARID4B', 'TAF5L', 'RBM14', 'DDB1', 'HDAC6', 'IWS1', 'RCOR1', 'BRD4', 'KMT2A', 'MCM3AP', 'HCFC1', 'VRK2', 'DCAF1', 'CHD4', 'KANSL3', 'KDM3B', 'MLLT6', 'PHF20', 'SETD1B', 'MBTD1', 'SUPT6H', 'SIN3B', 'SKI', 'SNW1', 'MSL2', 'SIN3A', 'PRDM2', 'MTA2', 'SUPT20H', 'SMARCAD1', 'CTCF', 'C6orf89', 'KMT2C', 'SETD2']
