pathway	freq	padj	stability	overlap	genes
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1	4.223700240261111e-55	1.0	0.23427672955974843	['PAXIP1', 'SLAMF1', 'IRF4', 'IGHG2', 'IGLC3', 'MSH6', 'EXO1', 'TRAV13-1', 'MSH2', 'IGKV1D-42', 'IGHV3-74', 'TRBJ2-7', 'IGLV1-51', 'IGHA1', 'IGLC6', 'HLA-DRA', 'TRAV29DV5', 'IGHV2-70', 'IGLC7', 'IGKV2-30', 'C1QB', 'IGKV3-7', 'IGKV1-5', 'C1QC', 'IGLV2-14', 'IGKV1D-43', 'IGHV3-15', 'LILRB2', 'CD226', 'IGKV1-17', 'IGKV4-1', 'IGHG1', 'IGLV9-49', 'IGKV1D-8', 'PDCD1LG2', 'CD28', 'TFE3', 'IGLV2-8', 'IGKV2-40', 'IGHJ1', 'THEMIS', 'TRAV4', 'IGHV4-34', 'IGLV1-44', 'IGHV1-45', 'IGKV1-9', 'IGKV2D-24', 'IGLV1-36', 'CTSS', 'IGHV3-43', 'TRBJ1-5', 'IGHV3-35', 'IGKV3D-15', 'SPN', 'IGKV2-24', 'TRAV8-2', 'CSF2RB', 'IGKV1-39', 'IGKV1D-33', 'IGLV4-3', 'IGHV3-21', 'IGHV3-38', 'TNFRSF17', 'IGHV3-48', 'IGLV2-11', 'LILRB3', 'LAX1', 'IGHV3-13', 'IL12RB1', 'IGKV3-15', 'EIF2AK4', 'IGKV1D-37', 'IGKV1-37', 'TRBJ2-2', 'IGLL5', 'IGHV3-23', 'IGHV1-58', 'TRBV20-1', 'IGLV3-1', 'IGKV2D-28', 'IGHV3-33', 'IGLV3-16', 'IGKV1-27', 'IGHV1-24', 'IGLV7-43', 'LILRB4', 'IGHV6-1', 'TRBV12-3', 'IGKV3D-11', 'IGLV3-21', 'TRAV12-3', 'IGKV5-2', 'IGLV4-69', 'STAT3', 'IGLV3-19', 'SASH3', 'IGHV4-59', 'IGLV7-46', 'CD244', 'IGHV2-26', 'HLA-DMB', 'IGHV2-5', 'CD4', 'CD48', 'TNFSF13B', 'TP53BP1', 'IGKV2-29', 'TRAV2', 'IGLC1', 'IGKV3D-7', 'IGLV3-25', 'IGLV2-23', 'TNFRSF1B', 'BTK', 'IGLV5-45', 'IGKV3-20', 'IGHG4', 'PRKCB', 'HLA-DPA1', 'IGHA2', 'SAMSN1', 'IGHV3-30', 'IGHV3-73', 'P2RX7', 'IGLJ1', 'CD79A', 'TRBV29-1', 'IGHV5-51', 'CD84', 'NLRP3', 'CD27', 'WAS', 'HLA-DPB1', 'IGKV2-28', 'TRBJ1-4', 'IGHG3', 'IGLV6-57', 'IL21R', 'IGKV1D-12', 'PTPRC', 'IGKV1-12', 'IGKV1-6', 'JCHAIN', 'IGKV2D-30', 'IGHV2-70D', 'IGHV3-53', 'IGKV1D-39', 'TRAV8-6', 'HLA-DQA1']
GOBP_IMMUNE_RESPONSE	1	9.748562819324795e-51	1.0	0.14889589905362777	['PAXIP1', 'SP2', 'TCF12', 'SLAMF1', 'NCF2', 'EIF2AK2', 'IRF4', 'PTPN11', 'UBASH3A', 'IGLC3', 'MSH6', 'IGHG2', 'TRAV13-1', 'EXO1', 'LPXN', 'MSH2', 'IGKV1D-42', 'IGHV3-74', 'TRBJ2-7', 'IGLV1-51', 'IGHA1', 'KIF5B', 'TLR7', 'IGLC6', 'HLA-DRA', 'TRAV29DV5', 'SFPQ', 'IGHV2-70', 'IGLC7', 'IGKV2-30', 'C1QB', 'IGKV3-7', 'IGKV1-5', 'C1QC', 'HCK', 'RFX1', 'IGKV1D-43', 'IGLV2-14', 'LILRB2', 'IGHV3-15', 'CD226', 'KHDRBS1', 'MRC1', 'CCR1', 'OTUD4', 'IGKV1-17', 'SLA', 'CD14', 'IGKV4-1', 'GBF1', 'IGHG1', 'IGLV9-49', 'RELA', 'PDCD1LG2', 'CD28', 'IGKV1D-8', 'TFE3', 'IGLV2-8', 'CCL3', 'IGKV2-40', 'EP300', 'IGHJ1', 'THEMIS', 'TRAV4', 'IGHV4-34', 'SLAMF8', 'IGLV1-44', 'IGHV1-45', 'DOCK2', 'IGKV1-9', 'IGKV2D-24', 'ITGAL', 'CCR5', 'DHX36', 'PIK3AP1', 'IGLV1-36', 'CTSS', 'SOS1', 'SPN', 'IGHV3-43', 'RPS6KB1', 'IGKV3D-15', 'TRBJ1-5', 'IGKV2-24', 'IGHV3-35', 'TRAV8-2', 'POU2AF1', 'XIAP', 'CSF2RB', 'ALOX5', 'GFI1', 'CCL4', 'DOCK10', 'ANKRD17', 'IGKV1-39', 'IGKV1D-33', 'IGLV4-3', 'IGHV3-21', 'CRKL', 'IGHV3-38', 'TNFRSF17', 'IGHV3-48', 'IGLV2-11', 'LILRB3', 'IGSF6', 'ICOS', 'LAX1', 'IGHV3-13', 'SKP2', 'IL12RB1', 'IGKV3-15', 'EIF2AK4', 'IGKV1D-37', 'NCR3', 'IGKV1-37', 'TRBJ2-2', 'IGLL5', 'IGHV3-23', 'HK1', 'TRBV20-1', 'IGHV1-58', 'FGL2', 'IGLV3-1', 'ADAR', 'IGKV2D-28', 'IGHV3-33', 'IGLV3-16', 'PSTPIP1', 'APBB1IP', 'IGKV1-27', 'IGHV1-24', 'IGLV7-43', 'LILRB4', 'IGHV6-1', 'NFAM1', 'TRBV12-3', 'CD68', 'IGKV3D-11', 'IGLV3-21', 'CD300LF', 'TESPA1', 'AIF1', 'TRAV12-3', 'ACTR2', 'IGKV5-2', 'NLRC3', 'JAK1', 'IGLV4-69', 'STAT3', 'IGLV3-19', 'CD200R1', 'SASH3', 'IGHV4-59', 'IGLV7-46', 'CD244', 'HLA-DQA1', 'IGHV2-26', 'HLA-DMB', 'IGHV2-5', 'AKAP8', 'SIRPA', 'CCR7', 'TRIM56', 'CD4', 'CD48', 'PUM1', 'TNFSF13B', 'TP53BP1', 'MPEG1', 'PIK3R6', 'PLCL2', 'DHX9', 'IGKV2-29', 'TRAV2', 'RBM14', 'IGLC1', 'IGKV3D-7', 'LCK', 'IGLV3-25', 'ITGB2', 'IGLV2-23', 'TNFRSF1B', 'BTK', 'IGLV5-45', 'IGKV3-20', 'IGHG4', 'SYNCRIP', 'TRIM22', 'PRKCB', 'ITGAM', 'HLA-DPA1', 'TNFSF8', 'IL5RA', 'IGHA2', 'SAMSN1', 'IGHV3-30', 'GTPBP1', 'IGHV3-73', 'PUM2', 'PYHIN1', 'VAV2', 'P2RX7', 'IGLJ1', 'CD79A', 'TRBV29-1', 'IGHV5-51', 'DDX3X', 'CD84', 'NLRP3', 'CD27', 'WAS', 'PRKDC', 'HLA-DPB1', 'IGKV2-28', 'DDX1', 'ERBIN', 'TRBJ1-4', 'IGHG3', 'IGLV6-57', 'IL21R', 'PTAFR', 'PTPRC', 'IGKV1D-12', 'IGKV1-12', 'IL2RG', 'CIITA', 'ITCH', 'IGKV1-6', 'JCHAIN', 'IGKV2D-30', 'IGHV2-70D', 'IGHV3-53', 'IGKV1D-39', 'TRAV8-6', 'MED1', 'SETD2']
GOBP_CHROMOSOME_ORGANIZATION	1	3.856597326838789e-35	1.0	0.16572077185017026	['OIP5', 'KNTC1', 'KDM5B', 'MSH6', 'BRIP1', 'EXO1', 'MSH2', 'ARID1A', 'KAT6B', 'ARID2', 'RFC4', 'NUF2', 'SFPQ', 'CHD8', 'RLIM', 'SSRP1', 'NUP133', 'ATAD2', 'HJURP', 'YTHDC1', 'KIF23', 'NUP62', 'HMG20A', 'PDS5A', 'LATS1', 'UHRF1', 'SGO1', 'RELA', 'JMJD1C', 'BRCA1', 'CENPA', 'EPC2', 'EP300', 'EXOSC10', 'MAD2L1', 'PSME4', 'KIF18B', 'CENPE', 'CDC27', 'DHX36', 'ATR', 'HNRNPU', 'SRCAP', 'SPAG5', 'RSF1', 'CDC23', 'SAFB', 'AURKB', 'SMC5', 'EP400', 'ERCC3', 'GATAD2B', 'CCNB1', 'WRN', 'DSN1', 'NAT10', 'MRE11', 'CCNE1', 'KDM3A', 'NSD1', 'KMT2E', 'RAD51', 'BRD2', 'HNRNPD', 'TTI1', 'CHAMP1', 'TRRAP', 'ASF1B', 'NDC80', 'KDM2A', 'CDK2', 'BUB1B', 'UBN2', 'BPTF', 'RNF20', 'NCAPH', 'CDC20', 'ARID1B', 'ASH1L', 'STAG1', 'HELLS', 'NFRKB', 'SMARCAL1', 'KDM5C', 'SETX', 'BRD1', 'IKZF1', 'KIF4B', 'STAG2', 'KDM6A', 'SLF2', 'AKAP8', 'GINS1', 'SMARCA5', 'ARID4B', 'WAC', 'ZW10', 'RACGAP1', 'RPA1', 'SMC1A', 'ZNF207', 'DHX9', 'SMG6', 'KIFC1', 'RCOR1', 'TNKS2', 'SMC3', 'YY1', 'BRD4', 'KMT2A', 'NUSAP1', 'HCFC1', 'PRKCB', 'CDC6', 'DCAF1', 'DNMT1', 'ANAPC1', 'TLK2', 'KDM3B', 'DDX3X', 'RAD54L', 'PHF20', 'EMSY', 'NCAPD3', 'WAPL', 'SETD1B', 'PRKDC', 'DDX1', 'TOP2B', 'TSPYL1', 'RAD50', 'UPF1', 'NUMA1', 'XRN1', 'CENPI', 'ERCC6L', 'CHD2', 'BCORL1', 'JARID2', 'ESPL1', 'SMARCAD1', 'CTCF', 'KMT2C', 'INO80', 'SETD2', 'GINS2']
GOBP_IMMUNOGLOBULIN_PRODUCTION	1	1.5142865303560891e-33	1.0	0.3350253807106599	['PAXIP1', 'IGLV1-44', 'IGKV1-27', 'HLA-DPA1', 'IGKV1-9', 'IGLV7-43', 'IGKV2D-24', 'IGKV3D-11', 'IGLV3-21', 'MSH6', 'EXO1', 'MSH2', 'IGKV1D-42', 'IGLV1-51', 'IGLV1-36', 'HLA-DRA', 'IGKV5-2', 'IGKV3D-15', 'IGLV4-69', 'IGKV2-24', 'IGLV3-19', 'IGKV2-30', 'IGKV1-5', 'IGKV3-7', 'SASH3', 'IGLV7-46', 'IGLV2-14', 'IGKV1D-43', 'IGKV1D-33', 'IGKV1-39', 'IGLV4-3', 'HLA-DMB', 'HLA-DPB1', 'PRKDC', 'IGKV2-28', 'IGLV2-11', 'IGKV1-17', 'IGLV6-57', 'TP53BP1', 'IGKV1D-12', 'PTPRC', 'IGKV1-12', 'IGLV5-45', 'IGKV4-1', 'IGKV2-29', 'IGKV3-15', 'TRAV2', 'IGKV1-37', 'IGLV9-49', 'IGKV1-6', 'IGKV1D-8', 'CD28', 'IGKV3D-7', 'IGKV2D-30', 'YY1', 'IGLV2-8', 'IGLV3-25', 'IGKV1D-39', 'IGKV2-40', 'IGLV2-23', 'IGLV3-1', 'IGKV2D-28', 'BTK', 'HLA-DQA1', 'IGKV3-20', 'IGLV3-16']
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	1	6.627090464673299e-31	1.0	0.2669039145907473	['PAXIP1', 'IGLV1-44', 'TNFRSF1B', 'IGKV1-27', 'SLAMF1', 'HLA-DPA1', 'IGKV1-9', 'IGLV7-43', 'LILRB4', 'IGKV2D-24', 'IGKV3D-11', 'DHX36', 'MSH6', 'EXO1', 'IGLV3-21', 'MSH2', 'IGKV1D-42', 'IGLV1-51', 'IGLV1-36', 'HLA-DRA', 'IGKV5-2', 'IGKV3D-15', 'IGLV4-69', 'IGKV2-24', 'IGLV3-19', 'NLRP3', 'IGKV2-30', 'IGKV1-5', 'IGKV3-7', 'SASH3', 'IGLV7-46', 'IGLV2-14', 'IGKV1D-43', 'CD244', 'CD226', 'IGKV1D-33', 'IGKV1-39', 'IGLV4-3', 'HLA-DMB', 'PRKDC', 'HLA-DPB1', 'IGKV2-28', 'DDX1', 'IGLV2-11', 'IGKV1-17', 'IGLV6-57', 'TP53BP1', 'IGKV1D-12', 'PTPRC', 'IGKV1-12', 'IGLV5-45', 'IGKV4-1', 'IGKV2-29', 'IGKV3-15', 'TRAV2', 'IGKV1-37', 'IGLV9-49', 'IGKV1-6', 'IGKV1D-8', 'CD28', 'IGKV3D-7', 'IGKV2D-30', 'HK1', 'YY1', 'IGLV2-8', 'IGLV3-25', 'IGKV1D-39', 'IGKV2-40', 'IGLV2-23', 'IGLV3-1', 'IGKV2D-28', 'BTK', 'HLA-DQA1', 'IGKV3-20', 'IGLV3-16']
GOBP_LYMPHOCYTE_ACTIVATION	1	3.750514575501279e-26	1.0	0.16083916083916083	['SP3', 'PAXIP1', 'SLAMF1', 'SIRPB1', 'IRF4', 'IGHG2', 'PTPN11', 'IGLC3', 'MSH6', 'EXO1', 'MSH2', 'IGHV3-74', 'IGHA1', 'IGLC6', 'HLA-DRA', 'IGHV2-70', 'IGLC7', 'IGHV3-15', 'LILRB2', 'PRKAR1A', 'PREX1', 'IGHG1', 'PDCD1LG2', 'CD28', 'EP300', 'THEMIS', 'SLAMF8', 'IGHV4-34', 'IGHV1-45', 'DOCK2', 'IRF2BP2', 'CD5', 'ITGAL', 'SOS1', 'IGHV3-43', 'IGHV3-35', 'SPN', 'POU2AF1', 'SOS2', 'DOCK10', 'GPNMB', 'IGHV3-21', 'IGHV3-38', 'IGHV3-48', 'ICOS', 'LAX1', 'IGHV3-13', 'IL12RB1', 'EIF2AK4', 'NCR3', 'IGLL5', 'IGHV3-23', 'IGHV1-58', 'FGL2', 'IGHV3-33', 'APBB1IP', 'IGHV1-24', 'RASAL3', 'LILRB4', 'NFAM1', 'IGHV6-1', 'TESPA1', 'AIF1', 'HELLS', 'NLRC3', 'STAT3', 'SASH3', 'IGHV4-59', 'CD244', 'IKZF1', 'IGHV2-26', 'HLA-DMB', 'IGHV2-5', 'CD4', 'SIRPA', 'CCR7', 'CD48', 'TNFSF13B', 'TP53BP1', 'PIK3R6', 'PLCL2', 'IGLC1', 'JAML', 'LCK', 'YY1', 'AMBRA1', 'TNFRSF1B', 'BTK', 'SNX27', 'IGHG4', 'PRKCB', 'HLA-DPA1', 'TNFSF8', 'IGHA2', 'SAMSN1', 'IGHV3-30', 'IGHV3-73', 'DCAF1', 'P2RX7', 'CD79A', 'IGHV5-51', 'CD84', 'NLRP3', 'CD27', 'WAS', 'PRKDC', 'HLA-DPB1', 'IGHG3', 'IL21R', 'PTPRC', 'ITCH', 'IGHV2-70D', 'IGHV3-53', 'DOCK8', 'HLA-DQA1']
GOBP_CELL_CYCLE	1	3.2188198373367014e-24	1.0	0.11665586519766688	['WDR76', 'PAXIP1', 'BIRC6', 'OIP5', 'KNTC1', 'RAB35', 'WDHD1', 'PTPN11', 'PLK4', 'MSH6', 'EXO1', 'BRIP1', 'MSH2', 'SPECC1L', 'PCLAF', 'UTP14C', 'PIM2', 'NUF2', 'NUP214', 'SFPQ', 'MED1', 'KHDRBS1', 'BTRC', 'HJURP', 'NPAT', 'KIF23', 'XRCC2', 'IQGAP3', 'NUP62', 'CDC7', 'GBF1', 'PDS5A', 'LATS1', 'UHRF1', 'SGO1', 'CD28', 'BRCA1', 'TOGARAM2', 'CENPA', 'RPRD1B', 'EPC2', 'EP300', 'BORA', 'MAD2L1', 'TAF1L', 'KIF18B', 'CCNA2', 'CENPE', 'DTL', 'CDC27', 'E2F1', 'CDC73', 'ATR', 'IFFO1', 'PRPF40A', 'HNRNPU', 'SPAG5', 'CDCA2', 'ZZZ3', 'RPS6KB1', 'DDIAS', 'XIAP', 'CDC23', 'GFI1', 'GPNMB', 'DBF4', 'ANKRD17', 'AURKB', 'SMC5', 'EP400', 'CACUL1', 'ERCC3', 'CCNB1', 'VCP', 'MND1', 'DSN1', 'WRN', 'YY1AP1', 'NAT10', 'SKP2', 'EIF2AK4', 'PAFAH1B1', 'MRE11', 'WASHC5', 'CLASP1', 'CCNE1', 'KMT2E', 'SKA3', 'CEP63', 'RAD51', 'CHAMP1', 'C2CD3', 'CDCA3', 'TRRAP', 'NDC80', 'CDK2', 'BUB1B', 'RNF20', 'NCAPH', 'ORC1', 'CDC20', 'STAG1', 'AIF1', 'HELLS', 'NFRKB', 'ACTR2', 'RPTOR', 'SPC25', 'STAT3', 'IKZF1', 'KIF4B', 'PIK3R4', 'ROCK2', 'AURKA', 'AKAP8', 'SLF2', 'STAG2', 'GINS1', 'PUM1', 'SMARCA5', 'ZW10', 'RPA1', 'WAC', 'RACGAP1', 'TP53BP1', 'EPB41L2', 'SMC1A', 'ZNF207', 'RBM14', 'DDB1', 'KIFC1', 'PBK', 'YY1', 'SMC3', 'BRD4', 'DYNC1H1', 'NEK4', 'NUSAP1', 'AMBRA1', 'SKA1', 'HCFC1', 'PRKCB', 'TARDBP', 'CDC6', 'USP19', 'SON', 'PYHIN1', 'CDK12', 'ANAPC1', 'TLK2', 'MELK', 'DDX3X', 'RAD54L', 'NCAPD3', 'WAPL', 'KIF2A', 'CDKN3', 'ZBED6', 'PRKDC', 'ERCC6', 'TOP2B', 'UPF1', 'RAD50', 'TUBGCP3', 'TUBGCP4', 'PTPRC', 'NUMA1', 'SASS6', 'CKAP5', 'ERCC6L', 'NUGGC', 'ESPL1', 'CCNK', 'SMARCAD1', 'CTCF', 'C6orf89', 'WDR62', 'USP9X', 'INO80', 'SETD2']
GOBP_CELL_CYCLE_PROCESS	1	2.2607555071445218e-23	1.0	0.1329479768786127	['WDR76', 'PAXIP1', 'BIRC6', 'KNTC1', 'RAB35', 'PTPN11', 'PLK4', 'MSH6', 'BRIP1', 'MSH2', 'PCLAF', 'PIM2', 'NUF2', 'SFPQ', 'KHDRBS1', 'NPAT', 'KIF23', 'XRCC2', 'IQGAP3', 'NUP62', 'CDC7', 'PDS5A', 'LATS1', 'SGO1', 'CD28', 'BRCA1', 'TOGARAM2', 'CENPA', 'RPRD1B', 'BORA', 'MAD2L1', 'TAF1L', 'KIF18B', 'CCNA2', 'CENPE', 'DTL', 'CDC27', 'E2F1', 'CDC73', 'ATR', 'IFFO1', 'HNRNPU', 'PRPF40A', 'SPAG5', 'CDCA2', 'RPS6KB1', 'CDC23', 'GFI1', 'GPNMB', 'ANKRD17', 'DBF4', 'AURKB', 'SMC5', 'CACUL1', 'ERCC3', 'CCNB1', 'VCP', 'WRN', 'DSN1', 'MND1', 'NAT10', 'SKP2', 'EIF2AK4', 'PAFAH1B1', 'MRE11', 'WASHC5', 'CLASP1', 'CCNE1', 'KMT2E', 'CEP63', 'RAD51', 'CHAMP1', 'C2CD3', 'NDC80', 'CDK2', 'BUB1B', 'NCAPH', 'ORC1', 'CDC20', 'STAG1', 'AIF1', 'ACTR2', 'RPTOR', 'SPC25', 'KIF4B', 'PIK3R4', 'STAG2', 'ROCK2', 'SLF2', 'AURKA', 'AKAP8', 'GINS1', 'SMARCA5', 'WAC', 'ZW10', 'TP53BP1', 'RACGAP1', 'SMC1A', 'ZNF207', 'RBM14', 'DDB1', 'KIFC1', 'SMC3', 'BRD4', 'DYNC1H1', 'AMBRA1', 'NUSAP1', 'PRKCB', 'CDC6', 'USP19', 'SON', 'ANAPC1', 'MELK', 'DDX3X', 'RAD54L', 'NCAPD3', 'WAPL', 'KIF2A', 'CDKN3', 'PRKDC', 'ERCC6', 'TOP2B', 'UPF1', 'RAD50', 'TUBGCP4', 'TUBGCP3', 'PTPRC', 'NUMA1', 'SASS6', 'CKAP5', 'NUGGC', 'ESPL1', 'SMARCAD1', 'CTCF', 'WDR62', 'MED1', 'INO80', 'SETD2']
GOBP_B_CELL_MEDIATED_IMMUNITY	1	7.292123806710869e-23	1.0	0.27692307692307694	['IGHV4-34', 'PAXIP1', 'IGHV1-45', 'IGHG4', 'HLA-DPA1', 'IGHV1-24', 'IGHA2', 'IGHV6-1', 'IGHG2', 'IGHV3-30', 'IGLC3', 'MSH6', 'EXO1', 'IGHV3-73', 'MSH2', 'IGHV3-74', 'IGHA1', 'HLA-DRA', 'IGLC6', 'IGHV3-43', 'IGHV3-35', 'IGHV5-51', 'IGHV2-70', 'IGLC7', 'CD27', 'C1QB', 'IGHV4-59', 'C1QC', 'CSF2RB', 'IGHV3-15', 'IGHV2-26', 'CD226', 'HLA-DMB', 'IGHV2-5', 'IGHV3-21', 'HLA-DPB1', 'IGHV3-38', 'IGHV3-48', 'IGHG3', 'TP53BP1', 'IL21R', 'PTPRC', 'IGHV3-13', 'IGHG1', 'IGLC1', 'CD28', 'IGLL5', 'IGHV2-70D', 'IGHV3-23', 'IGHV1-58', 'IGHV3-53', 'BTK', 'IGHV3-33', 'HLA-DQA1']
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	8.068445091831349e-23	1.0	0.35537190082644626	['IGHV4-34', 'IGHG4', 'IGHV1-45', 'PRKCB', 'IGHV1-24', 'IGHA2', 'NFAM1', 'IGHV6-1', 'IGHG2', 'IGHV3-30', 'IGLC3', 'LPXN', 'IGHV3-73', 'IGHV3-74', 'IGHA1', 'CD79A', 'IGLC6', 'IGHV3-43', 'IGHV3-35', 'IGHV5-51', 'IGHV2-70', 'IGLC7', 'IGHV4-59', 'IGHV3-15', 'IGHV2-26', 'IGHV2-5', 'IGHV3-21', 'IGHV3-38', 'IGHV3-48', 'IGHG3', 'PLCL2', 'PTPRC', 'IGHV3-13', 'IGHG1', 'IGLC1', 'IGLL5', 'IGHV2-70D', 'IGHV3-23', 'IGHV1-58', 'LCK', 'IGHV3-53', 'BTK', 'IGHV3-33']
