pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1	0.24986942814265198	1.3746311258605823	1.0	74.56	['HK3', 'ARNT', 'HKDC1', 'PGM1', 'OGDHL', 'NUPR1', 'BAD', 'EP300', 'MPP1', 'UMPS', 'GIT1', 'TJP2', 'DLG1', 'APP', 'DHTKD1', 'PFKFB2', 'CMPK1', 'DHODH', 'GUK1', 'ALDOB', 'EIF6', 'OGT', 'ARL2', 'HDAC4', 'MYC', 'AK2', 'RRM2', 'AK1', 'GALK1', 'HK1', 'DDIT4', 'ENTPD4', 'JMJD8', 'ALDOA', 'CARD11', 'RRM1', 'PGK1', 'NUDT9', 'PRKAG1', 'ENO4', 'FOXK2', 'IFNG', 'STAT3', 'PRKAA2', 'LRGUK', 'NT5E', 'PKM', 'FOXK1', 'BPGM', 'HK2', 'CAD', 'ZBTB7A', 'PRKAA1', 'ENO3', 'MAGI3', 'AK9', 'SLC4A4', 'PGAM1', 'NUDT16', 'PRKAG2', 'P2RX7', 'ENTPD2', 'GAPDH', 'INSR', 'PGAM4', 'PFKM', 'ENO1', 'PFKL', 'HIF1A', 'RRM2B', 'ADPGK', 'PSEN1', 'NCOR1', 'PPARA', 'ENO2', 'TIGAR', 'ENTPD7', 'SLC2A6', 'OGDH', 'GPI', 'NUDT18', 'SIRT6', 'CASK', 'LDHA', 'ZBTB20', 'TPI1', 'ENTPD5']
GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.24916850640380125	1.3754276866876534	1.0	48.11	['AGR2', 'NCK1', 'NCK2', 'BOK', 'PTPN1', 'HSPA5', 'PTPN2', 'TMEM33', 'PPP1R15B']
GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	0.2490527338998538	1.3756529949172749	1.0	38.56	['BIN1', 'DSC2', 'CACNA1C', 'DLG1', 'PKP2', 'DSG2', 'JUP', 'DSP']
GOBP_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.24841463904340053	1.376353914438448	1.0	40.28	['AGR2', 'DNAJB9', 'DAB2IP', 'BFAR', 'PTPN1', 'UFL1', 'HSPA5', 'BCL2L11', 'TMEM33', 'BAK1']
GOBP_CARBOHYDRATE_PHOSPHORYLATION	1	0.24787875937772863	1.377456627813737	1.0	29.91	['GNE', 'GNPTAB', 'RBKS', 'HK2', 'PFKFB4', 'XYLB', 'PFKFB3', 'POMK', 'GALK2', 'PFKM', 'NAGK', 'IPPK']
GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	1	0.24785061248613385	1.3772773399555325	1.0	24.6	['NFX1', 'TMEM106A', 'IL10', 'TAF7', 'JAK2', 'HDAC2', 'SIRT1', 'CIITA']
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	1	0.24782924978857893	1.3774043589915341	1.0	63.57	['KIF17', 'KIF5C', 'ARHGAP44', 'GRIP1', 'DLG1', 'KIF3B', 'GPC6', 'SNAP25', 'KIF5B', 'ANKS1B', 'CLSTN1', 'ZDHHC3', 'SCRIB', 'DAG1', 'DLG3', 'RAB8A', 'STX7', 'CEP112', 'NPTN', 'GRIPAP1', 'RAP1A', 'CACNG4', 'IQSEC2', 'RAB11A', 'DLG4', 'VPS35', 'GPC4', 'PRKCZ', 'NPTX1', 'SYNJ2BP', 'TYROBP', 'GPHN', 'DBN1', 'STX3', 'ADAM10']
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	1	0.24776093301360796	1.3770509514777234	1.0	73.75	['BUB1B', 'TPR', 'USP44', 'KNTC1', 'ATM', 'LCMT1', 'MAD2L1', 'BUB1', 'MAD2L2', 'PRAP1', 'CHFR', 'TRIP13', 'PSMG2', 'MAD2L1BP', 'PCID2', 'DYNC1LI1', 'CDT1', 'PLK1', 'GEN1', 'XRCC3', 'AURKB', 'ZWINT', 'CCNB1', 'ZW10', 'SPDL1', 'ZNF207', 'MAD1L1', 'KLHL22', 'FBXO5', 'CENPF', 'RAD21', 'APC', 'IK', 'CDK5RAP2', 'NDC80', 'ZWILCH', 'BUB3']
GOBP_RESPONSE_TO_ACETYLCHOLINE	1	0.24775124736371176	1.3772732610217073	1.0	54.73	['ROCK2', 'CRKL', 'LY6E', 'ATP2B4', 'CHRM1', 'GRK2', 'EDNRA', 'CHRM3', 'CDK5R1', 'GNB1', 'AGRN', 'GNA15', 'GNAQ', 'GNAI2', 'PLCB1', 'GNA11']
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1	0.24773772075134864	1.3778194867516291	1.0	65.17	['SNAI2', 'CYP1B1', 'JAM3', 'SERPINE1', 'MUC1', 'PDE3B', 'PTPN11', 'ACER2', 'SWAP70', 'WNK1']
