pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	1	0.2488786549326058	1.3562568877812236	1.0	63.14	['DDX11', 'WAPL', 'DDX12P', 'RB1', 'NAA50', 'MAU2', 'HDAC8', 'NIPBL', 'CDCA5']
GOBP_REGULATION_OF_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	1	0.24880287171345675	1.35620900520606	1.0	31.4	['PLK1', 'CDC20', 'CDK2', 'FZR1']
GOBP_DEPYRIMIDINATION	1	0.24684108280311706	1.3586000084425072	1.0	48.98	['NEIL1', 'TDG', 'SMUG1', 'NTHL1', 'OGG1', 'UNG', 'MBD4']
GOBP_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	1	0.2467914098482787	1.3585338737636983	1.0	46.41	['TEK', 'ARHGDIA', 'HCK', 'NOTCH2', 'ABL1', 'PTK2B', 'F11R', 'CD2AP', 'CSF1R', 'BCAS3', 'HCLS1', 'BAIAP2L1', 'BAIAP2', 'TJP1', 'HAX1', 'ARHGDIB', 'PDGFRA', 'CDC42', 'DAPK3', 'ABI3', 'ABL2', 'STAP1', 'GMFG', 'HRAS']
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	1	0.24598908999988295	1.3595994757325631	1.0	49.2	['THOC5', 'DDX39B', 'THOC1', 'CDT1', 'MAD2L1BP', 'PPP1R10', 'CHEK2']
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	1	0.2458762520929239	1.3598417374537102	1.0	55.07	['YAP1', 'MEF2C', 'SAV1', 'RUNX1', 'WNT2', 'CITED2', 'PIM1', 'ZFPM2', 'JARID2', 'TBX2', 'TBX5', 'TP73', 'ERBB4', 'MIR17HG', 'RBPJ', 'TGFBR2', 'MAPK14', 'TGFBR1', 'MIR590', 'NOTCH1', 'PTEN', 'VGLL4', 'FGF2', 'BMPR1A', 'CDK1', 'TGFBR3']
GOBP_DNA_DAMAGE_INDUCED_PROTEIN_PHOSPHORYLATION	1	0.2452765548824911	1.3605445296273826	1.0	49.2	['ATM', 'CRY1', 'ABL1', 'CHEK1', 'MAPK3', 'MAPK12', 'CHEK2']
GOBP_HISTONE_H4_R3_METHYLATION	1	0.24512040977965255	1.361145951534358	1.0	43.25	['PRMT7', 'COPRS', 'PRMT1', 'PRMT5', 'JMJD4', 'PRDM4']
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY	1	0.24506866215901796	1.3608672586254666	1.0	50.07	['PIP4K2B', 'SRC', 'CDK4', 'SIK2', 'TNS2', 'PIP4K2C', 'PTPN11', 'SNX5', 'FUT7', 'IL1B', 'SLC27A4', 'ZBTB7B', 'PRKAA1', 'SIRT1', 'RPS6KB1', 'INPP5K', 'GNAI2', 'PRKCB', 'PTPRE', 'GSK3A', 'GRB7', 'NCK1', 'VWA2', 'NCOA5', 'PTPN1', 'SORBS1', 'NUCKS1', 'PTPN2', 'BAIAP2L1', 'OGT', 'PIK3R1', 'MZB1', 'OSBPL8', 'KANK1', 'ADIPOR1', 'TSC2']
GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE_END	1	0.24500199412275417	1.3611455191466437	1.0	52.48	['MAPRE1', 'GAS2L1', 'MAPRE3', 'MAPRE2', 'GAS2L2']
