pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_APOPTOSIS	1	0.16968218774778424	1.3356355516797807	1.0	64.88	['PIK3CD', 'RIPK1', 'PRKAR1A', 'FAS', 'DFFA', 'ATM', 'MAP3K14', 'TNFRSF1A', 'IL1RAP', 'CHP2', 'RELA', 'EXOG', 'XIAP', 'PIK3CA', 'PPP3CB', 'PRKACA', 'IL1B', 'ENDOD1', 'PPP3CA', 'CASP10', 'PRKAR2A', 'IKBKB', 'PPP3CC', 'CYCS', 'BIRC3', 'TRADD', 'IL1R1', 'APAF1', 'NFKB1', 'PIK3CG', 'FADD', 'TRAF2', 'TNFRSF10B', 'IL3RA', 'CASP9', 'CASP8', 'CASP7', 'AKT1', 'CASP3', 'IRAK1', 'PIK3R3', 'PIK3R1', 'MYD88', 'CHUK', 'CAPN2', 'AKT2', 'PIK3R2', 'CFLAR', 'CAPN1', 'IRAK4', 'PIK3CB', 'BAD', 'PRKX', 'CSF2RB', 'CASP6', 'BIRC2', 'FASLG', 'CHP1', 'PPP3R1', 'AIFM1', 'BAX', 'ENDOG', 'DFFB', 'PIK3R5']
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.16808233738138031	1.3458539968642038	1.0	32.49	['CUL1', 'SMURF1', 'EP300', 'MAPK3', 'DCN', 'IFNG', 'THBS1', 'ACVR2B', 'SMAD1', 'RPS6KB1', 'SMURF2', 'SMAD3', 'TGFBR2', 'SP1', 'PPP2CA', 'CREBBP', 'SKP1', 'ACVRL1', 'INHBA', 'LTBP1', 'TGFB3', 'ROCK2', 'THBS2', 'PPP2R1B', 'BMPR2', 'ACVR1', 'BMPR1A', 'RBL2', 'TGFB1', 'ZFYVE16', 'RHOA', 'TFDP1', 'RBL1', 'PPP2R1A', 'ROCK1', 'E2F4']
KEGG_THYROID_CANCER	1	0.16795143304143256	1.3434944337700494	1.0	50.4	['MAPK1', 'MAP2K2', 'MAPK3', 'TPM3', 'NCOA4', 'TFG', 'BRAF', 'RXRB', 'RET', 'CDH1', 'TPR', 'TCF7', 'CCDC6', 'TCF7L2', 'NRAS', 'KRAS', 'MAP2K1', 'CTNNB1', 'HRAS', 'RXRA']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.16775780321597536	1.3409488633884648	1.0	29.9	['PDHB', 'IARS2', 'PDHA1', 'VARS2', 'LARS2']
KEGG_GALACTOSE_METABOLISM	1	0.15666221105348518	1.3642762521116434	1.0	70.62	['PFKM', 'B4GALT2', 'B4GALT1', 'GALE', 'AKR1B1', 'GALT', 'GALK1', 'GAA', 'PGM2', 'HK3', 'GALK2', 'PFKP', 'GLA', 'GANC', 'GLB1', 'HK1', 'PFKL', 'UGP2', 'HK2', 'PGM1']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.14025989942129094	1.3950431686875202	1.0	23.99	['PIK3CD', 'IL2RG', 'EP300', 'IL10RA', 'STAT5A', 'PTPN11', 'IL11RA', 'EPOR', 'STAM2', 'PIK3CA', 'IFNG', 'SOS1', 'IL5RA', 'SOCS5', 'CBL', 'PIK3CG', 'CREBBP', 'IL21R', 'JAK2', 'AKT1', 'PIAS1', 'PIK3R1', 'TYK2', 'PIAS4', 'SOCS4', 'IFNAR1', 'AKT2', 'GRB2', 'IL12RB1', 'PIK3R2', 'PTPN6', 'CSF2RB', 'PIAS3', 'SOS2', 'JAK3', 'JAK1', 'STAT3', 'PIK3R5', 'STAT5B', 'IL13RA1']
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.11445271298236064	1.4473681443032798	1.0	60.46	['PTPRN', 'HLA-DMB', 'HLA-C', 'FAS', 'CD80', 'CD86', 'HLA-DOA', 'IFNG', 'HLA-DPA1', 'IL1B', 'LTA', 'HLA-E', 'PRF1', 'HLA-DQB1', 'HLA-DRB5', 'HLA-G', 'HLA-DRB1', 'CD28', 'HLA-F', 'HLA-DRA', 'HLA-DQA1', 'HLA-DMA', 'HLA-DQA2', 'FASLG', 'HLA-DPB1', 'HLA-A', 'HLA-DOB', 'HLA-B', 'GZMB', 'HSPD1']
KEGG_LONG_TERM_DEPRESSION	1	0.10085934950505819	1.479999902783732	1.0	50.4	['GNA12', 'PLCB2', 'MAPK1', 'GNA13', 'PPP2CB', 'MAP2K2', 'RAF1', 'MAPK3', 'IGF1R', 'PRKG1', 'GNAQ', 'BRAF', 'GNA11', 'PLA2G4B', 'ITPR2', 'ARAF', 'PLA2G6', 'GNAI2', 'GUCY1A2', 'ITPR3', 'PRKCB', 'GNAI3', 'GRIA1', 'NRAS', 'PPP2CA', 'KRAS', 'ITPR1', 'PLA2G12A', 'LYN', 'PPP2R1B', 'MAP2K1', 'PLCB3', 'JMJD7-PLA2G4B', 'PRKCA', 'PPP2R1A', 'HRAS', 'PLA2G10']
KEGG_PURINE_METABOLISM	1	0.10044452512903662	1.4838389071090077	1.0	54.49	['POLR2B', 'RRM1', 'GUK1', 'PRPS1', 'POLR3F', 'PRUNE1', 'POLE3', 'PPAT', 'NME5', 'NUDT9', 'POLR2L', 'POLR2I', 'PRIM1', 'CANT1', 'GART', 'NPR1', 'POLR2F', 'POLR1B', 'PDE8A', 'POLR3C', 'PDE4D', 'POLD3', 'AMPD1', 'ENTPD1', 'POLE2', 'ITPA', 'PDE7A', 'ATIC', 'GUCY1A2', 'PDE4A', 'POLR2D', 'POLD2', 'RRM2', 'PDE5A', 'ADSL', 'ADCY9', 'PAICS', 'PDE2A', 'ENTPD5', 'POLA1', 'IMPDH2', 'NME1-NME2', 'POLR3K', 'GMPS', 'AK2', 'POLR2E', 'POLR1A', 'AMPD2', 'AMPD3', 'NPR2', 'ADCY3', 'ADCY6', 'IMPDH1', 'POLR1E', 'AK1', 'NME2', 'APRT', 'POLR1D', 'GMPR2', 'POLR3A', 'NME6', 'ADCY4', 'POLD1', 'POLR2G', 'RRM2B', 'ADPRM', 'POLR3B', 'PDE4B', 'PAPSS1', 'POLR1C', 'NT5C2', 'NT5C', 'POLR2H', 'ENTPD6', 'DCK', 'PNPT1', 'POLR3D', 'DGUOK', 'NME3', 'POLR3G', 'POLR2A', 'POLR2J', 'PFAS', 'POLA2', 'PDE6D', 'POLE', 'PDE1B', 'POLR3GL', 'PRPS2', 'POLR2K', 'AK7']
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.08526219448908795	1.5244899043971054	1.0	63.78	['ATP6V1D', 'ATP6V1A', 'ATP6V0C', 'PDIA4', 'ADCY3', 'ACTB', 'SEC61A2', 'ATP6V1E2', 'PRKACA', 'ATP6V1C1', 'ATP6V0A1', 'ATP6V1G1', 'KDELR1', 'ATP6V0A2', 'PRKCB', 'ATP6V1F', 'ATP6V1B2', 'KDELR2', 'ATP6AP1', 'SEC61A1', 'ATP6V0D1', 'ADCY9', 'ARF1', 'ATP6V1G2', 'ATP6V1E1', 'TJP1', 'ERO1A', 'TJP2', 'SEC61G', 'GNAS', 'PRKX', 'ATP6V0E1', 'PRKCA', 'ATP6V0D2', 'SEC61B', 'TCIRG1', 'PLCG2', 'ATP6V1H', 'ATP6V1C2', 'ACTG1', 'PLCG1']
