pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.2489250530670005	1.2909270279735032	0.1	57.25	['SEPHS2', 'MAT2A', 'LCMT2', 'SEPHS1', 'METTL6', 'GGT5', 'CBS', 'TRMT11', 'MAT2B', 'PAPSS2', 'GGT6', 'GGT1', 'LCMT1', 'CTH', 'PAPSS1', 'AHCYL1', 'AHCYL2', 'GGT7', 'SCLY']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.24474350833870398	1.3347590375543397	0.1	47.69	['MAT2A', 'MPST', 'TRDMT1', 'SMS', 'DNMT3A', 'SDS', 'CBS', 'GOT2', 'MAT2B', 'ADI1', 'DNMT1', 'APIP', 'CTH', 'AHCYL1', 'DNMT3B', 'AHCYL2', 'MTAP', 'SRM', 'ENOPH1', 'LDHA']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.2437263500037732	1.2413812854861925	0.1	33.0	['PDHB', 'IARS2', 'PDHA1', 'VARS2', 'LARS2']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	2	0.23766483150602866	1.4125638883940492	0.2	40.96	['XYLT1', 'XYLT2', 'DSE', 'B4GALT7', 'CSGALNACT1', 'CHSY3', 'CHST14', 'UST', 'CHST13', 'CSGALNACT2', 'CHST15', 'CHST3', 'CHST7', 'CHPF2', 'B3GAT2', 'B3GAT3', 'B3GAT1', 'B3GALT6']
KEGG_BLADDER_CANCER	1	0.22531589619250944	1.4504734238524404	0.1	64.25	['DAPK1', 'MMP9', 'CDK4', 'EGF', 'MAP2K2', 'MAPK3', 'RAF1', 'VEGFA', 'RPS6KA5', 'BRAF', 'THBS1', 'TYMP', 'RASSF1', 'ARAF', 'PGF', 'RB1', 'VEGFB', 'CCND1', 'CXCL8', 'MDM2', 'TP53', 'NRAS', 'EGFR', 'MYC', 'VEGFC', 'VEGFD', 'E2F3', 'CDKN1A', 'FGFR3', 'DAPK2', 'DAPK3', 'ERBB2', 'MMP1', 'MMP2', 'HRAS']
KEGG_PROTEIN_EXPORT	4	0.21931635781193726	1.3776305902965302	0.4	61.0325	['SRP9P1', 'SRP14', 'IMMP2L', 'SEC63', 'SEC61A2', 'SRP68', 'SEC62', 'SPCS1', 'IMMP1L', 'SRP54', 'SRPRA', 'HSPA5', 'OXA1L', 'SEC61A1', 'SEC61G', 'SEC11A', 'SRP9', 'SRPRB', 'SPCS3', 'SPCS2', 'SRP72', 'SRP19', 'SEC61B', 'SEC11C']
KEGG_PRION_DISEASES	1	0.21610393715308465	1.2795786042363546	0.1	39.12	['MAPK1', 'MAP2K2', 'MAPK3', 'ELK1', 'STIP1', 'C7', 'IL1B', 'PRKACA', 'C1QA', 'HSPA5', 'PRNP', 'FYN', 'C1QC', 'NOTCH1', 'LAMC1', 'C6', 'CCL5', 'C9', 'C1QB']
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.19691878017696163	1.3094231295995324	0.1	49.36	['MAN2C1', 'HEXB', 'MAN2B2', 'MAN2B1', 'NEU3', 'GLB1', 'GBA', 'ENGASE', 'MANBA', 'FUCA1', 'FUCA2']
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0.19280480799453736	1.4477194874845536	0.1	50.15	['UGT1A5', 'UGT2B7', 'UGT1A7', 'UROS', 'CPOX', 'UGT1A1', 'UGT1A4', 'HCCS', 'UGT2B15', 'UGT1A3', 'UGT1A6', 'UROD', 'PPOX', 'UGT2B4', 'BLVRA', 'UGT1A10', 'HMOX2', 'BLVRB', 'FECH', 'MMAB', 'UGT1A9', 'HMBS', 'UGT1A8']
KEGG_RIBOFLAVIN_METABOLISM	1	0.19153156298564628	1.4540649466467748	0.1	35.95	['FLAD1', 'PHPT1', 'ENPP1', 'MTMR2', 'MTMR7', 'ACP6', 'ENPP3', 'ACP1', 'ACP2']
KEGG_GALACTOSE_METABOLISM	5	0.1749580635652725	1.3480662627540805	0.5	66.126	['PFKM', 'B4GALT2', 'B4GALT1', 'MGAM', 'GALT', 'GALK1', 'GAA', 'PGM2', 'HK3', 'GALK2', 'PFKP', 'GLA', 'GANC', 'GLB1', 'HK1', 'PFKL', 'UGP2', 'HK2', 'PGM1']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	4	0.16877623234511369	1.5399282454721697	0.4	35.9875	['HEXB', 'ST6GALNAC6', 'GLB1', 'ST8SIA1', 'B4GALNT1', 'ST3GAL5', 'ST6GALNAC4', 'ST6GALNAC5', 'ST6GALNAC3', 'ST3GAL1', 'B3GALT4', 'HEXA', 'ST3GAL2']
KEGG_VIBRIO_CHOLERAE_INFECTION	6	0.16781096677820326	1.5002734807817795	0.6	62.11166666666667	['ATP6V0A4', 'ATP6V1D', 'ATP6V1A', 'PDIA4', 'ATP6V0C', 'ATP6V0E2', 'ADCY3', 'ACTB', 'SEC61A2', 'ATP6V1E2', 'PRKACA', 'ATP6V1C1', 'ATP6V0A1', 'SLC12A2', 'ATP6V1G1', 'KCNQ1', 'KDELR1', 'ATP6V0A2', 'PRKCB', 'ATP6V0B', 'ATP6V1F', 'ATP6V1B2', 'KDELR2', 'ATP6AP1', 'SEC61A1', 'ATP6V0D1', 'ADCY9', 'ARF1', 'CFTR', 'ATP6V1G2', 'ATP6V1E1', 'ATP6V1B1', 'TJP1', 'ERO1A', 'TJP2', 'SEC61G', 'GNAS', 'PRKACB', 'PRKX', 'KDELR3', 'PRKCA', 'ATP6V0D2', 'ATP6V1C2', 'PLCG2', 'ATP6V1H', 'TCIRG1', 'ATP6V0E1', 'SEC61B', 'ACTG1', 'PLCG1']
KEGG_MELANOMA	4	0.16761777271139097	1.4727682429914442	0.4	64.4675	['PIK3CD', 'FGF9', 'FGFR1', 'MAPK1', 'CDK4', 'EGF', 'MAP2K2', 'PDGFRB', 'MAPK3', 'RAF1', 'FGF7', 'IGF1R', 'PIK3CA', 'BRAF', 'FGF18', 'E2F2', 'FGF10', 'ARAF', 'RB1', 'CDH1', 'PDGFD', 'CCND1', 'MDM2', 'PDGFB', 'TP53', 'NRAS', 'AKT3', 'PIK3CG', 'FGF13', 'KRAS', 'E2F1', 'FGF11', 'EGFR', 'FGF19', 'IGF1', 'FGF1', 'FGF14', 'PTEN', 'PDGFC', 'PIK3R1', 'MAP2K1', 'PIK3R3', 'FGF12', 'AKT1', 'FGF2', 'AKT2', 'PDGFA', 'PIK3R2', 'MITF', 'BAD', 'PIK3CB', 'E2F3', 'CDKN1A', 'PDGFRA', 'HGF', 'HRAS', 'CDKN2A', 'MET', 'PIK3R5', 'CDK6']
