pathway	freq	padj	stability	overlap	genes
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1	4.223700240261111e-55	1.0	0.23427672955974843	['IGKV5-2', 'TRBV20-1', 'TRBV29-1', 'IGKV1D-42', 'SASH3', 'HLA-DPA1', 'NLRP3', 'WAS', 'IGHV3-38', 'IGHG3', 'IGKV1-6', 'IGLC6', 'TRAV2', 'IGLV7-43', 'IGKV2-40', 'IGKV1-39', 'IGKV3D-11', 'IGKV3D-7', 'LILRB3', 'IGKV2-29', 'IGHV1-58', 'IGKV3-15', 'IGHJ1', 'THEMIS', 'TRBJ1-5', 'SPN', 'CD244', 'IGHG1', 'IGLV2-14', 'HLA-DQA1', 'CD48', 'IGLC7', 'IGKV2D-24', 'CSF2RB', 'CD84', 'IGHV3-48', 'C1QB', 'IGHV3-73', 'IGLC3', 'TFE3', 'IGHV6-1', 'IGKV2-30', 'IGKV1D-33', 'IGHV2-26', 'IGLV1-44', 'IGKV1-12', 'CD226', 'LILRB4', 'IGKV2-24', 'EXO1', 'IGKV2D-28', 'TRAV4', 'IGHV4-34', 'IGLV4-3', 'TRBJ1-4', 'IGHV1-45', 'IL21R', 'IGHV3-33', 'IGKV1-37', 'C1QC', 'IGLV3-1', 'CD79A', 'HLA-DRA', 'IGHA2', 'IGKV2D-30', 'MSH2', 'CD4', 'TRBJ2-7', 'IGKV1-27', 'HLA-DPB1', 'IGKV4-1', 'P2RX7', 'IGKV3-20', 'STAT3', 'HLA-DMB', 'LILRB2', 'TNFRSF17', 'EIF2AK4', 'IRF4', 'TNFSF13B', 'IGHV3-23', 'IGHV4-59', 'JCHAIN', 'IGLV7-46', 'TRAV8-6', 'LAX1', 'TRAV8-2', 'IGKV1-5', 'IGLV5-45', 'IGHV1-24', 'IGLV3-16', 'PAXIP1', 'IGKV1D-39', 'IGKV1D-37', 'IGHV3-15', 'TRBV12-3', 'IGHG4', 'IGHV3-35', 'IGLV4-69', 'IGHV3-74', 'CD28', 'IGHV3-13', 'IL12RB1', 'CTSS', 'IGLV2-8', 'PTPRC', 'TP53BP1', 'PDCD1LG2', 'IGLV3-19', 'IGLV3-21', 'IGKV3D-15', 'IGHA1', 'CD27', 'IGLV2-23', 'IGLV9-49', 'IGKV1D-8', 'IGLV2-11', 'IGHV3-43', 'IGLV3-25', 'IGKV2-28', 'IGKV3-7', 'IGHV5-51', 'TRBJ2-2', 'SLAMF1', 'TRAV29DV5', 'IGLJ1', 'TRAV12-3', 'PRKCB', 'TRAV13-1', 'IGKV1-9', 'IGKV1D-43', 'IGLC1', 'TNFRSF1B', 'IGLV1-51', 'IGHV3-30', 'IGHV3-21', 'IGHV2-70D', 'IGHV3-53', 'IGHV2-5', 'MSH6', 'IGHG2', 'IGLL5', 'IGKV1-17', 'IGLV6-57', 'IGKV1D-12', 'SAMSN1', 'IGLV1-36', 'IGHV2-70', 'BTK']
GOBP_IMMUNE_RESPONSE	1	9.748562819324795e-51	1.0	0.14889589905362777	['IGKV5-2', 'DHX9', 'TRBV20-1', 'EP300', 'TRBV29-1', 'CIITA', 'IGKV1D-42', 'HCK', 'SIRPA', 'CRKL', 'SASH3', 'PLCL2', 'NLRP3', 'CD200R1', 'WAS', 'IGHV3-38', 'IGKV1-6', 'IGHG3', 'DOCK2', 'TRAV2', 'IGLV7-43', 'IGLC6', 'IGKV2-40', 'IGKV1-39', 'IGKV3D-11', 'IGKV3D-7', 'AKAP8', 'LILRB3', 'PTAFR', 'IGKV2-29', 'IGHV1-58', 'IGKV3-15', 'IGHJ1', 'THEMIS', 'TRBJ1-5', 'SPN', 'CD244', 'PUM1', 'SLAMF8', 'ALOX5', 'IGHG1', 'IGLV2-14', 'NLRC3', 'HLA-DQA1', 'CD300LF', 'CD48', 'IGLC7', 'IGKV2D-24', 'CSF2RB', 'DDX3X', 'DOCK10', 'CD84', 'HK1', 'CCR7', 'AIF1', 'IGHV3-48', 'IGSF6', 'PUM2', 'ERBIN', 'C1QB', 'IGHV3-73', 'ITGAM', 'IGLC3', 'UBASH3A', 'IL2RG', 'TFE3', 'IGHV6-1', 'SP2', 'IGKV2-30', 'RELA', 'IGKV1D-33', 'XIAP', 'IGHV2-26', 'IGKV1-12', 'IGLV1-44', 'RFX1', 'CD226', 'SOS1', 'LILRB4', 'SFPQ', 'OTUD4', 'IGKV2-24', 'VAV2', 'RPS6KB1', 'CCR5', 'EXO1', 'IGKV2D-28', 'TRAV4', 'IGHV4-34', 'ANKRD17', 'IGLV4-3', 'TRBJ1-4', 'NCF2', 'ACTR2', 'IGHV1-45', 'IL21R', 'IGHV3-33', 'IGKV1-37', 'KHDRBS1', 'C1QC', 'IGLV3-1', 'CD79A', 'HLA-DRA', 'IGHA2', 'IGKV2D-30', 'EIF2AK2', 'CCL3', 'MSH2', 'CD4', 'TRBJ2-7', 'IGKV1-27', 'HLA-DPB1', 'IGKV4-1', 'SLA', 'GFI1', 'P2RX7', 'IGKV3-20', 'CD14', 'STAT3', 'SETD2', 'HLA-DMB', 'GTPBP1', 'LILRB2', 'PTPN11', 'ITGAL', 'ITCH', 'NFAM1', 'TNFRSF17', 'EIF2AK4', 'MPEG1', 'IRF4', 'IL5RA', 'TNFSF13B', 'IGHV3-23', 'IGHV4-59', 'JCHAIN', 'KIF5B', 'CD68', 'TRAV8-2', 'LAX1', 'IGHV1-24', 'IGLV3-16', 'ICOS', 'IGKV1-5', 'IGLV5-45', 'IGLV7-46', 'TRIM56', 'TRAV8-6', 'TCF12', 'PAXIP1', 'IGKV1D-39', 'SYNCRIP', 'PSTPIP1', 'IGKV1D-37', 'IGHV3-15', 'TRBV12-3', 'IGHG4', 'IGHV3-35', 'IGLV4-69', 'IGHV3-74', 'CD28', 'IL12RB1', 'SKP2', 'IGHV3-13', 'CTSS', 'HLA-DPA1', 'MRC1', 'PIK3R6', 'IGLV2-8', 'PTPRC', 'TP53BP1', 'PDCD1LG2', 'TLR7', 'PRKDC', 'JAK1', 'IGLV3-21', 'TESPA1', 'IGLV3-19', 'IGKV3D-15', 'CCR1', 'IGHA1', 'CD27', 'IGLV2-23', 'IGLV9-49', 'IGKV1D-8', 'DHX36', 'RBM14', 'POU2AF1', 'IGLV2-11', 'LPXN', 'IGHV3-43', 'IGKV2-28', 'IGLV3-25', 'ADAR', 'IGKV3-7', 'ITGB2', 'APBB1IP', 'IGHV5-51', 'TRBJ2-2', 'PYHIN1', 'SLAMF1', 'TRAV29DV5', 'IGLJ1', 'DDX1', 'TRAV12-3', 'PRKCB', 'TRAV13-1', 'IGKV1-9', 'IGKV1D-43', 'IGLC1', 'TNFRSF1B', 'PIK3AP1', 'FGL2', 'IGLV1-51', 'IGHV3-21', 'GBF1', 'IGHV3-30', 'IGHV2-70D', 'CCL4', 'IGHV3-53', 'IGHV2-5', 'MSH6', 'IGHG2', 'TNFSF8', 'IGKV1-17', 'IGLL5', 'LCK', 'IGKV1D-12', 'IGLV6-57', 'TRIM22', 'NCR3', 'SAMSN1', 'IGLV1-36', 'IGHV2-70', 'BTK', 'MED1']
GOBP_CHROMOSOME_ORGANIZATION	1	3.856597326838789e-35	1.0	0.16572077185017026	['CDC27', 'CHAMP1', 'WAPL', 'DHX9', 'EP300', 'OIP5', 'IKZF1', 'KDM3B', 'ASH1L', 'SPAG5', 'KIF18B', 'GINS1', 'TTI1', 'ARID1B', 'KDM5C', 'TNKS2', 'LATS1', 'AKAP8', 'RCOR1', 'SMARCAL1', 'AURKB', 'DCAF1', 'NCAPH', 'WAC', 'NCAPD3', 'XRN1', 'BCORL1', 'STAG1', 'DNMT1', 'KIF23', 'DDX3X', 'JMJD1C', 'RNF20', 'PSME4', 'RFC4', 'TSPYL1', 'SETD1B', 'KNTC1', 'PHF20', 'BRD4', 'RELA', 'NSD1', 'NFRKB', 'SFPQ', 'EXO1', 'CDC20', 'SMARCAD1', 'KMT2A', 'UPF1', 'ERCC6L', 'KMT2C', 'WRN', 'HCFC1', 'ERCC3', 'ARID2', 'YY1', 'SGO1', 'NUF2', 'KMT2E', 'MSH2', 'KIF4B', 'EMSY', 'PDS5A', 'HELLS', 'BUB1B', 'KDM3A', 'MRE11', 'SLF2', 'SETD2', 'NAT10', 'CENPA', 'EP400', 'BRIP1', 'GATAD2B', 'INO80', 'RPA1', 'RAD50', 'HMG20A', 'RLIM', 'CTCF', 'NUMA1', 'NUP62', 'NUSAP1', 'MAD2L1', 'UBN2', 'TRRAP', 'KDM6A', 'BRD1', 'HNRNPD', 'ZW10', 'SMARCA5', 'CHD8', 'ESPL1', 'KDM5B', 'SMG6', 'CENPE', 'CCNE1', 'PRKDC', 'RACGAP1', 'CENPI', 'KIFC1', 'HNRNPU', 'EXOSC10', 'SMC1A', 'DHX36', 'SMC5', 'CDK2', 'SAFB', 'CDC23', 'ATR', 'UHRF1', 'CDC6', 'HJURP', 'TLK2', 'JARID2', 'BPTF', 'SRCAP', 'YTHDC1', 'STAG2', 'ARID1A', 'ZNF207', 'DDX1', 'PRKCB', 'CHD2', 'SMC3', 'ARID4B', 'EPC2', 'NDC80', 'RSF1', 'KAT6B', 'SETX', 'SSRP1', 'RAD54L', 'BRCA1', 'MSH6', 'RAD51', 'NUP133', 'DSN1', 'ATAD2', 'BRD2', 'ANAPC1', 'KDM2A', 'ASF1B', 'TOP2B', 'CCNB1', 'GINS2']
GOBP_IMMUNOGLOBULIN_PRODUCTION	1	1.5142865303560891e-33	1.0	0.3350253807106599	['IGKV5-2', 'IGKV1D-8', 'HLA-DMB', 'IGLV2-11', 'IGKV2-30', 'IGKV1D-42', 'IGKV1D-33', 'IGLV1-44', 'IGKV1-12', 'IGLV3-25', 'IGKV2-28', 'SASH3', 'IGKV3-7', 'HLA-DPA1', 'IGKV1-6', 'TRAV2', 'IGLV7-43', 'IGKV2-40', 'IGKV2-24', 'IGKV3D-11', 'IGKV1-39', 'IGKV3D-7', 'EXO1', 'IGKV2D-28', 'IGKV2-29', 'IGLV7-46', 'IGKV1-9', 'IGLV3-16', 'IGKV3-15', 'IGLV4-3', 'IGKV1-5', 'IGLV5-45', 'IGKV1D-43', 'PAXIP1', 'IGKV1D-39', 'IGLV1-51', 'IGKV1-37', 'IGLV2-14', 'IGLV4-69', 'CD28', 'YY1', 'IGLV3-1', 'HLA-DRA', 'HLA-DQA1', 'IGKV2D-30', 'MSH6', 'IGKV1-17', 'IGKV2D-24', 'MSH2', 'IGLV2-8', 'IGKV1-27', 'PTPRC', 'HLA-DPB1', 'IGKV4-1', 'TP53BP1', 'IGLV6-57', 'PRKDC', 'IGKV1D-12', 'IGLV3-21', 'IGLV3-19', 'IGKV3-20', 'IGLV1-36', 'IGKV3D-15', 'BTK', 'IGLV2-23', 'IGLV9-49']
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	1	6.627090464673299e-31	1.0	0.2669039145907473	['IGKV5-2', 'IGKV1D-8', 'DHX36', 'HLA-DMB', 'IGLV2-11', 'IGKV2-30', 'IGKV1D-42', 'IGKV1D-33', 'IGLV1-44', 'IGKV1-12', 'IGLV3-25', 'IGKV2-28', 'SASH3', 'IGKV3-7', 'HLA-DPA1', 'NLRP3', 'CD226', 'IGKV1-6', 'TRAV2', 'IGLV7-43', 'LILRB4', 'IGKV2-40', 'IGKV2-24', 'IGKV1-39', 'IGKV3D-11', 'IGKV3D-7', 'SLAMF1', 'EXO1', 'IGKV2D-28', 'DDX1', 'IGKV2-29', 'IGLV7-46', 'IGKV1-9', 'IGLV3-16', 'IGKV3-15', 'IGLV4-3', 'IGKV1-5', 'IGLV5-45', 'IGKV1D-43', 'TNFRSF1B', 'PAXIP1', 'IGKV1D-39', 'IGLV1-51', 'CD244', 'IGKV1-37', 'IGLV2-14', 'IGLV4-69', 'CD28', 'YY1', 'IGLV3-1', 'HLA-DRA', 'HLA-DQA1', 'IGKV2D-30', 'MSH6', 'IGKV1-17', 'IGKV2D-24', 'MSH2', 'IGLV2-8', 'IGKV1-27', 'PTPRC', 'HLA-DPB1', 'IGKV4-1', 'TP53BP1', 'HK1', 'PRKDC', 'IGLV6-57', 'IGKV1D-12', 'IGLV3-19', 'IGLV3-21', 'IGKV3-20', 'IGLV1-36', 'IGKV3D-15', 'BTK', 'IGLV2-23', 'IGLV9-49']
GOBP_LYMPHOCYTE_ACTIVATION	1	3.750514575501279e-26	1.0	0.16083916083916083	['EP300', 'SIRPA', 'IKZF1', 'AMBRA1', 'SASH3', 'PLCL2', 'HLA-DPA1', 'NLRP3', 'WAS', 'IGHV3-38', 'IGHG3', 'IGLC6', 'DOCK2', 'IRF2BP2', 'DOCK8', 'IGHV1-58', 'DCAF1', 'THEMIS', 'SPN', 'CD244', 'SLAMF8', 'IGHG1', 'NLRC3', 'HLA-DQA1', 'CD48', 'IGLC7', 'SOS2', 'DOCK10', 'CD84', 'AIF1', 'CCR7', 'IGHV3-48', 'IGHV3-73', 'IGLC3', 'PRKAR1A', 'IGHV6-1', 'IGHV2-26', 'RASAL3', 'SOS1', 'LILRB4', 'BTK', 'EXO1', 'IGHV4-34', 'IGHV1-45', 'IL21R', 'IGHV3-33', 'YY1', 'CD79A', 'HLA-DRA', 'IGHA2', 'MSH2', 'CD4', 'HLA-DPB1', 'SNX27', 'P2RX7', 'HELLS', 'STAT3', 'HLA-DMB', 'LILRB2', 'PTPN11', 'ITCH', 'ITGAL', 'NFAM1', 'EIF2AK4', 'IRF4', 'TNFSF13B', 'IGHV3-23', 'IGHV4-59', 'LAX1', 'IGHV1-24', 'ICOS', 'PAXIP1', 'IGHV3-15', 'IGHG4', 'IGHV3-35', 'IGHV3-74', 'CD28', 'IGHV3-13', 'IL12RB1', 'PIK3R6', 'PTPRC', 'TP53BP1', 'PDCD1LG2', 'PRKDC', 'TESPA1', 'IGHA1', 'CD27', 'POU2AF1', 'IGHV3-43', 'JAML', 'IGHV5-51', 'SLAMF1', 'CD5', 'SIRPB1', 'PRKCB', 'IGLC1', 'TNFRSF1B', 'FGL2', 'IGHV3-30', 'IGHV3-21', 'IGHV2-70D', 'IGHV3-53', 'IGHV2-5', 'GPNMB', 'MSH6', 'IGHG2', 'TNFSF8', 'IGLL5', 'LCK', 'NCR3', 'SAMSN1', 'IGHV2-70', 'APBB1IP', 'PREX1', 'SP3']
GOBP_CELL_CYCLE	1	3.2188198373367014e-24	1.0	0.11665586519766688	['CDC27', 'CHAMP1', 'WAPL', 'MELK', 'EP300', 'OIP5', 'WDHD1', 'IKZF1', 'AMBRA1', 'RPTOR', 'SON', 'C2CD3', 'SASS6', 'KIF18B', 'GINS1', 'SPAG5', 'WASHC5', 'IQGAP3', 'LATS1', 'USP9X', 'NEK4', 'AKAP8', 'AURKB', 'NCAPH', 'CACUL1', 'WAC', 'PUM1', 'NCAPD3', 'CCNA2', 'SKA3', 'STAG1', 'KIF23', 'DDX3X', 'RNF20', 'AIF1', 'TUBGCP3', 'PAFAH1B1', 'MND1', 'KNTC1', 'BRD4', 'ZBED6', 'XIAP', 'NFRKB', 'SFPQ', 'RPS6KB1', 'IFFO1', 'EXO1', 'CDC20', 'SMARCAD1', 'CKAP5', 'EPB41L2', 'PIK3R4', 'ANKRD17', 'UPF1', 'ERCC6L', 'WRN', 'ACTR2', 'PIM2', 'HCFC1', 'ERCC3', 'WDR76', 'KHDRBS1', 'BORA', 'DDB1', 'YY1', 'UTP14C', 'SGO1', 'RAB35', 'NUF2', 'KMT2E', 'MSH2', 'KIF4B', 'CDK12', 'PDS5A', 'ERCC6', 'DYNC1H1', 'GFI1', 'HELLS', 'BUB1B', 'CDCA2', 'STAT3', 'MRE11', 'SLF2', 'SETD2', 'CDKN3', 'CENPA', 'NAT10', 'EP400', 'INO80', 'RAD50', 'BRIP1', 'BTRC', 'RPA1', 'WDR62', 'ORC1', 'PTPN11', 'PBK', 'CTCF', 'NUMA1', 'NUP62', 'NUSAP1', 'TOGARAM2', 'CLASP1', 'MAD2L1', 'EIF2AK4', 'TRRAP', 'NUP214', 'C6orf89', 'SKA1', 'VCP', 'PAXIP1', 'ROCK2', 'ZW10', 'CD28', 'SMARCA5', 'TAF1L', 'ESPL1', 'SKP2', 'CENPE', 'PTPRC', 'CDC7', 'TP53BP1', 'CCNK', 'CCNE1', 'PRKDC', 'RACGAP1', 'YY1AP1', 'CDCA3', 'KIFC1', 'HNRNPU', 'SMC1A', 'SMC5', 'RPRD1B', 'RBM14', 'CDK2', 'DBF4', 'PRPF40A', 'CDC23', 'ATR', 'UHRF1', 'CDC6', 'HJURP', 'AURKA', 'KIF2A', 'TLK2', 'TARDBP', 'XRCC2', 'STAG2', 'PYHIN1', 'PLK4', 'ZNF207', 'ZZZ3', 'PRKCB', 'DTL', 'TUBGCP4', 'SMC3', 'EPC2', 'NDC80', 'CEP63', 'NUGGC', 'SPC25', 'BIRC6', 'E2F1', 'GBF1', 'NPAT', 'USP19', 'RAD54L', 'BRCA1', 'GPNMB', 'MSH6', 'PCLAF', 'RAD51', 'DSN1', 'ANAPC1', 'TOP2B', 'CCNB1', 'SPECC1L', 'DDIAS', 'CDC73', 'MED1']
GOBP_CELL_CYCLE_PROCESS	1	2.2607555071445218e-23	1.0	0.1329479768786127	['CDC27', 'CHAMP1', 'WAPL', 'MELK', 'AMBRA1', 'RPTOR', 'SON', 'C2CD3', 'SASS6', 'KIF18B', 'GINS1', 'SPAG5', 'WASHC5', 'IQGAP3', 'LATS1', 'AKAP8', 'AURKB', 'CACUL1', 'NCAPH', 'WAC', 'NCAPD3', 'CCNA2', 'STAG1', 'KIF23', 'DDX3X', 'AIF1', 'PAFAH1B1', 'MND1', 'TUBGCP3', 'KNTC1', 'BRD4', 'SFPQ', 'RPS6KB1', 'IFFO1', 'CDC20', 'CKAP5', 'SMARCAD1', 'PIK3R4', 'ANKRD17', 'UPF1', 'WRN', 'ACTR2', 'PIM2', 'ERCC3', 'WDR76', 'BORA', 'KHDRBS1', 'DDB1', 'SGO1', 'RAB35', 'NUF2', 'KMT2E', 'MSH2', 'KIF4B', 'PDS5A', 'ERCC6', 'DYNC1H1', 'GFI1', 'BUB1B', 'CDCA2', 'MRE11', 'SLF2', 'SETD2', 'CDKN3', 'NAT10', 'CENPA', 'BRIP1', 'WDR62', 'RAD50', 'INO80', 'ORC1', 'PTPN11', 'CTCF', 'NUMA1', 'NUP62', 'NUSAP1', 'TOGARAM2', 'CLASP1', 'MAD2L1', 'EIF2AK4', 'VCP', 'PAXIP1', 'ROCK2', 'ZW10', 'CD28', 'SMARCA5', 'TAF1L', 'ESPL1', 'SKP2', 'CENPE', 'PTPRC', 'CDC7', 'TP53BP1', 'CCNE1', 'PRKDC', 'RACGAP1', 'KIFC1', 'HNRNPU', 'SMC1A', 'RBM14', 'RPRD1B', 'SMC5', 'CDK2', 'PRPF40A', 'DBF4', 'CDC23', 'ATR', 'CDC6', 'AURKA', 'KIF2A', 'XRCC2', 'STAG2', 'PLK4', 'ZNF207', 'PRKCB', 'DTL', 'TUBGCP4', 'SMC3', 'NDC80', 'CEP63', 'NUGGC', 'SPC25', 'BIRC6', 'E2F1', 'NPAT', 'USP19', 'RAD54L', 'BRCA1', 'GPNMB', 'MSH6', 'PCLAF', 'RAD51', 'DSN1', 'ANAPC1', 'TOP2B', 'CCNB1', 'CDC73', 'MED1']
GOBP_B_CELL_MEDIATED_IMMUNITY	1	7.292123806710869e-23	1.0	0.27692307692307694	['HLA-DMB', 'IGHV6-1', 'IGHV3-43', 'IGHV2-26', 'HLA-DPA1', 'IGHV3-38', 'CD226', 'IGHG3', 'IGLC6', 'IGHV5-51', 'IGHV3-23', 'IGHV4-59', 'EXO1', 'IGHV4-34', 'IGHV1-24', 'IGHV1-58', 'IGLC1', 'PAXIP1', 'IGHV1-45', 'IL21R', 'IGHV3-15', 'IGHV3-33', 'IGHG1', 'IGHV3-30', 'IGHV3-35', 'IGHG4', 'IGHV3-21', 'IGHV3-74', 'C1QC', 'CD28', 'IGHV2-70D', 'IGHV3-53', 'IGHV2-5', 'HLA-DRA', 'HLA-DQA1', 'IGHA2', 'MSH6', 'IGHV3-13', 'IGLC7', 'IGHG2', 'IGLL5', 'MSH2', 'CSF2RB', 'PTPRC', 'HLA-DPB1', 'TP53BP1', 'IGHV3-48', 'IGHV2-70', 'BTK', 'IGHA1', 'CD27', 'C1QB', 'IGHV3-73', 'IGLC3']
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	8.068445091831349e-23	1.0	0.35537190082644626	['IGHV6-1', 'LPXN', 'IGHV3-43', 'IGHV2-26', 'PLCL2', 'NFAM1', 'IGHV3-38', 'IGHG3', 'IGLC6', 'IGHV5-51', 'IGHV3-23', 'IGHV4-59', 'IGHV4-34', 'PRKCB', 'IGHV1-24', 'IGHV1-58', 'IGLC1', 'IGHV1-45', 'IGHV3-15', 'IGHV3-30', 'IGHV3-33', 'IGHG1', 'IGHV3-21', 'IGHV3-35', 'IGHG4', 'IGHV2-70D', 'IGHV3-74', 'CD79A', 'IGHV3-53', 'IGHA2', 'IGHV2-5', 'IGHG2', 'IGHV3-13', 'IGLC7', 'IGLL5', 'LCK', 'PTPRC', 'IGHV3-48', 'IGHV2-70', 'BTK', 'IGHA1', 'IGHV3-73', 'IGLC3']
