pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SUMOYLATION	1	0.24995533395068079	-1.365110373944847	1.0	44.66	['HMG20B', 'RELA', 'PIAS3', 'HMG20A', 'CAPN3', 'PARK7', 'CTNNB1', 'GNL3L']
GOBP_NEGATIVE_REGULATION_OF_MYOSIN_LIGHT_CHAIN_PHOSPHATASE_ACTIVITY	1	0.24967110870572215	-1.3656524305693718	1.0	33.13	['NCKAP1L', 'IKBKB', 'ROCK1', 'ROCK2']
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	1	0.2496584976477433	-1.3657889868707476	1.0	63.04	['ELL3', 'EP300', 'SNW1', 'IFI16', 'TP73', 'PML', 'MIF', 'USP28', 'FHIT', 'RRN3', 'TAF9B', 'PTTG1IP', 'CDIP1', 'TP53', 'SHISA5', 'EDA2R', 'RPS27L', 'PHLDA3', 'PYCARD', 'HNRNPK', 'MYC', 'EIF5A', 'PERP', 'STK11', 'HIPK1', 'E2F1', 'RPL26', 'RPS7', 'PDK2', 'TP53BP2', 'DDX5', 'BOK', 'BCL3', 'MDM2', 'WWOX', 'ARMC10', 'MYBBP1A', 'CDKN1A', 'ING2', 'CD74', 'BAX', 'NUPR1', 'RRM2B', 'TAF9', 'CD44', 'PMAIP1', 'BAG6', 'RRP8', 'TOPORS', 'UBB', 'TMEM109', 'TRIAP1', 'CASP6', 'TP63', 'PPP1R13B', 'KDM1A', 'HINT1', 'ZNF385A']
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	1	0.24964138887731258	-1.3659428567022067	1.0	66.82	['SAMM50', 'CHCHD6', 'APOOL', 'IMMT', 'TIMM8B', 'CHCHD10', 'TIMM10', 'MTX1', 'TMEM11', 'OPA1', 'NDUFA13', 'AGK', 'DNAJC11', 'UQCC3', 'MYC', 'TOMM70', 'MAIP1', 'TIMM9', 'ROMO1', 'OMA1', 'MTX2', 'PINK1', 'TIMM29', 'GHITM', 'TRMT10B', 'CHCHD3', 'MTX3', 'TIMM10B', 'TIMM22', 'ADCK1', 'TIMM13']
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	1	0.2495751121289455	-1.365623134875864	1.0	34.64	['GHRL', 'EIF4A3', 'RNF19A', 'CDH1', 'USP8', 'EIF4E', 'PPP3CA']
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	1	0.24913103008585677	1.5206391600851896	1.0	44.71	['GATA3', 'CYP27B1', 'CDKN1C', 'TNF', 'ZFP36', 'XDH', 'SGPP1', 'ETV4', 'ALOX15B', 'TRIM16', 'MAFF', 'HEY2', 'IFNG', 'ID1', 'BMP6', 'MMP9', 'HES1', 'MYCL', 'ERRFI1', 'OSR1', 'CD24', 'SMO', 'CEBPB', 'CDKN2B', 'ZDHHC21', 'OVOL2', 'DLL1', 'LIF', 'PRLR', 'PAX8', 'ATOH8', 'PTCH2', 'TBX3', 'HOXA7', 'PROM1', 'JAG1', 'GRHL1', 'MESP1', 'SERPINE1', 'TMEM100', 'APOLD1', 'PROC', 'WNT10B', 'PLCB1', 'ASCL1', 'CLDN5', 'CEACAM1', 'S1PR3', 'ETV2', 'MSX2', 'EZH2', 'NOTCH4', 'NCOA3', 'SFRP4', 'BMP4', 'AQP3', 'FOXC1', 'IL1A', 'IL1B', 'FOXJ2', 'ABCA12', 'TP63', 'SFN', 'VEGFA', 'SOX9', 'SULT2B1', 'MIR21', 'BTG1']
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	0.2490903551032584	1.5190841042305974	1.0	25.13	['TNF', 'LRP2', 'ID1', 'LRP4', 'SEMA6D', 'SMO', 'TENM4', 'CAMK2B', 'ID2', 'NLGN2', 'LRRC24', 'ZNF488', 'SEMA7A', 'SRPX2', 'HEYL', 'SERPINF1', 'IL34', 'DBN1', 'CLSTN2', 'CRABP2', 'LTA', 'SHTN1', 'SORL1', 'PTPRZ1', 'DAAM2', 'PARD3', 'SEMA5B', 'FBXO31', 'NEURL1', 'KIT', 'CDKL5', 'PRTG', 'SEMA3E', 'AMIGO3', 'SHANK3', 'WDR62', 'SEMA4G', 'CHD7', 'CXCL12', 'CLCF1', 'DLL1', 'CCL11', 'FZD3', 'SPP1', 'FLRT2', 'TPBG', 'METRN', 'ASCL1', 'DLL3', 'EPHB1', 'NTRK2', 'L1CAM', 'HES2', 'EZH2', 'CST7', 'THBS2', 'TPPP', 'EFNA5', 'TRIM46', 'SERPINE2', 'MAP2', 'CTSC', 'BDNF', 'WNT7A', 'MAPT', 'PTPRD', 'EPHA7', 'EFNB3', 'RAB21', 'KIF14', 'THY1', 'ID4', 'RASSF10', 'LRRC4B', 'HEY1', 'PLAG1', 'SEMA3C', 'WNT5A', 'CYFIP1', 'HES6', 'ACE', 'MME', 'NF2', 'WNT2', 'FGF13', 'ASPM', 'MIR142', 'MAP6', 'MYRF', 'SOX11', 'GPER1', 'KIAA0319', 'SYNDIG1', 'CDK5R1', 'RNF112', 'MIR221', 'IFNG', 'SEMA3B', 'CDKN2B', 'GLI3', 'POU4F1', 'FN1', 'HGF', 'NTN1', 'BMP2', 'SEMA3A', 'LRP8', 'RXRG', 'ITPKA', 'SEMA3G', 'BRINP1', 'IL1B', 'AMIGO1', 'EPHA4', 'SEMA6B', 'SEMA5A']
GOBP_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.2490438080940704	1.5196302441795397	1.0	50.38	['IGF1', 'PHIP', 'IGFBP5', 'IGFBP4', 'CDH3', 'AR']
GOBP_LIPID_CATABOLIC_PROCESS	1	0.24902826749701115	1.518628931846196	1.0	65.14	['SCT', 'GCDH', 'TNF', 'GDPD3', 'PLA2G12B', 'HCAR2', 'CYP24A1', 'ALDH1L2', 'ETFB', 'ASPG', 'PLA2G4C', 'CPT1A', 'TYSND1', 'DAGLB', 'ACOT8', 'CES1', 'PLA2G1B', 'ABHD2', 'SMPD2', 'ECHS1', 'MCAT', 'IDH1', 'AKR1B10', 'GLA', 'NUDT8', 'HSD17B6', 'SLC25A17', 'ECH1', 'NUDT19', 'ABHD5', 'CPT1C', 'PLCD3', 'PLCH2', 'PLCB4', 'LYPLA2', 'SORL1', 'CYP4F3', 'CLPSL1', 'GPIHBP1', 'CYP26B1', 'HEXA', 'GPLD1', 'IRS2', 'PLA2G4E', 'RARRES2', 'GPCPD1', 'MT3', 'DDHD1', 'NCEH1', 'PLA2G5', 'DECR2', 'HSD17B11', 'PRDX6', 'AADAC', 'CEL', 'NAAA', 'SMPDL3A', 'PCCA', 'ACOXL', 'CYP26A1', 'PLA2G2A', 'BCO1', 'HSD17B14', 'ACOX3', 'ACAA1', 'ABHD16B', 'TWIST1', 'SPP1', 'SMPDL3B', 'PLA2G4A', 'ABHD3', 'MCEE', 'PLD1', 'FUCA1', 'STS', 'FAAH2', 'PLCXD3', 'MLYCD', 'ABHD1', 'ACAA2', 'ACADS', 'CYP4F12', 'ECI2', 'PAFAH1B3', 'LPIN2', 'SRD5A1', 'SIRT2', 'HSD17B10', 'AOAH', 'SMPD1', 'LIPH', 'ADRA2A', 'ETFA', 'CYP39A1', 'ECHDC1', 'PLCXD2', 'CYP27B1', 'PLA2G7', 'PEX2', 'PLA2G10', 'IRS1', 'HINT2', 'FAAH', 'CRABP1', 'CYP1B1', 'PCK2', 'ABCD1', 'PHYH', 'AUH', 'PNPLA3', 'APOE', 'SLC27A2', 'PDE3B', 'ABCD3', 'ENPP2', 'AMACR', 'NEU1', 'LIPE', 'BDH2', 'SRD5A2', 'CNR1', 'DDHD2', 'ASAH1', 'ABCD2', 'PLD6', 'ECI1', 'CRTC3', 'SCARF1', 'PLA2G2D', 'MFSD2A', 'CLPSL2', 'ACADL', 'LIPG', 'PLCH1', 'PLCD1', 'BSCL2', 'SMPD3', 'PNPLA7', 'CDK4', 'ABHD12', 'GBA', 'NUDT7', 'CYP4F11', 'PNPLA4', 'PAFAH2', 'SESN2', 'MGST2', 'SULT1E1', 'PEX7', 'SLC27A4', 'CPS1', 'HCAR1', 'HEXB', 'ACAT1', 'GLYATL2', 'CROT', 'ILVBL', 'AKR1C3', 'PLCG1', 'MGLL', 'PLB1', 'GDE1', 'SPHK1', 'SRD5A3', 'SCP2', 'SCARB1', 'PLA2G4F', 'PLCB1', 'APOC2', 'LPL', 'PEX5', 'ADORA1', 'ETFBKMT', 'ACAT2', 'HADH', 'LIPM', 'PPT1', 'PLBD1', 'LGALS12', 'IVD', 'FMC1', 'PLA2G12A', 'ADTRP', 'ACER2', 'DECR1', 'IL1B', 'PLA1A', 'ABHD4', 'ACOX2', 'CPT2', 'PLCE1', 'HSD11B1', 'GDPD1', 'AIG1']
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24894596113485662	1.5205372345970753	1.0	18.56	['APOBEC3G', 'APOBEC3H', 'APOBEC3D', 'APOBEC3A', 'APOBEC3B']
