pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1	0.24992674175236865	-1.3841074895211551	1.0	41.33	['TCP1', 'CCT2', 'TERF1', 'WRAP53', 'CCT3', 'CCT8', 'CCT7', 'SPIDR', 'CCT4']
GOBP_CEREBRAL_CORTEX_DEVELOPMENT	1	0.24977784942098777	1.6294775132219756	1.0	19.75	['COL3A1', 'GSK3B', 'CDK5R1', 'TRAPPC9', 'TACC1', 'MDGA1', 'POU3F2', 'KIF14', 'SLC38A2', 'WDR62', 'DMRTA2', 'TACC2', 'SMO', 'CDK5R2', 'GLI3', 'CNTNAP2', 'PLCB1', 'ASCL1', 'NTRK2', 'PEX5', 'SYNE2', 'LRP8', 'CSNK2A2', 'FGF13', 'CRKL', 'ASPM', 'LAMB1', 'CDH2', 'FOXP2', 'ADGRG1', 'TACC3']
GOBP_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	1	0.24886472835574494	-1.3855863507547483	1.0	22.09	['SETX', 'TTF2', 'SCAF8', 'SCAF4', 'PCF11']
GOBP_CORPUS_CALLOSUM_DEVELOPMENT	1	0.2488117356185214	-1.385516665688122	1.0	60.45	['CDK5', 'EPHB2', 'TSKU', 'EPHB3', 'C12orf57', 'RYK', 'RTN4RL1', 'RTN4R', 'RPGRIP1L', 'NIN', 'NSUN5', 'PAFAH1B1']
GOBP_REGULATION_OF_T_CIRCLE_FORMATION	1	0.24871898838412804	-1.385480559174313	1.0	14.61	['XRCC5', 'SLX4', 'TERF2', 'ERCC1']
GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT	1	0.24856371228502178	1.6308402512902314	1.0	49.3	['SLC51B', 'ABCC11', 'PRKAA1', 'SLCO1A2', 'CEACAM1', 'ATP8B1', 'NR0B2', 'AQP9', 'FGF19', 'ABCC4', 'SLC10A4', 'AKR1C4', 'SLC27A5', 'SLC10A3', 'SLC10A5', 'SLC51A', 'ABCC2', 'AKR1C1']
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	1	0.24846646861144023	-1.38611573083561	1.0	42.88	['MFN1', 'CTNS', 'AKT2', 'BID', 'MYC', 'VCP', 'STOML2', 'AKT1']
GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY	1	0.24805586071018484	-1.3870567529635833	1.0	64.75	['SURF1', 'FASTKD3', 'SMIM20', 'COX10', 'COA5', 'COX20', 'SCO1', 'COX19', 'COX15', 'PET100', 'COX14', 'COA3', 'BCS1L', 'COA6', 'COA4', 'OXA1L', 'PET117', 'MT-CO3', 'COX17', 'COX16', 'COX18', 'TACO1']
GOBP_MIDBRAIN_DEVELOPMENT	1	0.24801163050583622	-1.3869684277566872	1.0	53.56	['MAPKAP1', 'MBP', 'POTEE', 'CDC42', 'GNB4', 'COX6B1', 'NDRG2', 'RHOA', 'SMAD1', 'WNT3', 'FOXB1', 'DLG5', 'TAF1', 'KAT2A', 'CALM1', 'BASP1', 'CSNK1D', 'CALM3', 'FGFR2', 'SOS1', 'SUDS3', 'CCDC14', 'CALM2', 'ZNF148', 'FZD6', 'GDF7', 'YWHAH', 'UQCRQ', 'RYK', 'UCHL5', 'YWHAQ', 'GLUD1', 'SYPL2', 'OTX1', 'FGF2', 'MAOB', 'FZD1', 'RAD1', 'KDM7A', 'NDUFS3', 'SEC16A', 'HSPA5', 'YWHAE', 'CSNK1E', 'ACTB', 'ZNF430', 'KDM2B', 'CNP', 'CTNNB1', 'WLS', 'NR4A2']
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	1	0.2479711074665539	-1.3872808311084053	1.0	29.67	['FLII', 'RDX', 'CAPZB', 'ATXN7', 'MAP1S', 'TTBK2', 'HDAC6', 'SPTBN2', 'ADD1', 'EPS8', 'KATNB1', 'GSN', 'LIMA1', 'SPTBN1', 'CAPZA1', 'NAV3', 'PIK3CA', 'TMOD2', 'ARHGEF2', 'WDR1', 'SVIL', 'CAMSAP1', 'MTPN', 'MAP1B', 'WASHC2C', 'CLASP1', 'CLASP2', 'MAP1A', 'MID1', 'CAMSAP2', 'TAOK1', 'CAMSAP3', 'PLEKHH2']
GOBP_G0_TO_G1_TRANSITION	1	0.24790091873060355	-1.3869503980950648	1.0	62.82	['RRM2B', 'PPP2R5B', 'CDK3', 'DAB2IP', 'SOX15', 'CCNC', 'RHNO1', 'RRM1', 'MYC', 'CHEK1', 'HLA-G', 'MED1', 'FOXO4']
GOBP_REGULATION_OF_RESPONSE_TO_TUMOR_CELL	1	0.24780241486593063	-1.3869159560862594	1.0	60.2	['CALM2', 'AHR', 'HAVCR2', 'CD226', 'IL4I1', 'CEACAM1', 'HMGB1', 'DAPK1', 'IL12A', 'PVR', 'MR1', 'NECTIN2', 'HLA-DRB1', 'FBXO38', 'HSPD1']
GOBP_MIDBODY_ABSCISSION	1	0.24672122905451727	-1.3888835999207272	1.0	60.86	['CHMP1B', 'VPS4B', 'CHMP1A', 'CHMP4B', 'CHMP6', 'PDCD6IP', 'CHMP7', 'CHMP3', 'VPS4A', 'CHMP2B', 'KIF20A', 'CHMP4C', 'MITD1', 'CHMP2A', 'CHMP5']
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	1	0.24662182763611923	-1.3888515195785547	1.0	26.88	['ANAPC7', 'ANAPC5', 'FZR1', 'CDC16', 'ANAPC4', 'CDC27', 'CDC23', 'CUL3', 'ANAPC1']
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT	1	0.24653562789186748	1.6333912777087627	1.0	14.79	['ALOX15B', 'FGF9', 'ADM', 'PRDM1', 'BCL2', 'MAMLD1', 'IDH1', 'BIRC6', 'BRCA2', 'PLCD3', 'MDFI', 'GJB3', 'CHD7', 'TBX3', 'SCX', 'PATZ1', 'BRIP1', 'TNFAIP6', 'PDGFA', 'NUDT1', 'CCNF', 'NUP107', 'WNT7A', 'CRKL', 'ACVR2A', 'SOX9', 'GATA2', 'ASCL2', 'MMP14', 'IRX5', 'HS6ST1', 'PRDX4', 'NIPBL', 'MMP2', 'GREB1L', 'BMP6', 'NR2F2', 'BCL2L2', 'HECTD1', 'HEY1', 'WNT4', 'OVOL2', 'PLAG1', 'ANG', 'EAF2', 'ANXA1', 'MAPK1', 'WNT2B', 'WNT5A', 'PDGFRB', 'ACE', 'MME', 'WNT2', 'FOXO3', 'PDGFRA', 'ASPM', 'LGR4', 'EREG', 'FOSL1', 'RDH10', 'UMODL1', 'SIRT1', 'RHOBTB3', 'LHX9', 'INSR', 'FOXA1', 'SYCP2', 'FKBP4', 'CEBPB', 'EPAS1', 'BCL2L11', 'RPS6', 'CCDC134', 'SULF1', 'INHBA', 'SFRP1', 'PCDH12', 'FOXC1', 'HTRA1', 'GJB5', 'ADGRG1']
GOBP_RESPONSE_TO_BACTERIAL_LIPOPROTEIN	1	0.24651889602765614	-1.3888144849349064	1.0	8.61	['TLR1', 'TLR6', 'TIRAP', 'TLR2']
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1	0.24650367322773079	-1.3893527562517094	1.0	12.76	['NAPEPLD', 'PUM1', 'SCIMP', 'EP300', 'TBK1', 'TLR3', 'MAP3K7', 'CD28', 'SLC15A4', 'DDX60', 'HSP90AA1', 'C3', 'NMI', 'RBM14', 'SYK', 'RAC2', 'NDEL1', 'TGFB1', 'PSPC1', 'STK24', 'PAK2', 'PTGER4', 'FLNA', 'HMGB1', 'ANKRD17', 'TLR2', 'STX3', 'ZNFX1', 'PTK2', 'HLA-E', 'PIK3CG', 'NLRP1', 'PAK1', 'LSM14A', 'PLSCR1', 'FEM1A', 'STAT5B', 'CD226', 'TRIM56', 'IKBKB', 'SFPQ', 'PTK2B', 'PVR', 'BTK', 'PUM2', 'SMAD3', 'IL15', 'IRF3', 'CSF1R', 'AKIRIN2', 'DHX9', 'C1QBP', 'ADAM8', 'SIN3A', 'CX3CR1', 'TIRAP', 'LYN', 'CMKLR1', 'PRKDC', 'MOSPD2', 'CDK19', 'TNIP1', 'LRSAM1', 'RIPK1', 'BMPR2', 'OXSR1', 'AKIRIN1', 'PARK7', 'PARP9', 'MED1', 'IL17RA']
GOBP_RESPONSE_TO_MUSCLE_STRETCH	1	0.24649013364538647	-1.3894994355131696	1.0	53.98	['NFKB1', 'GPI', 'RELA', 'JUN', 'NPPA', 'DMD', 'ANKRD1', 'SLC8A1', 'SLC9A1', 'GSN', 'PTK2', 'NFKBIA', 'RAF1', 'CTNNB1', 'MAPK14', 'PIK3CA']
GOBP_NEGATIVE_REGULATION_OF_CELL_SIZE	1	0.24640853140746402	-1.3893188576732864	1.0	34.65	['RDX', 'UCN', 'TSC1', 'MTOR', 'RHOA', 'PTEN']
