pathway	freq	padj	stability	overlap	genes
KEGG_RNA_DEGRADATION	1	0.002052087508533061	1.0	0.21818181818181817	['CNOT6', 'CNOT10', 'CNOT2', 'PAPOLA', 'LSM3', 'EXOSC2', 'DCP1A', 'EXOSC9', 'PNPT1', 'EDC3', 'PATL1', 'XRN1']
KEGG_ADHERENS_JUNCTION	1	0.00459264217460407	1.0	0.17391304347826086	['AFDN', 'TGFBR2', 'CDH1', 'NLK', 'CTNND1', 'FARP2', 'ACTG1', 'CTNNA1', 'ACTN4', 'WASF2', 'SSX2IP', 'CSNK2A2']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.00459264217460407	1.0	0.14563106796116504	['IL10', 'PAK2', 'IKBKB', 'CD28', 'VAV2', 'DLG1', 'PLCG1', 'GRB2', 'NCK2', 'RAF1', 'CBLB', 'PIK3CG', 'MAP3K14', 'PIK3CA', 'SOS1']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.00459264217460407	1.0	0.11666666666666667	['PIP4K2B', 'VAV2', 'ARHGAP35', 'WASF2', 'PXN', 'PAK2', 'BRK1', 'DIAPH1', 'ACTG1', 'ACTN4', 'PIK3CG', 'PIK3CA', 'SOS1', 'PIP4K2C', 'GNA13', 'ROCK2', 'RAF1', 'ITGB7', 'TIAM2', 'CRKL', 'PPP1R12A']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.00459264217460407	1.0	0.16666666666666666	['TGFB1', 'TGFBR2', 'CRKL', 'PTPN11', 'IKBKB', 'CTBP2', 'GRB2', 'RAF1', 'CBLB', 'PIK3CG', 'PIK3CA', 'SOS1']
KEGG_PATHWAYS_IN_CANCER	1	0.00459264217460407	1.0	0.10101010101010101	['STK4', 'GRB2', 'TPM3', 'MSH2', 'TGFB1', 'TGFBR2', 'PLCG1', 'CDH1', 'CTBP2', 'MAX', 'PIK3CG', 'RALB', 'PIK3CA', 'SOS1', 'WNT2B', 'MSH6', 'IKBKB', 'LAMA4', 'CTNNA1', 'VHL', 'RAF1', 'HSP90AB1', 'RALBP1', 'MAPK10', 'DVL3', 'CRKL', 'CDK2', 'RALGDS', 'BIRC2', 'CBLB']
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.00459264217460407	1.0	0.13076923076923078	['ANAPC7', 'UBE2G1', 'UBA7', 'HERC2', 'HERC1', 'CDC27', 'WWP1', 'FBXW8', 'ITCH', 'UBE3A', 'UBE4B', 'UBA1', 'BIRC2', 'CUL4A', 'UBE2Z', 'VHL', 'CBLB']
KEGG_FOCAL_ADHESION	1	0.00459264217460407	1.0	0.12087912087912088	['VAV2', 'GRB2', 'ARHGAP35', 'PXN', 'PAK2', 'DIAPH1', 'ACTG1', 'ACTN4', 'PIK3CG', 'PIK3CA', 'SOS1', 'THBS3', 'CCND2', 'ROCK2', 'LAMA4', 'RAF1', 'ITGB7', 'ELK1', 'MAPK10', 'CRKL', 'PPP1R12A', 'BIRC2']
KEGG_ERBB_SIGNALING_PATHWAY	1	0.00459264217460407	1.0	0.16049382716049382	['ABL2', 'MAPK10', 'CRKL', 'PAK2', 'PLCG1', 'GRB2', 'NCK2', 'RAF1', 'CBLB', 'PIK3CG', 'SOS1', 'PIK3CA', 'ELK1']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.007408118300255479	1.0	0.13861386138613863	['F11R', 'AFDN', 'PXN', 'PIK3CA', 'PTPN11', 'PLCG1', 'VAV2', 'CTNND1', 'ROCK2', 'ACTG1', 'CTNNA1', 'ACTN4', 'ARHGAP35', 'PIK3CG']
