pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_RESPONSE_TO_OZONE	1	0.24968074075148672	1.473621438996104	0.07142857142857142	34.91	['SCGB1A1', 'CYP2E1', 'IL1A', 'TACR1', 'EDN1']
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	1	0.24967191107475956	1.514647337562064	0.07142857142857142	70.88	['BMF', 'BIK', 'MMP9', 'TP53', 'CIDEB', 'MLLT11', 'PYCARD', 'MOAP1', 'DNM1L', 'BCL2L11', 'MFF', 'BAD', 'BBC3', 'TNFSF10', 'PINK1', 'BID', 'BNIP3', 'PLAUR', 'BAX', 'PDCD5', 'PPIF', 'PMAIP1', 'GPER1', 'FAM162A']
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	1	0.2496584976477433	-1.3657889868707476	0.07142857142857142	63.04	['ELL3', 'EP300', 'SNW1', 'IFI16', 'TP73', 'PML', 'MIF', 'USP28', 'FHIT', 'RRN3', 'TAF9B', 'PTTG1IP', 'CDIP1', 'TP53', 'SHISA5', 'EDA2R', 'RPS27L', 'PHLDA3', 'PYCARD', 'HNRNPK', 'MYC', 'EIF5A', 'PERP', 'STK11', 'HIPK1', 'E2F1', 'RPL26', 'RPS7', 'PDK2', 'TP53BP2', 'DDX5', 'BOK', 'BCL3', 'MDM2', 'WWOX', 'ARMC10', 'MYBBP1A', 'CDKN1A', 'ING2', 'CD74', 'BAX', 'NUPR1', 'RRM2B', 'TAF9', 'CD44', 'PMAIP1', 'BAG6', 'RRP8', 'TOPORS', 'UBB', 'TMEM109', 'TRIAP1', 'CASP6', 'TP63', 'PPP1R13B', 'KDM1A', 'HINT1', 'ZNF385A']
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	1	0.2495751121289455	-1.365623134875864	0.07142857142857142	34.64	['GHRL', 'EIF4A3', 'RNF19A', 'CDH1', 'USP8', 'EIF4E', 'PPP3CA']
GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK	1	0.2495016541391235	-1.4642457940418192	0.07142857142857142	27.21	['PARP3', 'XRCC4', 'IFFO1', 'SLF2']
GOBP_POSITIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	1	0.2493966770626431	1.5387683301252333	0.07142857142857142	40.02	['IGF1R', 'TNF', 'SREBF1', 'WNT4', 'PRKAA1', 'DAB2', 'CGA', 'SCAP', 'IFNG', 'ABCG1', 'BMP6', 'ADM']
GOBP_LACTATION	1	0.24923473942137833	-1.4646580609916768	0.07142857142857142	60.88	['XDH', 'OXTR', 'GJA1', 'CREB1', 'NCOR2', 'HIF1A', 'MTX1', 'VDR', 'FOXB1', 'APLN', 'USF2', 'CAV1', 'PRLR', 'APRT', 'OAS2', 'STAT5A', 'SLC29A1', 'UPRT', 'STAT5B', 'PAM', 'DDR1', 'GPAT4', 'ATP7A', 'SLC29A2', 'NME1', 'CDO1', 'MT-CO2', 'ZBTB7B', 'CCND1', 'VEGFA', 'UMPS', 'MED1']
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24894596113485662	1.5205372345970753	0.07142857142857142	18.56	['APOBEC3G', 'APOBEC3H', 'APOBEC3D', 'APOBEC3A', 'APOBEC3B']
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	1	0.24886002369873708	1.538045239856142	0.07142857142857142	41.36	['NOD2', 'F7', 'FPR2', 'PLA2G7', 'C3AR1', 'EDN2', 'GREM1', 'NBL1', 'SLAMF1', 'S100A14', 'THBS4', 'CAMK1D', 'LBP', 'CXCL12', 'ADAM10', 'CCL21', 'SLAMF8', 'MMP28', 'WNK1', 'MIR223', 'CCR7', 'PGF', 'SERPINE1', 'CXCL10', 'WNT5A', 'MAPK1', 'C5AR1', 'AIF1', 'CCL5', 'KLRK1', 'TNFAIP6', 'GPR18', 'ZNF580', 'IL34', 'THBS1', 'XCL2', 'MPP1', 'CCL7', 'CCR1', 'DEFB124', 'CD74', 'XCL1', 'CSF1R', 'CCL3', 'KLRC4-KLRK1', 'DAPK2', 'CCL2', 'BST1', 'CSF1', 'IL23A', 'CXCL13', 'CCL4', 'SPI1', 'CCL19', 'NCKAP1L', 'MAPK3', 'SWAP70', 'RARRES2', 'AKIRIN1', 'CALR', 'C5']
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION	1	0.2486400775297356	-1.5223810838767708	0.07142857142857142	30.07	['HTRA2', 'MUL1', 'OPTN', 'TOMM7', 'PINK1', 'GBA', 'MFN2', 'HDAC6']
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS	1	0.24860103209765588	1.5400985891032226	0.07142857142857142	50.94	['IGF1R', 'CYP27B1', 'GATA3', 'STUB1', 'TCF7L2', 'GAL', 'BMP6', 'ADM', 'AKR1C3', 'WNT4', 'DKK3', 'PAX8', 'ZMPSTE24', 'PRMT3', 'NFKB1', 'BMP2', 'DUOXA1', 'GFI1', 'POR', 'DGKQ', 'GNB3', 'ARNT', 'RDH10', 'DAB2', 'CLCN2']
GOBP_ASTROCYTE_DEVELOPMENT	1	0.2483129705485892	1.6448997972236161	0.07142857142857142	47.19	['VIM', 'TNF', 'FPR2', 'TREM2', 'TSPAN2', 'POU3F2', 'IFNG', 'GFAP', 'SMO', 'AGER', 'CNTF', 'S100A8', 'DLL1', 'GRN', 'C5AR1', 'NR1D1', 'LAMC3', 'LAMB2', 'MAPT', 'TLR4', 'CDK6', 'APP', 'MIR142', 'ROR2', 'IL1B', 'C1QA', 'MT3']
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	2	0.2481815907090872	-1.4153150555558782	0.14285714285714285	46.629999999999995	['VAPB', 'DDRGK1', 'HSPA5', 'PARP16', 'DNAJB9', 'ERN1', 'FICD', 'BAK1', 'DAB2IP', 'COPS5', 'PTPN1', 'UFL1', 'BFAR', 'TMEM33', 'BAX']
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION_VIA_THREONINE	1	0.24802451187526403	-1.5506242485871593	0.07142857142857142	31.64	['GALNT4', 'GALNT2', 'GALNT3', 'EOGT', 'GALNT11', 'GALNT16']
GOBP_UBIQUITIN_DEPENDENT_GLYCOPROTEIN_ERAD_PATHWAY	1	0.24797648686651466	-1.3679500769674173	0.07142857142857142	52.32	['EDEM2', 'MAN1B1', 'EDEM1', 'MAN1A1', 'EDEM3']
GOBP_THERMOCEPTION	1	0.24792581943661607	1.5655094727923111	0.07142857142857142	4.07	['TRPM8', 'ADRA2A', 'TRPA1']
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	1	0.2479003748959879	-1.3682801333617314	0.07142857142857142	48.72	['ITGA4', 'MAP3K1', 'PIEZO1', 'IFI16', 'TLR3', 'LRRK2', 'LTBR', 'ATG7', 'ASGR1', 'WDR45', 'DCTPP1', 'KLF10', 'NFE2L2', 'STK24', 'USF1', 'SIPA1', 'MED1', 'NUAK1', 'PTPRC', 'PDK2', 'EIF2AK4', 'PIM1', 'MYOCD', 'CPEB4', 'PPP1R9B', 'ERCC6', 'PRKAA1', 'PIK3R4', 'TSC1', 'TNFRSF8', 'RRP8', 'BMPR2', 'MAP3K2', 'ADNP', 'TNRC6A', 'PPM1D', 'SNW1', 'GCN1', 'FLCN', 'PRKAB2', 'USP33', 'CASP8', 'TLR5', 'MAP3K14', 'RRAGC', 'TNFRSF10B', 'VDR', 'CLEC16A', 'TRIM24', 'NUAK2', 'BAG3', 'SH3GLB1', 'EIF4G1', 'ULK1', 'MYD88', 'HABP4', 'TLR7', 'GSDMD', 'VCAM1', 'BAD', 'F11R', 'IL15', 'PPARA', 'SESN1', 'PMAIP1', 'HSPA5', 'SREBF1', 'MAPK8', 'FNIP1', 'SRD5A1', 'MAP2K4', 'ENG', 'EIF2AK3', 'FES', 'DCPS', 'XPR1', 'DAG1', 'IRF1', 'SIK2', 'RXRA', 'AQP1', 'ATF2', 'ARHGAP35', 'FAS', 'FADD', 'BGLAP', 'NDOR1', 'WDR59', 'USF2', 'NUDT15', 'GAS2L1', 'CHEK1', 'CBL', 'RALB', 'BECN1', 'ATG5', 'BMT2', 'WIPI2', 'MTOR', 'BCL10', 'CDKN1A', 'MYBBP1A', 'SRF', 'WRN', 'EHMT2', 'DEPDC5', 'HNRNPA1', 'GBA', 'ATG14', 'TFEB', 'SESN2', 'GAS6', 'SLC2A1', 'CASP1', 'EIF2S1', 'TNFSF14', 'NPRL2', 'LAMP2', 'RPTOR', 'NCOA1', 'TBL2', 'TNFRSF1A', 'PTGER4', 'RRAGA', 'MTMR3', 'MAX', 'WDR45B', 'RRAGB', 'SREBF2', 'NFKB1', 'AIF1', 'GLUL', 'EIF2AK2', 'MAP3K5', 'CD68', 'CASP2', 'SLC9A1', 'TTC5', 'VPS41', 'MTPN', 'MAPK3', 'CD40', 'TNFRSF10A', 'KANK2', 'PLEC', 'HSPA8', 'PRKAG1', 'TLR4', 'LYN', 'ZFYVE1', 'AXL', 'CNN2', 'MIOS', 'FOLR2', 'DAP', 'WDR24', 'HMOX1']
GOBP_POSITIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION	1	0.24785850660270628	1.5646947018686468	0.07142857142857142	49.73	['ITGB2', 'TNF', 'CD177', 'ITGAM', 'PLPP6', 'PTAFR']
GOBP_MYOBLAST_MIGRATION	1	0.24778558362699413	1.5413850204796402	0.07142857142857142	16.49	['THBS4', 'SMO', 'NET1', 'PLEKHO1', 'SIX1', 'ANXA1']
GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT	1	0.24773033821007984	1.565383256914795	0.07142857142857142	55.12	['MIR34A', 'PPARG', 'RUNX1', 'MIR214', 'ROCK1', 'ROCK2', 'MIR34C', 'PPP3CA']
GOBP_CELLULAR_RESPONSE_TO_GONADOTROPIN_STIMULUS	1	0.2475791365111226	1.4761680898633873	0.07142857142857142	50.96	['WT1', 'GCLC', 'SLC5A5', 'GCLM', 'EDN1', 'PLAT', 'NSMF', 'PAX8', 'INHBA', 'GATA6', 'CYP1B1', 'EDNRA', 'EFNA5']
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	1	0.24731671408834507	-1.46787171082274	0.07142857142857142	31.71	['FRS2', 'ALDH1A3', 'RARG', 'CDK20', 'IFT140', 'WDR19', 'STRA6', 'PPP1R13L', 'CITED2', 'FZD5', 'TWIST1', 'KDM2B', 'TBX2', 'ZEB1', 'IFT172', 'TULP3', 'BMP7']
