pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0.24559329046513512	1.3174068155245555	0.07142857142857142	52.34	['HMBS', 'UGT1A1', 'UGT1A5', 'FTH1', 'UROS', 'UGT2B7', 'HCCS', 'GUSB', 'UGT1A7', 'UGT1A6', 'UGT1A8', 'UROD', 'MMAB', 'UGT1A4', 'CP', 'UGT1A10', 'HMOX2', 'UGT1A3', 'UGT1A9', 'BLVRA', 'UGT2B4', 'BLVRB', 'CPOX']
KEGG_SELENOAMINO_ACID_METABOLISM	4	0.2215214708934145	1.5906306092026452	0.2857142857142857	60.3975	['AHCYL1', 'CTH', 'LCMT2', 'LCMT1', 'AHCY', 'AHCYL2', 'TRMT11', 'PAPSS1', 'METTL6', 'MARS2', 'SCLY', 'CBS', 'MAT2A', 'HEMK1', 'SEPHS2', 'GGT1', 'GGT5', 'SEPHS1', 'GGT6', 'MAT1A', 'PAPSS2', 'METTL2B', 'MAT2B', 'GGT7']
KEGG_GLYCEROLIPID_METABOLISM	2	0.2211061144256156	1.416823055290021	0.14285714285714285	47.504999999999995	['AGPAT2', 'CEL', 'ALDH3A2', 'DGKE', 'DGKD', 'LCLAT1', 'MBOAT2', 'PNPLA3', 'PLPP3', 'DGAT1', 'AGK', 'ALDH9A1', 'MGLL', 'GLYCTK', 'GLA', 'GK', 'AGPAT3', 'ALDH2', 'AKR1B1', 'DGAT2', 'DGKH', 'MBOAT1', 'LPL', 'GPAM', 'GPAT3', 'GPAT4', 'PLPP1', 'AKR1A1', 'AGPAT4', 'LIPG', 'GPAT2', 'ALDH1B1', 'ALDH7A1', 'AGPAT1', 'DGKG', 'DGKA']
KEGG_TASTE_TRANSDUCTION	1	0.22078914489273463	1.482072449853766	0.07142857142857142	27.34	['SCNN1A', 'TAS1R1', 'PRKACB', 'GNB3', 'GNB1', 'PDE1A', 'SCNN1G', 'TAS2R5', 'PRKX', 'ADCY6', 'TAS1R3']
KEGG_VIBRIO_CHOLERAE_INFECTION	2	0.2092249579168951	1.4734921843066116	0.14285714285714285	57.519999999999996	['SEC61B', 'ARF1', 'PRKCA', 'KDELR2', 'PRKCB', 'ATP6V1C1', 'PRKACB', 'ATP6V0B', 'SEC61G', 'ATP6V1B1', 'CFTR', 'ATP6V0D1', 'ATP6V1C2', 'ATP6V1B2', 'ATP6AP1', 'PLCG1', 'KDELR1', 'ACTG1', 'KDELR3', 'ATP6V1D', 'ATP6V1G1', 'SEC61A2', 'ADCY9', 'TJP1', 'ATP6V1H', 'ATP6V1F', 'SLC12A2', 'GNAS', 'SEC61A1', 'ATP6V0E1', 'ATP6V1E2', 'TJP2', 'ADCY3', 'ATP6V0A4', 'ATP6V0A2', 'ACTB', 'PRKX', 'ATP6V0A1', 'ATP6V1E1', 'KCNQ1']
KEGG_CITRATE_CYCLE_TCA_CYCLE	3	0.2079884698957375	1.296114440388665	0.21428571428571427	60.28666666666667	['PDHA1', 'DLAT', 'OGDH', 'SUCLG1', 'SDHD', 'PDHB', 'SUCLG2P2', 'ACO2', 'ACO1', 'DLD', 'IDH1', 'MDH1', 'PC', 'DLST', 'SDHB', 'SUCLG2', 'SUCLA2', 'FH', 'ACLY', 'IDH3A', 'SDHA', 'CS', 'SDHC', 'MDH2']
KEGG_ONE_CARBON_POOL_BY_FOLATE	4	0.20049763051196165	1.3053641438924806	0.2857142857142857	30.61	['DHFR', 'GART', 'MTFMT', 'MTHFD1', 'MTR', 'MTHFD1L', 'TYMS', 'ATIC', 'MTHFR', 'MTHFD2']
KEGG_TYPE_II_DIABETES_MELLITUS	1	0.19579957828187364	1.309280086365854	0.07142857142857142	51.56	['TNF', 'INSR', 'PIK3R1', 'SOCS1', 'PIK3R5', 'PIK3CB', 'PIK3CG', 'PIK3CA', 'PIK3CD', 'MAPK1', 'PIK3R3', 'PRKCE', 'HK1', 'SOCS4', 'IKBKB', 'PIK3R2', 'MTOR', 'HK3', 'PRKCD', 'MAPK3', 'MAPK10', 'MAPK8', 'MAPK9', 'CACNA1C']
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	4	0.19187622658207235	1.4209563278464925	0.2857142857142857	59.76	['ATP6V1C1', 'CXCL8', 'CDC42', 'ATP6V1A', 'GIT1', 'ATP6V0B', 'CXCR2', 'ATP6V1B1', 'ATP6V0D1', 'JAM3', 'NFKBIA', 'EGFR', 'SRC', 'CASP3', 'MAP3K14', 'ATP6V1C2', 'ATP6V1B2', 'CXCR1', 'NOD1', 'ATP6V1G2', 'ATP6AP1', 'PLCG1', 'MAPK9', 'ADAM10', 'JAM2', 'HBEGF', 'CSK', 'MAPK13', 'PAK1', 'NFKB1', 'ATP6V1D', 'F11R', 'ADAM17', 'ATP6V1G1', 'RAC1', 'CCL5', 'ATP6V0C', 'IKBKB', 'CXCL1', 'TJP1', 'MAPK11', 'ATP6V1H', 'CHUK', 'ATP6V1F', 'ATP6V0E1', 'MET', 'ATP6V0D2', 'RELA', 'MAPK10', 'LYN', 'JUN', 'PTPN11', 'ATP6V1E2', 'ATP6V0A4', 'MAPK8', 'ATP6V0A2', 'MAPK12', 'MAP2K4', 'PTPRZ1', 'ATP6V0A1', 'TCIRG1', 'PLCG2', 'ATP6V1E1', 'MAPK14']
KEGG_PRION_DISEASES	5	0.18217839981849093	1.3415247429062584	0.35714285714285715	23.962	['MAPK1', 'C7', 'CCL5', 'C1QB', 'NOTCH1', 'STIP1', 'PRKACA', 'IL1B', 'C1QA', 'LAMC1', 'MAP2K2', 'C6', 'C1QC', 'C9', 'ELK1']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2	0.17930872208762844	1.5258620051344916	0.14285714285714285	49.64	['GLS2', 'ACY3', 'GLS', 'CPS1', 'GPT2', 'GOT2', 'GFPT2', 'GFPT1', 'ALDH5A1', 'ASS1', 'CAD', 'ABAT', 'GLUL', 'GLUD1', 'GOT1', 'ASPA', 'NIT2', 'ALDH4A1', 'GAD1', 'PPAT', 'IL4I1', 'DDO', 'ADSL', 'ASL']
KEGG_MELANOGENESIS	3	0.1746144053629525	1.5368123040104906	0.21428571428571427	62.78666666666666	['FZD4', 'GSK3B', 'FZD8', 'WNT3', 'GNAO1', 'WNT9A', 'CAMK2B', 'CALM2', 'MITF', 'TCF7L1', 'FZD5', 'ADCY7', 'KITLG', 'TCF7', 'PLCB4', 'DVL3', 'CREB3', 'PLCB3', 'PRKX', 'KIT', 'MAP2K1', 'WNT11', 'KRAS', 'CAMK2D', 'CREB3L1', 'FZD3', 'CALM3', 'FZD7', 'ADCY9', 'GNAS', 'WNT7A', 'CAMK2G', 'PRKCB', 'PRKACB', 'ADCY1', 'TCF7L2', 'CALML5', 'FZD2', 'MC1R', 'WNT4', 'WNT3A', 'CREB3L4', 'CALM1', 'EDNRB', 'ADCY4', 'GNAQ', 'WNT2B', 'WNT5A', 'MAPK1', 'CREBBP', 'LEF1', 'WNT2', 'ADCY5', 'FZD1', 'FZD10', 'WNT5B', 'CREB3L2', 'FZD9', 'CTNNB1', 'EP300', 'PRKCA', 'NRAS', 'PLCB2', 'WNT7B', 'DVL2', 'POMC', 'GNAI1', 'EDN1', 'GNAI3', 'WNT10B', 'PLCB1', 'FZD6', 'GNAI2', 'WNT10A', 'RAF1', 'MAPK3', 'ADCY3', 'PRKACA', 'ADCY6']
