pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION	1	0.24983031208507447	-1.3595489729258559	1.0	50.43	['MCU', 'VDAC1', 'MCUR1', 'SMDT1', 'MICU2', 'MICU3', 'PSEN2', 'MAIP1', 'SLC25A23', 'MICU1']
GOBP_EMBRYONIC_BODY_MORPHOGENESIS	1	0.24981764816892138	-1.3596838660989994	1.0	18.57	['CLASP2', 'DAG1', 'CLASP1', 'IFT122', 'PHLDB1']
GOBP_FAT_PAD_DEVELOPMENT	1	0.24956196501115452	-1.3601754996892874	1.0	39.16	['ARID5B', 'UBB', 'ARRDC3', 'TBL1XR1', 'BBS4']
GOBP_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	1	0.24944736674900944	-1.3601565127176978	1.0	64.4	['CCDC22', 'KEAP1', 'SUFU', 'PKD1', 'SRI', 'NFKBIE', 'NFKBIA', 'TMSB4X', 'PSMD10', 'NFKBIB', 'G3BP2', 'IL10', 'FAF1', 'PKD2']
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	0.24933881600217359	1.4976188651679405	1.0	53.47	['CDK5R2', 'CDK5', 'HYAL3', 'STX1A', 'ZP3', 'CACNA1H', 'DOC2B', 'SYT1', 'SYT7', 'SCAMP5']
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	1	0.24920394193005438	1.498511624885075	1.0	22.84	['THY1', 'CDH13', 'CSPG5', 'UNC13D', 'MYADM', 'EFEMP2', 'CD3E', 'CCL21', 'FN1', 'FOXF1', 'PREX1', 'EGFLAM', 'FGG', 'UTRN', 'COL8A1', 'FBLN2', 'FUT1', 'HAS2', 'EGFL6', 'CARMIL1', 'COL16A1', 'EMILIN1', 'FGA', 'GSK3B', 'ALOX15', 'PRKCZ', 'PPM1F', 'NPNT', 'DOCK5', 'CCL28', 'NEDD9', 'CDK6', 'AGR2', 'CRKL', 'ECM2', 'CCDC80', 'LIMS2', 'WNT4', 'FGB']
GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1	0.24910863896940044	1.4988154597916417	1.0	39.13	['FCGR2B', 'SELENOS', 'GSTP1', 'IL20RB', 'NLRP3', 'ADORA1']
GOBP_ARACHIDONIC_ACID_SECRETION	1	0.24896738041987482	1.4984743958488347	1.0	44.14	['PLA2G5', 'PLA2G3', 'PLA2G1B', 'NMB', 'PLA2G2A', 'DRD4', 'MIF', 'ACE', 'PLA2G10', 'PLA2G12B', 'PLA2R1', 'PLA2G2D', 'BDKRB2', 'PLA2G4A', 'ANXA1']
GOBP_DENDRITIC_SPINE_MAINTENANCE	1	0.24894010697415178	1.4982668036743725	1.0	18.84	['HOMER1', 'FCGR2B', 'APOE', 'TANC1', 'IGF1R', 'FYN', 'PICK1', 'INSR']
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT	1	0.24889944604570136	-1.360962723117745	1.0	17.66	['NR2C2', 'TRIP12', 'CLASP2', 'CLASP1', 'EHMT1', 'RAB14', 'CFL1', 'DHX36', 'NFE2L2', 'RBM19', 'DAG1', 'TDG', 'B4GALT5', 'NPHP3', 'RACGAP1', 'PAFAH1B1', 'PHLDB1', 'BAG6']
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	1	0.248748322296265	1.4993902563510677	1.0	43.49	['ANK2', 'WNT11', 'WNT5A', 'HEG1', 'NSD2', 'BMP2', 'DLL4', 'IGF1R', 'PROX1', 'TGFB2', 'GJA5', 'SMO', 'MDM2', 'ISL1', 'TBX5', 'WNT2', 'SHOX2', 'MESP1', 'NOG', 'ZFPM1']
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS	1	0.24859713459898533	1.499775255577801	1.0	60.1	['THY1', 'SEMA3G', 'SEMA6C', 'DIP2B', 'SPP1', 'SEMA7A', 'ARHGAP4', 'SEMA3C', 'SEMA5B', 'LRP4', 'FSTL4', 'SEMA3A', 'MBP', 'WNT5A', 'SEMA3B', 'FGF13', 'RTN4R', 'EPHA7', 'NTN1', 'NRP1', 'EPHB2', 'CDK5R1', 'SEMA3E', 'GDI1', 'SEMA6B', 'CDK5', 'WNT3', 'SEMA4A', 'SEMA4G', 'MT3', 'EFNB3', 'SEMA6D', 'KIAA0319', 'DAB1', 'CDKL3', 'MAP2', 'SEMA6A', 'PTEN', 'WNT3A', 'SEMA3D', 'SEMA5A', 'SEMA3F', 'TRIM46', 'SEMA4B']
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	1	0.2483101886148423	-1.3616754458902467	1.0	19.56	['USP10', 'ATM', 'SPRED1', 'PYHIN1', 'CASP2', 'CD74', 'NBN', 'KAT5', 'ATR', 'KMT5A', 'HIC1', 'KDM1A', 'SP100', 'RPL26', 'DDX5', 'TRIAP1', 'PPM1D', 'MDM4', 'ATRX', 'PAXIP1', 'MYO6', 'DYRK1A', 'PIDD1']
GOBP_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	1	0.24769584566911884	1.5008588137267307	1.0	14.43	['MAPK8IP3', 'KIF5C', 'DLG2', 'KIF5B', 'RAB27B', 'CLIP3']
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION	1	0.24705531092193866	1.5016289450793627	1.0	6.58	['NCAPG', 'SMC2', 'NCAPD2']
GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	1	0.24643167946463665	-1.3636935366256007	1.0	67.96	['SAMHD1', 'ADA', 'SMPDL3A', 'ENTPD7', 'ENPP1', 'DCTPP1', 'ENPP3', 'NUDT16', 'ITPA', 'NUDT15', 'ENTPD3', 'DUT']
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	1	0.24640152403928384	1.502461517269528	1.0	36.94	['ACKR3', 'GATA3', 'SOX8', 'KIF26A', 'FN1', 'HES1', 'TP63', 'SEMA3A', 'EDNRA', 'RET', 'TFAP2A', 'HLX', 'ASCL1', 'TBX1', 'ADARB1', 'SOX11', 'GFRA3', 'SIX1', 'ARX', 'FZD3']
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	1	0.24618753055449913	1.5031681982546676	1.0	47.7	['CCL3', 'CCR1', 'GREM1', 'RFLNA', 'MDK', 'SOX9', 'BCL2', 'LRP4', 'CALCA', 'SFRP1', 'ECM1', 'KREMEN2', 'RFLNB', 'SMAD6', 'DKK1', 'CHSY1', 'HIF1A', 'KREMEN1', 'ENPP1', 'TRPM4']
