pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_ACTIVATED_T_CELL_PROLIFERATION	1	0.24979418619474064	1.3527058258298061	1.0	26.59	['IL12RB1', 'LILRB4', 'PRKAR1A', 'SCRIB', 'PDCD1LG2', 'HMGB1', 'CASP3', 'RC3H1', 'ABL1', 'JAK3', 'LGALS9', 'FADD', 'BTN2A2', 'BTN3A1', 'FOXP3', 'CRTAM', 'SLAMF1', 'STAT5B', 'RPS3']
GOBP_CELLULAR_HYPEROSMOTIC_SALINITY_RESPONSE	1	0.2497226098332538	1.3528886920775975	1.0	23.06	['LETM1', 'XRCC5', 'SLC25A23', 'MICU1']
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	1	0.2487047136045638	1.3542161738358072	1.0	60.82	['COX6B1', 'YWHAE', 'ZNF148', 'CNP', 'G6PD', 'SIRT2', 'GNB4', 'YWHAH', 'MBP', 'FGF2', 'YWHAQ', 'MAPKAP1', 'RHOA', 'HSPA5', 'GLUD1', 'CALM1', 'SUDS3', 'NDRG2', 'RAD1', 'MAOB', 'NDUFS3', 'CCDC14', 'POTEE', 'ACTB', 'CASP5', 'SEC16A', 'CALM3', 'DYNLL1', 'CALM2', 'ZNF430', 'CDC42']
GOBP_UMP_BIOSYNTHETIC_PROCESS	1	0.24867922649695337	1.3541237351952433	1.0	45.12	['CMPK1', 'UCK1', 'DHODH', 'UMPS', 'CAD', 'UCKL1', 'UPRT', 'UCK2']
GOBP_NEGATIVE_REGULATION_OF_G0_TO_G1_TRANSITION	1	0.24785960362923504	1.3554394845495346	1.0	51.61	['PPP2R5B', 'FOXO4', 'CHEK1', 'DAB2IP', 'HLA-G']
GOBP_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA	1	0.24785476770268908	1.3553279970247403	1.0	22.95	['CDC37', 'HSP90AB1', 'PARP9', 'PARP14', 'NR1H2', 'NLRC5', 'MED1']
GOBP_HIPPOCAMPUS_DEVELOPMENT	1	0.24780242525659085	1.3552607285376808	1.0	27.0	['PLXNA3', 'TSC1', 'YWHAE', 'EZH1', 'BBS2', 'ATP2B4', 'PPP1R9B', 'EIF2B5', 'CASP3', 'IGF1R', 'PAFAH1B1', 'BLOC1S6', 'UBA6', 'SRF', 'XRCC1', 'RARA', 'XRN2', 'GSK3B', 'CRK', 'FEZ1', 'EZH2', 'RAN', 'CRKL', 'OGDH', 'PHLPP2']
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	1	0.24754904522759594	1.3558720570091838	1.0	24.79	['KAT2B', 'EP300', 'CLK2', 'RUBCNL', 'DUSP12', 'OGT', 'SLC35B4', 'PPP1CB', 'SIRT1', 'DDB1', 'BCKDK', 'NLN', 'SRC', 'EPM2AIP1', 'SORBS1', 'ZNF692', 'RANBP2', 'STK11', 'AKT1', 'USP7', 'PPP1R3E', 'ARPP19', 'GSK3A', 'PPP1CA', 'PPP4R3B', 'PPARA', 'GSK3B', 'AKT2', 'FOXK2', 'SOGA1', 'BAD', 'PHKG2', 'FOXK1', 'KAT2A', 'MST1', 'C1QTNF1', 'WDR5', 'ACADM']
GOBP_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	1	0.2475467910854554	1.3559772016044123	1.0	37.91	['YWHAE', 'CALM3', 'ATP2B1', 'CALM1', 'CALM2']
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	1	0.2466921673585805	1.356993744659423	1.0	42.41	['NCKAP1L', 'ATM', 'PKN1', 'TNFSF13B', 'CD40', 'IL10', 'MNDA', 'TLR4', 'INPP5D', 'PTPRC', 'CD74', 'TIRAP', 'FCRL3', 'CD81', 'CASP3', 'RC3H1', 'BCL6', 'LYN', 'NFATC2', 'TICAM1', 'TNFRSF13B', 'MEF2C', 'MZB1', 'SASH3', 'BTK', 'TNFRSF13C', 'BLK', 'IKZF3', 'ATAD5', 'CD300A', 'TNFRSF21', 'CD22', 'TFRC']
GOBP_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	0.24530785443075104	1.3585606263889414	1.0	35.45	['ACSL3', 'CLN3', 'ATP2C1', 'GOPC', 'CSK', 'CNST', 'RSC1A1']
GOBP_LYMPHOCYTE_ANERGY	1	0.24517012815933373	1.3587980328472242	1.0	35.27	['ITCH', 'PHLPP1', 'HLA-B', 'CD3E', 'LILRB4', 'FOXP3']
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.24394510138180642	1.3601394209395783	1.0	55.08	['IMPDH2', 'AMPD3', 'PRPS2', 'DCK', 'PFAS', 'PPAT', 'APRT', 'DGUOK', 'IMPDH1', 'PAICS', 'ADSL', 'GART', 'ATIC', 'ADK', 'GMPS', 'AMPD2']
