pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS	1	0.2495721025393679	-1.3787869055787714	1.0	32.45	['TMEM41B', 'EP300', 'CX3CR1', 'INPP5K', 'YTHDC2', 'CCNK', 'CHD1', 'CFL1', 'EIF2AK4', 'PHB', 'TARDBP', 'SMARCB1', 'RRP1B', 'REST', 'NAPEPLD', 'SNW1', 'TAF11', 'SAP30BP', 'CDK9', 'SMARCA4', 'SFTPD', 'SP1', 'NUCKS1', 'PSMC3', 'CCNT1', 'FMR1', 'VAPA', 'CSF1R']
GOBP_NEGATIVE_REGULATION_OF_CHROMATIN_BINDING	1	0.2492472859360941	-1.3792487166315799	1.0	48.12	['SENP2', 'ZNF304', 'MEPCE', 'TDG', 'WAPL', 'BTAF1', 'PPP3CA']
GOBP_FEEDING_BEHAVIOR	1	0.24880737485872642	1.548761115851519	1.0	39.04	['OXT', 'TACR1', 'OPRD1', 'MCHR1', 'UCHL1', 'LEPR', 'AGT', 'FYN', 'NMU', 'APLN', 'NPW', 'ATP8A2', 'SGIP1', 'REN', 'USP46', 'ACE', 'CALCA', 'DMBX1', 'CNR1', 'OPRK1', 'GAL', 'POU4F1', 'NTRK2', 'MC1R', 'OPRL1', 'MMP17', 'DRD1', 'APP', 'ACE2', 'MRAP2', 'GLS', 'CPT1A', 'NPY1R', 'ADM2', 'DACH1']
GOBP_OXIDATIVE_DNA_DEMETHYLATION	1	0.24870641166262658	-1.3800709970381384	1.0	56.63	['ALKBH2', 'ALKBH4', 'TDG', 'ALKBH1', 'ALKBH3', 'FTO', 'TET2']
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.24870128649021414	-1.3799395913187256	1.0	10.54	['PARK7', 'HCK', 'HLA-DRB1', 'FUT7', 'CCR7', 'HLA-E', 'PSMB4', 'SYK', 'CD28', 'BTK', 'IL10']
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEUBIQUITINATION	1	0.2485457594859782	-1.3804805962767668	1.0	38.06	['SART3', 'TANK', 'TNIP1', 'WDR48', 'VCP']
GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS	1	0.24850916088691652	1.5487514282314319	1.0	44.94	['BMP4', 'IHH', 'RGCC', 'TRAM2', 'LARP6', 'COL1A1', 'PDGFRB', 'CREB3L1', 'SERPINH1', 'IL6', 'ADAMTS3', 'SERPINF2', 'SERPINB7', 'ITGA2', 'P3H4', 'F2R', 'WNT4', 'EMILIN1', 'P3H3', 'MIR145', 'RCN3', 'COL5A1', 'ERRFI1', 'SCX']
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.24850170944438219	-1.3803966700613588	1.0	28.14	['NME5', 'ADORA2B', 'FLAD1', 'AMPD3', 'NME2', 'PPCS', 'RRM1', 'STOML2', 'NADSYN1', 'AK6', 'DHODH', 'NME1', 'PRPSAP1', 'DIP2A', 'TK1', 'PDHB', 'DLAT', 'SLC35B2', 'TK2', 'AK9', 'PDHX', 'SLC25A16', 'UPRT', 'IMPDH2', 'PRPSAP2', 'UCK1', 'DNAJC30', 'AK8', 'APRT', 'NME3', 'RRM2', 'AFMID', 'DCTD', 'ADSL', 'ALDOA', 'CAD', 'SHMT1', 'GART', 'COASY', 'NME2P1', 'NPPA', 'VCP', 'AK2', 'AMPD1', 'TREM2', 'TECR', 'AK7', 'DTYMK', 'GUK1', 'PARP16', 'HPCA', 'PPARA', 'NUDT12', 'PDHA1', 'GMPS', 'ACSF3', 'ACSBG1', 'SLC26A1', 'PAPSS1', 'PDK2', 'ACACB', 'SLC25A13', 'DGUOK', 'DCAKD', 'NME6', 'HAAO', 'ATIC', 'ELOVL1', 'HPRT1', 'NME4', 'NMRK1', 'DLD', 'DUT']
GOBP_PHOSPHOLIPID_DEPHOSPHORYLATION	1	0.24824249739194465	-1.3809299598472038	1.0	69.12	['MTM1', 'MTMR8', 'INPP5K', 'MTMR12', 'SACM1L', 'EPHX2', 'PLPPR1', 'INPP5A', 'MTMR10', 'PLPPR3', 'INPP5D', 'PLPP6', 'PLPP3', 'INPPL1', 'INPP5E', 'INPP5F', 'SYNJ1', 'MTMR4', 'MTMR3', 'SGPP1', 'PLPP5', 'MTMR11', 'PLPP1', 'MTMR6', 'OCRL', 'INPP5B', 'MTMR2', 'SGPP2', 'PLPPR2', 'MTMR1', 'MTMR9', 'PLPP2', 'PTEN', 'INPP5J', 'FIG4']
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	1	0.2478423740306365	-1.3814557200019888	1.0	37.53	['LGALS3', 'AGER', 'LGALS9', 'HMGB1', 'ZBTB46']
GOBP_PROLINE_TRANSPORT	1	0.2476278475270689	1.5500031280164157	1.0	23.92	['SLC1A4', 'SLC36A4', 'ACE2', 'SLC6A20']
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	1	0.2474512690160215	-1.3819840718543535	1.0	29.81	['ELF4', 'SLAMF1', 'TYK2', 'STAT5B', 'HLA-E', 'JAK2', 'IL15']
GOBP_GANGLIOSIDE_CATABOLIC_PROCESS	1	0.24727074383846423	-1.3823300032454726	1.0	50.17	['GM2A', 'HEXA', 'NEU3', 'NEU1', 'HEXB']
GOBP_PANCREAS_DEVELOPMENT	1	0.24697078168624556	1.5508626060223663	1.0	28.56	['IHH', 'SMAD2', 'IGF2', 'SOX9', 'GDF11', 'SRP54', 'FOXF1', 'ANXA1', 'INSR', 'DLL1', 'WNT5A', 'BMP6', 'MSLN', 'ALDH1A2', 'HNF1A', 'PCSK1', 'PROX1', 'DNAAF1', 'SMO', 'CDH2', 'ONECUT1', 'GSK3B', 'ISL1', 'HNF4A', 'MEIS2', 'PDX1', 'CLOCK', 'CDK6', 'ONECUT2']
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	1	0.24686580979027675	-1.3828439748977561	1.0	62.27	['CDH3', 'WNT11', 'TGFB2', 'BMPR1A', 'HIF1A', 'SMAD4', 'ATF2', 'GATA6', 'SMAD3']
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	1	0.24671372157390098	1.551379093872426	1.0	26.23	['APOBEC3D', 'APOBEC3B', 'ADARB1', 'APOBEC3H', 'ADAT2', 'APOBEC2', 'APOBEC3G', 'APOBEC3A', 'APOBEC1']
GOBP_MAINTENANCE_OF_DNA_METHYLATION	1	0.24660877513808874	-1.3832707002552498	1.0	58.21	['UHRF1', 'HELLS', 'CTCF', 'DNMT1', 'ZNF445', 'USP7', 'UHRF2']
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1	0.24602311143406222	-1.384136130046888	1.0	24.07	['ADIPOR1', 'CD40', 'IL10', 'GGNBP2', 'HGS', 'FLT3', 'IL15', 'PTPRC', 'STAT5A', 'PKD1', 'STAT3', 'TYK2', 'PARP14', 'IL7R', 'PIAS1', 'VHL', 'CSF2RB', 'STAT1', 'JAK1', 'JAK3', 'CCR2', 'NOTCH1', 'PIBF1', 'CDK5', 'TNFRSF1A', 'SOCS5', 'IL10RA', 'HCLS1', 'IL24', 'JAK2', 'PWP1', 'PPP2CA', 'CTF1', 'PTK2B', 'SH2B3', 'DAB1', 'STAT4', 'OSBP', 'PPP2R1A', 'OCIAD2', 'MST1', 'PKD2', 'STAMBP', 'PIGU']
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	1	0.2460100041113762	-1.3839967076565607	1.0	44.47	['GPM6B', 'SNX33', 'ARF6', 'LEPROT', 'TAX1BP3', 'PICALM', 'ASTN2', 'GOPC']
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	1	0.24530322239364022	-1.3850191675920682	1.0	37.75	['PPP1R9B', 'GPSM2', 'EPB41L2', 'EPB41', 'NUMA1']
