pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	1	0.24994795830600594	1.5543302295281467	1.0	33.86	{'CXCL12;SIRT1;PLCG1;BMP6;MMP12;EGR3;TNFAIP3;LAMB1;SEMA5A;MIR27A;MIRLET7B;LAMC1;ZNF580;TNF;SMO;WNT2;C5AR1;IHH;HTRA1;WNT7A;MIR126;TGM1;FGF7;GATA2;ANG;SCG2;MIR27B;TACR1;CCL11;NRARP;ECM1;CCL26;HAS2;EYA1;FGF9;PROX1;ODAM;SOX9;FGFR1;DLX6;ZNF703;ITGB3;CDH13;OSR2;ID1;BMP2;TGFA;EGF;AR;XBP1;MIR21;AREG;IGF2;FGFBP1;WNT5A;SFRP1;SOX11;PTPRN;THBS4;HYAL1;DLX5;SPINK1;EGFL7;NOG;EMC10;TBX1;APLN;VASH2;C5AR2;PLXNB3;HTR2B;AGTR1;PGF;F3;FZD7;PDGFB;CAV2;APELA;APLNR'}
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.24975660022680102	-1.3747992950159402	1.0	39.81	{'SLC25A13;TGFB1;PDHB;ITPA;AK9;GNAI3;EIF6;OXSM;ABHD14B;PDE5A;GART;PMVK;DGUOK;AK2;AMPD3;GMPS;HPCA;ENO1;SHMT1;ATIC;PRPSAP1;ADCY6;ADSL;NUDT15;ZBTB7A;PRKAG1;NME4;ADORA2B;IMPDH2;PDE4A;PGAM1;ACOT8;LACC1;LRRK2;PSEN1;DLG1;NME6;AMPD2;PINK1;DPYD;NT5C2;SAMHD1;VCP;ENTPD5;ENTPD7;PDE4B;MFN1;DIP2A;DCAKD;DCK;NME1;GIMAP7;EP300;PDHX;PAPSS1;NME2P1;ZBTB20;PGM1;TJP2;PDE8B;ELOVL1;APRT;SUCLA2;TECR;OARD1;NT5C;KDM1A;OPA1;GTPBP1;ARNT;RAN;NME2;HINT1;HMGCR;PDK2;PANK2;JMJD8;GMPR2;DNAJC30;MVK;SIRT6;DGAT1;ACACB;SUCLG2;RHOA;DLAT;STAT3;PPCS;LRGUK;HPRT1;ACSS1;SLC26A1;SULT1A3;DNPH1;DLD;ALDOA;HK1;TPI1;MACROD2;NUDT8;PDHA1;ADPGK;PGAM4;SLC35B2;TPST2;BLOC1S6;GALK1;BAD;GUK1;ADK;PRPS1;MPP1;PDE7A;COASY;CROT;LDHA;SLC4A4;PFKL;MLXIPL;NUDT4;PRPSAP2;HSD17B12;NUDT16;FHIT;STOML2;ICMT;NPR2;PARP1;ADAL;SLC35B3;GPAT4;ACOT11;ACSL3;DLST;PPCDC;GPI;ACOT9;HSD17B4;NCOR1;PPARA;NPPA;HDAC4;NUDT18;GPD1;PKM;NME3;RORA;PFAS;ADCY9;GIT1;SLC25A16;SULT1A4;ACSL5;ACSF3;PDE4C;NUDT7;HACD2'}
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION	1	0.24925478899007905	-1.3753880139901562	1.0	58.83	{'HDAC6;TMOD2;GSN;CAPZA1;FLII;DSTN;TMOD1;ATXN7;MTPN;CLASP1;TTBK2;MAP1S;CAPZB;MAP1A;ADD1;EPS8;WASHC2C;TRIOBP;CAMSAP3;CAMSAP1;PLEKHH2;CARMIL2;SPTAN1;KATNB1;TRPV4;APC;SPEF1;RDX;PLEK;CLASP2;SPAST;CAMSAP2;WDR1;SPTBN2;SPTBN1;ARHGEF2;TAOK1;PIK3CA;DMTN;MID1;MID1IP1;NAV3;CAPG;LIMA1;CAPZA2;F2RL1;ADD3;TWF2;TRIM54;SVIL;MAP1B;SPTBN5;CIB1;VIL1;TMOD3'}
GOBP_NUCLEOTIDE_TRANSPORT	1	0.24903870058570463	-1.3757286722072113	1.0	39.18	{'SLC25A19;ABCC5;LRRC8C;SLC25A5;SLC25A32;ABCC6;CR1;SLC25A24;SLC25A23;LRRC8A;SLC35B2;SLC25A17;SLC25A4;SLC25A33;LRRC8E;SLC35B3;SLC33A1;SLC25A36;SLC25A25'}
GOBP_OXALATE_TRANSPORT	1	0.24888588106132897	1.5555034475296072	1.0	38.35	{'SLC26A9;SLC26A2;SLC26A10;SLC26A5;SLC26A6;SLC26A4'}
GOBP_ACYLGLYCEROL_HOMEOSTASIS	1	0.24854473985756348	1.556119108880415	1.0	55.3	{'SIRT1;LPL;APOE;PLA2G12B;XBP1;ANGPTL4;FITM2;HNF4A;GCKR;DGAT2;SCARB1;C1QTNF3;APOC2;FUNDC2;ADORA1;MIR34A;IL18;MED13;CETP;PNPLA8;SESN2'}
GOBP_DRINKING_BEHAVIOR	1	0.2483291990649596	1.556587031829927	1.0	42.57	{'TACR1;ACE2;AGT;MMP17;APLN;OXT;REN'}
GOBP_ATP_TRANSPORT	1	0.2478459216483426	-1.3770688224065841	1.0	39.18	{'SLC25A5;ABCC6;CR1;SLC25A24;SLC25A23;SLC25A17;SLC25A4;SLC25A25'}
GOBP_STEROID_METABOLIC_PROCESS	1	0.247823527904815	1.5573853424541462	1.0	56.02	{'CYP21A2;SIRT1;HSD17B7;HSD11B1;BMP6;SULT1A1;MECP2;SCARF1;IFNG;MIR27A;NPC1;ACLY;ABCA1;RORC;SULT1A2;PDGFRA;IGF1R;TNF;PRKAG2;NR0B2;DHRS9;CACNA1H;APP;G6PD;ABCG1;HSD17B11;CYP3A5;FAXDC2;MIR27B;CYP2B6;MT3;CES1;SNAI2;PROX1;PBX1;CGA;FGF19;SPP1;ERLIN2;PRKAA2;OSBPL1A;AKR1B1;AKR1C2;WNT4;APOE;TIPARP;NPC1L1;BMP2;AKR1C1;SRD5A2;AKR1C3;VLDLR;ADM;CEL;KIT;AGT;ESR1;PCSK9;HSD17B2;HMGCS2;SULT1E1;SC5D;CYP27B1;SULT4A1;AKR1B15;UGT2B4;UGT2B15;UGT1A7;UGT1A1;UGT1A8;IDI1;UGT1A4;UGT1A3;UGT2B7;SCNN1B;IDI2;AKR1C4;SEC14L2;ATP8B1;SULT2B1;NR0B1;LHB;LRP2;ACAT1;CYP2D6;LIPE;CYP2E1;EPHX2;DHRS2;CHST10;DGAT2;GAL;CYP26A1;PRLR;AGTR1;SCARB1;PLEKHA1;DKKL1;ACAA2;CYP2C8;HSD11B2;CYP11A1;CYP26B1;CYP24A1;BAAT;HSD3B7;APOC1;IGFBP7;SDR42E1;PRKAA1;FDFT1;HSD17B14;NR1D1;SHH;PON1;SLC27A2;CEBPA;DGKQ;RDH5;MSMO1;FGF1;CYP39A1;CYP2A6;CYP2C9;FDX1;ARMC5;TTC39B;CLN8;STS;SRD5A1;OSBPL3;MVD;SNAI1;BMP5;FGFR4;IL1A;MALRD1;CYP1B1;TSPO;STARD4;SREBF1;LGMN;POR;ACADL;GNB3;AMACR;CYB5R2;OSBPL5;SCP2;LIMA1;FDXR;LPCAT3;HMGCS1;APOL1;CETP;CYB5R3;ABCA5;SOAT1;SRD5A3;ASAH1;CYP2R1;HSD17B8;INSIG2;DKK3;LCAT;LEPR'}
GOBP_GLIAL_CELL_DEVELOPMENT	1	0.247721089944876	1.5581233779648034	1.0	22.22	{'CNTF;MIR142;PRX;IFNG;TPPP;NTRK2;IL1B;B4GALT6;PARD3;CLU;FPR2;TNF;SMO;C5AR1;ZNF488;APP;PRDM8;PICK1;DLL1;ID4;MAPT;TENM4;MT3;MAL;CDK6;ASCL1;MXRA8;MYRF;NRG1;CNTN1;ARHGEF10;OLIG1;CSPG5;POU3F2;LAMC3;PHGDH'}
