pathway	freq	padj	stability	overlap	genes
GOBP_RNA_PROCESSING	1	3.97155951532328e-16	1.0	0.11891385767790262	['KAT2B', 'SRSF9', 'NIFK', 'TYW3', 'RSL1D1', 'NUFIP1', 'BUD13', 'GAR1', 'TRUB2', 'QKI', 'EIF6', 'FXR1', 'LSM4', 'ZRANB2', 'HNRNPUL1', 'EMG1', 'SRSF7', 'HNRNPK', 'YTHDF2', 'RIPK1', 'RPUSD3', 'WDR74', 'RBMXL1', 'TRMT11', 'JMJD6', 'RPL14', 'PRKDC', 'INTS3', 'PPIG', 'UTP20', 'AHCYL1', 'TTF2', 'METTL5', 'CLK3', 'RPL11', 'IMP4', 'BUD31', 'SSU72', 'USP39', 'METTL18', 'EXOSC2', 'THOC1', 'METTL2A', 'RBM19', 'HNRNPA1', 'U2AF1', 'FASTKD3', 'SFSWAP', 'NOL10', 'DDX1', 'SRSF10', 'WDR43', 'DHX37', 'SRSF3', 'DCPS', 'PIK3R1', 'SNRNP27', 'BYSL', 'DKC1', 'TRMT61B', 'SYF2', 'WDR55', 'OSGEPL1', 'COIL', 'RRP1', 'PUS7', 'EXOSC10', 'INTS12', 'NHP2', 'MPHOSPH10', 'RPUSD4', 'TRMT112', 'MRTO4', 'RRP9', 'DNTTIP2', 'DALRD3', 'EIF4A3', 'DDX23', 'IWS1', 'NOL11', 'DAZAP1', 'PTBP1', 'NOB1', 'LSM3', 'SNRPA', 'PRPF38A', 'PPP2CA', 'PIN4', 'SNRNP35', 'THOC7', 'SMNDC1', 'PNPT1', 'RPP30', 'ZBTB7A', 'HNRNPC', 'SNRPE', 'PRDX6', 'UTP6', 'UTP18', 'RPP21', 'TSEN54', 'SF3B6', 'YBX1', 'SRSF2', 'FBL', 'METTL4', 'RTCA', 'RNPS1', 'ELP5', 'SAP18', 'SF3A3', 'SRSF5', 'EFTUD2', 'IK', 'PWP1', 'GEMIN6', 'CDK9', 'WDR3', 'EXOSC1', 'AARS2', 'TGFB1', 'MRPL1', 'PUS1', 'INTS6', 'CDK5RAP1', 'KHSRP', 'EXOSC9']
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1	8.378972914665165e-16	1.0	0.1686746987951807	['DKC1', 'TRMT61B', 'UTP18', 'RPL14', 'SRSF9', 'PRKDC', 'KAT2B', 'NIFK', 'NUFIP1', 'RSL1D1', 'WDR55', 'UTP20', 'FBL', 'GAR1', 'MRPL22', 'EIF6', 'COIL', 'LSM4', 'ABCE1', 'RRP1', 'EXOSC10', 'METTL5', 'RPL11', 'NHP2', 'MPHOSPH10', 'RPUSD4', 'IMP4', 'GNL2', 'ZNF622', 'TRMT112', 'MRTO4', 'EMG1', 'RRP9', 'USP39', 'SF3A3', 'METTL18', 'LTV1', 'EXOSC2', 'EIF4A3', 'RPL26L1', 'SRSF5', 'DDX23', 'NOL11', 'NOB1', 'SFSWAP', 'NOL10', 'PWP1', 'DDX1', 'EFL1', 'PIN4', 'DENR', 'SRSF10', 'GEMIN6', 'WDR43', 'DHX37', 'EXOSC1', 'YTHDF2', 'RPP30', 'WDR3', 'RPUSD3', 'WDR74', 'NOP16', 'MRPL20', 'MRPS7', 'EIF2D', 'MRPL1', 'BYSL', 'SNRPE', 'EXOSC9', 'UTP6']
GOBP_RIBOSOME_BIOGENESIS	1	1.5761881557408705e-14	1.0	0.1903114186851211	['KAT2B', 'RPL14', 'NIFK', 'TRMT61B', 'DKC1', 'PRKDC', 'RSL1D1', 'UTP18', 'UTP20', 'WDR55', 'FBL', 'GAR1', 'MRPL22', 'EIF6', 'ABCE1', 'RRP1', 'METTL5', 'EXOSC10', 'RPL11', 'MPHOSPH10', 'NHP2', 'RPUSD4', 'IMP4', 'GNL2', 'ZNF622', 'TRMT112', 'EMG1', 'MRTO4', 'RRP9', 'METTL18', 'EXOSC2', 'LTV1', 'RPL26L1', 'EIF4A3', 'NOL11', 'NOB1', 'NOL10', 'PWP1', 'EFL1', 'PIN4', 'WDR43', 'DHX37', 'WDR3', 'YTHDF2', 'RPP30', 'EXOSC1', 'RPUSD3', 'WDR74', 'NOP16', 'MRPL20', 'MRPS7', 'MRPL1', 'BYSL', 'EXOSC9', 'UTP6']
GOBP_NCRNA_METABOLIC_PROCESS	1	4.7572741389840214e-14	1.0	0.15334773218142547	['DKC1', 'TRMT61B', 'UTP18', 'RPP21', 'TYW3', 'PRKDC', 'RPL14', 'INTS3', 'TSEN54', 'KAT2B', 'WDR55', 'UTP20', 'RSL1D1', 'YARS2', 'FBL', 'GAR1', 'METTL4', 'OSGEPL1', 'EIF6', 'USPL1', 'RRP1', 'PUS7', 'POLR2L', 'EXOSC10', 'METTL5', 'INTS12', 'RPL11', 'NHP2', 'MPHOSPH10', 'RPUSD4', 'IMP4', 'ELP5', 'TRMT112', 'MRTO4', 'EMG1', 'RRP9', 'NIFK', 'DALRD3', 'METTL18', 'EXOSC2', 'EIF4A3', 'METTL2A', 'NOL11', 'GATC', 'NOB1', 'NOL10', 'PWP1', 'DDX1', 'PIN4', 'WDR43', 'DHX37', 'EXOSC1', 'YTHDF2', 'PNPT1', 'RPP30', 'WDR3', 'AARS2', 'RPUSD3', 'WDR74', 'MRPL1', 'MEPCE', 'PUS1', 'CDK7', 'INTS6', 'CDK5RAP1', 'FARSB', 'TRMT11', 'BYSL', 'KHSRP', 'EXOSC9', 'UTP6']
GOBP_NCRNA_PROCESSING	1	6.218416092465645e-14	1.0	0.16897506925207756	['DKC1', 'TRMT61B', 'UTP18', 'RPP21', 'TYW3', 'PRKDC', 'RPL14', 'INTS3', 'TSEN54', 'KAT2B', 'WDR55', 'UTP20', 'RSL1D1', 'FBL', 'GAR1', 'OSGEPL1', 'EIF6', 'RRP1', 'PUS7', 'EXOSC10', 'METTL5', 'INTS12', 'RPL11', 'NHP2', 'MPHOSPH10', 'RPUSD4', 'IMP4', 'ELP5', 'TRMT112', 'MRTO4', 'EMG1', 'RRP9', 'NIFK', 'DALRD3', 'METTL18', 'EXOSC2', 'EIF4A3', 'METTL2A', 'NOL11', 'NOB1', 'NOL10', 'PWP1', 'DDX1', 'PIN4', 'WDR43', 'DHX37', 'EXOSC1', 'YTHDF2', 'RPP30', 'WDR3', 'AARS2', 'RPUSD3', 'WDR74', 'MRPL1', 'PUS1', 'INTS6', 'CDK5RAP1', 'TRMT11', 'BYSL', 'EXOSC9', 'UTP6']
GOBP_RRNA_METABOLIC_PROCESS	1	3.927234673084713e-11	1.0	0.18218623481781376	['KAT2B', 'RPL14', 'NIFK', 'TRMT61B', 'DKC1', 'PRKDC', 'RSL1D1', 'UTP18', 'UTP20', 'WDR55', 'FBL', 'GAR1', 'EIF6', 'RRP1', 'METTL5', 'EXOSC10', 'RPL11', 'MPHOSPH10', 'NHP2', 'RPUSD4', 'IMP4', 'TRMT112', 'EMG1', 'MRTO4', 'RRP9', 'METTL18', 'EXOSC2', 'EIF4A3', 'NOL11', 'NOB1', 'NOL10', 'PWP1', 'PIN4', 'WDR43', 'DHX37', 'WDR3', 'YTHDF2', 'RPP30', 'EXOSC1', 'RPUSD3', 'WDR74', 'MRPL1', 'BYSL', 'EXOSC9', 'UTP6']
GOBP_RNA_SPLICING	1	5.992087942137675e-11	1.0	0.14987080103359174	['SRSF9', 'TSEN54', 'SF3B6', 'SYF2', 'PPIG', 'YBX1', 'SRSF2', 'BUD13', 'METTL4', 'QKI', 'COIL', 'FXR1', 'LSM4', 'TTF2', 'CLK3', 'RNPS1', 'ZRANB2', 'MPHOSPH10', 'BUD31', 'SRSF7', 'KHSRP', 'SAP18', 'USP39', 'SF3A3', 'HNRNPK', 'THOC1', 'EIF4A3', 'SRSF5', 'DDX23', 'IWS1', 'EFTUD2', 'DAZAP1', 'PTBP1', 'HNRNPA1', 'RBM19', 'IK', 'U2AF1', 'SFSWAP', 'LSM3', 'SNRPA', 'DDX1', 'PPP2CA', 'PRPF38A', 'SRSF10', 'GEMIN6', 'SNRNP35', 'SMNDC1', 'THOC7', 'SRSF3', 'DCPS', 'ZBTB7A', 'PIK3R1', 'HNRNPC', 'RBMXL1', 'SNRNP27', 'JMJD6', 'SNRPE', 'PRDX6']
GOBP_MRNA_METABOLIC_PROCESS	1	1.5394776950275104e-10	1.0	0.12191358024691358	['SRSF9', 'TAF12', 'BUD13', 'TRUB2', 'QKI', 'FXR1', 'LSM4', 'ZRANB2', 'SRSF7', 'HNRNPK', 'MOV10', 'PATL1', 'YTHDF2', 'RPUSD3', 'RBMXL1', 'PYM1', 'JMJD6', 'AHCYL1', 'TTF2', 'BUD31', 'SSU72', 'USP39', 'EXOSC2', 'THOC1', 'RBM19', 'HNRNPA1', 'U2AF1', 'FASTKD3', 'SFSWAP', 'DDX1', 'SRSF10', 'SRSF3', 'DCPS', 'TAF6', 'SNRNP27', 'DKC1', 'TRMT61B', 'SERBP1', 'SYF2', 'COIL', 'PUS7', 'EXOSC10', 'PATL2', 'ANGEL2', 'MRTO4', 'EIF4A3', 'DDX23', 'IWS1', 'HNRNPAB', 'DAZAP1', 'PTBP1', 'LSM3', 'SNRPA', 'PRPF38A', 'SNRNP35', 'SMNDC1', 'THOC7', 'PNPT1', 'ZBTB7A', 'HNRNPC', 'SNRPE', 'PRDX6', 'TSEN54', 'SF3B6', 'MYD88', 'YBX1', 'SRSF2', 'RNPS1', 'ROCK2', 'SAP18', 'SF3A3', 'SRSF5', 'EFTUD2', 'IK', 'GEMIN6', 'CDK9', 'PUS1', 'KHSRP', 'EXOSC9']
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	1.5394776950275104e-10	1.0	0.09689349112426035	['EIF2B1', 'FAM111A', 'GAR1', 'TRUB2', 'QKI', 'EIF2B4', 'EIF6', 'INO80E', 'CINP', 'FXR1', 'LRPPRC', 'MRPL58', 'BANK1', 'MOV10', 'TFDP1', 'ETAA1', 'MTIF2', 'PATL1', 'COG3', 'NFRKB', 'MRPS5', 'YTHDF2', 'POLD3', 'NFIX', 'RPUSD3', 'ATG16L1', 'CDAN1', 'PYM1', 'CCT3', 'EIF4G1', 'RPL14', 'PRKDC', 'MRPL10', 'RPL34', 'RRM1', 'PGAP2', 'RPL22', 'MRPS18C', 'METTL5', 'DPM2', 'GCNT4', 'RPL11', 'SHMT1', 'METTL18', 'SLC35C2', 'EXOSC2', 'THOC1', 'RPL26L1', 'WRNIP1', 'HNRNPA1', 'FASTKD3', 'MRPL16', 'DDX1', 'POLL', 'DCPS', 'APEH', 'FARSB', 'EIF2AK2', 'DUT', 'DKC1', 'LIG1', 'YARS2', 'CCDC88A', 'DNAJC2', 'ABCE1', 'ABTB1', 'PUS7', 'EXOSC10', 'INO80B', 'RMI1', 'CNOT9', 'NHP2', 'PATL2', 'TNIP1', 'RFT1', 'RPUSD4', 'MRPL24', 'EIF1AD', 'DALRD3', 'EIF4A3', 'DDX23', 'DSE', 'GATC', 'CD28', 'EFL1', 'PPP2CA', 'ST6GALNAC6', 'PTK2B', 'GZMB', 'PNPT1', 'TRAP1', 'PIGO', 'HNRNPC', 'PARP3', 'EIF2D', 'PLXNB2', 'SSBP1', 'NASP', 'MRPS21', 'KRTCAP2', 'DENR', 'PIGV', 'EIF3I', 'ACTL6A', 'CCT4', 'YBX1', 'METTL4', 'MAPK15', 'REV1', 'RPL15', 'MCM3', 'MRPL37', 'AIMP1', 'MRPL32', 'ROCK2', 'PHB', 'PTCD3', 'CDK2', 'RBBP7', 'DNAJA3', 'CCT8', 'CDK9', 'DHFR', 'AARS2', 'MRPS7', 'CDK5RAP1', 'FAF1', 'DPH1', 'KHSRP', 'EXOSC9', 'MGME1']
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1	3.6884371239572115e-10	1.0	0.12295081967213115	['RPL14', 'PRKDC', 'MRPL10', 'EIF3I', 'RPL34', 'YBX1', 'YARS2', 'EIF2B1', 'TRUB2', 'RPL22', 'QKI', 'EIF2B4', 'EIF6', 'FXR1', 'MRPS21', 'RPL15', 'MRPS18C', 'EXOSC9', 'ABCE1', 'ABTB1', 'PUS7', 'MRPL37', 'METTL5', 'AIMP1', 'LRPPRC', 'MRPL58', 'MRPL32', 'BANK1', 'RPL11', 'ROCK2', 'CNOT9', 'TNIP1', 'PATL2', 'RPUSD4', 'EIF1AD', 'MRPL24', 'SHMT1', 'PTCD3', 'DALRD3', 'METTL18', 'EXOSC2', 'MOV10', 'EIF4A3', 'RPL26L1', 'MTIF2', 'PATL1', 'GATC', 'MRPL16', 'FASTKD3', 'CD28', 'DDX1', 'EFL1', 'MRPS5', 'PTK2B', 'GZMB', 'GSS', 'DHFR', 'YTHDF2', 'PNPT1', 'DCPS', 'TRAP1', 'AARS2', 'APEH', 'RPUSD3', 'MRPS7', 'PLXNB2', 'EIF2D', 'CDK5RAP1', 'FARSB', 'PYM1', 'DPH1', 'EIF2AK2', 'KHSRP', 'EIF4G1', 'DENR']
