pathway	freq	padj	stability	overlap	genes
KEGG_FOCAL_ADHESION	1	2.7568093976004517e-05	0.1111111111111111	0.14835164835164835	['PDGFRA', 'ITGA11', 'COL4A1', 'ARHGAP35', 'FN1', 'COL1A1', 'COL4A2', 'COL5A3', 'LAMA4', 'ROCK2', 'COL6A3', 'PDGFRB', 'COL11A1', 'SOS1', 'DIAPH1', 'TLN1', 'PIK3R5', 'COL1A2', 'COL3A1', 'SOS2', 'COL5A1', 'VAV2', 'PRKCB', 'PIP5K1C', 'PAK2', 'THBS2', 'THBS1']
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	7.085082179073805e-05	0.1111111111111111	0.13592233009708737	['CXCR3', 'IL18RAP', 'CCR7', 'CXCR6', 'CCL15', 'TNFSF8', 'CXCL6', 'CXCR4', 'CCR5', 'CD27', 'TNFRSF1B', 'IL7R', 'IL2RB', 'CCL14', 'CCR2', 'TNFRSF13B', 'IL10RA', 'TNFRSF17', 'CCL4', 'CXCL9', 'LTA', 'TNFRSF13C', 'CCL5', 'CNTF', 'IL5RA', 'CXCL13', 'IL21R', 'IL2RG']
KEGG_SPLICEOSOME	4	0.0001385750639971533	0.4444444444444444	0.20238095238095238	['AQR', 'PRPF38B', 'SRSF2', 'U2SURP', 'U2AF2', 'NCBP1', 'SF3B1', 'HNRNPM', 'PRPF8', 'DHX8', 'DHX15', 'SRSF1', 'PRPF40A', 'DDX42', 'HNRNPK', 'SF3B3', 'SF3B2', 'SNW1', 'EFTUD2', 'HNRNPA1L2', 'DDX46', 'XAB2', 'HNRNPU', 'SRSF10', 'RBM25', 'PCBP1', 'CHERP', 'SNRNP70', 'NCBP2', 'TRA2B', 'SF3A1', 'SART1', 'HNRNPA3']
KEGG_PRIMARY_IMMUNODEFICIENCY	3	0.0002219267348765138	0.3333333333333333	0.3118279569892473	['CD8A', 'PTPRC', 'LCK', 'TNFRSF13B', 'CD19', 'CD79A', 'CD3E', 'IL7R', 'CD40LG', 'CD3D', 'CD4', 'BTK', 'TNFRSF13C', 'IL2RG']
KEGG_RIBOSOME	5	0.0002923089694508186	0.5555555555555556	0.24705882352941178	['RPL14', 'RPS25', 'RPL31', 'RPL34', 'RPL36A', 'RPL18', 'RPS27L', 'RPS5', 'RPL22', 'RPL23A', 'RPL15', 'RPL28', 'RPL10', 'RPS27A', 'RPS17', 'RPL38', 'RPL11', 'RPS15', 'RPL13A', 'RPL10A', 'RPL37A', 'RPL26L1', 'RPL22L1', 'RPL21', 'RPL8', 'RSL24D1', 'RPS23', 'RPL23', 'RPL39', 'RPSA', 'RPS4X', 'RPL7A', 'RPL26', 'RPL9', 'RPS2', 'RPL5', 'RPL13', 'RPS15A', 'RPS27', 'UBA52', 'RPL37', 'RPS24', 'RPS11', 'RPL32', 'RPL30', 'RPS9', 'RPL35A', 'RPL29', 'RPS29', 'RPS8', 'RPL7', 'RPS3', 'RPL24']
KEGG_ECM_RECEPTOR_INTERACTION	1	0.000503154408625826	0.1111111111111111	0.1891891891891892	['COL1A1', 'ITGA11', 'COL1A2', 'COL4A1', 'COL3A1', 'THBS1', 'COL6A3', 'COL5A1', 'THBS2', 'FN1', 'COL4A2', 'COL11A1', 'COL5A3', 'LAMA4']
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.0007872262643443854	0.1111111111111111	0.15	['CD8A', 'HLA-DQA1', 'HLA-DPA1', 'PTPRC', 'ITGB2', 'ITGAL', 'HLA-DRA', 'PDCD1LG2', 'PDCD1', 'HLA-DMB', 'CD6', 'CD4', 'CD40LG', 'CD28', 'CD226', 'ITGAM', 'HLA-DPB1', 'SPN']
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.0010606755530323565	0.1111111111111111	0.2962962962962963	['POLD3', 'RAD50', 'BRCA2', 'RPA1', 'MRE11', 'RAD51', 'XRCC2', 'RAD54L']
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.002070990879118603	0.1111111111111111	0.14814814814814814	['LCP2', 'PIK3R5', 'ITGB2', 'SOS2', 'ITGAL', 'LCK', 'PTPN11', 'SH2D1A', 'VAV2', 'NCR3', 'PRKCB', 'CD48', 'PIK3CG', 'CD244', 'SOS1', 'CD247']
KEGG_LEISHMANIA_INFECTION	1	0.0021033785602738624	0.1111111111111111	0.17647058823529413	['JAK1', 'HLA-DQA1', 'HLA-DPA1', 'ITGB2', 'HLA-DRA', 'RELA', 'FCGR2C', 'HLA-DMB', 'HLA-DPB1', 'ITGAM', 'PRKCB', 'TLR4']
