pathway	freq	padj	stability	overlap	genes
GOBP_RNA_PROCESSING	1	2.9512284947677518e-15	1.0	0.11704119850187265	{'RRP1;TRMT11;UTP6;DKC1;NUFIP1;METTL18;COIL;WDR3;SRSF11;HNRNPR;USP39;HNRNPK;CLK3;THOC1;SRSF7;WDR55;SSU72;PRDX6;RIPK1;DNTTIP2;HNRNPC;INTS3;U2AF1;RRP9;RNPS1;FASTKD3;PRPF38A;SNRPA;SF3A3;SYF2;EFTUD2;ELP5;PPP2CA;RPL14;INTS6;TRUB2;YBX1;PNPT1;DAZAP1;MPHOSPH10;RPUSD4;IWS1;OSGEPL1;PIK3R1;ZRANB2;FBL;RTCA;REST;CDK9;CDK5RAP1;EIF6;KHSRP;TTF2;RPL11;NOL11;DDX23;GEMIN6;SRSF9;BUD31;PWP1;DCPS;PIN4;SF3B6;TRMT61B;PRKDC;PUS1;TRMT112;LSM3;LUC7L2;AHCYL1;SNRPE;PTBP1;DALRD3;EXOSC2;RSL1D1;MRTO4;SNRNP27;METTL5;BUD13;MRPL1;EXOSC1;LSM4;IMP4;SRSF10;RPP30;YTHDF2;NHP2;NIFK;BYSL;TGFB1;SRSF5;SNRNP35;HNRNPA1;RPP21;NOL10;THOC7;SRSF3;RPUSD3;FXR1;SRSF2;UTP20;JMJD6;IK;PUS7;EMG1;PAPOLA;UTP18;EXOSC9;KAT2B;WDR74;U2AF2;TSEN54;GAR1;SFSWAP;EIF4A3;METTL2A;NOB1;SAP18;SMNDC1;AARS2;INTS12;TYW3;DDX1;DHX37;QKI'}
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1	1.3295896642056831e-14	1.0	0.163855421686747	{'RRP1;UTP6;RPUSD4;DKC1;NUFIP1;METTL18;COIL;WDR3;ZNF622;RPL26L1;MRPL20;RPUSD3;EXOSC2;RSL1D1;MRTO4;USP39;FBL;UTP20;METTL5;EMG1;MRPL1;EXOSC1;LSM4;GNL2;UTP18;IMP4;EXOSC9;WDR55;KAT2B;WDR74;ABCE1;SRSF10;GAR1;EIF2D;EIF6;SFSWAP;RPP30;NOP16;DENR;EIF4A3;RRP9;YTHDF2;NHP2;NIFK;BYSL;NOB1;RPL11;LTV1;MRPS7;SF3A3;NOL11;SRSF5;DDX23;GEMIN6;SRSF9;RPL14;PWP1;PIN4;TRMT61B;NOL10;PRKDC;DDX1;TRMT112;DHX37;LUC7L2;MRPL22;MPHOSPH10;SNRPE'}
GOBP_RIBOSOME_BIOGENESIS	1	1.2231147809216787e-12	1.0	0.17993079584775087	{'RRP1;UTP6;DKC1;METTL18;RPUSD4;WDR3;ZNF622;EXOSC2;MRPL20;RPL26L1;RPUSD3;RSL1D1;MRTO4;FBL;UTP20;METTL5;MRPL1;EMG1;EXOSC1;GNL2;UTP18;IMP4;EXOSC9;WDR55;WDR74;KAT2B;ABCE1;GAR1;EIF6;RPP30;NOP16;EIF4A3;RRP9;YTHDF2;NHP2;NIFK;BYSL;NOB1;RPL11;LTV1;MRPS7;NOL11;RPL14;PWP1;PIN4;TRMT61B;NOL10;PRKDC;TRMT112;DHX37;MRPL22;MPHOSPH10'}
GOBP_NCRNA_PROCESSING	1	1.2231147809216787e-12	1.0	0.1634349030470914	{'RRP1;TRMT11;RPUSD4;UTP6;DKC1;METTL18;DALRD3;WDR3;EXOSC2;RPUSD3;OSGEPL1;RSL1D1;MRTO4;FBL;UTP20;METTL5;PUS7;EMG1;MRPL1;EXOSC1;CDK5RAP1;UTP18;IMP4;EXOSC9;WDR55;KAT2B;WDR74;TSEN54;GAR1;INTS3;INTS6;EIF6;RPP30;EIF4A3;RRP9;YTHDF2;NHP2;NIFK;METTL2A;BYSL;NOB1;AARS2;RPL11;NOL11;ELP5;INTS12;RPL14;TYW3;PWP1;PIN4;TRMT61B;RPP21;NOL10;PRKDC;DDX1;TRMT112;PUS1;DHX37;MPHOSPH10'}
GOBP_NCRNA_METABOLIC_PROCESS	1	1.6643803218304386e-12	1.0	0.1468682505399568	{'RRP1;TRMT11;RPUSD4;UTP6;DKC1;METTL18;DALRD3;WDR3;GATC;CDK7;EXOSC2;RPUSD3;USPL1;RSL1D1;OSGEPL1;MRTO4;FBL;UTP20;METTL5;PUS7;EMG1;MRPL1;EXOSC1;CDK5RAP1;UTP18;IMP4;EXOSC9;WDR55;KAT2B;WDR74;TSEN54;GAR1;INTS3;INTS6;EIF6;RPP30;KHSRP;EIF4A3;RRP9;YTHDF2;NHP2;NIFK;METTL2A;BYSL;NOB1;AARS2;RPL11;POLR2L;NOL11;YARS2;ELP5;INTS12;RPL14;TYW3;PWP1;PIN4;TRMT61B;RPP21;MEPCE;PRKDC;DDX1;TRMT112;PUS1;FARSB;PNPT1;NOL10;DHX37;MPHOSPH10'}
GOBP_MRNA_METABOLIC_PROCESS	1	1.0216760931397376e-11	1.0	0.12654320987654322	{'DKC1;MOV10;COIL;HNRNPAB;SRSF11;HNRNPR;USP39;HNRNPK;THOC1;SRSF7;SSU72;PRDX6;HNRNPC;U2AF1;RNPS1;FASTKD3;PRPF38A;SNRPA;SF3A3;SYF2;EFTUD2;TRUB2;YBX1;PNPT1;DAZAP1;TAF12;IWS1;ZRANB2;CDK9;REST;ANGEL2;TBP;PYM1;TAF6;KHSRP;TTF2;PATL2;DDX23;GEMIN6;SRSF9;BUD31;DCPS;SF3B6;TRMT61B;PUS1;LSM3;LUC7L2;AHCYL1;SNRPE;PTBP1;EXOSC2;ELAVL1;MRTO4;SNRNP27;BUD13;LSM4;SRSF10;YTHDF2;SRSF5;SNRNP35;HNRNPA1;PATL1;THOC7;SRSF3;RPUSD3;FXR1;SRSF2;JMJD6;IK;PUS7;ROCK2;PAPOLA;EXOSC9;U2AF2;TSEN54;SFSWAP;EIF4A3;SAP18;SMNDC1;MYD88;DDX1;QKI'}
GOBP_RNA_SPLICING	1	6.019935592707318e-11	1.0	0.14987080103359174	{'PTBP1;COIL;SRSF11;SRSF3;HNRNPR;IWS1;FXR1;USP39;PIK3R1;ZRANB2;SRSF2;SNRNP27;JMJD6;HNRNPK;IK;CLK3;THOC1;BUD13;REST;SRSF7;LSM4;QKI;PRDX6;U2AF2;TSEN54;HNRNPC;SRSF10;SFSWAP;KHSRP;U2AF1;EIF4A3;RNPS1;TTF2;PRPF38A;SAP18;SMNDC1;SNRPA;SF3A3;SRSF5;SYF2;EFTUD2;DDX23;GEMIN6;SRSF9;BUD31;SNRNP35;PPP2CA;HNRNPA1;DCPS;SF3B6;DDX1;LSM3;YBX1;THOC7;LUC7L2;DAZAP1;MPHOSPH10;SNRPE'}
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	3.4982632047014735e-10	1.0	0.09615384615384616	{'METTL18;MOV10;DKC1;RMI1;CCT8;POLL;DNAJA3;SHMT1;THOC1;DHFR;BANK1;MCM3;SLC35C2;DPM2;HNRNPC;DENR;AIMP1;FASTKD3;COG3;FAM111A;ETAA1;PARP3;GCNT4;YARS2;FAF1;CCT3;PPP2CA;SSBP1;RPL14;TRUB2;YBX1;FARSB;PNPT1;RPUSD4;MTIF2;MRPS5;TRAP1;GATC;CDK9;CDK5RAP1;REV1;MRPL16;ABTB1;PYM1;EIF2D;DNAJC2;ATG16L1;EIF6;RPL15;KHSRP;CCT4;PATL2;GZMB;RPL11;DSE;MRPL37;PIGO;CDK2;DDX23;PIGV;DCPS;UBE2J1;RFT1;PRKDC;WRNIP1;EIF1AD;CINP;MRPL32;MRPL57;DUT;MRPS21;DALRD3;LRPPRC;EXOSC2;RPL26L1;ELAVL1;CDAN1;RRM1;METTL5;ACTL6A;EIF2AK2;NFIX;ABCE1;INO80B;YTHDF2;NHP2;KRTCAP2;RPL22;DPH1;HNRNPA1;CD28;MRPL10;MRPL24;PATL1;MRPS18C;TNIP1;RPL34;RPUSD3;FXR1;CNOT9;MAPK15;LIG1;PUS7;ROCK2;EXOSC9;MRPL58;ST6GALNAC6;GAR1;POLD3;PHB;EIF4A3;INO80E;EIF2B1;PTCD3;EIF3I;NFRKB;AARS2;MRPS7;APEH;RBBP7;TFDP1;NASP;CCDC88A;PGAP2;EIF2B4;MGME1;PLXNB2;DDX1;QKI;PTK2B'}
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1	3.705578779615125e-10	1.0	0.12295081967213115	{'MRPL32;MRPL57;RPUSD4;MOV10;METTL18;MRPS21;DALRD3;MTIF2;MRPS5;GSS;TRAP1;GATC;RPL26L1;LRPPRC;ELAVL1;RPUSD3;FXR1;EXOSC2;CNOT9;SHMT1;METTL5;PUS7;DHFR;BANK1;ROCK2;EIF2AK2;CDK5RAP1;EXOSC9;MRPL16;MRPL58;ABTB1;ABCE1;PYM1;EIF2D;EIF6;RPL15;AIMP1;DENR;EIF4A3;KHSRP;YTHDF2;EIF2B1;FASTKD3;PATL2;RPL22;PTCD3;EIF3I;GZMB;AARS2;RPL11;MRPS7;APEH;MRPL37;DPH1;YARS2;RPL14;EIF2B4;DCPS;TRUB2;PLXNB2;CD28;PRKDC;DDX1;YBX1;MRPL24;PNPT1;FARSB;EIF1AD;QKI;MRPS18C;MRPL10;PATL1;TNIP1;RPL34;PTK2B'}
GOBP_MRNA_PROCESSING	1	3.705578779615125e-10	1.0	0.1383219954648526	{'PTBP1;COIL;SRSF11;SRSF3;HNRNPR;RPUSD3;IWS1;FXR1;USP39;ZRANB2;SRSF2;SNRNP27;JMJD6;HNRNPK;IK;DAZAP1;THOC1;BUD13;CDK9;REST;PAPOLA;SRSF7;LSM4;QKI;SSU72;PRDX6;U2AF2;TSEN54;HNRNPC;SRSF10;SFSWAP;KHSRP;U2AF1;EIF4A3;RNPS1;TTF2;PRPF38A;SAP18;SMNDC1;SNRPA;SF3A3;SRSF5;SYF2;EFTUD2;DDX23;GEMIN6;SRSF9;BUD31;SNRNP35;HNRNPA1;TRUB2;DCPS;SF3B6;DDX1;LSM3;YBX1;PNPT1;THOC7;LUC7L2;AHCYL1;SNRPE'}
GOBP_RRNA_METABOLIC_PROCESS	1	3.944077166704325e-10	1.0	0.17408906882591094	{'RRP1;UTP6;DKC1;METTL18;RPUSD4;WDR3;EXOSC2;RPUSD3;RSL1D1;MRTO4;FBL;UTP20;METTL5;MRPL1;EMG1;EXOSC1;UTP18;IMP4;EXOSC9;WDR55;WDR74;KAT2B;GAR1;EIF6;RPP30;EIF4A3;RRP9;YTHDF2;NHP2;NIFK;BYSL;NOB1;RPL11;NOL11;RPL14;PWP1;PIN4;TRMT61B;NOL10;PRKDC;TRMT112;DHX37;MPHOSPH10'}
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1	9.253268663179069e-10	1.0	0.09238031018206339	{'NUFIP1;PPID;CD3E;COIL;KANK3;PXN;CCT8;MRPL20;SHMT1;USP39;CCDC115;CEP57;TMEM120A;NDUFB10;RIPK1;NDUFA8;DENR;TSPYL4;FASTKD3;MAPRE3;PLCG2;SF3A3;VPS33A;FAF1;CCT3;LCMT1;SSBP1;PTGER4;BAIAP2L1;FARSB;PNPT1;TAF12;PRNP;NDUFAF7;FAM107A;GBA2;PREX1;COG4;TMEM186;TBP;PYM1;CARD8;EIF2D;EIF6;TAF6;GBP5;KCNA5;RAD51C;RPL11;DAB2;PEF1;KCNRG;DDX23;GEMIN6;WIPF1;SRSF9;TRMT61B;CCDC39;PRKDC;CRTC2;PARK7;LUC7L2;TMEM9;NDC1;SNRPE;RUBCNL;SMARCD2;PFDN6;PET100;RNF135;ELAVL1;MRTO4;RRM1;SNAPIN;HDAC6;CEP192;TTC12;SUMO1;ACTL6A;LSM4;EIF2AK2;TUBG1;ABCE1;SRSF10;NLRP3;INO80B;ADRB2;NIFK;ASB2;CHMP2A;ZNF207;KLHL12;RALB;JAK2;TGFB1;SRSF5;STK4;SSH3;TRAPPC12;GRB2;ZW10;TLR6;DNAH5;ELOB;VDAC2;NLRP1;DNAH2;MAPK15;CDC42EP4;CASQ2;BRK1;JMJD6;WDCP;COPS7A;DNAH1;PDCD6;KCTD11;MRPL58;KIF24;NDUFAF3;SFSWAP;INO80E;COPS7B;TMEM39A;KRIT1;BIRC2;NFRKB;MYD88;ARPC1A;MRPS7;APEH;NASP;DNAJB12;DDX1;NUP205;ITGB3BP;PTK2B'}
