pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	1	6.084530857181462e-10	1.0	0.23015873015873015	{'SRSF3;USP39;SRSF2;SNRNP27;HNRNPK;THOC1;PCBP1;SRSF7;LSM4;U2AF2;HNRNPC;SRSF10;U2AF1;EIF4A3;PRPF38A;SMNDC1;SNRPA;SF3A3;SRSF5;SYF2;EFTUD2;DDX23;SRSF9;BUD31;HNRNPA1;CCDC12;SF3B6;LSM3;SNRPE'}
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1.3824078624868049e-05	1.0	0.15517241379310345	{'STAT1;NRAS;PIK3CG;GNG7;PTK2B;CCR5;PXN;CCL4;CCR8;GNG5;PIK3R1;PRKCB;PREX1;ROCK2;GNAI2;XCR1;CCR6;PIK3CD;NCF1;VAV2;JAK2;GNG2;GNAI3;GNB2;GRB2;DOCK2;RASGRP2'}
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.0005639750509029564	1.0	0.16831683168316833	{'GNAI3;PIK3CG;CTNNA1;PRKCB;PIK3CD;PXN;ROCK2;GNAI2;ACTG1;ITGA4;NCF1;ACTN4;PLCG2;VAV2;PIK3R1;ITGAL;PTK2B'}
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.0006370584044697958	1.0	0.1891891891891892	{'PIK3R1;CD22;GRB2;PIK3CG;NRAS;PIK3CD;NFATC2;CD19;DAPP1;INPP5D;CD79B;PLCG2;VAV2;PRKCB'}
KEGG_RNA_DEGRADATION	1	0.002392801033537186	1.0	0.2	{'DCPS;EXOSC1;PAPOLA;LSM4;LSM3;EXOSC2;EXOSC9;ENO1;PNPT1;PATL1;CNOT9'}
KEGG_PROTEASOME	1	0.005116394830364178	1.0	0.21428571428571427	{'PSMB2;PSMC2;PSMD6;PSMB4;PSMC3;PSMD12;PSMC5;PSMD3;PSMD4'}
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.012391094311150172	1.0	0.22580645161290322	{'CD3E;IL2RG;CD19;UNG;CIITA;RFXAP;PTPRC'}
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.012391094311150172	1.0	0.16393442622950818	{'SLC8A1;CTNNA1;EMD;SGCA;ACTG1;ITGA4;ACTN4;ITGB7;DES;DSP'}
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.012391094311150172	1.0	0.3125	{'GART;ATIC;DHFR;MTHFD1L;SHMT1'}
KEGG_FOCAL_ADHESION	1	0.012391094311150172	1.0	0.10989010989010989	{'CAPN2;PIK3CG;PXN;ITGA4;PIK3R1;PRKCB;MAPK10;ROCK2;ELK1;PIP5K1C;CCND2;VWF;PIK3CD;ACTG1;ACTN4;BIRC2;VAV2;ITGB7;FLNA;GRB2'}
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.012391094311150172	1.0	0.13829787234042554	{'PIK3CG;ARPC1A;PRKCB;PIK3CD;PLD2;INPP5D;VAV2;NCF1;PLCG2;PIP5K1C;PTPRC;PIK3R1;DOCK2'}
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.013342571927980306	1.0	0.12962962962962962	{'GRB2;NRAS;CD48;PIK3CG;PRKCB;PIK3CD;NFATC2;GZMB;HLA-E;PLCG2;VAV2;PIK3R1;ITGAL;PTK2B'}
KEGG_HISTIDINE_METABOLISM	1	0.014456523496040983	1.0	0.24	{'TRMT11;LCMT1;HDC;ASPA;HEMK1;MAOB'}
KEGG_TYROSINE_METABOLISM	1	0.014456523496040983	1.0	0.20588235294117646	{'TRMT11;ADH1B;LCMT1;ADH1A;FAH;HEMK1;MAOB'}
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.023113848985044733	1.0	0.18421052631578946	{'TNFSF13;CD28;MAP3K14;ITGA4;ITGB7;TGFB1;ICOSLG'}
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.023113848985044733	1.0	0.1388888888888889	{'PIK3R1;GRB2;MAPK10;PIK3CG;NRAS;PIK3CD;INPP5D;PLCG2;VAV2;PRKCB'}
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.023113848985044733	1.0	0.12037037037037036	{'CNTF;STAT1;PIK3CG;IL2RG;IL10RA;STAT5A;PIK3CD;CCND2;GRB2;IL21R;PIK3R1;JAK2;IL12RB1'}
KEGG_COLORECTAL_CANCER	1	0.023113848985044733	1.0	0.15	{'MSH6;MAPK10;PIK3CG;MSH2;PIK3CD;RALGDS;PIK3R1;TGFB1;TGFBR2'}
KEGG_APOPTOSIS	1	0.023113848985044733	1.0	0.13414634146341464	{'CAPN2;MYD88;PIK3CG;PIK3CD;DFFA;CASP6;BIRC2;RIPK1;CAPN1;PIK3R1;MAP3K14'}
KEGG_CELL_CYCLE	1	0.023113848985044733	1.0	0.11570247933884298	{'TFDP1;CDK2;YWHAZ;CDC27;SMC1A;YWHAE;MCM3;PRKDC;ANAPC4;CDK7;CDC14A;ANAPC7;CCND2;TGFB1'}
KEGG_ERBB_SIGNALING_PATHWAY	1	0.023113848985044733	1.0	0.13580246913580246	{'GRB2;MAPK10;NRAS;PIK3CG;PRKCB;STAT5A;PIK3CD;ERBB4;ELK1;PLCG2;PIK3R1'}
KEGG_PURINE_METABOLISM	1	0.0271899759640672	1.0	0.10714285714285714	{'GART;ITPA;POLR1D;POLD3;ATIC;DGUOK;PPAT;PNPT1;AMPD3;PDE5A;AK2;POLR2H;POLR2L;GMPS;RRM1'}
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.0271899759640672	1.0	0.13157894736842105	{'CDK2;GNAI3;MAPK10;PIK3CG;CDC27;PIK3CD;GNAI2;ANAPC4;ANAPC7;PIK3R1'}
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.0271899759640672	1.0	0.1	{'BRK1;NRAS;PIK3CG;ARPC1A;PIK3CD;PXN;ROCK2;ACTG1;SSH3;VAV2;GNA13;ITGA4;ACTN4;PIP4K2C;PIP5K1C;ITGB7;PIK3R1;ITGAL'}
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.0271899759640672	1.0	0.1875	{'GTF2F2;GTF2H3;TAF6;TAF12;TAF5L;TBP'}
KEGG_MISMATCH_REPAIR	1	0.0271899759640672	1.0	0.22727272727272727	{'MSH6;SSBP1;LIG1;POLD3;MSH2'}
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.0271899759640672	1.0	0.1509433962264151	{'PIK3R1;GRB2;PIK3CG;NRAS;STK4;PIK3CD;PLCG2;PRKCB'}
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.029251975261603957	1.0	0.16279069767441862	{'LIG1;GTF2H3;POLD3;RAD23A;CDK7;ERCC3;ERCC5'}
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.029778443522395802	1.0	0.11650485436893204	{'GRAP2;NRAS;CD3E;PIK3CG;PIK3CD;NFATC2;CD28;GRB2;VAV2;PTPRC;PIK3R1;MAP3K14'}
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.030975743315980204	1.0	0.20833333333333334	{'TRMT11;LCMT1;SCLY;HEMK1;AHCYL1'}
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	0.030975743315980204	1.0	0.13432835820895522	{'SLC8A1;TGFB1;EMD;SGCA;ACTG1;TPM3;ITGA4;ITGB7;DES'}
KEGG_PARKINSONS_DISEASE	1	0.03388752661708323	1.0	0.11320754716981132	{'NDUFV3;UQCRC1;PPID;NDUFA8;HTRA2;UBE2J1;VDAC2;PARK7;COX7C;COX5B;NDUFB10;UBA7'}
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.034684961513919386	1.0	0.10833333333333334	{'CD22;SPN;ITGB7;CD28;SELL;HLA-E;CD226;CD6;ITGA4;SDC3;PTPRC;ITGAL;ICOSLG'}
KEGG_PANCREATIC_CANCER	1	0.03760081874939343	1.0	0.12857142857142856	{'MAPK10;STAT1;PIK3CG;PIK3CD;RALGDS;RALB;PIK3R1;TGFB1;TGFBR2'}
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.04253532057255368	1.0	0.125	{'NRAS;PIK3CG;STAT5A;PIK3CD;CTBP2;GRB2;PIK3R1;TGFB1;TGFBR2'}
KEGG_DILATED_CARDIOMYOPATHY	1	0.04253532057255368	1.0	0.125	{'SLC8A1;TGFB1;EMD;SGCA;ACTG1;TPM3;ITGA4;ITGB7;DES'}
KEGG_PEROXISOME	1	0.044322295210045284	1.0	0.1232876712328767	{'ABCD2;PEX10;SOD1;PEX1;GNPAT;PMVK;HMGCL;MPV17;ACAA1'}
KEGG_ENDOMETRIAL_CANCER	1	0.044322295210045284	1.0	0.14285714285714285	{'PIK3CG;NRAS;CTNNA1;PIK3CD;ELK1;GRB2;PIK3R1'}
KEGG_HUNTINGTONS_DISEASE	1	0.04740315465026958	1.0	0.09615384615384616	{'NDUFV3;UQCRC1;TBP;PPID;NDUFA8;REST;SOD1;VDAC2;DNAH1;POLR2H;COX7C;COX5B;POLR2L;NDUFB10;DNAH2'}
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.04740315465026958	1.0	0.11494252873563218	{'MYD88;TLR6;TLR5;MAPK10;STAT1;PIK3CG;PIK3CD;CCL4;RIPK1;PIK3R1'}
KEGG_PATHWAYS_IN_CANCER	1	0.05833882938944119	1.0	0.08080808080808081	{'STAT1;NRAS;PIK3CG;MSH2;ELOB;PIK3R1;PRKCB;MAPK10;CTNNA1;STAT5A;RALGDS;FLT3;MSH6;PIK3CD;PLCG2;BIRC2;RALB;TPM3;TGFB1;CDK2;STK4;CTBP2;GRB2;TGFBR2'}
KEGG_TIGHT_JUNCTION	1	0.06523457755492591	1.0	0.10377358490566038	{'EPB41L2;GNAI3;RAB13;PPP2CA;NRAS;EXOC3;CTNNA1;GNAI2;ACTG1;ACTN4;PRKCB'}
KEGG_LEISHMANIA_INFECTION	1	0.07387118323032127	1.0	0.11764705882352941	{'STAT1;ELK1;ITGA4;NCF1;MYD88;PRKCB;JAK2;TGFB1'}
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.08085362262847683	1.0	0.12280701754385964	{'PIK3CG;NRAS;STAT5A;PIK3CD;GRB2;PIK3R1;FLT3'}
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.08085362262847683	1.0	0.11428571428571428	{'PIK3CG;PRKCB;PIK3CD;INPP5D;PLCG2;PIP4K2C;PIP5K1C;PIK3R1'}
KEGG_PRION_DISEASES	1	0.08085362262847683	1.0	0.15151515151515152	{'EGR1;SOD1;ELK1;PRNP;C7'}
KEGG_VEGF_SIGNALING_PATHWAY	1	0.08539805467464918	1.0	0.11267605633802817	{'PIK3R1;NRAS;PIK3CG;PIK3CD;PXN;NFATC2;PLCG2;PRKCB'}
KEGG_BASE_EXCISION_REPAIR	1	0.08577661596646041	1.0	0.14705882352941177	{'LIG1;POLD3;UNG;POLL;PARP3'}
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	0.09447133498796081	1.0	0.1095890410958904	{'CD22;CD5;CD3E;CD19;GP1BA;ITGA4;CD37;FLT3'}
KEGG_GLIOMA	1	0.09447133498796081	1.0	0.11666666666666667	{'PIK3R1;GRB2;NRAS;PIK3CG;PIK3CD;PLCG2;PRKCB'}
KEGG_ENDOCYTOSIS	1	0.09447133498796081	1.0	0.08571428571428572	{'EPN2;IL2RG;ARFGAP2;PLD2;ERBB4;CCR5;ADRB2;IQSEC2;HLA-E;SNF8;CHMP2A;PIP5K1C;ARAP3;STAMBP;DAB2'}
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.09886556828264943	1.0	0.1388888888888889	{'PIK3R1;PIK3CG;PRKCB;PIK3CD;ATP1A2'}
