pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POSITIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	1	0.24907787495058845	1.3827123909335544	1.0	34.2	['TBX5', 'MEF2C', 'MIR145', 'DHX36', 'GREM1', 'KAT2A', 'WNT3A', 'MYOCD', 'GATA6', 'ARRB2']
GOBP_POSITIVE_REGULATION_OF_MITOPHAGY	1	0.24905455718282601	1.38259901931949	1.0	37.62	['VPS13D', 'VDAC1', 'SLC25A5', 'SLC25A4', 'AMBRA1']
GOBP_LEFT_RIGHT_PATTERN_FORMATION	1	0.24842956601765281	1.383743133309224	1.0	29.42	['DNAAF1', 'NOTCH1', 'HSPB11', 'IFT172', 'ARL13B', 'MNS1', 'FOXJ1', 'SETDB2', 'PIFO', 'NOTCH2', 'IFT57']
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	1	0.2483159836629051	1.3837202819511385	1.0	51.14	['SUCNR1', 'F2RL1', 'EDNRB', 'F2R', 'PCSK5']
GOBP_TOLERANCE_INDUCTION_TO_SELF_ANTIGEN	1	0.24828346068708126	1.3836262560111636	1.0	30.47	['BLK', 'TGFBR2', 'XKR8', 'FOXP3']
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_CYTOKINE_PRODUCTION	1	0.24646252461346763	1.3858261072133422	1.0	50.9	['MAVS', 'NOD2', 'TICAM1', 'CAMK4', 'DHX36', 'DDX58', 'DDX1', 'PLCG2', 'CLEC7A', 'SCIMP']
GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	1	0.24555020857123044	1.3868232102081839	1.0	68.26	['MAD2L2', 'FANCB', 'PARPBP', 'SMCHD1', 'UBQLN4', 'TP53BP1', 'RECQL5', 'RIF1', 'KLHL15', 'RMI2', 'POLQ', 'MAGEF1', 'HELB']
GOBP_REGULATION_OF_TRANSLATION_INITIATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1	0.24550376917450548	1.387011065146469	1.0	59.88	['PPP1R15B', 'PPP1R15A', 'NCK1', 'EIF2AK4', 'NCK2', 'TMED2', 'DNAJC3', 'EIF2AK3']
GOBP_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	1	0.24325525108455184	1.3893721737888323	1.0	31.35	['PTPRC', 'APPL1', 'PTPRJ', 'APPL2']
GOBP_REGULATION_OF_HISTONE_PHOSPHORYLATION	1	0.24320498136260346	1.3903315594910037	1.0	27.31	['IL1B', 'ATM', 'AKAP8', 'PPP4R2', 'PPP4R3B', 'PPP4C', 'AKAP8L', 'CDK9']
GOBP_CALCIUM_ION_IMPORT_INTO_CYTOSOL	1	0.24319547775843445	1.3895420458493628	1.0	7.13	['RAMP3', 'TRPV2', 'MS4A1', 'TRPV4', 'P2RX1']
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	1	0.24317658473262932	1.3897081714723338	1.0	43.08	['RAB11B', 'RAB11A', 'RAB5A', 'LRP1', 'PICALM', 'CLTC']
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2431510440394452	1.3898632104056186	1.0	60.21	['NME5', 'VPS9D1', 'SPHK2', 'NME2', 'STOML2', 'NME9', 'NME1', 'UQCC3', 'AK9', 'FLCN', 'UCK2', 'IMPDH2', 'AK1', 'CMPK1', 'UCK1', 'DNAJC30', 'AK8', 'CTPS1', 'NME3', 'IMPDH1', 'PID1', 'PINK1', 'ALDOA', 'CAD', 'VCP', 'NME2P1', 'TYMS', 'ENO1', 'TREM2', 'AK7', 'DTYMK', 'PRKAG2', 'PPARA', 'NME7', 'TGFB1', 'SLC25A12', 'SLC25A13', 'DGUOK', 'UCKL1', 'NME6', 'CTPS2', 'CMPK2', 'ATP6V0C', 'NME4', 'ADK', 'PARP1']
GOBP_GERM_CELL_DEVELOPMENT	1	0.24311649639585378	1.3902851018507116	1.0	2.84	['RFX2', 'NME5', 'CFAP157', 'CFAP58', 'PACRG', 'IQCG', 'CFAP206', 'TTC21A', 'DPY19L2P2', 'CATSPERD', 'PRDM1', 'CFAP43', 'CFAP44', 'SPEF2', 'DRC7', 'ROPN1L', 'CFAP69', 'MNS1', 'RSPH1', 'SPAG6', 'DNAH1', 'CFAP65', 'ARMC2']
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	1	0.24309481139312397	1.3905810846953126	1.0	53.5	['GTF3C4', 'GTF3C1', 'GTF3C6', 'GTF3C3', 'GTF3C2', 'GTF3C5']
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	1	0.24303987901453544	1.3900844858022858	1.0	12.76	['CXCR3', 'CCL3', 'SLAMF8', 'AGER', 'TNFRSF14', 'ITGA4', 'NCKAP1L', 'CCR1', 'CCR7', 'PTAFR', 'CCR6', 'PTGER4', 'TRPV4', 'SPI1', 'CD74', 'SELP', 'CXCL10', 'P2RY12', 'FUT7', 'CD200', 'CCR2', 'CCL19', 'DEFB124', 'GPR18', 'CD200R1', 'CCL4', 'CXCL12', 'PTK2B', 'EMILIN1', 'CCL5', 'RIN3', 'CRK', 'DOCK8', 'STK10', 'CD300A', 'SLAMF1', 'STAP1', 'AIF1', 'CXCL13', 'VEGFD', 'SPN', 'RHOH']
GOBP_HISTONE_H3_DEACETYLATION	1	0.24299553929765988	1.390272872428251	1.0	42.55	['SIRT7', 'SFPQ', 'HDAC5', 'PER1', 'HDAC7', 'SIRT6', 'HDAC11', 'ELK4', 'SMARCAD1', 'PER2', 'HDAC6', 'SIRT1']
GOBP_NEGATIVE_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	1	0.24272533758000855	1.3912219641708723	1.0	6.51	['KCNRG', 'KCNE1', 'SUMO1', 'KCNE1B']
GOBP_PLATELET_ACTIVATION	1	0.24267202690960601	1.3911406533677781	1.0	12.2	['EMILIN2', 'PLCG2', 'CD40', 'METAP1', 'FCER1G', 'PTPN6', 'TLR4', 'GP1BA', 'PLEK', 'SELP', 'TSPAN32', 'P2RY12', 'CTSG', 'FIBP', 'CD40LG', 'P2RX1', 'LCK', 'JAK2', 'PPIA', 'COL3A1', 'BLK', 'SH2B3', 'FERMT3', 'BLOC1S4', 'C1QTNF1', 'SYK', 'PIK3CG']
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	1	0.2422891820766698	1.3917744559696994	1.0	56.29	['NIPBL', 'TNKS', 'DSCC1', 'NSMCE2', 'MAU2', 'ATRX', 'NAA10', 'SLF2', 'SMC5', 'RB1']
GOBP_REGULATION_OF_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY	1	0.24149353022711262	1.3926849329734114	1.0	24.13	['TREM2', 'RNF113A', 'SLIT2', 'SLIT3', 'SH2B3', 'CCL5']
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	1	0.24002219097139252	1.3943573675771954	1.0	37.76	['SLAMF8', 'MMP28', 'STAP1', 'DDT', 'MIF']
GOBP_POSITIVE_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	1	0.239799608405413	1.394719904112589	1.0	50.66	['NRDE2', 'NCBP2', 'DHX9', 'KHDRBS1', 'CPSF6']
GOBP_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	1	0.23912317711362654	1.3955362228361072	1.0	29.95	['NSD2', 'CCR6', 'MSH2', 'MLH1', 'TNFSF13']
GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	1	0.23886648643151284	1.3959394559789946	1.0	65.1	['EXOSC10', 'UPF1', 'LSM1', 'ATM', 'SSB', 'XRN1', 'MTPAP', 'EXOSC4', 'DCP2', 'TUT1', 'ERI1']
GOBP_REGULATION_OF_PROTEIN_SUMOYLATION	1	0.23833389604508567	1.3965836697466267	1.0	51.0	['PARK7', 'CAPN3', 'TOLLIP', 'HMG20B', 'MUL1', 'PIAS3', 'GNL3', 'RELA', 'ZMIZ1', 'UBE2I', 'EGR1', 'ARNT', 'PIAS1', 'SAE1', 'UBA2', 'HMG20A', 'PIAS4', 'GNL3L']
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1	0.2380722388406113	1.3969692141570615	1.0	12.48	['NCKAP1L', 'SFRP2', 'P2RY12', 'CD3E', 'SYK', 'CXCL13', 'PTPN6', 'CCL5']
GOBP_ENDOSOMAL_VESICLE_FUSION	1	0.23804304657582023	1.3972577790381162	1.0	39.79	['VPS11', 'VPS4A', 'VPS8', 'ANKFY1', 'SAMD9', 'VPS41', 'TGFBRAP1']
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	1	0.23799687521486937	1.397183482985241	1.0	35.08	['RAPGEF2', 'PDCD1', 'MEF2C', 'FNIP1', 'LGALS9', 'PRELID1', 'IDO1', 'P2RX7', 'IL10', 'CD274', 'BLK', 'CCL5', 'PIK3CD', 'SIRT1']
GOBP_C_TERMINAL_PROTEIN_LIPIDATION	1	0.23791708499194958	1.3975229382061782	1.0	54.58	['ATG7', 'ATG12', 'GPLD1', 'WIPI2', 'ATG16L1', 'ATG5']
GOBP_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	1	0.23783968550375784	1.3977347279133208	1.0	66.5	['ERCC5', 'OGG1', 'MPG', 'MBD4', 'TDG', 'NTHL1', 'MUTYH', 'NEIL1', 'SMUG1', 'NEIL2', 'UNG', 'NEIL3']
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE	1	0.23746252748613625	1.3982713245058105	1.0	47.32	['UBL4A', 'SEC61G', 'SGTA', 'GET4', 'SEC63', 'SGTB', 'SEC61B', 'CHMP4A', 'SEC61A1', 'BAG6', 'CHMP4B']
