pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	1	0.0007302118008545846	1.0	0.15873015873015872	['RBM22', 'SRSF2', 'SRSF10', 'CDC5L', 'SLU7', 'SF3B6', 'PRPF38A', 'U2AF2', 'THOC1', 'ZMAT2', 'DDX39B', 'EIF4A3', 'PCBP1', 'LSM3', 'SRSF9', 'SYF2', 'USP39', 'DDX23', 'SF3A3', 'SNRNP27']
KEGG_ERBB_SIGNALING_PATHWAY	1	0.0007767845621636493	1.0	0.18518518518518517	['SOS1', 'ABL2', 'CBLB', 'PIK3CA', 'PLCG1', 'ELK1', 'MAPK10', 'CRKL', 'NRAS', 'PIK3R1', 'NCK2', 'PAK2', 'GRB2', 'PIK3CG', 'CDKN1A']
KEGG_FOCAL_ADHESION	1	0.0007767845621636493	1.0	0.13186813186813187	['SOS1', 'ROCK2', 'FLNA', 'ITGB7', 'CAPN2', 'PIK3CA', 'ELK1', 'PIP5K1C', 'BIRC2', 'PAK2', 'CCND2', 'DIAPH1', 'VAV2', 'ARHGAP35', 'PPP1R12A', 'PARVA', 'ACTN4', 'ACTG1', 'MAPK10', 'CRKL', 'PIK3R1', 'GRB2', 'PXN', 'PIK3CG']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.002093371838040235	1.0	0.18055555555555555	['RUNX1', 'SOS1', 'TGFBR2', 'PIK3CA', 'CBLB', 'CRKL', 'NRAS', 'PIK3R1', 'TGFB1', 'GRB2', 'CTBP2', 'PIK3CG', 'CDKN1A']
KEGG_RNA_DEGRADATION	1	0.0023623194917086867	1.0	0.2	['EXOSC2', 'CNOT2', 'CNOT6', 'XRN1', 'PAPOLA', 'PATL1', 'EXOSC9', 'CNOT9', 'PNPT1', 'CNOT10', 'LSM3']
KEGG_PATHWAYS_IN_CANCER	1	0.002617997228496212	1.0	0.10437710437710437	['RUNX1', 'SOS1', 'MSH6', 'CBLB', 'CDK2', 'HSP90AA1', 'JAK1', 'WNT2B', 'CDKN1A', 'STAT1', 'TPM3', 'MSH2', 'TGFBR2', 'PIK3CA', 'BIRC2', 'CTNNA1', 'STK4', 'RALBP1', 'DVL3', 'NRAS', 'MAX', 'RALB', 'PLCG1', 'MAPK10', 'CRKL', 'PIK3R1', 'TGFB1', 'GRB2', 'RALGDS', 'CTBP2', 'PIK3CG']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.004237036384148125	1.0	0.14563106796116504	['SOS1', 'CBLB', 'PIK3CA', 'PLCG1', 'CD28', 'NRAS', 'PIK3R1', 'NCK2', 'PAK2', 'DLG1', 'GRB2', 'MAP3K14', 'IL10', 'PIK3CG', 'VAV2']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.010037223221499995	1.0	0.13861386138613863	['ARHGAP35', 'GNAI3', 'ACTG1', 'GNAI2', 'PIK3CA', 'CTNND1', 'PLCG1', 'ROCK2', 'PIK3R1', 'CTNNA1', 'ACTN4', 'PXN', 'PIK3CG', 'VAV2']
KEGG_PANCREATIC_CANCER	1	0.011575396909118988	1.0	0.15714285714285714	['RALBP1', 'TGFBR2', 'PIK3CA', 'MAPK10', 'JAK1', 'PIK3R1', 'TGFB1', 'RALGDS', 'RALB', 'PIK3CG', 'STAT1']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.011575396909118988	1.0	0.1111111111111111	['SOS1', 'ROCK2', 'ITGB7', 'GNA13', 'BRK1', 'PIK3CA', 'PIP5K1C', 'PAK2', 'DIAPH1', 'VAV2', 'ARHGAP35', 'PPP1R12A', 'NRAS', 'ACTN4', 'PIP4K2C', 'ACTG1', 'CRKL', 'PIK3R1', 'PXN', 'PIK3CG']
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.017347993803488886	1.0	0.10919540229885058	['SOS1', 'GNAI3', 'ROCK2', 'CCR8', 'STAT1', 'CCL4', 'GNAI2', 'PIK3CA', 'VAV2', 'NRAS', 'CXCL16', 'CCR5', 'CRKL', 'PIK3R1', 'GRB2', 'PXN', 'PIK3CG', 'RASGRP2', 'ADCY6']
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.01801462899912788	1.0	0.14473684210526316	['CDC27', 'GNAI3', 'GNAI2', 'PIK3CA', 'CDK2', 'HSP90AA1', 'MAPK10', 'PIK3R1', 'ANAPC7', 'PIK3CG', 'ADCY6']
KEGG_PURINE_METABOLISM	1	0.021555056903246814	1.0	0.11428571428571428	['PAPSS1', 'DCK', 'POLR2H', 'RRM1', 'PDE4A', 'PDE5A', 'ITPA', 'POLD3', 'AMPD3', 'NT5C3A', 'PPAT', 'AMPD2', 'PNPT1', 'POLR3B', 'POLE', 'ADCY6']
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.024707628558717498	1.0	0.18421052631578946	['ICOSLG', 'CD28', 'TNFSF13', 'TGFB1', 'MAP3K14', 'IL10', 'ITGB7']
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.024707628558717498	1.0	0.11666666666666667	['EXOC7', 'SOS1', 'CBLB', 'PIK3CA', 'MKNK1', 'ELK1', 'MAPK10', 'PHKA2', 'CRKL', 'PIK3R1', 'NRAS', 'GRB2', 'PIK3CG', 'PRKAR1A']
KEGG_TIGHT_JUNCTION	1	0.024707628558717498	1.0	0.12264150943396226	['CSNK2A2', 'EXOC3', 'ACTG1', 'GNAI3', 'PPP2CA', 'EPB41L2', 'GNAI2', 'TJP2', 'NRAS', 'PPP2R1B', 'CTNNA1', 'ACTN4', 'TJAP1']
KEGG_ENDOMETRIAL_CANCER	1	0.024707628558717498	1.0	0.16326530612244897	['SOS1', 'PIK3CA', 'ELK1', 'NRAS', 'PIK3R1', 'CTNNA1', 'GRB2', 'PIK3CG']
KEGG_COLORECTAL_CANCER	1	0.024707628558717498	1.0	0.15	['MSH2', 'MSH6', 'TGFBR2', 'PIK3CA', 'MAPK10', 'PIK3R1', 'TGFB1', 'RALGDS', 'PIK3CG']
KEGG_CELL_CYCLE	1	0.024707628558717498	1.0	0.11570247933884298	['CDC27', 'MCM7', 'YWHAZ', 'CDK2', 'YWHAH', 'TFDP1', 'ANAPC7', 'STAG2', 'TGFB1', 'PRKDC', 'CCND2', 'MCM3', 'CDKN1A', 'SMC1A']
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.029338243129554506	1.0	0.13513513513513514	['SOS1', 'PIK3CA', 'NRAS', 'PIK3R1', 'GRB2', 'CD79B', 'VAV2', 'CD19', 'PIK3CG', 'CD22']
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.03294442658066625	1.0	0.1509433962264151	['SOS1', 'PIK3CA', 'PLCG1', 'NRAS', 'PIK3R1', 'GRB2', 'STK4', 'PIK3CG']
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.03294442658066625	1.0	0.1509433962264151	['PIK3CA', 'PLCG1', 'PIP5K1C', 'INPPL1', 'INPP4A', 'PIP4K2C', 'PLCD4', 'PIK3CG']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.042757056291622096	1.0	0.11016949152542373	['SOS1', 'PSEN1', 'PIK3CA', 'PLCG1', 'MAPK10', 'CRKL', 'YWHAH', 'PIK3R1', 'NRAS', 'GRB2', 'PRDM4', 'PIK3CG', 'YWHAZ']
KEGG_PYRIMIDINE_METABOLISM	1	0.04434886250002817	1.0	0.11827956989247312	['DCK', 'POLR2H', 'RRM1', 'ITPA', 'POLD3', 'CTPS1', 'CAD', 'PNPT1', 'POLR3B', 'NT5C3A', 'POLE']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.045076504733690494	1.0	0.1111111111111111	['SOS1', 'CISH', 'CBLB', 'PIK3CA', 'JAK1', 'PIK3R1', 'CNTF', 'GRB2', 'IL10', 'CCND2', 'PIK3CG', 'STAT1']
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.045076504733690494	1.0	0.12857142857142856	['PIK3CA', 'PLCG1', 'PIP5K1C', 'PIK3R1', 'INPPL1', 'INPP4A', 'PIP4K2C', 'PLCD4', 'PIK3CG']
KEGG_APOPTOSIS	1	0.045076504733690494	1.0	0.12195121951219512	['PIK3CA', 'RIPK1', 'MYD88', 'PIK3R1', 'BIRC2', 'MAP3K14', 'PIK3CG', 'PRKAR1A', 'CFLAR', 'CAPN2']
