pathway	freq	padj	stability	overlap	genes
GOBP_CHROMOSOME_ORGANIZATION	5	1.9512048199049102e-23	0.5	0.15618615209988648	['CTCF', 'NDC80', 'KMT2C', 'GATAD2A', 'DSN1', 'RUVBL1', 'EP400', 'BUB1B', 'NSD2', 'NDC1', 'SGO2', 'ARID1B', 'KIFC1', 'NUP133', 'RNF20', 'MCM2', 'CARM1', 'STAG1', 'TTK', 'BRD2', 'OIP5', 'POLQ', 'KAT6B', 'MAD2L1', 'SMARCD1', 'SSRP1', 'DCAF1', 'CDC23', 'PSME4', 'NEK2', 'UBN2', 'KPNB1', 'SMARCAL1', 'SMC2', 'LATS1', 'KANSL3', 'NCAPG', 'SLF2', 'EMSY', 'KIF4B', 'HMGB2', 'BCORL1', 'CENPI', 'SMYD5', 'YLPM1', 'RIF1', 'KDM3B', 'MAP1S', 'NSD1', 'DOT1L', 'SFPQ', 'BAZ2B', 'TNKS2', 'PRKCB', 'PDCD6IP', 'FANCD2', 'CDC6', 'SPAG5', 'MTA2', 'SETD1B', 'KDM5C', 'RFC4', 'TRIP13', 'CCNB1', 'SPDL1', 'RBL2', 'ARID4A', 'BRD4', 'SMC1A', 'CUL3', 'FBXO5', 'BPTF', 'BRCA2', 'KIF18B', 'RSF1', 'SMC5', 'NUP62', 'ASF1B', 'ARID4B', 'DHX36', 'JARID2', 'DHX9', 'ATAD2', 'TRAPPC12', 'POGZ', 'WRN', 'HDAC7', 'KDM3A', 'HNRNPD', 'JMJD1C', 'WAC', 'CENPE', 'MCMBP', 'CENPA', 'KDM5B', 'XRN1', 'RELA', 'RPA1', 'RACGAP1', 'SMC3', 'HCFC1', 'PSRC1', 'PHF2', 'BRIP1', 'SART3', 'LMNTD2', 'CDC20', 'NUF2', 'CDK2', 'YTHDC1', 'RLIM', 'NUMA1', 'GINS2', 'NFRKB', 'NUSAP1', 'PRKDC', 'BRCA1', 'WAPL', 'MSH2', 'ING5', 'EZH2', 'CHD8', 'DDX3X', 'PIK3CA', 'UPF1', 'TTI1', 'SETX', 'GINS1', 'UHRF1', 'KNTC1', 'ZNF445', 'ZNFX1', 'SPI1', 'HMG20A', 'ATR', 'MAP2K7', 'NAT10', 'KMT2E', 'STAG2', 'MAU2', 'KDM6A', 'NCAPD3', 'SETD1A', 'PDS5A', 'SIN3A', 'CCNE1', 'TACC3', 'EXOSC10', 'XRCC5', 'CDC45', 'ZNF207', 'GATAD2B', 'IKZF1', 'RAD54L2', 'CDT1', 'RNF40', 'AURKB', 'STAG3L1', 'CHAMP1', 'MRE11', 'SMARCAD1', 'SUPT6H', 'ESPL1', 'EP300', 'MSH6', 'SGO1', 'TSPYL1', 'DNMT1', 'EXO1', 'EML3', 'ASH1L', 'CENPH', 'SETD2', 'CHD2', 'DNAJC9', 'PHF20', 'ARID1A', 'ERCC3', 'TLK2', 'TRRAP', 'RAD50', 'SRCAP', 'SAFB', 'CREBZF', 'KIF23', 'ERCC6L', 'ZW10', 'KMT5B', 'KMT2A', 'RAD54L', 'HDAC6', 'CHD4', 'EPC2', 'HNRNPU', 'RCOR1', 'DDX1', 'YY1', 'CDAN1', 'TNKS1BP1', 'SETD5', 'BAG6', 'NCAPH', 'ANAPC1', 'SMG6', 'INO80', 'SMARCA5', 'ARID2', 'BRD1', 'TOP2B', 'KDM2A', 'RAD51', 'CHTF8']
GOBP_ADAPTIVE_IMMUNE_RESPONSE	5	3.122253882894201e-20	0.5	0.1797788309636651	['CD4', 'IGLJ1', 'IGHV4-28', 'TRBJ2-2', 'IGKV2D-24', 'CRTAM', 'IGLV2-23', 'TRBV20-1', 'HLA-DQA1', 'IGLV7-43', 'C1QB', 'IGHV2-26', 'NSD2', 'IGHV3-74', 'IGHJ1', 'IGKV1-17', 'HLA-DPA1', 'IGKV1-9', 'SPN', 'IGKV1D-8', 'LILRB2', 'TRAV12-3', 'SH2D1A', 'IGHV5-51', 'IGHV4-31', 'TRAV8-6', 'TRBV12-4', 'TRAV8-2', 'IGHV2-70D', 'IGHA2', 'NLRP3', 'IGHV3-38', 'TRBV7-9', 'SLAMF1', 'LY9', 'TRBJ2-3', 'IGKV3-15', 'IGKV1-39', 'RIF1', 'IGKV2D-28', 'PTPRC', 'IGLV5-45', 'IGHV2-70', 'IGKV2-30', 'PRKCB', 'IGLV3-21', 'IGKV1-27', 'LAX1', 'TRAV29DV5', 'IGLV3-9', 'TNFRSF17', 'IGKV3D-15', 'TRBV9', 'IGKV5-2', 'IGKV3-20', 'WAS', 'IGLV1-51', 'IGLV2-14', 'IGKV1D-43', 'TFE3', 'IGKV3D-11', 'IGHG2', 'TRAV12-2', 'IGHA1', 'PIK3CG', 'IGLV4-69', 'IGKV1D-39', 'IGHV3-48', 'CSF2RB', 'CD79A', 'TRAV4', 'LILRB1', 'IGLC1', 'IGKV1-5', 'TRAV9-2', 'ITK', 'IGLC6', 'IGLV1-36', 'IL17RA', 'IGKV1D-12', 'IGLV6-57', 'IGHV1-58', 'IGKV1D-37', 'CD86', 'NCKAP1L', 'IGHV3-15', 'IGLV2-33', 'TRAV16', 'TP53BP1', 'IGLL5', 'CD84', 'CD8A', 'MSH2', 'IGHV4-34', 'IGLV1-44', 'IRF4', 'IGKV4-1', 'TNFRSF1B', 'IGLV9-49', 'LAIR1', 'HLA-DRA', 'IGKV1D-42', 'IGKV2-24', 'TRBV6-1', 'IGKV1-12', 'IL12RB1', 'IGHV3-21', 'IL21R', 'IGHV6-1', 'TRBV29-1', 'CD48', 'IGHV3-23', 'IGLV3-16', 'IGKV1D-33', 'SAMSN1', 'LILRB3', 'IGLV3-25', 'HLA-DPB1', 'PDCD1', 'IGKV2D-30', 'IGHV4-59', 'IGHV3-13', 'CD226', 'CD40LG', 'SUPT6H', 'IGHV3-35', 'TRBJ2-1', 'IGLV4-3', 'MSH6', 'CD6', 'EXO1', 'TRBV12-3', 'TRBV3-1', 'PDCD1LG2', 'TRBJ2-4', 'IGHV1-45', 'IGHG1', 'IGHV3-30', 'SLAMF7', 'IGKV1-37', 'IGKV2-28', 'TLR4', 'IGHV3-73', 'SASH3', 'PAXIP1', 'IGHV3-33', 'TRAV41', 'TRAV2', 'IGHG4', 'EIF2AK4', 'HLA-DMB', 'TRBJ2-7', 'IGKV2-29', 'BTK', 'TRAV23DV6', 'IGLC3', 'KMT5B', 'IGKJ1', 'CD28', 'TRBJ1-5', 'TRBV27', 'IGLV2-11', 'IGKV3-7', 'IGLV3-1', 'IGKV2-40', 'IGHV1-24', 'IGHG3', 'STAT3', 'CD244', 'TRAV13-1', 'C1QC', 'TRBV5-1', 'IGHV2-5', 'IGKV1-6', 'IGLC7', 'IGLV3-19', 'LILRB4', 'SIT1']
GOBP_CELL_CYCLE	5	9.535783846728953e-15	0.5	0.1087012987012987	['CEP63', 'BORA', 'CTCF', 'ACTR2', 'NDC80', 'USP9X', 'EPB41L2', 'OFD1', 'DSN1', 'SPC25', 'RUVBL1', 'NEK4', 'SON', 'KHDRBS1', 'EP400', 'BUB1B', 'WASHC5', 'NDC1', 'SGO2', 'ZZZ3', 'XRCC2', 'SKP2', 'KIFC1', 'SRSF2', 'RNF20', 'MCM2', 'WDHD1', 'STAG1', 'NPAT', 'TTK', 'OIP5', 'CCNK', 'PPP1R12A', 'MAD2L1', 'NOLC1', 'MYBL2', 'CDC23', 'AIF1', 'NEK2', 'PSME3', 'MDM4', 'SASS6', 'KPNB1', 'LATS1', 'SMC2', 'BIRC6', 'NCAPG', 'SLF2', 'KIF4B', 'ZBED6', 'RIF1', 'DOT1L', 'SKA3', 'MED1', 'SFPQ', 'PTPRC', 'INHBA', 'CLSPN', 'E2F1', 'PRKCB', 'TUBGCP4', 'PDCD6IP', 'PIM2', 'FANCD2', 'PRPF19', 'CDC6', 'BTRC', 'SPAG5', 'CDK13', 'GFI1', 'MAP3K11', 'TRIP13', 'CCNB1', 'VCP', 'SPDL1', 'C2CD3', 'RBL2', 'CDC73', 'WDR62', 'BRD4', 'SMC1A', 'CUL3', 'YY1AP1', 'CCNA2', 'FBXO5', 'PLK4', 'CUL4A', 'PYHIN1', 'BRCA2', 'KIF18B', 'DDIAS', 'SMC5', 'PAFAH1B1', 'NUP62', 'LZTS1', 'PHACTR4', 'TRAPPC12', 'POGZ', 'AATF', 'WRN', 'RAB35', 'MAP4', 'KIF13A', 'CCNT1', 'DCTN1', 'CACUL1', 'PHIP', 'TUBA4B', 'WAC', 'CENPE', 'IQGAP3', 'CENPA', 'PBK', 'MCMBP', 'MND1', 'NEDD1', 'RPA1', 'RACGAP1', 'SMC3', 'CDCA2', 'HCFC1', 'SSX2IP', 'PSRC1', 'CDC25A', 'LILRB1', 'BRIP1', 'PDGFRB', 'PCLAF', 'PRPF40A', 'RRM1', 'NUGGC', 'NUF2', 'CDC20', 'CDK2', 'RBM14', 'NUMA1', 'KIF15', 'DTL', 'NFRKB', 'C6orf89', 'NUSAP1', 'PRKDC', 'MELK', 'FBXL7', 'TP53BP1', 'CSNK1D', 'CDKN3', 'BRCA1', 'WAPL', 'MSH2', 'EZH2', 'RPL26', 'DDX3X', 'GBF1', 'RPRD1B', 'UPF1', 'AURKA', 'CDK3', 'USP19', 'GINS1', 'FANCI', 'PTPN11', 'UHRF1', 'RPS3', 'KNTC1', 'PIK3R4', 'WIZ', 'CDCA3', 'GOLGA8B', 'ATR', 'RPS15A', 'NAT10', 'KMT2E', 'STAG2', 'RPTOR', 'AMBRA1', 'NCAPD3', 'MAU2', 'GAS1', 'EIF4G1', 'PDS5A', 'SIN3A', 'CCNE1', 'TACC3', 'DYNC1H1', 'CDC45', 'ZNF207', 'RANBP1', 'IKZF1', 'PPP1R9B', 'ANKRD17', 'CDT1', 'RNF40', 'AURKB', 'RASSF2', 'STAG3L1', 'CHAMP1', 'MRE11', 'SMARCAD1', 'ESPL1', 'CDK12', 'EP300', 'MSH6', 'SGO1', 'DBF4', 'GNAI3', 'PPM1G', 'ROCK2', 'EXO1', 'EML3', 'CDC7', 'DNM2', 'CENPH', 'SPECC1L', 'SETD2', 'PAXIP1', 'KIF2A', 'EIF2AK4', 'ERCC3', 'IFFO1', 'TLK2', 'TRRAP', 'CLASP1', 'RAD50', 'ARF6', 'KIF23', 'ERCC6L', 'ZW10', 'CD28', 'RAD54L', 'ERCC6', 'PUM1', 'UTP14C', 'DDB1', 'EPC2', 'HNRNPU', 'TUBGCP3', 'WDR76', 'TAF1L', 'YY1', 'GIGYF2', 'INTS3', 'STAT3', 'BAG6', 'NCAPH', 'NEK9', 'INO80', 'ANAPC1', 'GOLGA8A', 'TARDBP', 'XIAP', 'DMTF1', 'SMARCA5', 'FZR1', 'DLG1', 'TOP2B', 'ORC1', 'ING5', 'RAD51', 'CHTF8']
GOBP_MRNA_METABOLIC_PROCESS	5	3.922092345848157e-14	0.5	0.15462962962962962	['XAB2', 'SYNCRIP', 'AQR', 'DDX46', 'SON', 'KHDRBS1', 'KHSRP', 'HNRNPR', 'SRSF2', 'RNF20', 'PRPF4B', 'SUGP2', 'HNRNPA3', 'LARP7', 'PCF11', 'PHRF1', 'NUP98', 'TRA2B', 'HNRNPK', 'SFPQ', 'MED1', 'FUS', 'E2F1', 'RBM5', 'PDCD11', 'RPRD2', 'PRPF19', 'LARP1', 'SNRNP70', 'CDK13', 'RBM19', 'ZNF326', 'TAF3', 'SRSF1', 'RBM27', 'ELAVL1', 'CDC73', 'RBM39', 'SF3B2', 'CBLL1', 'RBM41', 'METTL14', 'RBM25', 'TTF2', 'DHX36', 'DHX9', 'GTPBP1', 'REST', 'SF1', 'HNRNPA1L2', 'CCNT1', 'PRPF8', 'CWC22', 'PAN2', 'HNRNPD', 'RRP1B', 'SCAF8', 'IWS1', 'XRN1', 'APOBEC4', 'CSDE1', 'HNRNPH3', 'NCBP2', 'FXR1', 'SART3', 'PRPF40A', 'AGO1', 'NSRP1', 'SCAF4', 'RBM14', 'YTHDC1', 'AGO3', 'PUM2', 'DHX8', 'CELF6', 'DHX15', 'SF3A1', 'RPRD1B', 'UPF1', 'SETX', 'DDX17', 'LUC7L2', 'SRSF11', 'RBMXL1', 'U2AF2', 'SRRM1', 'ZC3H13', 'EXOSC10', 'CACTIN', 'CPSF7', 'PRPF38B', 'DIS3', 'EFTUD2', 'DAZAP1', 'RNF40', 'CASC3', 'DDX23', 'THRAP3', 'RBM10', 'SUPT6H', 'ADAR', 'CWC25', 'CDK12', 'SAMD4B', 'TTC37', 'SMNDC1', 'ROCK2', 'SNW1', 'SSB', 'PTBP1', 'WDR33', 'NBAS', 'SMG7', 'HNRNPF', 'SRSF10', 'SAFB', 'SART1', 'RBBP6', 'SF3B3', 'HNRNPM', 'PUM1', 'HNRNPU', 'DDX1', 'NOVA2', 'GIGYF2', 'STAT3', 'RAVER1', 'SMG6', 'SNRNP200', 'SLTM', 'TARDBP', 'SF3B1', 'PAXBP1', 'CELF1', 'SUGP1', 'UPF2']
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	5	4.3611428757976595e-14	0.5	0.21142857142857144	['IGKV2D-24', 'IGLV2-23', 'HLA-DQA1', 'IGLV7-43', 'NSD2', 'IGKV1-17', 'HLA-DPA1', 'IGKV1-9', 'IGKV1D-8', 'POLQ', 'NLRP3', 'SLAMF1', 'IGKV3-15', 'IGKV1-39', 'RIF1', 'IGKV2D-28', 'PTPRC', 'IGLV5-45', 'IGKV2-30', 'IGLV3-21', 'IGKV1-27', 'IGLV3-9', 'IGKV3D-15', 'IGKV5-2', 'IGKV3-20', 'IGLV1-51', 'SAMHD1', 'IGLV2-14', 'IGKV1D-43', 'DHX36', 'IGKV3D-11', 'IGLV4-69', 'IGKV1D-39', 'LILRB1', 'IGKV1-5', 'TRAV9-2', 'IGLV1-36', 'IGKV1D-12', 'IGLV6-57', 'CD86', 'IGLV2-33', 'PRKDC', 'TP53BP1', 'MSH2', 'IGLV1-44', 'IGKV4-1', 'TNFRSF1B', 'IGLV9-49', 'CD96', 'HLA-DRA', 'IGKV1D-42', 'IGKV2-24', 'IGKV1-12', 'IGLV3-16', 'IGKV1D-33', 'CD226', 'IGLV3-25', 'HLA-DPB1', 'IGKV2D-30', 'CD40LG', 'SUPT6H', 'IGLV4-3', 'MSH6', 'SCIMP', 'EXO1', 'IGKV1-37', 'IGKV2-28', 'TLR4', 'SASH3', 'PAXIP1', 'TRAV2', 'HLA-DMB', 'IGKV2-29', 'HK1', 'BTK', 'KMT5B', 'CD28', 'IGLV2-11', 'DDX1', 'IGKV3-7', 'YY1', 'IGLV3-1', 'IGKV2-40', 'CD244', 'IGKV1-6', 'IGLV3-19', 'LILRB4']
GOBP_HISTONE_MODIFICATION	5	7.891179305491275e-14	0.5	0.16280087527352297	['CTCF', 'KMT2C', 'FBXL19', 'GATAD2A', 'RUVBL1', 'EP400', 'NSD2', 'ZZZ3', 'TAF5L', 'ATXN7', 'RNF20', 'CARM1', 'KAT6B', 'ELK4', 'VRK2', 'DCAF1', 'MSL2', 'KANSL3', 'SMYD5', 'RIF1', 'KDM3B', 'DOT1L', 'NSD1', 'SKI', 'SFPQ', 'PRDM4', 'PRKCB', 'MTA2', 'HUWE1', 'GFI1', 'SETD1B', 'KDM5C', 'CDC73', 'ARID4A', 'BRD4', 'CCNA2', 'BRCA2', 'JARID2', 'ARID4B', 'REST', 'HDAC7', 'KDM3A', 'JMJD1C', 'WAC', 'IWS1', 'KDM5B', 'HCFC1', 'PHF2', 'MLLT6', 'SART3', 'RBM14', 'CDK2', 'DYDC2', 'C6orf89', 'BRCA1', 'ING5', 'EZH2', 'IRF4', 'AURKA', 'UHRF1', 'RTF1', 'SPI1', 'KMT2E', 'KDM6A', 'SETD1A', 'SIN3A', 'SIN3B', 'GATAD2B', 'RNF40', 'AURKB', 'SUPT20H', 'SMARCAD1', 'SUPT6H', 'EP300', 'DNMT1', 'CRTC2', 'SNW1', 'ASH1L', 'SETD2', 'PPP4R3B', 'PAXIP1', 'PHF20', 'TRRAP', 'SRCAP', 'KMT5B', 'KMT2A', 'GLYR1', 'SF3B3', 'HDAC6', 'CHD4', 'EPC2', 'DDB1', 'RCOR1', 'TAF1L', 'SETD5', 'SMARCA5', 'PAXBP1', 'BRD1', 'KDM2A']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	5	9.444454808921027e-13	0.5	0.10481856038072576	['MAK', 'CD4', 'SENP1', 'ZNF398', 'CTCF', 'ACTR2', 'USP9X', 'KMT2C', 'CIZ1', 'WDR48', 'SYNCRIP', 'BCL9', 'RUVBL1', 'NEK4', 'EP400', 'KHSRP', 'MAP3K2', 'RAI1', 'NSD2', 'AP3D1', 'ARID1B', 'S1PR1', 'YES1', 'ZNF746', 'ZEB1', 'DPF2', 'TCF20', 'RNF20', 'CEBPZ', 'CARM1', 'LDB2', 'IRF8', 'NPAT', 'KAT6B', 'CCNK', 'PPP1R12A', 'ELK4', 'SMARCD1', 'MYBL2', 'NOLC1', 'FANCB', 'NEK2', 'LARP7', 'PCBP1', 'UBP1', 'DEK', 'KANSL3', 'NLRP3', 'NUP98', 'SLF2', 'HMGB2', 'HNRNPK', 'TRA2B', 'RNF10', 'RIF1', 'DOT1L', 'NSD1', 'SKI', 'MED1', 'SFPQ', 'PRDM4', 'FUS', 'PTPRC', 'MBTPS2', 'INHBA', 'E2F1', 'TNKS2', 'PRKCB', 'KLF7', 'ZNF507', 'MED16', 'PIM2', 'PRPF19', 'SNRNP70', 'BTRC', 'CDK13', 'ZSWIM8', 'MTA2', 'TAF3', 'RIPK1', 'RFC4', 'HEATR1', 'VCP', 'WAS', 'CDC73', 'ARID4A', 'BRD4', 'CCNA2', 'METTL14', 'BPTF', 'PYHIN1', 'BRCA2', 'SP3', 'RSF1', 'NUP62', 'MZF1', 'ARID4B', 'DHX36', 'TFE3', 'DHX9', 'REST', 'TMF1', 'ATAD2', 'BMPR2', 'GTPBP1', 'NOL11', 'POGZ', 'AATF', 'HIVEP1', 'WRN', 'VEZF1', 'CCNT1', 'ELL', 'KDM3A', 'PAN2', 'HNRNPD', 'PHIP', 'QRICH1', 'SCAF8', 'WAC', 'RRP1B', 'RELA', 'ZNF143', 'MED13', 'ZNF148', 'HCFC1', 'CSDE1', 'PSRC1', 'PHF2', 'GPBP1L1', 'LILRB1', 'NCBP2', 'MED17', 'PDGFRB', 'GCN1', 'NFKB1', 'KPNA6', 'AGO1', 'SS18', 'RBM14', 'CDK2', 'TRIM56', 'GINS2', 'CD86', 'NFRKB', 'NOX4', 'ASXL2', 'PRKDC', 'GTF2F1', 'TP53BP1', 'BRCA1', 'WDR43', 'MSH2', 'IRF4', 'TOPORS', 'CHD8', 'DDX3X', 'RPRD1B', 'TNFRSF1B', 'UPF1', 'SETX', 'DDX17', 'GMEB1', 'GINS1', 'POLR2A', 'ZNF197', 'UHRF1', 'RPS3', 'GTF2I', 'ZNF609', 'ZNF445', 'LHX4', 'RBMXL1', 'ATR', 'MAP2K7', 'SPI1', 'U2AF2', 'KMT2E', 'RPTOR', 'SIN3A', 'XRCC5', 'ZBED4', 'ZNF423', 'FAM168A', 'DIS3', 'DAZAP1', 'AURKB', 'ATF6', 'THRAP3', 'TLR7', 'MRE11', 'UBTF', 'NAA15', 'SUPT6H', 'TCF21', 'CDK12', 'EP300', 'USF3', 'SAMD4B', 'ILF3', 'ROCK2', 'SNW1', 'CRTC2', 'ITGA8', 'DNM2', 'TEAD1', 'ASH1L', 'OTUD4', 'ARNT', 'TLR4', 'NCOA6', 'NRF1', 'PAXIP1', 'MTF1', 'MMS19', 'CREB1', 'ARID1A', 'TRRAP', 'RAD50', 'SRCAP', 'ZNF521', 'ELF2', 'CREBZF', 'ZNF112', 'KMT5B', 'KMT2A', 'GLYR1', 'ERCC6', 'PUM1', 'CD28', 'ATAD2B', 'ZMIZ1', 'RNF111', 'EPC2', 'HNRNPU', 'TNFSF8', 'YY1', 'GREM1', 'TAF1L', 'TRIP11', 'GIGYF2', 'STAT3', 'ZEB2', 'AKNA', 'INO80', 'PPRC1', 'TCF12', 'FUBP3', 'COL1A1', 'LPIN3', 'TARDBP', 'SF3B1', 'SMARCA5', 'ARID2', 'CAMKK2', 'MED12', 'PAXBP1', 'PSMC5', 'BCLAF1', 'CELF1', 'ING5', 'RAD51', 'CHTF8']
GOBP_IMMUNOGLOBULIN_PRODUCTION	5	1.0112215647990878e-12	0.5	0.2527918781725888	['IGLV4-3', 'MSH6', 'IGLV5-45', 'IGLV1-36', 'IGKV2-30', 'IGKV1D-12', 'IGLV3-21', 'EXO1', 'IGKV2D-24', 'IGLV6-57', 'IGLV2-23', 'CD86', 'IGKV1-27', 'HLA-DQA1', 'IGLV7-43', 'IGLV2-33', 'IGKV1-37', 'IGKV2-28', 'PRKDC', 'TP53BP1', 'NSD2', 'IGLV3-9', 'MSH2', 'IGKV3D-15', 'IGLV1-44', 'PAXIP1', 'IGKV4-1', 'IGKV1-17', 'SASH3', 'TRAV2', 'IGKV5-2', 'IGKV3-20', 'HLA-DPA1', 'IGKV1-9', 'HLA-DMB', 'IGLV9-49', 'IGKV1D-8', 'IGLV1-51', 'SAMHD1', 'IGKV2-29', 'IGLV2-14', 'IGKV1D-43', 'SUPT6H', 'POLQ', 'IGKV1D-42', 'HLA-DRA', 'BTK', 'IGKV2-24', 'KMT5B', 'IGKV3D-11', 'CD28', 'IGKV1-12', 'IGLV2-11', 'IGLV4-69', 'IGKV1D-39', 'IGKV3-7', 'YY1', 'IGLV3-1', 'IGKV2-40', 'IGLV3-16', 'IGKV1D-33', 'IGLV3-25', 'HLA-DPB1', 'IGKV2D-30', 'IGKV3-15', 'IGKV1-39', 'CD40LG', 'RIF1', 'IGKV1-6', 'IGKV2D-28', 'PTPRC', 'IGLV3-19', 'IGKV1-5', 'TRAV9-2']
GOBP_CELL_CYCLE_PROCESS	5	1.0676835047167124e-12	0.5	0.11980676328502415	['BORA', 'CEP63', 'CTCF', 'ACTR2', 'NDC80', 'OFD1', 'DSN1', 'SPC25', 'SON', 'KHDRBS1', 'BUB1B', 'WASHC5', 'NDC1', 'SGO2', 'XRCC2', 'SKP2', 'KIFC1', 'MCM2', 'STAG1', 'NPAT', 'TTK', 'PPP1R12A', 'MAD2L1', 'MYBL2', 'CDC23', 'AIF1', 'NEK2', 'PSME3', 'SASS6', 'KPNB1', 'SMC2', 'BIRC6', 'LATS1', 'NCAPG', 'SLF2', 'KIF4B', 'DOT1L', 'PTPRC', 'SFPQ', 'MED1', 'INHBA', 'CLSPN', 'E2F1', 'PRKCB', 'TUBGCP4', 'PDCD6IP', 'PIM2', 'FANCD2', 'PRPF19', 'CDC6', 'SPAG5', 'CDK13', 'GFI1', 'MAP3K11', 'TRIP13', 'CCNB1', 'VCP', 'C2CD3', 'WDR62', 'CDC73', 'RBL2', 'SPDL1', 'PLK4', 'SMC1A', 'CUL3', 'BRD4', 'FBXO5', 'CCNA2', 'CUL4A', 'BRCA2', 'KIF18B', 'SMC5', 'NUP62', 'PAFAH1B1', 'LZTS1', 'TRAPPC12', 'POGZ', 'WRN', 'RAB35', 'MAP4', 'KIF13A', 'DCTN1', 'CACUL1', 'PHIP', 'WAC', 'CENPE', 'IQGAP3', 'CENPA', 'MCMBP', 'MND1', 'RACGAP1', 'SMC3', 'CDCA2', 'SSX2IP', 'CDC25A', 'PSRC1', 'BRIP1', 'PDGFRB', 'PCLAF', 'PRPF40A', 'RRM1', 'RBM14', 'NUF2', 'CDK2', 'NUGGC', 'NUMA1', 'CDC20', 'DTL', 'KIF15', 'NUSAP1', 'PRKDC', 'MELK', 'FBXL7', 'TP53BP1', 'CSNK1D', 'CDKN3', 'BRCA1', 'WAPL', 'MSH2', 'EZH2', 'RPL26', 'DDX3X', 'RPRD1B', 'UPF1', 'AURKA', 'CDK3', 'USP19', 'GINS1', 'PTPN11', 'RPS3', 'KNTC1', 'PIK3R4', 'WIZ', 'GOLGA8B', 'ATR', 'NAT10', 'KMT2E', 'STAG2', 'AMBRA1', 'RPTOR', 'NCAPD3', 'MAU2', 'EIF4G1', 'PDS5A', 'SIN3A', 'CCNE1', 'TACC3', 'DYNC1H1', 'CDC45', 'ZNF207', 'RANBP1', 'PPP1R9B', 'ANKRD17', 'CDT1', 'AURKB', 'STAG3L1', 'CHAMP1', 'MRE11', 'SMARCAD1', 'ESPL1', 'MSH6', 'SGO1', 'DBF4', 'ROCK2', 'EML3', 'CDC7', 'DNM2', 'CENPH', 'SETD2', 'PAXIP1', 'KIF2A', 'EIF2AK4', 'ERCC3', 'IFFO1', 'CLASP1', 'RAD50', 'KIF23', 'ZW10', 'CD28', 'ERCC6', 'RAD54L', 'DDB1', 'HNRNPU', 'TUBGCP3', 'WDR76', 'TAF1L', 'INTS3', 'GIGYF2', 'BAG6', 'NCAPH', 'ANAPC1', 'INO80', 'GOLGA8A', 'SMARCA5', 'FZR1', 'DLG1', 'TOP2B', 'ORC1', 'RAD51', 'CHTF8']
GOBP_MRNA_PROCESSING	5	1.5002311492420984e-12	0.5	0.17687074829931976	['XAB2', 'SYNCRIP', 'AQR', 'DDX46', 'SON', 'KHDRBS1', 'KHSRP', 'HNRNPR', 'SRSF2', 'RNF20', 'PRPF4B', 'SUGP2', 'HNRNPA3', 'LARP7', 'PCF11', 'PHRF1', 'NUP98', 'TRA2B', 'HNRNPK', 'SFPQ', 'RBM5', 'PDCD11', 'RPRD2', 'PRPF19', 'SNRNP70', 'CDK13', 'RBM19', 'ZNF326', 'SRSF1', 'RBM27', 'CDC73', 'RBM39', 'SF3B2', 'RBM41', 'METTL14', 'RBM25', 'TTF2', 'DHX36', 'DHX9', 'REST', 'SF1', 'HNRNPA1L2', 'CCNT1', 'PRPF8', 'CWC22', 'PAN2', 'RRP1B', 'SCAF8', 'IWS1', 'APOBEC4', 'HNRNPH3', 'NCBP2', 'FXR1', 'SART3', 'PRPF40A', 'NSRP1', 'SCAF4', 'RBM14', 'YTHDC1', 'DHX8', 'CELF6', 'DHX15', 'SF3A1', 'RPRD1B', 'SETX', 'DDX17', 'LUC7L2', 'SRSF11', 'RBMXL1', 'U2AF2', 'SRRM1', 'ZC3H13', 'CACTIN', 'CPSF7', 'PRPF38B', 'EFTUD2', 'RNF40', 'DAZAP1', 'CASC3', 'DDX23', 'THRAP3', 'RBM10', 'SUPT6H', 'ADAR', 'CWC25', 'CDK12', 'SMNDC1', 'SNW1', 'PTBP1', 'WDR33', 'HNRNPF', 'SRSF10', 'SAFB', 'SART1', 'RBBP6', 'SF3B3', 'HNRNPM', 'HNRNPU', 'DDX1', 'NOVA2', 'RAVER1', 'SNRNP200', 'SLTM', 'TARDBP', 'SF3B1', 'PAXBP1', 'CELF1', 'SUGP1']
