pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	4.2968509993085776e-19	1.0	0.15123456790123457	['USP49', 'SNIP1', 'SECISBP2', 'PAPOLA', 'UPF3B', 'DDX46', 'KHDRBS1', 'YTHDF2', 'ATM', 'HNRNPR', 'SRSF2', 'PRPF4B', 'SNRNP35', 'CDC5L', 'HNRNPA3', 'CMTR1', 'PTBP3', 'LSM3', 'ATXN2L', 'TFCP2', 'QKI', 'EXOSC9', 'MED1', 'LARP1', 'RBM19', 'TAF3', 'TBP', 'TIRAP', 'RBM27', 'ELAVL1', 'RBM41', 'TTF2', 'PYM1', 'SF1', 'REST', 'CWF19L2', 'DDX39B', 'SERBP1', 'CCNT1', 'CWC22', 'HNRNPD', 'SCAF8', 'IWS1', 'CNOT6', 'XRN1', 'MYD88', 'HNRNPH3', 'SF3A3', 'ANGEL2', 'TAF8', 'AGO1', 'NSRP1', 'SCAF4', 'BUD13', 'THOC2', 'TAF12', 'DKC1', 'PUM2', 'SFSWAP', 'LUC7L2', 'ZBTB1', 'SRSF11', 'ERN1', 'RBMXL1', 'SRRM1', 'MRTO4', 'ZC3H13', 'PAN3', 'CPSF7', 'PRDX6', 'PRPF38B', 'LSM11', 'CASC3', 'DDX23', 'CIR1', 'SNRNP27', 'SUPT6H', 'CDK12', 'CNOT2', 'ROCK2', 'PATL1', 'SRPK1', 'SMG7', 'CPSF6', 'MOV10', 'HNRNPF', 'EXOSC2', 'PRPF38A', 'PUM1', 'THOC1', 'PNPT1', 'DDX1', 'HELZ2', 'THOC7', 'SNRPA', 'ZRSR2', 'TARDBP', 'SF3B1']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	8.713273521571694e-15	1.0	0.09994051160023795	['SENP1', 'ZNF398', 'CTCF', 'ACTR2', 'PHF8', 'BRPF1', 'NEK4', 'MEOX1', 'TEAD3', 'YTHDF2', 'ATM', 'SP1', 'BRD8', 'NFYA', 'ICE1', 'BIRC2', 'CEBPZ', 'TFDP1', 'IRF8', 'CDC5L', 'MED14', 'CSRNP2', 'PPP1R12A', 'ELK4', 'NOLC1', 'SMARCD1', 'TBK1', 'ZNF267', 'ELF4', 'KANSL3', 'PPARGC1B', 'TFCP2', 'TRIM38', 'CAND1', 'RNF10', 'CEP290', 'EXOSC9', 'TNFSF13', 'MED1', 'PRDM4', 'MBTPS2', 'IKBKB', 'PSEN1', 'PARP9', 'GRHL2', 'RNF8', 'MAPK15', 'KLF7', 'MEPCE', 'ZNF507', 'TLR2', 'NOTCH3', 'KLF13', 'VHL', 'NOTCH1', 'CENPJ', 'TAF3', 'ELK1', 'RIPK1', 'MAP3K4', 'TBP', 'SMARCC1', 'PICALM', 'NUP62', 'REST', 'FOXJ3', 'TMF1', 'DDX39B', 'NOL11', 'CCNT1', 'KDM3A', 'HNRNPD', 'QRICH1', 'SCAF8', 'WAC', 'CNOT6', 'PIK3R1', 'ZNF143', 'SIRT1', 'LILRB1', 'CTBP2', 'TAF8', 'MED17', 'AGO1', 'ACTL6A', 'SS18', 'NAA16', 'LPIN1', 'CDK2', 'HSP90AA1', 'TRIM56', 'TAF12', 'NFRKB', 'CREBL2', 'DKC1', 'RLF', 'SRF', 'PRKDC', 'TP53BP1', 'MSH2', 'IRF4', 'DDX3X', 'TNFRSF1B', 'NCK2', 'GMEB1', 'EAF1', 'ZNF197', 'ZNF609', 'RFXAP', 'RNF6', 'TRIM44', 'ERN1', 'RBMXL1', 'TRIM22', 'PRDM2', 'ACTN4', 'ZBED4', 'PAN3', 'PRDX6', 'FAM168A', 'MRE11', 'IL10', 'SUPT6H', 'ZNF227', 'CDK12', 'CNOT2', 'ZNF451', 'ROCK2', 'PATL1', 'OTUD4', 'HDAC5', 'CBFB', 'NRF1', 'ZNF808', 'MTF1', 'MOV10', 'ELK3', 'NUP85', 'RAD50', 'EGR2', 'CREBZF', 'EXOSC2', 'ZNF112', 'PLSCR1', 'CD28', 'ERCC6', 'YWHAH', 'PUM1', 'THOC1', 'ATAD2B', 'PBX2', 'EPC2', 'NFYC', 'PNPT1', 'HELZ2', 'TFRC', 'PPRC1', 'TCF12', 'FUBP3', 'TARDBP', 'SF3B1', 'ARID2', 'NFATC2IP', 'CAMKK2', 'TGFB1', 'ZNF594', 'BCLAF1', 'ING5']
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	3.145921613784909e-14	1.0	0.1096234309623431	['USP49', 'CBLB', 'RIC1', 'SECISBP2', 'AREL1', 'UPF3B', 'RFFL', 'ARMC8', 'YTHDF2', 'ATM', 'ERLIN1', 'HTRA2', 'UVRAG', 'BIRC2', 'EXT1', 'PSME4', 'PSME3', 'ANAPC7', 'LATS1', 'WWP1', 'CAMLG', 'KLHDC10', 'TRIM38', 'HERC2', 'EXOSC9', 'FAF1', 'PSEN1', 'RNF8', 'UBE2D1', 'UBE2Z', 'MIB1', 'FBXW8', 'LARP1', 'NOTCH1', 'KLHL15', 'CD2AP', 'RIPK1', 'TIRAP', 'ELAVL1', 'SMARCC1', 'USP1', 'PSMB2', 'UBA1', 'CUL4A', 'CSNK2A2', 'PYM1', 'TMF1', 'SERBP1', 'UBE4B', 'ASB2', 'GSK3A', 'HNRNPD', 'WAC', 'USP33', 'CNOT6', 'XRN1', 'MYD88', 'SIRT1', 'FBXO21', 'LTN1', 'ANGEL2', 'UBXN7', 'MFSD8', 'AGO1', 'IL17RA', 'USP34', 'CDK2', 'USP10', 'HSP90AA1', 'ANKIB1', 'RMND5A', 'DKC1', 'PUM2', 'SH3GLB1', 'SPOP', 'USP37', 'TNFRSF1B', 'TPP1', 'NSF', 'RNF6', 'ERN1', 'MRTO4', 'RNF144A', 'KCTD10', 'RAB7A', 'UBR3', 'YOD1', 'RNF216', 'PAN3', 'FBXO9', 'USP42', 'NRDC', 'CASC3', 'IL10', 'UBXN2A', 'CDC27', 'CNOT2', 'APAF1', 'ROCK2', 'PATL1', 'WDR81', 'BAG3', 'SMG7', 'ITCH', 'CUL9', 'NTAN1', 'UBA7', 'MOV10', 'RNF34', 'RHBDD1', 'EXOSC2', 'MAGEF1', 'PHAX', 'PUM1', 'ZRANB1', 'FBXL18', 'HDAC6', 'PNPT1', 'ATXN3', 'UBE2G1', 'HELZ2', 'BAG6', 'RGP1', 'AGL', 'TARDBP', 'TNFAIP1', 'TGFB1', 'UBR2', 'ABCA2', 'TRIM39', 'LRP1']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	4.154084837474312e-14	1.0	0.1012491781722551	['SENP1', 'ZNF398', 'CTCF', 'ACTR2', 'PHF8', 'BRPF1', 'NEK4', 'MEOX1', 'TEAD3', 'YTHDF2', 'ATM', 'SP1', 'BRD8', 'NFYA', 'ICE1', 'BIRC2', 'CEBPZ', 'TFDP1', 'IRF8', 'CDC5L', 'MED14', 'CSRNP2', 'PPP1R12A', 'ELK4', 'NOLC1', 'SMARCD1', 'TBK1', 'ZNF267', 'ELF4', 'KANSL3', 'PPARGC1B', 'TFCP2', 'TRIM38', 'CAND1', 'RNF10', 'CEP290', 'EXOSC9', 'MED1', 'PRDM4', 'IKBKB', 'MBTPS2', 'PSEN1', 'GRHL2', 'PARP9', 'KLF7', 'MEPCE', 'ZNF507', 'TLR2', 'NOTCH3', 'KLF13', 'VHL', 'NOTCH1', 'CENPJ', 'TAF3', 'ELK1', 'RIPK1', 'TBP', 'SMARCC1', 'PICALM', 'NUP62', 'REST', 'FOXJ3', 'TMF1', 'DDX39B', 'NOL11', 'CCNT1', 'KDM3A', 'HNRNPD', 'QRICH1', 'SCAF8', 'WAC', 'CNOT6', 'PIK3R1', 'ZNF143', 'SIRT1', 'LILRB1', 'CTBP2', 'TAF8', 'MED17', 'AGO1', 'ACTL6A', 'SS18', 'NAA16', 'LPIN1', 'CDK2', 'TRIM56', 'TAF12', 'NFRKB', 'CREBL2', 'RLF', 'SRF', 'PRKDC', 'TP53BP1', 'IRF4', 'DDX3X', 'TNFRSF1B', 'NCK2', 'GMEB1', 'EAF1', 'ZNF197', 'ZNF609', 'RFXAP', 'RNF6', 'TRIM44', 'ERN1', 'RBMXL1', 'TRIM22', 'PRDM2', 'ACTN4', 'ZBED4', 'PAN3', 'PRDX6', 'IL10', 'SUPT6H', 'ZNF227', 'CDK12', 'CNOT2', 'ZNF451', 'ROCK2', 'PATL1', 'HDAC5', 'CBFB', 'NRF1', 'ZNF808', 'MTF1', 'MOV10', 'ELK3', 'NUP85', 'EGR2', 'CREBZF', 'EXOSC2', 'ZNF112', 'PLSCR1', 'CD28', 'ERCC6', 'YWHAH', 'PUM1', 'THOC1', 'ATAD2B', 'PBX2', 'NFYC', 'PNPT1', 'HELZ2', 'PPRC1', 'TCF12', 'FUBP3', 'TARDBP', 'SF3B1', 'NFATC2IP', 'CAMKK2', 'TGFB1', 'ZNF594', 'BCLAF1', 'ING5']
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	4.0503473967555344e-12	1.0	0.09420713867758923	['SENP1', 'ZNF398', 'CTCF', 'ACTR2', 'PHF8', 'CTC1', 'UPF3B', 'BRPF1', 'NEK4', 'KHDRBS1', 'MEOX1', 'TEAD3', 'YTHDF2', 'ATM', 'SP1', 'BRD8', 'NFYA', 'ICE1', 'BIRC2', 'CEBPZ', 'TFDP1', 'IRF8', 'CDC5L', 'MED14', 'CSRNP2', 'PPP1R12A', 'ELK4', 'NOLC1', 'SMARCD1', 'TBK1', 'ZNF267', 'ELF4', 'KANSL3', 'PPARGC1B', 'TFCP2', 'TRIM38', 'CAND1', 'RNF10', 'CEP290', 'EXOSC9', 'FAF1', 'MED1', 'PRDM4', 'IKBKB', 'MBTPS2', 'PSEN1', 'GRHL2', 'PARP9', 'MAPK15', 'KLF7', 'MEPCE', 'ZNF507', 'TLR2', 'NOTCH3', 'KLF13', 'LARP1', 'PASK', 'VHL', 'NOTCH1', 'CENPJ', 'TAF3', 'ELK1', 'RIPK1', 'MAP3K4', 'TBP', 'ELAVL1', 'SMARCC1', 'PICALM', 'PYM1', 'NUP62', 'REST', 'FOXJ3', 'TMF1', 'DDX39B', 'NOL11', 'CCNT1', 'KDM3A', 'HNRNPD', 'QRICH1', 'SCAF8', 'WAC', 'CNOT6', 'ABCB7', 'PIK3R1', 'ZNF143', 'SIRT1', 'LILRB1', 'CTBP2', 'TAF8', 'MED17', 'AGO1', 'ACTL6A', 'SS18', 'NAA16', 'LPIN1', 'CDK2', 'HSP90AA1', 'TRIM56', 'TAF12', 'NFRKB', 'CREBL2', 'DKC1', 'RLF', 'SRF', 'PRKDC', 'TP53BP1', 'IRF4', 'DDX3X', 'NCK2', 'GMEB1', 'EAF1', 'ZNF197', 'ZNF609', 'RFXAP', 'RNF6', 'TRIM44', 'PRDM2', 'TRIM22', 'ACTN4', 'EIF4G1', 'ZBED4', 'IL10', 'SUPT6H', 'TLR6', 'ZNF227', 'CDK12', 'ZNF451', 'HDAC5', 'CBFB', 'NRF1', 'ZNF808', 'MTF1', 'ELK3', 'NUP85', 'EGR2', 'CREBZF', 'ZNF112', 'PLSCR1', 'RPUSD4', 'CD28', 'ERCC6', 'YWHAH', 'PBX2', 'THOC1', 'ATAD2B', 'NFYC', 'BAZ1A', 'HELZ2', 'PPRC1', 'TCF12', 'FUBP3', 'SF3B1', 'TNFAIP1', 'NFATC2IP', 'CAMKK2', 'ABCA2', 'TGFB1', 'ZNF594', 'BCLAF1', 'ING5', 'LARP4']
GOBP_CHROMOSOME_ORGANIZATION	1	1.4568171802530432e-11	1.0	0.11350737797956867	['USP49', 'CTCF', 'CTC1', 'PHF8', 'BRPF1', 'ATM', 'EML4', 'NDC1', 'BRD8', 'TSPYL4', 'DNMT3A', 'BRD2', 'HP1BP3', 'SMARCD1', 'PSME4', 'ANAPC7', 'UBN2', 'LATS1', 'KANSL3', 'KDM2B', 'SMYD5', 'CBX5', 'MCM3', 'RNF8', 'MSL1', 'MAPK15', 'SUDS3', 'SETD1B', 'MAP3K4', 'SMC6', 'SMARCC1', 'SMC1A', 'MCM9', 'MLH3', 'NUP62', 'MCM3AP', 'GATAD1', 'KDM3A', 'HNRNPD', 'WAC', 'MCMBP', 'ESCO1', 'XRN1', 'SIRT1', 'METTL4', 'IGHMBP2', 'KDM4C', 'ACTL6A', 'CDK2', 'HSP90AA1', 'NFRKB', 'DKC1', 'PRKDC', 'WAPL', 'MSH2', 'PIK3CA', 'DDX3X', 'TUBG1', 'TOP1', 'XRCC3', 'ZBTB1', 'DCLRE1B', 'ZNFX1', 'HMG20A', 'STAG2', 'KDM6A', 'NCAPD3', 'RAD51C', 'ZNF207', 'LSM11', 'TEP1', 'NASP', 'MRE11', 'RAD51D', 'SUPT6H', 'CDC27', 'MSH6', 'DNMT1', 'HDAC5', 'SRPK1', 'MCM7', 'RAD50', 'CREBZF', 'ZW10', 'DDX12P', 'HDAC6', 'EPC2', 'BAZ1A', 'RCOR1', 'DDX1', 'CDAN1', 'PDS5B', 'SETD5', 'BAG6', 'SUZ12', 'ARID2', 'UBR2', 'ING5', 'WRNIP1', 'KDM4A']
GOBP_MRNA_PROCESSING	1	4.8535594245379404e-11	1.0	0.14285714285714285	['CDK12', 'USP49', 'NSRP1', 'SCAF4', 'SNIP1', 'BUD13', 'PAPOLA', 'THOC2', 'DDX46', 'KHDRBS1', 'SRPK1', 'HNRNPR', 'RBM19', 'CPSF6', 'SRSF2', 'RBM27', 'SFSWAP', 'HNRNPF', 'PRPF4B', 'RBM41', 'CDC5L', 'SNRNP35', 'HNRNPA3', 'LUC7L2', 'TTF2', 'SRSF11', 'PRPF38A', 'CMTR1', 'SF1', 'REST', 'CWF19L2', 'RBMXL1', 'THOC1', 'ERN1', 'SRRM1', 'DDX39B', 'PTBP3', 'PNPT1', 'DDX1', 'ZC3H13', 'CCNT1', 'CWC22', 'LSM3', 'PAN3', 'CPSF7', 'THOC7', 'SCAF8', 'PRDX6', 'IWS1', 'PRPF38B', 'SNRPA', 'LSM11', 'ZRSR2', 'TARDBP', 'CASC3', 'QKI', 'DDX23', 'SF3B1', 'CIR1', 'HNRNPH3', 'SF3A3', 'SNRNP27', 'SUPT6H']
GOBP_RNA_SPLICING	1	1.8334591184377765e-10	1.0	0.14728682170542637	['CDK12', 'USP49', 'NSRP1', 'SNIP1', 'BUD13', 'THOC2', 'DDX46', 'KHDRBS1', 'SRPK1', 'HNRNPR', 'RBM19', 'SRSF2', 'SFSWAP', 'HNRNPF', 'PRPF4B', 'SNRNP35', 'CLK3', 'CDC5L', 'RBM41', 'HNRNPA3', 'LUC7L2', 'TTF2', 'SRSF11', 'PRPF38A', 'SF1', 'REST', 'CWF19L2', 'RBMXL1', 'THOC1', 'ERN1', 'SRRM1', 'DDX39B', 'PTBP3', 'DDX1', 'ZC3H13', 'CWC22', 'LSM3', 'PRDX6', 'THOC7', 'IWS1', 'PRPF38B', 'SNRPA', 'PPIG', 'ZRSR2', 'TARDBP', 'RBM12', 'METTL4', 'QKI', 'DDX23', 'CASC3', 'SF3B1', 'PIK3R1', 'CIR1', 'HNRNPH3', 'SF3A3', 'SNRNP27', 'SUPT6H']
GOBP_CELL_CYCLE	1	1.2031836942148226e-09	1.0	0.09155844155844156	['EFHC1', 'CEP63', 'OFD1', 'ACTR2', 'CTCF', 'RCC1', 'PHF8', 'CTC1', 'NEK4', 'KHDRBS1', 'YTHDF2', 'CCDC69', 'ATM', 'ZZZ3', 'EML4', 'HTRA2', 'NDC1', 'BRD8', 'UVRAG', 'SRSF2', 'TTC28', 'BIRC2', 'TFDP1', 'DNMT3A', 'CDK17', 'CDC5L', 'PPP1R12A', 'NOLC1', 'PSME3', 'ANAPC7', 'SASS6', 'LATS1', 'MED1', 'MCM3', 'RNF8', 'MAPK15', 'MEPCE', 'MAPRE1', 'PCNT', 'MAPRE2', 'CENPJ', 'CD2AP', 'GPSM2', 'CEP295', 'TXNIP', 'SMC1A', 'POLA1', 'KLHL18', 'CUL4A', 'CSNK2A2', 'AUNIP', 'MLH3', 'NUP62', 'FOXJ3', 'DDX39B', 'KCTD11', 'RAB35', 'RALB', 'CCNT1', 'DCTN1', 'APPL2', 'WAC', 'MCMBP', 'USP33', 'ESCO1', 'ANKLE2', 'TXLNG', 'NEDD1', 'SIRT1', 'LILRB1', 'SSX2IP', 'ANGEL2', 'MIS18BP1', 'ACTL6A', 'LPIN1', 'CDK2', 'STAMBP', 'NFRKB', 'CREBL2', 'C6orf89', 'PRKDC', 'SH3GLB1', 'TP53BP1', 'WAPL', 'MSH2', 'ING5', 'DDX3X', 'USP37', 'TUBG1', 'CCND2', 'XRCC3', 'PTPN11', 'CEP164', 'STAG2', 'NCAPD3', 'LIG1', 'EIF4G1', 'RAD51C', 'VCPIP1', 'ZNF207', 'LSM11', 'ANKRD17', 'MARK4', 'KIAA0753', 'NASP', 'MRE11', 'IL10', 'RAD51D', 'CDK12', 'GNAI3', 'MSH6', 'CDC27', 'ROCK2', 'CEP192', 'PRNP', 'MCM7', 'GNAI2', 'CUL9', 'IFFO1', 'RAD50', 'AAAS', 'FIGNL1', 'TUBB', 'ZW10', 'PLSCR1', 'CD28', 'DDX12P', 'ERCC6', 'PUM1', 'THOC1', 'EPC2', 'EPB41', 'PNPT1', 'TUBGCP3', 'INTS3', 'PDS5B', 'BAG6', 'TARDBP', 'TGFB1', 'UBR2', 'TRIM39']
GOBP_DNA_METABOLIC_PROCESS	1	1.3784569200192174e-09	1.0	0.11014851485148515	['CTCF', 'ACTR2', 'CTC1', 'ATM', 'BRD8', 'UVRAG', 'REV1', 'TFDP1', 'DNMT3A', 'CDC5L', 'FAN1', 'PSME4', 'HERC2', 'TNFSF13', 'MCM3', 'GRHL2', 'PARP9', 'RNF8', 'POLH', 'MAPK15', 'KLHL15', 'MAP3K4', 'SMC6', 'SMC1A', 'USP1', 'MCM9', 'POLA1', 'CUL4A', 'AUNIP', 'MLH3', 'HNRNPD', 'XRN1', 'SIRT1', 'METTL4', 'IGHMBP2', 'ACTL6A', 'CDK2', 'USP10', 'HSP90AA1', 'POLD3', 'NFRKB', 'DKC1', 'RLF', 'PRKDC', 'TP53BP1', 'MSH2', 'PIK3CA', 'TOP1', 'XRCC3', 'REV3L', 'ZBTB1', 'DCLRE1B', 'CEP164', 'LIG1', 'RAD51C', 'VCPIP1', 'FAM168A', 'TEP1', 'DDX23', 'MRE11', 'IL10', 'RAD51D', 'SUPT6H', 'MSH6', 'DNMT1', 'APAF1', 'PMS1', 'OTUD4', 'MCM7', 'IFFO1', 'RAD50', 'FIGNL1', 'MAGEF1', 'CD28', 'ERCC6', 'THOC1', 'EPC2', 'DDX1', 'ATXN3', 'INTS3', 'RAD52', 'TFRC', 'PDS5B', 'ARID2', 'TGFB1', 'UBR2', 'ING5', 'WRNIP1', 'UNG']
