pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	1	0.2499865330881359	1.523247291165088	0.125	74.21	['HS2ST1', 'NFKB1', 'GYS1', 'PPP1R3F', 'PPP1R3D', 'B4GALT5', 'INPP5K', 'EPM2AIP1', 'CSGALNACT2', 'ACADM', 'IRS1', 'PER2', 'PPP1CB', 'NR1D1', 'PHKG1', 'PASK', 'PPP1R3C', 'HAS2', 'CSGALNACT1', 'UGP2', 'HAS1', 'IRS2', 'NDST2', 'EXT2', 'ENPP1', 'B3GNT9', 'GYG2', 'B3GNT8', 'EXT1', 'IGF1', 'NDST1', 'SORBS1', 'AKT2', 'GYG1', 'B3GNT4', 'NHLRC1', 'B3GNT7', 'PPP1R3B', 'GBE1', 'AKT1', 'SMPD3', 'B4GAT1', 'GSK3A', 'IGF2', 'B3GNT6', 'SELENOS', 'AGL', 'PPP1CA', 'HAS3', 'TGFB1', 'PPP1R3G', 'EGF', 'PDGFB', 'B3GNT2', 'AP2A1', 'DYRK2', 'B3GNT3']
GOBP_TRIPARTITE_REGIONAL_SUBDIVISION	1	0.2497251429931245	1.7159319157179134	0.125	20.72	['FZD5', 'FRS2', 'PLD6', 'BASP1', 'PCSK6', 'TDRD10', 'WNT5A', 'HOXD8', 'TDRD6']
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	1	0.24959335023757948	1.5238187694435579	0.125	73.82	['EXTL2', 'ST6GAL1', 'CHST6', 'CHIT1', 'ALDH1A1', 'OVGP1', 'CMAS', 'CHI3L2', 'CSGALNACT1', 'B4GALNT2', 'CHST7', 'FN3K', 'LARGE1', 'GNPDA2', 'MGAT3', 'SLC35A3', 'CHI3L1', 'NPL', 'GNE', 'CTBS', 'RENBP', 'CHIA', 'CHST2', 'ST3GAL1', 'UAP1L1', 'NAGK', 'CHST4', 'MGAT1', 'CHST3', 'UAP1', 'GNPDA1', 'NANP', 'PGM3', 'CHST1', 'GFPT1', 'DPAGT1', 'GFPT2']
GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	1	0.24902133200034826	1.565497678821179	0.125	33.08	['CDADC1', 'UPP1', 'APOBEC1', 'CDA', 'APOBEC3F', 'APOBEC2', 'APOBEC3C', 'DPYD', 'APOBEC3A']
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	1	0.2488590605067902	1.3650564379082404	0.125	16.92	['ABCA7', 'HSP90AB1', 'STX4', 'AKT1', 'TYROBP', 'TM9SF4', 'LRIG2', 'CD247']
GOBP_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	1	0.24881272924881576	1.5250977828111543	0.125	39.01	['ADRA2A', 'ADRA2C', 'P2RY1', 'SYT11', 'CNR1', 'ABAT']
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	1	0.24871806095759685	1.524993911602728	0.125	65.9	['RUNX1', 'F3', 'CTSH', 'VEGFC', 'ITGB8', 'ETS1', 'BTG1', 'KLF4', 'RLN2', 'HGF', 'HIF1A', 'CX3CR1', 'MYDGF', 'CXCR4', 'VEGFD', 'ANGPT2', 'ENG', 'TIE1', 'GATA6', 'CDH5', 'PLCG1', 'TWIST1', 'ADAM12', 'CCL24', 'PRKD1', 'VASH2', 'NRP1', 'PRKCB', 'C5', 'CD34', 'RRAS', 'MIR126', 'ECM1', 'CCBE1', 'ANXA3', 'PAK4', 'GATA2', 'NOS3', 'SFRP2', 'ZC3H12A', 'FGF18', 'MIR27B', 'DLL1', 'TEK', 'PDCD6', 'ISL1', 'ITGAX', 'CCL11', 'SMOC2', 'BMPER', 'APELA', 'MIRLET7B', 'RAMP2', 'IL1A', 'EMC10', 'HK2', 'WNT5A', 'CXCL8', 'RAPGEF3', 'SEMA5A', 'AKT3', 'TLR3', 'XBP1', 'VEGFA', 'GRN', 'FUT1', 'FOXC2', 'C3', 'LRG1', 'PGF', 'CHI3L1', 'PIK3CD', 'PTGIS', 'TBXA2R', 'GHRL', 'ANGPTL4', 'MDK', 'PTK2B', 'ITGB1', 'FGF1', 'APLNR', 'IL10', 'JMJD8', 'SERPINE1', 'PRKD2', 'SIRT6', 'JAK1', 'ADM2', 'HSPB1', 'HYAL1', 'TGFBR2', 'WARS2', 'JUP', 'HMGA2', 'NINJ1', 'VEGFB', 'ERAP1', 'PRKCA', 'FGF2', 'PDCL3', 'RHOB', 'TNFSF12', 'ITGA5', 'GREM1', 'THBS1', 'ADM', 'CMA1', 'PIK3R6', 'SPHK1', 'KDR', 'PKM', 'GAB1', 'HSPB6', 'EPHA1']
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	0.24866227142943273	1.678935146661941	0.125	26.44	['PAPSS2', 'SULT1A4', 'ABHD14B', 'TPST2', 'SULT1A3', 'SULT1A1', 'ENPP1', 'SULT1B1', 'SULT1A2', 'TPST1', 'SLC26A2']
GOBP_BONE_MATURATION	1	0.24851926505512056	1.5257125141095218	0.125	53.18	['SEMA4D', 'RYR1', 'LTF', 'XYLT1', 'FGFR3', 'RFLNB', 'ZBTB16', 'DCHS1', 'EXT1', 'IGF1', 'RFLNA', 'ADAMTS12', 'PHOSPHO1', 'THBS3', 'BMP2', 'ADAMTS7', 'GREM1', 'EBP', 'IFT80']
GOBP_BODY_MORPHOGENESIS	1	0.24836632069961687	1.3607230195938744	0.125	3.31	['PTPN11', 'EP300', 'RAB3GAP1', 'COL1A1', 'SKI', 'PDGFRA', 'CLASP1', 'CRISPLD2', 'MMP2']
