pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	1	0.24985856269109144	1.4143349970448946	1.0	44.31	['PARP3', 'TMBIM6', 'FOXP3', 'JAK3', 'SMAD7', 'TGFB3', 'FCGR2B', 'SPINK5', 'CUEDC2', 'CD96', 'CD22', 'THOC1', 'TNF', 'BST2', 'BCL6', 'SLAMF1', 'TGFB1', 'LILRB1', 'IL10', 'LILRB4', 'CR1']
GOBP_POSITIVE_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	1	0.2485682061417595	1.415646673688663	1.0	52.92	['IQGAP3', 'KDM5B', 'CCND1', 'RTN4', 'ZNF703', 'RREB1']
GOBP_PROTEIN_KINASE_B_SIGNALING	1	0.24837304029728768	1.415977279374911	1.0	39.13	['PLK3', 'MTDH', 'RTN4', 'INPP5K', 'BANK1', 'ZFP36L1', 'MKRN2', 'LEMD2', 'CX3CR1', 'CX3CL1', 'MYDGF', 'GPX1', 'HBEGF', 'AKT1', 'CPNE1', 'MST1R', 'ENG', 'PHLPP1', 'INPP5F', 'AXL', 'C1QTNF1', 'THEM4', 'IGF1R', 'BTN2A2', 'PPP2CA', 'CCL21', 'PIK3R5', 'MIR34C', 'ITGB1BP1', 'DAG1', 'PDGFA', 'ADTRP', 'CCR7', 'MUL1', 'HLA-G', 'PIK3R3', 'PDCD6', 'SIRT1', 'FLCN', 'SH2B3', 'PTPRJ', 'PTEN', 'HSP90AA1', 'C1QBP', 'PHB', 'PINK1', 'PIK3CA', 'SEMA5A', 'SETX', 'HAX1', 'STK3', 'CHI3L1', 'PIK3CD', 'CCL3', 'PARK7', 'TNF', 'ADAM8', 'NTRK2', 'MTOR', 'ITGB1', 'ARRB2', 'HSP90AB1', 'TXN', 'PTK2', 'RNF41', 'CD40', 'FERMT2', 'SRC', 'TPBG', 'CASS4', 'STK11', 'RPS6KB1', 'CD28', 'MERTK', 'TSC2', 'CCL19', 'TCF7L2', 'EGFR', 'THBS1', 'RICTOR', 'TGFB1', 'DLG1', 'PIK3CB', 'PIK3CG']
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	1	0.2480036432162947	1.4167025671306452	1.0	31.86	['CHM', 'STOM', 'CHMP4B', 'INPP5K', 'PRNP', 'ERBB2', 'SSR1', 'ITGB2', 'ZDHHC23', 'NACA2', 'ZDHHC6', 'RABGEF1', 'ATG3', 'ZDHHC7', 'ICMT', 'VPS37C', 'TRAM2', 'ZDHHC11B', 'NCF1', 'SEC61A1', 'MIEF1', 'ITGB1BP1', 'MYO1C', 'HSPA5', 'SEC63', 'SRP72', 'ITGAM', 'TAOK2', 'MICALL1', 'AKT2', 'ZDHHC14', 'PIKFYVE', 'FIS1', 'CDK5R1', 'SEC61B', 'PEX26', 'RAB8B', 'SRP14', 'BAG6', 'C2CD5', 'SRP68', 'PRKCI', 'SSR2', 'SEC62', 'KCNE1', 'SRPRA', 'ARL6IP1', 'ZDHHC11', 'TCAF1']
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS	1	0.24797343151969892	1.4168502697148657	1.0	46.69	['ENTPD4', 'NT5E', 'NUDT18', 'NUDT5', 'ENTPD7', 'NUDT16', 'NUDT9']
GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION	1	0.24793721732880494	1.4172519060647544	1.0	33.89	['RTN3', 'RAB3GAP1', 'TMEM33', 'REEP3', 'RAB10', 'RTN4', 'ARL6IP1', 'LNPK', 'ZFYVE27', 'TMEM170A', 'RAB3GAP2']
GOBP_RESPONSE_TO_UV_C	1	0.24789455498801463	1.4166895266229658	1.0	19.02	['MAP3K4', 'C9orf116', 'CARD16', 'WRN', 'YY1', 'ERCC5', 'POLH']
GOBP_DNA_DEAMINATION	1	0.24783139558010067	1.4172311437944427	1.0	41.66	['CDADC1', 'APOBEC3H', 'EXOSC6', 'APOBEC3G', 'EXOSC5', 'APOBEC3F', 'APOBEC3C', 'EXOSC3', 'APOBEC3A']
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24781314134746912	1.4166425081683678	1.0	50.7	['MILR1', 'SYK', 'BLK', 'STXBP2', 'RABGEF1', 'FER', 'ADGRE2', 'C12orf4', 'CD84', 'CBL', 'CD300A', 'S100A13', 'STXBP1', 'GATA2', 'BTK', 'PIK3CD', 'PDPK1', 'SNX4', 'PTGDS', 'LYN', 'LGALS9', 'ADORA2B', 'RASGRP1', 'GAB2', 'SNAP23', 'FES', 'RAC2', 'LAT', 'FGR', 'PIK3CG', 'PTPN6', 'VAMP3']
GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION	1	0.24774992770541288	1.4175489767849856	1.0	59.12	['CX3CL1', 'ISL1', 'MIR142', 'S100A13', 'PANX1', 'IL1R2', 'P2RX7', 'IL16']
