pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_FAT_PAD_DEVELOPMENT	1	0.24942845892086435	-1.3601754996892874	1.0	39.16	['BBS4', 'ARRDC3', 'ARID5B', 'UBB', 'TBL1XR1']
GOBP_T_CELL_CHEMOTAXIS	1	0.24782231631125595	1.497755859850474	1.0	23.28	['XCL2', 'CXCL11', 'WNT5A', 'GPR183', 'WNK1', 'CXCL10', 'CCL3', 'CCL5', 'CXCL13', 'CCL26', 'CCL21', 'ADAM10']
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	0.2477099298541658	1.4976188651679405	1.0	53.47	['HYAL3', 'SYT1', 'CDK5R2', 'ZP3', 'DOC2B', 'CDK5', 'STX1A', 'SYT7', 'CACNA1H', 'SCAMP5']
GOBP_AMINE_CATABOLIC_PROCESS	1	0.24759773390462425	1.4984519476108404	1.0	62.04	['CHDH', 'SLC44A1', 'AFMID', 'HNMT', 'SLC6A3', 'MOXD1', 'ALDH7A1', 'KMO', 'KYNU', 'SMOX', 'DMGDH', 'SULT1A3', 'MIR21', 'HAAO', 'PAOX', 'MAOA', 'LRTOMT', 'IDO1', 'TDO2', 'SAT1', 'COMT', 'ACMSD', 'SULT1A4', 'IL4I1']
GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1	0.24746993309631235	1.4988154597916417	1.0	39.13	['NLRP3', 'GSTP1', 'SELENOS', 'IL20RB', 'ADORA1', 'FCGR2B']
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	1	0.24746976034648452	-1.3622604876185629	1.0	40.86	['IL27RA', 'ZBTB7B', 'RC3H2', 'FOXP3', 'LOXL3', 'SMAD7', 'RC3H1']
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	1	0.24734198376687858	1.4984461255188684	1.0	44.34	['STRA6', 'NSD2', 'SFRP2', 'FOXC2', 'HECTD1', 'WNT5A', 'TGFB2', 'TNNC1', 'HEG1', 'COL11A1', 'TMEM65', 'POU4F1', 'SMAD4', 'TBX5', 'SMARCD3', 'MIR17HG', 'GJA5', 'TNNI3', 'SALL1', 'ISL1', 'LRP2', 'CHD7', 'JAG1', 'TBX3', 'GATA3', 'TPM1', 'TGFBR3', 'PAX8', 'FOXC1', 'SALL4', 'CPE', 'NOG', 'WNT11', 'PROX1', 'HIF1A', 'LY6E', 'EDNRA', 'FZD2', 'PKP2', 'PDE2A', 'LMO4', 'HES1', 'APLNR', 'DLL4', 'SEMA3C', 'GREB1L', 'BMP4', 'MDM2', 'PRDM1', 'TNNI1', 'TNNT2', 'ZFPM1', 'DSP', 'SOX11', 'NOS3', 'HEYL', 'MESP1', 'FOXF1', 'HEY1', 'NRG1']
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS	1	0.247271413701276	1.4992372316682236	1.0	60.83	['NSD2', 'ROBO1', 'BMP7', 'WNT5A', 'TGFB2', 'MSX2', 'SMAD4', 'DNAH11', 'TBX5', 'TP53', 'MIR17HG', 'FGFRL1', 'TGFBR1', 'SMO', 'LRP2', 'ISL1', 'CHD7', 'JAG1', 'TBX3', 'CITED2', 'HEY2', 'TGFBR3', 'NOG', 'PROX1', 'NRP2', 'NRP1', 'TBX1', 'SMAD6', 'FZD2', 'HES1', 'APLNR', 'SOX4', 'FGFR2', 'SEMA3C', 'GATA6', 'BMP4', 'MDM2', 'FZD1', 'DHRS3', 'BMP5', 'ROBO2', 'ZFPM1', 'ENG', 'SOX11', 'NOS3', 'HEYL', 'SMAD7', 'HEY1', 'WNT11']
GOBP_PURINE_NUCLEOTIDE_SALVAGE	1	0.24720423277067902	-1.3626366270105568	1.0	64.77	['AMPD1', 'ADSL', 'DGUOK', 'APRT', 'AMPD2', 'ADA', 'AMPD3', 'ADK', 'DCK', 'HPRT1']
GOBP_POSITIVE_REGULATION_OF_GONADOTROPIN_SECRETION	1	0.2464043482452329	1.500804273270812	1.0	46.25	['SMAD4', 'INHBB', 'INHBA', 'INHA', 'KISS1']
GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	1	0.24633999605430998	1.501815456997977	1.0	51.26	['HOMER2', 'HOMER1', 'ABCA12', 'KDR', 'SFTPD', 'OAS1', 'NAPSA', 'EPAS1', 'LPCAT1', 'ITGB6', 'ABCA3', 'RCN3', 'VEGFA', 'CTSH']
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	1	0.24630458152020726	1.5004033227289946	1.0	53.3	['HTR2B', 'CLIC2', 'DMTN', 'ACKR4', 'IGF1', 'SCTR', 'THBS1', 'RASD2', 'CASQ2', 'CACNA1C', 'CCR1', 'UCN', 'DEFB1', 'FIS1', 'CCL4', 'HINT1', 'HRC', 'SULT1A3', 'PDE7B', 'GSK3B', 'NMUR1', 'TRPM8', 'MCTP1', 'MAPT', 'TBXA2R', 'CDH13', 'OPRL1', 'ADM', 'SELENOK', 'ADCY1', 'APOE', 'NOS3', 'PRKG1', 'TNF', 'FPR1', 'AZU1', 'AQP1', 'P2RX7', 'EDN1', 'POMC', 'ADGRB2', 'GPR3', 'CAP2', 'SCT', 'ADA', 'ATP1B1', 'RUNDC3A', 'FPR2', 'TNNI3', 'RAPGEF3', 'TRPM4', 'AGTR2', 'P2RX2', 'ACKR2', 'SPINK1', 'FKBP1B', 'CHP1', 'ACKR3', 'ATP1A2', 'GPR143', 'PDE7A', 'NR5A2', 'HTT', 'RASD1', 'BST1', 'DMD', 'CHP2', 'PDE2A', 'NCALD', 'NFATC1', 'NFATC3', 'SOX9', 'DYRK2', 'CXCL8', 'PDE3A', 'CXCR1', 'EFHB', 'NFATC4', 'PPP3CC', 'MCTP2', 'SPHK1', 'RCAN1', 'CHRM3', 'CD3E', 'HOMER3', 'GRIN2D', 'VEGFA', 'RCAN2', 'AKAP6', 'TMBIM4', 'CXCR4', 'GUCY1A2', 'AHR', 'SELE', 'INSL3', 'RGN', 'MCU', 'GSTO1', 'ADCYAP1', 'AGTR1', 'TMEM38B', 'P2RX5', 'BHLHA15', 'AGT', 'PDE4D', 'ADORA2B', 'EDN2', 'ERBB3', 'APLNR', 'PPP1R9A', 'NOS2', 'NPR1', 'ANK2', 'ADGRG6', 'KDR', 'SGCD', 'GRIN1', 'CCL20', 'CIB1', 'DMPK', 'CCR10', 'SULT1A4', 'TRPM2', 'TMEM38A', 'PDE10A', 'GBP1', 'CXCR6', 'CCR5', 'CXCR3', 'HOMER2', 'TMEM100', 'AVPR1A', 'GAL', 'GUCY2D', 'KSR1', 'PTGDR2', 'PLN', 'VCAM1', 'PLCG1', 'PDE9A', 'PDE3B', 'GNAI1', 'CCL3', 'XCR1', 'MYOZ1', 'PTGFR', 'TNFSF11', 'CXCR2', 'PDX1', 'FHL2', 'RNF157', 'ZMPSTE24', 'NRG1']
GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	1	0.246247009378403	-1.3636935366256007	1.0	67.96	['ENTPD7', 'DUT', 'ENPP1', 'NUDT15', 'NUDT16', 'SAMHD1', 'ENTPD3', 'ENPP3', 'DCTPP1', 'ITPA', 'ADA', 'SMPDL3A']
GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	1	0.2462327986956177	1.5016685170602155	1.0	19.21	['MIR27A', 'CCL2', 'MIR29C', 'IGF2', 'FLT1', 'MIR21', 'PPARG', 'MIR126', 'FGFR1', 'MIR24-1', 'PLCG1', 'MIR492']
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.24618908790575209	1.5012376333986863	1.0	31.88	['WNK4', 'CHP1', 'WNK2', 'ATP1B1', 'FXYD2', 'WNK3', 'WNK1', 'TESC', 'GLRX', 'DRD4']
