pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	1.242194986763576e-63	1.0	0.24845679012345678	['TCERG1', 'USP4', 'PRPF38B', 'SLTM', 'ADAR', 'SRSF4', 'PAN2', 'KHDRBS1', 'PPP1R8', 'YTHDF2', 'PRKACA', 'HNRNPL', 'ROCK2', 'DDX46', 'MFAP1', 'APOBEC4', 'SF3A3', 'SF3A1', 'CMTR1', 'PRPF4B', 'STAT3', 'NCBP2', 'RAVER1', 'PRMT9', 'PAPOLA', 'PUM1', 'SYNCRIP', 'CELF1', 'BUD13', 'DHX36', 'RBM5', 'UPF1', 'DCP1A', 'SON', 'DHX15', 'HNRNPM', 'SUGP1', 'RBM14', 'SRSF11', 'GIGYF2', 'COIL', 'DHX9', 'MED1', 'MAPK14', 'PRPF8', 'RBBP6', 'SF3B3', 'DDX17', 'AHCYL1', 'PRPF40A', 'TARDBP', 'NCBP3', 'LEO1', 'SF3B1', 'YTHDF3', 'RBM19', 'PRPF19', 'PHRF1', 'SRSF2', 'LARP7', 'HNRNPH3', 'SUPT6H', 'RNF20', 'IWS1', 'PCF11', 'EXOSC10', 'SCAF4', 'YTHDC1', 'SRSF1', 'CWC22', 'RNF40', 'SMG6', 'TTF2', 'GPKOW', 'DDX23', 'KHSRP', 'SAMD4B', 'SRSF3', 'HNRNPR', 'EFTUD2', 'AGO1', 'SART3', 'RBM41', 'SFPQ', 'SART1', 'ZC3H13', 'GTPBP1', 'SF3B4', 'SCAF8', 'SERBP1', 'AAR2', 'TAF3', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'GRSF1', 'CDC40', 'PPWD1', 'SSB', 'DBR1', 'NBAS', 'ISY1', 'RBMX', 'ECD', 'PUM2', 'PAXBP1', 'FUS', 'CASC3', 'CPSF7', 'FXR1', 'HNRNPA1L2', 'XRN1', 'RBMXL1', 'U2AF2', 'RPRD1B', 'CBLL1', 'THRAP3', 'SUGP2', 'CWC25', 'CDK12', 'METTL14', 'REST', 'HNRNPF', 'SF1', 'RBM39', 'AGO3', 'PNRC2', 'ZRANB2', 'SECISBP2', 'ELAVL1', 'SMNDC1', 'DDX5', 'MYD88', 'DHX8', 'RBM27', 'AQR', 'CNOT10', 'DDX1', 'MLH1', 'CDC73', 'NUP98', 'PTBP1', 'HNRNPK', 'SMG8', 'WDR33', 'SNIP1', 'PDCD11', 'RPRD2', 'SAFB', 'SNW1', 'CSDE1', 'SF3B2', 'RBM25', 'HNRNPD', 'SETX', 'HNRNPU', 'NSRP1', 'DIS3', 'RBM4', 'TTC37']
GOBP_MRNA_PROCESSING	1	1.082748569842108e-56	1.0	0.2857142857142857	['TCERG1', 'USP4', 'PRPF38B', 'ADAR', 'SRSF4', 'PAN2', 'KHDRBS1', 'PPP1R8', 'PRKACA', 'HNRNPL', 'DDX46', 'MFAP1', 'APOBEC4', 'SF3A3', 'SF3A1', 'CMTR1', 'PRPF4B', 'NCBP2', 'RAVER1', 'PRMT9', 'PAPOLA', 'SYNCRIP', 'CELF1', 'BUD13', 'DHX36', 'RBM5', 'SON', 'DHX15', 'HNRNPM', 'SUGP1', 'RBM14', 'SRSF11', 'COIL', 'DHX9', 'PRPF8', 'RBBP6', 'SF3B3', 'DDX17', 'AHCYL1', 'PRPF40A', 'TARDBP', 'NCBP3', 'LEO1', 'SF3B1', 'RBM19', 'PRPF19', 'PHRF1', 'SRSF2', 'LARP7', 'HNRNPH3', 'SUPT6H', 'RNF20', 'IWS1', 'PCF11', 'SCAF4', 'YTHDC1', 'SRSF1', 'CWC22', 'RNF40', 'TTF2', 'GPKOW', 'DDX23', 'KHSRP', 'SRSF3', 'HNRNPR', 'EFTUD2', 'SART3', 'RBM41', 'SFPQ', 'SART1', 'ZC3H13', 'SF3B4', 'SCAF8', 'AAR2', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'GRSF1', 'CDC40', 'PPWD1', 'DBR1', 'ISY1', 'RBMX', 'ECD', 'PAXBP1', 'CASC3', 'CPSF7', 'FXR1', 'HNRNPA1L2', 'RBMXL1', 'U2AF2', 'RPRD1B', 'THRAP3', 'SUGP2', 'CWC25', 'CDK12', 'METTL14', 'REST', 'HNRNPF', 'SF1', 'RBM39', 'ZRANB2', 'SMNDC1', 'DDX5', 'DHX8', 'RBM27', 'AQR', 'DDX1', 'NUP98', 'CDC73', 'PTBP1', 'HNRNPK', 'WDR33', 'SNIP1', 'PDCD11', 'RPRD2', 'SAFB', 'SNW1', 'SF3B2', 'RBM25', 'SETX', 'HNRNPU', 'NSRP1', 'RBM4', 'SLTM']
GOBP_RNA_SPLICING	1	4.348416043970758e-48	1.0	0.28165374677002586	['TCERG1', 'USP4', 'PRPF38B', 'SRSF4', 'KHDRBS1', 'PPP1R8', 'HNRNPL', 'DDX46', 'MFAP1', 'SF3A3', 'SF3A1', 'PRPF4B', 'NCBP2', 'RAVER1', 'SYNCRIP', 'CELF1', 'BUD13', 'RBM5', 'SON', 'DHX15', 'HNRNPM', 'SUGP1', 'RBM14', 'SRSF11', 'COIL', 'DHX9', 'PRPF8', 'SF3B3', 'DDX17', 'PRPF40A', 'TARDBP', 'SF3B1', 'RBM19', 'PRPF19', 'PDCD7', 'SRSF2', 'LARP7', 'HNRNPH3', 'SUPT6H', 'IWS1', 'YTHDC1', 'SRSF1', 'CWC22', 'PPIG', 'TTF2', 'GPKOW', 'DDX23', 'KHSRP', 'SRSF3', 'HNRNPR', 'RBM12', 'CLK2', 'EFTUD2', 'SART3', 'RBM41', 'MPHOSPH10', 'SFPQ', 'ZC3H13', 'HNRNPH2', 'SART1', 'POLR2A', 'SF3B4', 'AAR2', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'GRSF1', 'CDC40', 'PPWD1', 'DBR1', 'ISY1', 'RBMX', 'ECD', 'FUS', 'PAXBP1', 'CASC3', 'ZNF638', 'FXR1', 'HNRNPA1L2', 'RBMXL1', 'U2AF2', 'THRAP3', 'SUGP2', 'CWC25', 'CDK12', 'METTL14', 'REST', 'HNRNPF', 'SF1', 'RBM39', 'PPP1R9B', 'ZRANB2', 'SMNDC1', 'DDX5', 'DHX8', 'AQR', 'DDX1', 'NUP98', 'PTBP1', 'HNRNPK', 'SNIP1', 'SNW1', 'SF3B2', 'RBM25', 'SETX', 'HNRNPU', 'NSRP1', 'RBM4']
GOBP_RNA_PROCESSING	1	3.0863396707471076e-45	1.0	0.16853932584269662	['TCERG1', 'USP4', 'PRPF38B', 'WDR46', 'ADAR', 'SRSF4', 'PAN2', 'KHDRBS1', 'PPP1R8', 'INTS14', 'YTHDF2', 'PRKACA', 'HNRNPL', 'DDX46', 'MFAP1', 'APOBEC4', 'SF3A3', 'SF3A1', 'CMTR1', 'PRPF4B', 'STAT3', 'NCBP2', 'RAVER1', 'PRMT9', 'PAPOLA', 'PUM1', 'SYNCRIP', 'CELF1', 'BUD13', 'HEATR1', 'DHX36', 'RBM5', 'INTS3', 'NAT10', 'SON', 'DHX15', 'HNRNPM', 'SUGP1', 'RBM14', 'SRSF11', 'COIL', 'U2SURP', 'DHX9', 'PRPF8', 'RBBP6', 'SF3B3', 'DDX17', 'AHCYL1', 'PRPF40A', 'TARDBP', 'NCBP3', 'AARS2', 'LEO1', 'NCOR2', 'SF3B1', 'RBM19', 'PRPF19', 'HNRNPUL1', 'PHRF1', 'PDCD7', 'LARP7', 'SRSF2', 'HNRNPH3', 'NOL11', 'SUPT6H', 'RNF20', 'IWS1', 'METTL6', 'PCF11', 'EXOSC10', 'SCAF4', 'YTHDC1', 'SRSF1', 'NOL8', 'TSN', 'DDX18', 'CWC22', 'RNF40', 'DDX54', 'PPIG', 'TTF2', 'GPKOW', 'DDX23', 'KHSRP', 'DDX3X', 'SRSF3', 'HNRNPR', 'RBM12', 'CLK2', 'C9orf64', 'TYW1', 'EFTUD2', 'AGO1', 'SART3', 'RBM41', 'MPHOSPH10', 'SFPQ', 'ZC3H13', 'SART1', 'RIPK1', 'HNRNPH2', 'POLR2A', 'SF3B4', 'SCAF8', 'WDR43', 'AAR2', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'TSR1', 'GRSF1', 'CDC40', 'SNORA52', 'TRMT10B', 'PPWD1', 'SSB', 'WDR3', 'DBR1', 'CHERP', 'WDR6', 'QTRT2', 'ISY1', 'DIS3L', 'NOL10', 'RBMX', 'ECD', 'PUM2', 'PAXBP1', 'FUS', 'CASC3', 'ZNF638', 'CPSF7', 'FXR1', 'HNRNPA1L2', 'RBMXL1', 'U2AF2', 'THRAP3', 'RPRD1B', 'SUGP2', 'CWC25', 'CDK12', 'METTL14', 'REST', 'HNRNPF', 'RPL7L1', 'SF1', 'RBM39', 'PPP1R9B', 'AGO3', 'UTP14C', 'ZRANB2', 'SMNDC1', 'DDX5', 'SNORD10', 'DHX8', 'RBM27', 'AQR', 'DDX1', 'NUP98', 'CDC73', 'PTBP1', 'NOLC1', 'HNRNPK', 'WDR33', 'SNIP1', 'PDCD11', 'RPRD2', 'SAFB', 'SNW1', 'SF3B2', 'RBM25', 'HNRNPD', 'SETX', 'HNRNPU', 'FTSJ3', 'NSRP1', 'DIS3', 'RBM4', 'SLTM']
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.9213174383129492e-37	1.0	0.2912280701754386	['USP4', 'SRSF4', 'KHDRBS1', 'HNRNPL', 'DDX46', 'MFAP1', 'SF3A3', 'SF3A1', 'PRPF4B', 'NCBP2', 'RAVER1', 'SYNCRIP', 'CELF1', 'BUD13', 'RBM5', 'SON', 'HNRNPM', 'RBM14', 'COIL', 'DHX9', 'PRPF8', 'SF3B3', 'DDX17', 'PRPF40A', 'SF3B1', 'RBM19', 'PRPF19', 'SRSF2', 'LARP7', 'HNRNPH3', 'YTHDC1', 'SRSF1', 'CWC22', 'GPKOW', 'DDX23', 'KHSRP', 'SRSF3', 'HNRNPR', 'EFTUD2', 'SART3', 'RBM41', 'MPHOSPH10', 'SFPQ', 'SART1', 'SF3B4', 'AAR2', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'CDC40', 'PPWD1', 'DBR1', 'ISY1', 'RBMX', 'PAXBP1', 'CASC3', 'FXR1', 'RBM4', 'RBMXL1', 'U2AF2', 'THRAP3', 'CWC25', 'METTL14', 'REST', 'HNRNPF', 'SF1', 'RBM39', 'SMNDC1', 'DHX8', 'AQR', 'DDX1', 'NUP98', 'PTBP1', 'HNRNPK', 'SNIP1', 'SNW1', 'SF3B2', 'RBM25', 'SETX', 'HNRNPU', 'NSRP1', 'DDX5']
GOBP_CHROMOSOME_ORGANIZATION	1	3.87160010469902e-37	1.0	0.16912599318955732	['EZH1', 'MAP1S', 'SETDB1', 'TLK2', 'TOP2B', 'RAD50', 'MRE11', 'KDM3A', 'IKZF1', 'XRCC5', 'GATAD2A', 'TRAPPC12', 'ING5', 'CDAN1', 'KAT6B', 'ANAPC1', 'SMARCAD1', 'MSH2', 'RUVBL1', 'RSBN1', 'SETD2', 'KDM5B', 'CHD2', 'LATS1', 'ZW10', 'DHX36', 'BRD1', 'BAZ1B', 'RBL2', 'UPF1', 'NAT10', 'RSF1', 'DHX9', 'DCLRE1B', 'ARID4B', 'NUP133', 'RCOR1', 'BAZ2B', 'NUMA1', 'CTCF', 'INO80', 'MSL1', 'TRRAP', 'PSME4', 'ARID1A', 'KMT2C', 'KDM2A', 'CHAMP1', 'SMARCC1', 'BRD2', 'SETD1A', 'KIF4B', 'GATAD2B', 'ATR', 'HMG20A', 'SUPT6H', 'RNF20', 'EMSY', 'KANSL3', 'MSH6', 'NUP62', 'POGZ', 'EXOSC10', 'KDM3B', 'SMC5', 'RPA1', 'YTHDC1', 'WAC', 'RNF40', 'YY1', 'SLF2', 'SMG6', 'RLIM', 'WAPL', 'SMARCAL1', 'PDCD6IP', 'RELA', 'PHF20', 'ZNF445', 'SRCAP', 'BAG6', 'DDX3X', 'STAG1', 'MCM3AP', 'CHD4', 'TSPYL1', 'KMT2A', 'SART3', 'ERCC3', 'SFPQ', 'SSRP1', 'JMJD1C', 'CDC23', 'PDS5A', 'ARID4A', 'HDAC7', 'CDC27', 'MCMBP', 'KDM6A', 'AKAP8', 'KMT2E', 'ARID1B', 'MTA2', 'STAG2', 'TERF2', 'SETD1B', 'KDM5C', 'CUL3', 'NCAPD3', 'MAU2', 'SMC3', 'EML3', 'TNKS1BP1', 'BPTF', 'NSD1', 'MAP2K7', 'CHTF8', 'PHF2', 'ARID2', 'HCFC1', 'RECQL5', 'STAG3L1', 'XRN1', 'TNKS2', 'CHD9', 'HDAC6', 'ZNF207', 'CENPI', 'ASH1L', 'EP400', 'EPC2', 'SMYD5', 'TTI1', 'DCAF1', 'DDX1', 'BRD4', 'MLH1', 'EP300', 'NDC80', 'SAFB', 'ZNF335', 'BCORL1', 'NFRKB', 'HNRNPD', 'SETX', 'HNRNPU', 'SMARCA5', 'SMC1A', 'CHD8']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.046818255476589e-36	1.0	0.12849494348602022	['TCF20', 'TCERG1', 'EZH1', 'TMF1', 'BCLAF1', 'RAD50', 'KDM3A', 'TRIP11', 'MRE11', 'PAN2', 'XRCC5', 'NRF1', 'ING5', 'KAT6B', 'YTHDF2', 'ZNF746', 'MSH2', 'TP53BP1', 'RUVBL1', 'PRDM4', 'ROCK2', 'RNF111', 'SP3', 'FAM168A', 'UBTF', 'STAT3', 'NCBP2', 'SS18', 'USF3', 'TCF12', 'PUM1', 'TOPORS', 'GMEB1', 'QRICH1', 'SYNCRIP', 'CELF1', 'HEATR1', 'DHX36', 'ATF6', 'TRIM56', 'BAZ1B', 'NEK4', 'PPP1R12A', 'UPF1', 'RNF10', 'DCP1A', 'CEBPZ', 'GLYR1', 'RSF1', 'RBM14', 'GIGYF2', 'DHX9', 'GCN1', 'MED1', 'MAPK14', 'ARID4B', 'MBTPS2', 'ILF3', 'PKNOX1', 'LHX4', 'ELF1', 'CTCF', 'OTUD4', 'VEZF1', 'INO80', 'DDX17', 'TFE3', 'ZNF845', 'TARDBP', 'TRRAP', 'RAI1', 'FUBP3', 'TEAD1', 'ZNF609', 'ARID1A', 'GTF2F1', 'LEO1', 'MTF1', 'KMT2C', 'ELF2', 'MED12', 'ASXL2', 'SF3B1', 'YTHDF3', 'SMARCC1', 'PRPF19', 'YES1', 'SKI', 'BMPR2', 'LARP7', 'ACTR2', 'NOL11', 'ATR', 'SUPT6H', 'RNF20', 'KANSL3', 'NUP62', 'POGZ', 'TAF1L', 'PRDM2', 'NFKB1', 'MMS19', 'CRTC2', 'WAC', 'VHL', 'RPTOR', 'YY1', 'SLF2', 'RELA', 'ZNF445', 'SRCAP', 'KHSRP', 'DDX3X', 'SAMD4B', 'WDR48', 'KMT2A', 'AGO1', 'ZNF112', 'NAA15', 'SFPQ', 'ZNF507', 'GTPBP1', 'RIPK1', 'ZNF451', 'POLR2A', 'ZSWIM8', 'SCAF8', 'SF3B4', 'WDR43', 'BTRC', 'AP3D1', 'GTF2I', 'ZNF143', 'TAF3', 'TRA2B', 'ATAD2B', 'DAZAP1', 'AATF', 'ARID4A', 'GRSF1', 'NCOA6', 'CAMKK2', 'MED17', 'KMT2E', 'ARID1B', 'CCNK', 'MTA2', 'TERF2', 'VCP', 'CREB1', 'RBMX', 'ECD', 'PSMC5', 'FUS', 'PAXBP1', 'NSD1', 'MAP2K7', 'CIZ1', 'BPTF', 'LPIN3', 'YAP1', 'CHTF8', 'PHF2', 'ARID2', 'HCFC1', 'CD4', 'NPAT', 'ERCC6', 'EDRF1', 'PPRC1', 'TNKS2', 'U2AF2', 'THRAP3', 'UBP1', 'RBMXL1', 'RPRD1B', 'GPBP1L1', 'CDK12', 'ZNF398', 'USP9X', 'METTL14', 'DPF2', 'REST', 'MAP3K2', 'ASH1L', 'EP400', 'CCAR1', 'EPC2', 'XPC', 'NUP98', 'BRD4', 'MLH1', 'CDC73', 'ZBED4', 'HNRNPK', 'NOLC1', 'PIM2', 'PAXIP1', 'EP300', 'ELL', 'DEK', 'ZNF335', 'ARNT', 'PCBP1', 'SNW1', 'CSDE1', 'NFRKB', 'ZNF197', 'HNRNPD', 'SETX', 'HNRNPU', 'SMARCA5', 'ZNF148', 'DIS3', 'DDX5', 'CHD8']
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	2.3081260840918563e-35	1.0	0.29615384615384616	['SRSF4', 'PAN2', 'KHDRBS1', 'YTHDF2', 'HNRNPL', 'ROCK2', 'NCBP2', 'RAVER1', 'PAPOLA', 'PUM1', 'SYNCRIP', 'CELF1', 'DHX36', 'RBM5', 'UPF1', 'DCP1A', 'SON', 'HNRNPM', 'GIGYF2', 'DHX9', 'MAPK14', 'DDX17', 'AHCYL1', 'TARDBP', 'LEO1', 'YTHDF3', 'PRPF19', 'SRSF2', 'LARP7', 'SUPT6H', 'IWS1', 'RNF20', 'YTHDC1', 'CWC22', 'RNF40', 'KHSRP', 'SAMD4B', 'SRSF3', 'GTPBP1', 'SF3B4', 'SERBP1', 'SRSF10', 'TRA2B', 'DAZAP1', 'NBAS', 'RBMX', 'PUM2', 'FUS', 'CASC3', 'CPSF7', 'FXR1', 'RBMXL1', 'U2AF2', 'THRAP3', 'METTL14', 'REST', 'SF1', 'RBM39', 'SECISBP2', 'ELAVL1', 'DDX5', 'MYD88', 'NUP98', 'MLH1', 'CDC73', 'HNRNPK', 'PTBP1', 'SAFB', 'SNW1', 'CSDE1', 'RBM25', 'HNRNPD', 'HNRNPU', 'NSRP1', 'DIS3', 'RBM4', 'SLTM']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	6.196494364215948e-33	1.0	0.1295200525969757	['TCF20', 'TCERG1', 'EZH1', 'TMF1', 'BCLAF1', 'KDM3A', 'TRIP11', 'PAN2', 'NRF1', 'ING5', 'KAT6B', 'YTHDF2', 'ZNF746', 'TP53BP1', 'RUVBL1', 'PRDM4', 'ROCK2', 'RNF111', 'SP3', 'UBTF', 'STAT3', 'NCBP2', 'SS18', 'USF3', 'TCF12', 'PUM1', 'TOPORS', 'GMEB1', 'QRICH1', 'SYNCRIP', 'CELF1', 'HEATR1', 'DHX36', 'ATF6', 'TRIM56', 'BAZ1B', 'NEK4', 'PPP1R12A', 'UPF1', 'RNF10', 'DCP1A', 'CEBPZ', 'GLYR1', 'RSF1', 'RBM14', 'GIGYF2', 'DHX9', 'GCN1', 'MED1', 'MAPK14', 'ARID4B', 'MBTPS2', 'ILF3', 'PKNOX1', 'LHX4', 'ELF1', 'CTCF', 'INO80', 'VEZF1', 'DDX17', 'TFE3', 'ZNF845', 'TARDBP', 'RAI1', 'FUBP3', 'TEAD1', 'ZNF609', 'ARID1A', 'GTF2F1', 'LEO1', 'MTF1', 'KMT2C', 'ELF2', 'MED12', 'ASXL2', 'SF3B1', 'YTHDF3', 'SMARCC1', 'PRPF19', 'YES1', 'SKI', 'BMPR2', 'LARP7', 'ACTR2', 'NOL11', 'SUPT6H', 'RNF20', 'KANSL3', 'NUP62', 'POGZ', 'TAF1L', 'PRDM2', 'NFKB1', 'MMS19', 'CRTC2', 'WAC', 'VHL', 'RPTOR', 'YY1', 'RELA', 'ZNF445', 'SRCAP', 'KHSRP', 'DDX3X', 'SAMD4B', 'KMT2A', 'AGO1', 'ZNF112', 'NAA15', 'SFPQ', 'ZNF507', 'GTPBP1', 'RIPK1', 'ZNF451', 'POLR2A', 'ZSWIM8', 'SCAF8', 'SF3B4', 'WDR43', 'BTRC', 'AP3D1', 'GTF2I', 'ZNF143', 'TAF3', 'TRA2B', 'ATAD2B', 'DAZAP1', 'AATF', 'ARID4A', 'GRSF1', 'NCOA6', 'CAMKK2', 'MED17', 'KMT2E', 'ARID1B', 'CCNK', 'MTA2', 'CREB1', 'RBMX', 'ECD', 'PSMC5', 'FUS', 'PAXBP1', 'NSD1', 'MAP2K7', 'BPTF', 'LPIN3', 'PHF2', 'YAP1', 'HCFC1', 'CD4', 'NPAT', 'ERCC6', 'EDRF1', 'PPRC1', 'RBMXL1', 'U2AF2', 'THRAP3', 'UBP1', 'RPRD1B', 'GPBP1L1', 'CDK12', 'ZNF398', 'METTL14', 'DPF2', 'REST', 'MAP3K2', 'ASH1L', 'CCAR1', 'XPC', 'NUP98', 'BRD4', 'MLH1', 'CDC73', 'ZBED4', 'HNRNPK', 'NOLC1', 'PIM2', 'PAXIP1', 'EP300', 'ELL', 'DEK', 'ZNF335', 'ARNT', 'PCBP1', 'SNW1', 'CSDE1', 'NFRKB', 'ZNF197', 'HNRNPD', 'SETX', 'HNRNPU', 'SMARCA5', 'ZNF148', 'DIS3', 'DDX5', 'CHD8']
GOBP_REGULATION_OF_MRNA_PROCESSING	1	1.0815945963097571e-27	1.0	0.3798449612403101	['RBMX', 'DDX17', 'SRSF4', 'SRSF3', 'AHCYL1', 'CPSF7', 'KHDRBS1', 'FXR1', 'RBMXL1', 'U2AF2', 'THRAP3', 'HNRNPL', 'LEO1', 'SF3B4', 'REST', 'SF1', 'RBM39', 'NCBP2', 'PRPF19', 'SRSF10', 'TRA2B', 'DAZAP1', 'RAVER1', 'SRSF2', 'LARP7', 'PAPOLA', 'DDX5', 'CELF1', 'NUP98', 'SUPT6H', 'DHX36', 'IWS1', 'RNF20', 'CDC73', 'HNRNPK', 'PTBP1', 'RBM5', 'SON', 'SAFB', 'SNW1', 'YTHDC1', 'RBM25', 'CWC22', 'HNRNPU', 'NSRP1', 'RNF40', 'DHX9', 'RBM4', 'SLTM']
