pathway	freq	padj	stability	overlap	genes
GOBP_CHROMOSOME_ORGANIZATION	1	1.095195257930836e-34	1.0	0.16572077185017026	['CENPA', 'TOP2B', 'TLK2', 'RAD50', 'MRE11', 'KDM3A', 'KAT6B', 'ANAPC1', 'SMARCAD1', 'MSH2', 'SETD2', 'KDM5B', 'ERCC6L', 'CHD2', 'MECP2', 'LATS1', 'ZW10', 'UBN2', 'DHX36', 'BRD1', 'SGO1', 'RBL2', 'UPF1', 'NAT10', 'RSF1', 'DHX9', 'BRCA1', 'CDK2', 'ARID4B', 'WRN', 'NUP133', 'SMARCD1', 'RCOR1', 'BAZ2B', 'NUMA1', 'CTCF', 'INO80', 'BRIP1', 'TRRAP', 'KNTC1', 'PSME4', 'ASF1B', 'ARID1A', 'KMT2C', 'KDM2A', 'CHAMP1', 'CENPE', 'BRD2', 'SETD1A', 'EXO1', 'KIF4B', 'GATAD2B', 'ATR', 'HMG20A', 'SUPT6H', 'RNF20', 'EMSY', 'KANSL3', 'NUF2', 'MSH6', 'NUP62', 'EXOSC10', 'KDM3B', 'SMC5', 'RPA1', 'YTHDC1', 'WAC', 'YY1', 'SMG6', 'SLF2', 'RLIM', 'WAPL', 'SMARCAL1', 'PDCD6IP', 'NSD2', 'RELA', 'RFC4', 'PHF20', 'SRCAP', 'ZNF445', 'DDX3X', 'JARID2', 'STAG1', 'UHRF1', 'TSPYL1', 'KMT2A', 'NUSAP1', 'ZNFX1', 'SART3', 'ERCC3', 'SFPQ', 'SSRP1', 'JMJD1C', 'CDC23', 'PDS5A', 'ARID4A', 'KDM6A', 'KMT2E', 'ARID1B', 'STAG2', 'SETD1B', 'KDM5C', 'CUL3', 'NCAPD3', 'MAU2', 'SMC2', 'KMT5B', 'KIF23', 'SMC3', 'RAD51', 'BPTF', 'NSD1', 'MAP2K7', 'CHTF8', 'PHF2', 'ARID2', 'HCFC1', 'ATAD2', 'XRN1', 'TNKS2', 'RAD54L2', 'ZNF207', 'CENPI', 'MAD2L1', 'ASH1L', 'EP400', 'EPC2', 'SMYD5', 'TTI1', 'DCAF1', 'DDX1', 'BRD4', 'EP300', 'NDC80', 'SAFB', 'RACGAP1', 'CCNB1', 'BCORL1', 'NFRKB', 'HNRNPD', 'SETX', 'AURKB', 'SMARCA5', 'HNRNPU', 'SMC1A', 'CHD8']
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1	1.607937861876338e-29	1.0	0.17851500789889416	['IGHV1-58', 'IGLV3-25', 'IGHV2-70D', 'IGHV4-28', 'IGKV1-16', 'IGHV3-21', 'IGLV3-21', 'IGKV1-5', 'IGLV7-43', 'IGLV2-33', 'IGKV2D-24', 'IGHV3-33', 'IGHV2-70', 'IGHG4', 'LAX1', 'MSH2', 'TP53BP1', 'EIF2AK4', 'IGKV2D-30', 'IGKV1D-33', 'IGLV1-36', 'IGHV5-51', 'STAT3', 'IGHV3-23', 'IGLV6-57', 'IGLC7', 'IGHV3-35', 'IGKV2D-28', 'IGLV1-51', 'IGHV3-43', 'IGKV1D-12', 'IGKV1-39', 'IGHV1-24', 'IGHV3-74', 'IGKV1D-8', 'IGLV2-14', 'TNFRSF17', 'IGKV3D-11', 'IGLV3-1', 'TFE3', 'IGKV2-28', 'IGLV3-27', 'IGHV3-15', 'IGHV2-26', 'ALOX15', 'EXO1', 'IGHV3-30', 'IGLC1', 'SUPT6H', 'CD27', 'IGKV1-9', 'IGKV5-2', 'MSH6', 'IGLV3-9', 'IGKV1-6', 'IGLC6', 'SLAMF7', 'IL17RA', 'IGKJ1', 'NSD2', 'IGHV4-59', 'IGLV3-12', 'IRF4', 'IGKV1-17', 'CD79A', 'IGHV4-34', 'IGLV3-16', 'IGLV3-19', 'IGLV2-11', 'IGKV2-24', 'IGLV1-44', 'IGKV1D-37', 'IGLC3', 'IGKV3-15', 'IGKV3-7', 'IGKV1D-42', 'IGKV3D-7', 'IGKV1-12', 'IGHA1', 'IGHG2', 'IGKV3D-15', 'IGHV1-45', 'IGHG1', 'IGHJ1', 'IGHG3', 'IGLV4-3', 'IGKV2-40', 'KMT5B', 'IGHV3-38', 'IGKV1-27', 'IGKV4-1', 'IGHV3-73', 'IGKV1D-39', 'IGLJ1', 'IGLV9-49', 'IGHV4-31', 'IGLV7-46', 'IGLV4-69', 'IGHV3-48', 'IGHV3-13', 'IGHA2', 'IGLL5', 'IGKV3-20', 'IGLV5-45', 'IGLV2-23', 'IGKV2-29', 'IGKV1-37', 'PAXIP1', 'IGHV3-16', 'IGHV6-1', 'IGKV1D-43', 'IGKV2-30', 'IGHV2-5']
GOBP_IMMUNOGLOBULIN_PRODUCTION	1	1.607937861876338e-29	1.0	0.3147208121827411	['KMT5B', 'IGLV3-25', 'NSD2', 'IGLV3-12', 'IGKV3D-11', 'IGKV1-16', 'IGKV1-27', 'IGLV3-1', 'IGLV3-21', 'IGKV1-17', 'IGKV4-1', 'IGKV1-5', 'IGLV7-43', 'IGLV3-16', 'IGLV2-33', 'IGKV1D-39', 'IGLV3-19', 'IGKV2D-24', 'IGLV2-11', 'IGKV2-24', 'MSH2', 'TP53BP1', 'IGKV2-28', 'IGLV1-44', 'IGLV9-49', 'IGLV3-27', 'IGKV2D-30', 'IGKV1D-33', 'IGLV1-36', 'IGKV3-15', 'IGKV1D-42', 'IGKV3-7', 'IGKV3D-7', 'IGKV1-12', 'IGLV7-46', 'IGLV4-69', 'IGLV6-57', 'EXO1', 'IGLV2-14', 'SUPT6H', 'IGKV2-29', 'IGKV1-37', 'IGKV2D-28', 'IGKV1-9', 'IGLV1-51', 'IGKV1D-12', 'IGKV5-2', 'MSH6', 'IGKV3D-15', 'IGKV3-20', 'IGLV3-9', 'IGLV2-23', 'PAXIP1', 'IGKV1D-43', 'IGKV1-39', 'IGKV2-30', 'IGLV4-3', 'IGLV5-45', 'IGKV1-6', 'YY1', 'IGKV1D-8', 'IGKV2-40']
GOBP_MRNA_METABOLIC_PROCESS	1	4.384545662374282e-28	1.0	0.1728395061728395	['PRPF38B', 'SLTM', 'ADAR', 'KHDRBS1', 'ROCK2', 'DDX46', 'RBM24', 'APOBEC4', 'SF3A1', 'PRPF4B', 'STAT3', 'NCBP2', 'PAPOLA', 'PUM1', 'SYNCRIP', 'CELF1', 'LARP1', 'DHX36', 'UPF1', 'DCP1A', 'SON', 'DHX15', 'HNRNPM', 'RBM14', 'GIGYF2', 'DHX9', 'MED1', 'PRPF8', 'RBBP6', 'SF3B3', 'PRPF40A', 'TARDBP', 'SF3B1', 'UPF2', 'RBM19', 'PHRF1', 'SRSF2', 'LARP7', 'E2F1', 'SUPT6H', 'RNF20', 'IWS1', 'PCF11', 'EXOSC10', 'SCAF4', 'YTHDC1', 'SRSF1', 'CWC22', 'SMG6', 'TTF2', 'ZNF326', 'KHSRP', 'SAMD4B', 'HNRNPR', 'HNRNPA3', 'EFTUD2', 'AGO1', 'SART3', 'RBM41', 'SFPQ', 'ZC3H13', 'SMG7', 'GTPBP1', 'SCAF8', 'NCBP1', 'TAF3', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'NBAS', 'PUM2', 'FUS', 'CASC3', 'CPSF7', 'FXR1', 'HNRNPA1L2', 'XRN1', 'RBMXL1', 'RPRD1B', 'CBLL1', 'THRAP3', 'CWC25', 'CDK12', 'CDK13', 'METTL14', 'REST', 'RBM39', 'AGO3', 'ELAVL1', 'DHX8', 'RBM27', 'AQR', 'DDX1', 'NUP98', 'CDC73', 'PTBP1', 'HNRNPK', 'WDR33', 'PDCD11', 'RPRD2', 'SAFB', 'SNW1', 'CSDE1', 'SF3B2', 'RBM25', 'HNRNPD', 'SETX', 'HNRNPU', 'NSRP1', 'DIS3', 'TTC37']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	2.0224770834178283e-27	1.0	0.11778703152885188	['TCF20', 'TMF1', 'HIVEP1', 'BCLAF1', 'RAD50', 'KDM3A', 'TRIP11', 'MRE11', 'NRF1', 'KAT6B', 'ZNF746', 'MSH2', 'TP53BP1', 'PRDM4', 'ROCK2', 'RBM24', 'RNF111', 'SP3', 'FAM168A', 'UBTF', 'STAT3', 'NCBP2', 'SS18', 'USF3', 'TCF12', 'MAK', 'PUM1', 'TOPORS', 'GMEB1', 'QRICH1', 'SYNCRIP', 'CELF1', 'MECP2', 'HEATR1', 'DHX36', 'ATF6', 'TRIM56', 'NEK4', 'UPF1', 'DCP1A', 'ZMIZ1', 'RNF10', 'CEBPZ', 'CCNA2', 'GLYR1', 'RSF1', 'RBM14', 'GIGYF2', 'DHX9', 'GCN1', 'BRCA1', 'CDK2', 'MED1', 'ARID4B', 'MBTPS2', 'WRN', 'ILF3', 'SMARCD1', 'ELF1', 'CTCF', 'OTUD4', 'VEZF1', 'INO80', 'TFE3', 'TARDBP', 'TRRAP', 'RAI1', 'TEAD1', 'ZNF609', 'ARID1A', 'GTF2F1', 'MTF1', 'KMT2C', 'ELF2', 'MED12', 'ASXL2', 'ELK4', 'SF3B1', 'YES1', 'SKI', 'BMPR2', 'LARP7', 'ACTR2', 'E2F1', 'ATR', 'SUPT6H', 'RNF20', 'KANSL3', 'KPNA6', 'NUP62', 'TAF1L', 'NFKB1', 'MMS19', 'WAC', 'RPTOR', 'YY1', 'SLF2', 'NSD2', 'RELA', 'ZNF445', 'RFC4', 'SRCAP', 'KHSRP', 'IRF4', 'DDX3X', 'SAMD4B', 'UHRF1', 'WDR48', 'KMT2A', 'AGO1', 'ZNF112', 'NAA15', 'SFPQ', 'ZNF507', 'GTPBP1', 'RIPK1', 'AP3D1', 'POLR2A', 'ZSWIM8', 'SCAF8', 'WDR43', 'BTRC', 'GTF2I', 'ZNF143', 'TAF3', 'NCBP1', 'TRA2B', 'ATAD2B', 'DAZAP1', 'AATF', 'ARID4A', 'NCOA6', 'CAMKK2', 'MED17', 'KMT2E', 'ARID1B', 'CCNK', 'BCL9', 'VCP', 'CREB1', 'KMT5B', 'RAD51', 'FUS', 'CIZ1', 'NSD1', 'MAP2K7', 'BPTF', 'CHTF8', 'PHF2', 'ARID2', 'HCFC1', 'ATAD2', 'NPAT', 'ERCC6', 'PPRC1', 'TNKS2', 'RBMXL1', 'THRAP3', 'UBP1', 'KLF7', 'RPRD1B', 'GPBP1L1', 'CDK12', 'ZNF398', 'USP9X', 'METTL14', 'DPF2', 'CDK13', 'REST', 'MAP3K2', 'ASH1L', 'EP400', 'EPC2', 'XPC', 'PHIP', 'NUP98', 'BRD4', 'CDC73', 'ZBED4', 'HNRNPK', 'PIM2', 'EP300', 'PAXIP1', 'DEK', 'ARNT', 'PCBP1', 'SNW1', 'CSDE1', 'NFRKB', 'ZNF197', 'HNRNPD', 'SETX', 'HNRNPU', 'SMARCA5', 'AURKB', 'ZNF148', 'DIS3', 'CHD8']
GOBP_MICROTUBULE_BASED_PROCESS	1	3.096775577758385e-25	1.0	0.15335051546391754	['CENPA', 'TMF1', 'EFCAB1', 'ROPN1L', 'CFAP45', 'CEP350', 'CFAP74', 'CFAP58', 'ROCK2', 'CCDC78', 'SETD2', 'CATSPERD', 'TUBA4B', 'SS18', 'PLK4', 'MAK', 'SAXO2', 'KIF2A', 'MECP2', 'TUBGCP3', 'ATXN7', 'ZW10', 'TEKT2', 'SGO1', 'NAT10', 'SON', 'KIF13A', 'DLG1', 'RBM14', 'RP1', 'BRCA1', 'CDK2', 'CCDC13', 'ATXN3', 'DYNLRB2', 'DNAI2', 'NUMA1', 'CEP63', 'CFAP157', 'INO80', 'TRAF3IP1', 'SPEF1', 'CLASP1', 'SLAIN2', 'SKA3', 'RSPH4A', 'MAP4', 'BORA', 'CENPE', 'DNAI1', 'ACTR2', 'KIF4B', 'NUF2', 'NUP62', 'DOCK7', 'ZMYND10', 'PDCD6IP', 'DRC7', 'KIF5B', 'DYNC1LI2', 'CFAP206', 'STAG1', 'ZBBX', 'LRGUK', 'NUSAP1', 'SFPQ', 'DNAH12', 'AP3D1', 'SASS6', 'CLTC', 'DNAH3', 'DIAPH1', 'AP3M1', 'DYNC1I2', 'GCC2', 'CCDC65', 'WASHC5', 'DNAAF3', 'STAG2', 'VCP', 'TCTE1', 'PAFAH1B1', 'DRC1', 'TTC21B', 'CFAP52', 'TTC29', 'KIF23', 'SMC3', 'DYNC1H1', 'GAS2L2', 'DNAH10', 'C2CD3', 'WDR62', 'CCDC170', 'CAMSAP2', 'TUBGCP4', 'ZNF207', 'STMND1', 'MAD2L1', 'TEKT4', 'ASH1L', 'SIK3', 'DNAH6', 'SPG11', 'CFAP43', 'CSNK1D', 'CCDC187', 'HYDIN', 'CFAP100', 'NDC80', 'RACGAP1', 'RAB21', 'CCNB1', 'ENKUR', 'CFAP65', 'AURKB', 'HNRNPU', 'SMC1A', 'CFAP53']
GOBP_MRNA_PROCESSING	1	1.004849255826315e-23	1.0	0.19047619047619047	['PRPF38B', 'ADAR', 'KHDRBS1', 'DDX46', 'RBM24', 'APOBEC4', 'SF3A1', 'PRPF4B', 'NCBP2', 'PAPOLA', 'SYNCRIP', 'CELF1', 'DHX36', 'SON', 'DHX15', 'HNRNPM', 'RBM14', 'DHX9', 'PRPF8', 'RBBP6', 'SF3B3', 'PRPF40A', 'TARDBP', 'SF3B1', 'RBM19', 'PHRF1', 'SRSF2', 'LARP7', 'SUPT6H', 'RNF20', 'IWS1', 'PCF11', 'SCAF4', 'YTHDC1', 'SRSF1', 'CWC22', 'TTF2', 'ZNF326', 'KHSRP', 'HNRNPR', 'HNRNPA3', 'EFTUD2', 'SART3', 'RBM41', 'SFPQ', 'ZC3H13', 'SCAF8', 'NCBP1', 'TRA2B', 'LUC7L2', 'DAZAP1', 'SRSF10', 'CASC3', 'CPSF7', 'FXR1', 'HNRNPA1L2', 'RBMXL1', 'RPRD1B', 'THRAP3', 'CWC25', 'CDK12', 'CDK13', 'METTL14', 'REST', 'RBM39', 'DHX8', 'RBM27', 'AQR', 'DDX1', 'NUP98', 'CDC73', 'PTBP1', 'HNRNPK', 'WDR33', 'PDCD11', 'RPRD2', 'SAFB', 'SNW1', 'SF3B2', 'RBM25', 'SETX', 'HNRNPU', 'NSRP1', 'SLTM']
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	1	5.14422125847523e-23	1.0	0.23214285714285715	['KMT5B', 'IGLV3-25', 'NSD2', 'IGLV3-12', 'IGKV3D-11', 'IGKV1-16', 'IGKV1-27', 'IGLV3-1', 'IGLV3-21', 'IGKV1-17', 'IGKV4-1', 'IGKV1-5', 'IGLV7-43', 'IGLV3-16', 'IGLV2-33', 'IGKV1D-39', 'IGLV3-19', 'IGKV2D-24', 'IGLV2-11', 'IGKV2-24', 'MSH2', 'TP53BP1', 'IGKV2-28', 'IGLV1-44', 'IGLV9-49', 'IGLV3-27', 'IGLV2-23', 'IGKV2D-30', 'IGKV1D-33', 'IGLV1-36', 'IGKV3-15', 'IGKV3-7', 'IGKV1D-42', 'IGKV3D-7', 'IGKV1-12', 'IGLV7-46', 'IGLV4-69', 'IGLV6-57', 'EXO1', 'HK1', 'IGLV2-14', 'DDX1', 'SUPT6H', 'IGKV2-29', 'IGKV1-37', 'IGKV3-20', 'IGKV2D-28', 'DHX36', 'IGLV1-51', 'IGKV1D-12', 'IGKV1-9', 'IGKV5-2', 'MSH6', 'IGKV3D-15', 'IGLV3-9', 'PAXIP1', 'IGKV1D-43', 'IGKV1-39', 'IGKV2-30', 'IGLV4-3', 'IGLV5-45', 'IGKV1-6', 'YY1', 'IGKV1D-8', 'IGKV2-40']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	6.71581851256676e-23	1.0	0.11505588428665352	['TCF20', 'TMF1', 'HIVEP1', 'BCLAF1', 'KDM3A', 'TRIP11', 'NRF1', 'KAT6B', 'ZNF746', 'TP53BP1', 'PRDM4', 'ROCK2', 'RBM24', 'RNF111', 'SP3', 'UBTF', 'STAT3', 'NCBP2', 'SS18', 'USF3', 'TCF12', 'MAK', 'PUM1', 'TOPORS', 'GMEB1', 'QRICH1', 'SYNCRIP', 'CELF1', 'MECP2', 'HEATR1', 'DHX36', 'ATF6', 'TRIM56', 'NEK4', 'UPF1', 'DCP1A', 'ZMIZ1', 'RNF10', 'CEBPZ', 'CCNA2', 'GLYR1', 'RSF1', 'RBM14', 'GIGYF2', 'DHX9', 'GCN1', 'BRCA1', 'CDK2', 'MED1', 'ARID4B', 'MBTPS2', 'ILF3', 'SMARCD1', 'ELF1', 'CTCF', 'INO80', 'VEZF1', 'TFE3', 'TARDBP', 'RAI1', 'TEAD1', 'ZNF609', 'ARID1A', 'GTF2F1', 'MTF1', 'KMT2C', 'ELF2', 'MED12', 'ASXL2', 'ELK4', 'SF3B1', 'YES1', 'SKI', 'BMPR2', 'LARP7', 'ACTR2', 'E2F1', 'SUPT6H', 'RNF20', 'KANSL3', 'KPNA6', 'NUP62', 'TAF1L', 'NFKB1', 'MMS19', 'WAC', 'RPTOR', 'YY1', 'RELA', 'ZNF445', 'SRCAP', 'KHSRP', 'IRF4', 'DDX3X', 'SAMD4B', 'UHRF1', 'KMT2A', 'AGO1', 'ZNF112', 'NAA15', 'SFPQ', 'ZNF507', 'GTPBP1', 'RIPK1', 'AP3D1', 'POLR2A', 'ZSWIM8', 'SCAF8', 'WDR43', 'BTRC', 'GTF2I', 'ZNF143', 'TAF3', 'NCBP1', 'TRA2B', 'ATAD2B', 'DAZAP1', 'AATF', 'ARID4A', 'NCOA6', 'CAMKK2', 'MED17', 'KMT2E', 'ARID1B', 'CCNK', 'BCL9', 'CREB1', 'FUS', 'BPTF', 'NSD1', 'MAP2K7', 'PHF2', 'HCFC1', 'ATAD2', 'NPAT', 'ERCC6', 'PPRC1', 'RBMXL1', 'THRAP3', 'UBP1', 'KLF7', 'RPRD1B', 'GPBP1L1', 'CDK12', 'ZNF398', 'CDK13', 'METTL14', 'DPF2', 'REST', 'MAP3K2', 'ASH1L', 'XPC', 'PHIP', 'NUP98', 'BRD4', 'CDC73', 'ZBED4', 'HNRNPK', 'PIM2', 'EP300', 'PAXIP1', 'DEK', 'ARNT', 'PCBP1', 'SNW1', 'CSDE1', 'NFRKB', 'ZNF197', 'HNRNPD', 'SETX', 'HNRNPU', 'SMARCA5', 'ZNF148', 'DIS3', 'CHD8']
GOBP_PHAGOCYTOSIS_RECOGNITION	1	1.5441016038092456e-22	1.0	0.42045454545454547	['IGHV1-58', 'IGHV2-70D', 'IGHV3-38', 'IGHV4-59', 'IGHV4-28', 'IGHV3-21', 'IGHV3-73', 'IGHV4-34', 'IGHV3-33', 'IGHV2-70', 'IGHG4', 'IGHV4-31', 'IGHV3-15', 'IGLC3', 'IGHV2-26', 'IGHV5-51', 'IGHV3-23', 'IGLC7', 'IGHV3-48', 'IGHV3-13', 'IGHA1', 'IGHG2', 'IGHA2', 'IGHV3-30', 'IGLL5', 'IGLC1', 'IGHV3-35', 'IGHV3-43', 'IGHV3-16', 'IGHV1-45', 'IGHG1', 'IGHV6-1', 'IGHG3', 'IGHV2-5', 'IGLC6', 'IGHV1-24', 'IGHV3-74']
