pathway	freq	mean_padj
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	1.0	0.0228299858607033
GOBP_CELL_CELL_SIGNALING	1.0	0.00806093538719452
GOBP_CELL_JUNCTION_ORGANIZATION	1.0	0.021576125950299688
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	1.0	0.01687914619927546
GOBP_DEVELOPMENTAL_GROWTH	1.0	0.04462255276407417
GOBP_GLOMERULUS_MORPHOGENESIS	1.0	0.018333597744243795
GOBP_HEAD_DEVELOPMENT	1.0	0.04084692396432114
GOBP_HISTONE_H3_K4_METHYLATION	1.0	0.04084692396432114
GOBP_HISTONE_H3_K9_METHYLATION	1.0	0.01687914619927546
GOBP_HISTONE_H3_K9_MODIFICATION	1.0	0.0228299858607033
GOBP_HISTONE_METHYLATION	1.0	0.010005781942390265
GOBP_NEURON_MIGRATION	1.0	0.010005781942390265
GOBP_NEUROTRANSMITTER_SECRETION	1.0	0.029453838002922807
GOBP_NEUROTRANSMITTER_TRANSPORT	1.0	0.01687914619927546
GOBP_PEPTIDYL_LYSINE_METHYLATION	1.0	0.00806093538719452
GOBP_PROTEIN_METHYLATION	1.0	0.01687914619927546
GOBP_REGULATION_OF_HISTONE_METHYLATION	1.0	0.04462255276407417
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	1.0	0.017493271195316337
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.0	0.029453838002922807
GOBP_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.0	0.04232914983314597
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1.0	0.0008716334820931702
GOBP_SYNAPSE_ASSEMBLY	1.0	0.04462255276407417
GOBP_SYNAPSE_ORGANIZATION	1.0	0.011830823358765242
GOBP_SYNAPTIC_SIGNALING	1.0	0.0008716334820931702
GOBP_SYNAPTIC_VESICLE_PRIMING	1.0	0.04462255276407417
GOBP_VOCALIZATION_BEHAVIOR	1.0	0.04462255276407417
